exact_sat
time,|TSS|,sol
4189.571030378342,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4128.620043039322,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4109.513578414917,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4123.455263137817,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4134.4585518836975,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4126.744060993195,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4084.5824027061462,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4071.113775253296,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4050.5292313098907,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4056.787509202957,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4414.596148729324,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4097.880955219269,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4067.962134361267,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4063.272013425827,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4090.7205758094788,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4074.084011077881,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4043.9325299263,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4030.847895860672,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4025.1897144317627,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
4029.8076119422913,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
