exact_sat
time,|TSS|,sol
4423.1264798641205,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4360.920907497406,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4347.720417261124,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4383.673783063889,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4378.533235788345,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4355.123209476471,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4316.141130685806,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4289.804062843323,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4288.191515684128,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4612.509958982468,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4371.316255331039,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4311.6223566532135,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4296.569513320923,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4327.830481290817,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4307.596733570099,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4285.383334875107,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4266.643059015274,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4259.3273203372955,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
4227.907847642899,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3841.7871553897858,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
