exact_sat_with_enhance_solution[10000]
time,|TSS|,sol
4203.109850645065,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4151.624872922897,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4123.796961784363,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4154.077739953995,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4152.88548207283,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4131.897110700607,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4100.684841871262,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4078.267660856247,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4060.9823276996613,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4065.099639892578,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4434.021456003189,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4112.776815891266,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4094.667706489563,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4071.797467947006,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4098.95538854599,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4090.055918455124,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4059.5180230140686,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4044.3102848529816,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4042.2495427131653,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
4024.5355594158173,16,32&13&36&30&7&19&3&35&2&28&23&20&17&21&34&1
