exact_sat_with_enhance_solution[10000]
time,|TSS|,sol
4319.0224142074585,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4254.083383321762,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4243.870399713516,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4270.563715934753,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4264.229688167572,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4240.230219602585,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4199.562726259232,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4185.51965880394,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4174.482567071915,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4338.214288949966,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4399.036532878876,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4204.06391453743,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4193.720407485962,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4194.308094739914,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4216.080279827118,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4180.494126319885,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4166.448270320892,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4154.439515829086,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
4149.07582116127,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
3946.9004440307617,15,30&37&20&7&36&1&32&17&23&13&28&34&3&2&21
