1+1[10000]
time,|TSS|,sol
0.5233707427978516,17,0&1&2&3&6&7&8&10&11&12&14&15&18&23&27&28&45
0.5303585529327393,18,0&1&2&3&7&8&10&11&12&13&14&19&23&24&25&27&28&30
0.5378897190093994,17,0&1&2&3&6&7&11&12&13&14&15&23&25&26&30&39&42
0.5304794311523438,17,0&1&2&3&7&8&12&13&14&16&18&21&23&25&28&30&46
0.5453159809112549,17,0&1&2&3&6&7&8&12&13&14&15&16&19&23&25&26&30
0.5393352508544922,17,0&1&2&3&4&6&7&11&12&14&15&18&23&25&28&30&42
0.5417075157165527,17,0&1&2&3&4&6&7&11&12&14&15&23&24&25&26&30&42
0.5376467704772949,17,0&1&2&3&4&6&7&8&12&14&15&16&23&25&26&36&48
0.531731367111206,17,0&1&2&3&6&7&10&11&14&19&23&24&25&26&39&42&48
0.5394556522369385,17,0&1&2&3&4&6&8&10&11&12&14&23&25&26&28&30&44
0.5331912040710449,17,0&1&2&3&7&8&12&13&14&15&16&18&23&25&30&47&48
0.5426886081695557,17,0&1&2&3&4&6&7&10&11&14&23&24&25&26&38&39&42
0.550492525100708,17,0&1&2&3&4&8&10&12&13&14&15&23&25&28&30&44&46
0.5792357921600342,18,0&2&3&4&5&6&7&8&14&15&16&18&19&25&31&36&38&44
0.5529844760894775,17,0&1&2&3&4&6&8&11&14&15&16&23&25&26&41&44&46
0.578730583190918,19,0&1&2&3&7&10&12&13&14&16&17&18&23&26&30&38&39&44&47
0.5669190883636475,18,0&1&2&3&6&7&12&13&14&16&17&20&23&24&25&39&46&48
0.5644581317901611,17,0&1&2&3&4&6&8&11&14&15&16&20&23&25&41&44&46
0.5584380626678467,17,0&1&2&3&4&7&8&11&14&15&16&18&22&23&30&46&47
0.5816795825958252,22,1&2&5&7&8&9&10&12&13&16&18&21&24&25&27&28&29&30&31&38&40&49
