1+1[10000]
time,|TSS|,sol
0.4886009693145752,17,2&3&7&13&15&16&19&20&21&23&25&28&30&31&32&37&38
0.48236751556396484,17,1&2&3&7&9&13&18&19&20&21&23&24&25&28&30&31&37
0.49081993103027344,17,0&2&4&8&9&15&16&18&21&24&25&28&29&30&34&37&38
0.49785780906677246,17,2&3&5&10&15&16&18&21&23&25&28&29&30&32&37&38&39
0.4914860725402832,16,2&3&7&8&9&13&17&20&21&22&28&30&32&33&34&37
0.5000917911529541,18,0&4&8&9&11&15&16&18&21&24&25&26&28&29&31&33&37&38
0.4902181625366211,17,2&8&9&10&13&15&19&20&22&23&24&25&31&34&35&37&39
0.49030494689941406,17,0&2&6&7&8&10&13&17&20&21&22&28&30&32&33&34&35
0.4886152744293213,17,0&1&4&8&9&16&19&23&24&25&29&30&31&34&35&36&39
0.4754908084869385,17,4&5&8&9&11&12&16&22&23&24&27&30&31&32&35&36&37
0.48235034942626953,17,2&4&8&9&14&15&19&20&22&23&24&25&29&30&34&37&39
0.48841404914855957,17,1&5&6&13&14&17&19&20&22&23&27&28&31&34&35&36&39
0.5030734539031982,17,1&6&7&12&15&17&18&20&22&24&28&29&30&32&34&35&36
0.5062823295593262,16,2&3&7&8&9&13&17&20&21&22&28&30&32&33&34&37
0.5140361785888672,17,1&2&3&7&8&13&14&17&20&21&22&23&27&30&31&32&37
0.5160923004150391,16,2&3&7&9&12&13&15&17&20&21&23&28&30&32&34&36
0.5120174884796143,17,0&2&7&8&9&13&14&19&20&22&25&28&32&33&34&35&39
0.52398681640625,17,1&2&3&5&10&16&19&21&23&25&27&28&29&33&34&37&39
0.5071980953216553,17,1&4&5&8&9&12&15&16&20&21&23&24&27&29&30&32&37
0.5085639953613281,17,1&3&5&12&14&15&17&18&20&24&25&28&29&30&33&34&39
