exact_sat
time,|TSS|,sol
3455.6780202388763,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3430.9402379989624,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3416.5494315624237,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3432.4558758735657,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3437.5077934265137,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3429.7646317481995,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3395.260968208313,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3382.76695895195,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3373.541284561157,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3376.1068313121796,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3406.3063786029816,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3400.9835193157196,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3386.9375665187836,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3379.807151079178,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3390.7629041671753,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3383.6079540252686,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3359.638362646103,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3349.224381685257,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3347.720746278763,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
3351.095406293869,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
