exact_sat
time,|TSS|,sol
3644.9709572792053,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3614.306727409363,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3600.753788471222,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3624.153514146805,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3616.351846933365,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3594.7559349536896,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3578.838968515396,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3564.317324399948,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3557.7180349826813,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3565.9567697048187,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3592.0287251472473,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3571.7872035503387,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3573.48277592659,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3573.019439935684,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3569.9272067546844,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3547.9093775749207,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3535.31844162941,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3534.8427424430847,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3516.6670322418213,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
3289.822764635086,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
