tdg_1+1[10000]
time,|TSS|,sol
0.5265207290649414,17,0&1&2&3&4&6&8&10&11&14&15&16&19&23&25&28&44
0.5340530872344971,17,0&1&2&3&4&6&7&10&11&14&15&20&23&24&25&39&42
0.549579381942749,17,0&1&2&3&7&8&12&13&14&15&16&18&19&21&23&25&30
0.5399281978607178,17,0&1&2&3&6&7&8&12&13&14&15&16&23&25&26&28&30
0.5385453701019287,17,0&1&2&3&4&8&11&14&16&21&23&25&26&28&30&44&45
0.5454611778259277,17,0&1&2&3&6&7&10&11&14&15&20&23&24&25&39&42&46
0.541569709777832,17,0&1&2&3&4&6&7&10&11&12&14&15&23&25&30&39&42
0.5440704822540283,17,0&1&2&3&4&6&7&10&11&14&23&24&25&26&28&30&39
0.5378108024597168,17,0&1&2&3&7&8&10&12&13&14&15&16&18&21&23&25&30
0.537426233291626,17,0&1&2&3&6&7&8&10&11&14&15&18&23&27&28&44&45
0.533886194229126,17,0&1&2&3&4&6&7&8&10&11&14&15&18&23&27&28&45
0.5503244400024414,17,0&1&2&3&6&7&8&12&13&14&15&16&23&25&26&28&30
0.5588798522949219,17,0&1&2&3&4&6&7&8&11&14&15&20&22&23&25&30&46
0.5731039047241211,17,0&1&2&3&6&7&11&12&13&14&15&18&23&25&30&42&46
0.5617666244506836,17,0&1&2&3&6&7&8&10&14&15&18&19&23&27&28&36&45
0.5729966163635254,18,0&1&2&3&6&7&8&10&11&14&19&22&23&25&26&28&30&44
0.5702624320983887,17,0&1&2&3&6&7&10&11&12&14&23&24&25&26&28&39&42
0.5550906658172607,17,0&1&2&3&6&7&8&12&13&14&15&16&23&25&28&30&44
0.5767819881439209,18,0&1&2&3&6&7&8&10&14&16&17&18&19&23&27&36&40&44
0.5551676750183105,17,0&1&2&3&7&8&12&13&14&15&16&18&21&23&25&28&30
