tdg_1+1[10000]
time,|TSS|,sol
0.4730660915374756,16,2&3&7&15&17&19&20&22&23&28&30&32&34&35&37&39
0.4649503231048584,16,0&2&3&6&13&15&17&20&21&23&28&30&32&34&35&36
0.47811412811279297,17,1&2&6&7&13&14&19&20&22&23&25&27&28&34&35&36&39
0.4847226142883301,17,1&3&4&7&8&19&20&22&23&24&29&30&32&34&35&36&39
0.48368048667907715,17,2&3&5&6&7&10&13&14&17&19&22&26&28&31&34&36&37
0.47215747833251953,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
0.48068857192993164,16,1&2&3&7&13&19&20&22&23&24&28&30&32&34&35&36
0.4852430820465088,17,1&2&3&7&8&13&20&21&23&24&28&30&32&34&35&36&38
0.4849092960357666,17,1&2&3&7&15&17&19&20&21&23&28&29&30&32&36&37&39
0.47562479972839355,16,1&2&3&7&13&17&19&20&21&23&28&30&32&34&35&36
0.46611833572387695,16,1&2&3&6&7&13&14&19&23&28&30&32&34&35&36&39
0.4627702236175537,15,1&2&3&7&13&17&20&21&23&28&30&32&34&36&37
0.4801371097564697,17,0&1&2&6&7&8&9&13&15&19&20&21&24&30&32&34&36
0.4984750747680664,16,1&2&3&5&12&13&15&17&20&21&23&28&30&32&34&36
0.49457502365112305,16,1&2&6&7&10&13&14&19&21&26&28&30&32&34&36&39
0.49793052673339844,16,1&2&6&7&15&17&20&21&22&23&28&30&32&34&35&36
0.49019455909729004,16,0&1&2&6&7&10&13&17&20&21&23&28&30&32&34&36
0.5069024562835693,16,1&2&3&7&13&17&18&20&21&23&28&30&32&34&35&36
0.5047333240509033,17,1&2&6&7&10&13&15&16&21&23&28&30&32&34&35&36&37
0.49945998191833496,16,1&2&3&7&11&19&20&22&23&28&30&32&34&35&36&39
