tdg_iter_descent_IMP[5000, 1]
time,|TSS|,sol
82.39872860908508,361,5810&3136&3417&5704&3402&292&5816&3307&2115&7578&4103&4845&2151&4611&112&5783&6446&1282&488&2552&3159&7378&7503&1371&7154&1603&2893&2640&2652&5609&553&1534&854&532&3880&3713&6448&6532&265&1359&3886&244&1330&1610&2093&353&2786&7664&1732&6954&3668&4108&2608&2360&3156&3636&88&1194&350&5100&588&409&1814&3221&1436&1157&294&1864&3927&5541&2158&173&1392&3022&2665&6534&2817&2343&831&2485&1604&1547&4745&1945&2499&3819&3673&5561&4322&3914&5915&1533&2057&5246&4471&3859&3080&2380&5691&2381&3019&4105&2641&510&815&1431&4753&2811&569&4124&327&1528&5565&0&2222&446&2558&248&7597&4859&499&2649&2598&1697&2823&507&2861&27&2710&4293&983&2415&3861&7421&1501&4003&5302&4740&3851&1304&1384&115&7818&426&1729&2423&3128&1674&89&420&3644&2625&4805&7125&6365&2577&543&5501&3581&5958&1303&3680&221&247&529&81&6511&2002&1024&3868&417&3258&2060&4194&369&1990&4926&1970&1247&687&3639&341&2590&157&5355&1859&6764&2537&80&3475&33&4929&1537&5077&1154&8066&4161&191&1116&1243&1317&1205&3053&6247&3434&3912&988&1427&4894&1231&7943&1611&3866&2492&3536&7020&512&1437&2408&5617&1111&7262&6231&824&785&2612&7248&7498&5680&2659&195&5126&3648&1647&6163&1312&5430&3572&4288&1207&315&5413&2214&3533&1538&5683&558&599&7735&3428&4547&2824&6223&4823&4518&2781&408&688&1513&4630&5812&2468&4285&2725&3559&915&3229&7001&3288&4692&3112&1886&205&982&299&4228&3278&1540&5345&6531&4902&3857&1222&2302&6361&1618&1628&1992&5872&1458&5032&4454&1014&3041&5510&4566&679&5515&1266&2257&5779&23&1311&1965&2829&4205&2686&5227&1441&4698&6836&551&5074&909&4730&3579&6302&1581&1895&1927&3356&806&3957&7363&1981&5174&4092&6494&2789&460&4183&2510&3173&2667&6892&1942&5530&6861&5631&1290&1246&6845&2848&5467&464&3364&3310&1583&6061&43&1268&1219&284&6101&272&4044&5114&7272&889&2826&5111
82.22073221206665,361,2534&3417&5704&3402&4596&108&292&3307&2115&7578&4103&360&6386&2015&4933&3965&964&112&6446&1282&488&2552&3121&111&1819&7378&6076&7503&3274&7154&2893&3613&2077&3705&553&3398&532&3713&6448&1359&2431&1946&244&1330&5478&1500&353&1732&6954&3319&2360&1223&3156&88&1194&2902&350&5017&3205&5100&588&5294&2515&2452&752&1436&1157&843&1864&4901&6739&5643&3927&2158&173&1392&3022&2817&2343&169&1547&4745&2511&1945&2499&730&5561&4322&5915&1533&4986&2057&5246&4471&3859&3080&3413&3019&4951&903&2641&5685&815&1431&6256&4208&569&327&5565&3645&5291&0&2454&656&698&2222&446&2558&248&3718&2598&1697&2823&2861&27&337&4293&2190&1553&983&2415&7678&1249&7421&4740&1384&115&7818&1656&1729&2487&3042&89&420&4805&7125&5273&6365&2577&543&6074&5501&3581&2173&1303&2246&247&7048&2002&1024&3868&417&3258&3604&5950&4194&5463&369&3623&1990&461&1247&687&1214&5780&5507&341&2590&157&7765&6082&2939&5355&2881&6912&1908&1974&2537&80&6331&3475&3120&1537&1154&8066&2478&191&1116&1074&1498&1205&2762&1281&4937&178&3434&2706&4548&7487&988&1427&727&5276&4894&1231&7943&3966&6693&3536&3225&512&1437&2408&5617&5610&7262&6231&824&785&2612&1364&2659&195&7354&1647&6163&788&219&5430&1207&315&4818&3533&1538&5559&5683&558&4398&4919&7482&2824&5885&5776&2781&408&5454&688&1513&4630&5812&3288&4692&3112&1886&2179&5870&4228&1540&6531&1190&3857&4328&1273&2302&6361&1618&2713&4749&5483&175&333&1252&6490&5409&1992&5872&1497&1458&7279&3113&3041&5510&4566&2450&1791&7124&1266&4748&2257&5807&4330&1311&3924&2686&5227&1441&4698&6836&6103&909&1350&3579&3132&1581&3356&2605&11&1917&1828&806&1981&5174&2637&4092&6494&6593&840&2789&3353&5143&2633&2587&4183&2667&5387&6892&1942&5530&1290&1246&4268&625&241&6061&43&4233&5825&1268&646&1219&4589&2089&6101&8534&2828&272&5114&4258&889&2826&5111
80.51183247566223,361,2534&1775&5704&5412&3349&3402&292&3462&5816&6823&3307&7578&4103&5527&4949&3208&4611&1941&112&1403&6446&1282&488&2552&3121&111&7378&6076&7503&5707&7154&1373&2155&2893&3705&5609&553&854&3398&532&3713&6448&431&1946&244&1330&5478&1732&6954&2360&3181&3156&3636&88&2902&350&1194&5100&588&1814&2938&2452&1436&1157&1864&4901&6739&3906&3927&2158&173&1392&3126&2358&3022&830&2665&2817&2343&1996&169&1604&1547&773&1945&3617&2499&730&6600&3673&5561&4322&5915&2021&4986&2057&19&1006&5246&4471&3859&3080&6144&1110&3019&659&4951&903&2641&633&5685&815&1431&2232&569&327&5565&3645&0&2222&446&2558&248&6840&1822&499&694&4809&3718&2649&2340&2598&1697&2823&2861&4670&27&337&4293&2190&3234&2771&983&2415&4232&7421&4740&1304&1384&4331&7818&1656&426&1729&2487&3128&89&420&2382&4805&6365&2577&543&6074&5501&3581&3431&1303&1280&221&247&529&3258&6099&417&4462&4194&4307&369&1990&1247&2590&157&556&6082&5355&2881&1908&1974&80&4111&2703&6331&3475&3120&1537&5077&1154&5660&6289&191&1116&1205&7167&7203&178&3434&3248&7671&7487&988&1427&2822&4894&1231&7943&895&7020&3536&512&7326&6893&1627&1111&7262&6231&785&824&2612&5680&195&5126&7354&7327&583&4920&1647&6163&4154&219&5430&5357&1207&315&7551&310&3533&1538&3071&5683&558&1258&2824&4823&2481&2797&688&1513&4630&5812&2131&2725&3559&3149&3288&1886&3112&2301&3333&4228&1540&6531&6291&3857&4328&213&1273&2302&1800&1618&1404&4749&1613&1628&2916&6490&5409&1992&1458&5032&3041&5510&1791&1266&4748&1146&4330&1311&6850&3366&2686&5227&1441&4698&1352&4975&909&3579&1581&3702&6962&2699&3356&1722&806&1981&5174&6494&467&21&6321&944&3710&4183&4132&616&2667&6892&1942&5530&6861&1639&850&30&4122&1290&317&1246&4303&4268&5467&2347&2768&6061&43&4197&4464&5825&1268&1219&4182&284&6101&3359&272&1953&1684&889&2826&5111&3143
82.08523511886597,361,1869&3417&5704&292&5816&3307&2115&7578&4103&3849&1720&8286&112&6446&6323&1282&488&2552&3121&111&7378&6076&7503&7154&2893&5609&1763&553&854&532&3713&6448&1359&1946&2816&244&1330&5478&353&7664&2217&1732&6954&5344&4251&3668&2360&3156&88&1194&2902&350&2862&5100&588&1436&1157&294&1864&6739&3927&2158&173&1392&5117&3022&1905&2665&2817&2343&636&3856&5193&169&1604&1547&3793&4745&8125&1945&2499&730&3673&4322&5915&3936&4986&2057&2654&3080&3859&6144&4821&5327&3019&4951&903&2641&3072&815&1989&569&5326&327&5565&3645&7757&0&5712&698&2222&446&2558&248&148&5147&3718&2649&1697&2823&2861&4670&27&5583&337&2190&2771&983&2415&1391&7421&1933&4740&1304&1384&1656&1729&2487&2004&1675&3128&1674&89&420&4805&7125&6365&2577&543&6074&5501&3581&2173&3509&6603&5669&2426&1550&1303&221&247&7048&81&4873&2002&1024&3868&3258&6718&2588&5950&4194&369&3623&1990&1247&687&5780&341&2590&157&7765&5355&5858&4616&1974&2537&80&3475&3120&1537&1154&1016&926&8066&5188&3972&6714&191&1116&916&1498&2121&2574&1205&7197&178&3434&2234&7671&1466&988&1427&1127&1231&5056&7943&3966&3866&3536&512&1437&2408&5617&1627&1111&7262&6231&785&824&2612&5886&5680&3756&195&5126&7354&1647&6262&5430&1424&1988&1207&315&4400&2936&3688&3533&1538&3071&5683&558&2824&4823&5885&326&2781&408&880&2481&688&6248&4630&5812&3559&3149&3288&4692&3112&2301&1886&5870&5564&1540&6531&3857&2302&6361&4959&1618&1881&4749&5483&1628&6490&5409&1992&5872&1458&5032&2993&4623&2826&3041&5510&4566&679&4043&1791&1266&4330&1311&68&5324&4190&2686&6003&5227&1441&4698&6836&1723&3579&3863&7732&1581&120&3245&6977&3356&6560&11&1828&866&1981&5174&5168&4092&2189&6494&6997&2789&1137&125&151&4183&4132&210&2667&1942&6861&5530&5631&1290&7369&1246&4268&6845&8485&6061&5825&1268&1219&284&6101&2940&152&5253&5114&889&452
82.61586737632751,361,3417&5704&3402&6060&292&5816&3307&2115&7578&4103&2974&8286&2041&112&6446&1282&1584&488&3121&7378&6076&7503&2926&7154&2893&5609&5178&553&5473&854&532&1168&821&3713&6448&2431&244&1330&5657&1183&1732&6954&3668&2360&3636&88&1194&3531&5100&588&2148&2452&752&1436&1631&1864&6739&3927&2158&173&1392&3022&2362&2665&7893&2817&2343&302&169&1604&1547&5485&2147&4745&1945&2499&2338&3673&5561&4322&5915&4986&2057&597&4471&3859&3080&300&4202&3019&4105&2641&903&711&4470&5685&815&2567&569&2218&327&2037&3805&5291&3645&0&3265&2222&446&2558&248&6102&478&2401&499&148&2211&3718&2649&1697&2861&4670&27&337&4293&2190&2771&983&2415&4988&7421&1501&7528&4740&4313&1384&568&115&7818&1656&1729&2487&3128&89&420&2350&4355&4805&7125&6365&543&6074&5501&3581&2173&3160&2561&2864&247&1483&630&529&2451&2002&314&8615&3868&3258&4194&406&7418&369&3104&3623&1990&2030&1247&7808&5780&2590&157&7765&556&6082&5355&4472&8592&1974&3475&3120&1537&1154&526&924&3409&5722&5909&3972&191&1116&1205&2762&7197&5383&4937&3434&3248&2437&988&1427&4894&1231&390&7943&3966&39&3866&3536&3964&1437&2408&313&2982&6893&1627&1111&7262&6231&785&824&2612&5680&1672&7533&195&5126&7354&31&1647&2760&219&5430&2535&1207&315&879&1725&3533&1538&3071&5683&558&4070&1904&2824&2781&408&7135&1&688&1513&4630&5812&1889&3559&2022&4515&3288&4692&3112&2301&1886&5721&4228&3397&1540&4189&6531&660&159&3857&2302&4959&3139&2713&4749&5483&1628&6490&5409&5872&1458&4607&3551&3041&5510&4566&679&1266&2225&4330&1311&2573&3741&1098&3366&2686&5227&4698&4921&909&3579&2613&6983&1581&4274&3245&3356&1828&806&4092&6494&2789&6321&4183&4132&1617&2667&808&6892&1942&6861&850&5130&5631&1290&801&1395&1246&4268&6845&7941&1526&5512&241&6061&3887&1219&7659&284&6101&2940&2336&3023&272&1684&5114&889&2826&5111&5927
80.48207974433899,361,3417&5704&3402&292&5816&3307&2115&7578&4103&5527&4949&4611&112&2416&488&2552&3121&111&7378&6076&7503&7154&4629&2893&661&1445&5609&553&854&3398&532&3713&1782&1359&2959&4296&1330&5478&353&212&3852&1732&6954&2360&3636&88&2902&350&1194&3205&5100&588&2452&1436&1157&2844&3838&6584&1864&4901&6739&5247&3906&3927&2158&173&1392&1835&3022&2665&2817&2343&169&1604&1547&7377&773&4745&1945&7134&2499&730&3658&2338&3673&515&5561&4322&4909&8301&5915&184&3936&4986&2057&2654&4471&3859&3080&6144&973&3019&1264&4951&903&2641&4470&815&1431&569&327&0&6232&698&2222&446&2558&499&1706&3718&2649&1697&2823&2861&27&4339&337&4293&2190&2771&983&2415&7421&670&4740&1304&1384&115&7818&1656&1729&2487&3348&3128&1674&89&420&2838&4805&7125&6365&2577&543&5470&6074&5501&3581&2173&401&4521&1303&3539&3680&221&247&2002&1024&3868&417&798&4194&7418&369&452&3623&1990&1247&687&3293&5780&2590&157&6082&5355&2881&2537&80&6331&3475&3993&3120&1537&5077&1154&1388&8066&191&1116&4346&6905&1205&4937&3434&988&1427&4894&1231&2230&2930&7020&3536&512&1437&2408&5610&1627&2612&6231&785&3770&5680&195&5126&7354&583&10&6163&219&5430&6085&5346&1207&315&7006&1152&3533&1538&3071&5683&558&3261&2824&2781&408&688&1513&4630&5812&6&2078&2725&3559&1126&7261&3288&4692&3112&2301&7907&4831&982&4621&3397&1540&6531&3857&4323&1273&2302&6361&1800&1618&4981&4749&1820&5483&5884&1628&1896&6490&5409&1992&5872&2027&2782&3041&5510&4566&679&4043&1791&5041&1266&4748&3824&4330&7849&1311&6757&70&3366&2686&575&5227&1441&4698&6836&4921&5400&909&3579&2268&172&4401&3277&1581&967&3356&4344&3220&11&22&1828&866&1981&5174&800&6494&6997&2789&4342&809&2667&808&1942&6861&5530&1639&5071&5631&1290&4971&1246&4268&6845&3255&6379&625&6061&43&637&1268&1219&284&6101&2940&1551&5114&889&2826&5111
72.21399760246277,361,3417&5704&3402&6060&292&5816&3307&2115&7578&4103&4611&8286&112&1403&6348&2755&6446&277&1282&488&2552&3121&111&346&7378&6076&7503&7767&4308&4449&7154&2893&6700&553&7477&854&3398&532&3880&3713&2293&6448&1359&1946&465&244&1330&5478&1610&353&2217&1732&6954&2149&2360&3676&3636&88&2902&350&1194&989&5100&588&1814&3412&2452&1677&1436&1157&1864&3906&3927&2158&173&1392&3022&2817&2343&1068&3971&169&1482&1547&1755&1945&2499&730&3673&5561&4322&308&28&5915&1533&4986&2057&5246&4471&3080&2380&3019&400&2704&2641&903&5685&815&3317&1989&569&327&462&5565&3645&2722&0&698&2222&2558&4079&3718&2649&1697&3066&2823&2861&27&1007&337&4293&2190&2771&983&2415&7421&4654&7528&4740&1063&1304&1384&115&7818&1656&1729&2487&3128&1674&89&420&954&4805&7125&5490&6365&2577&543&3818&5380&5501&3581&2173&3388&1750&401&1924&1550&1303&221&4989&247&529&3943&5878&1024&3868&417&3258&4194&807&1447&369&3104&1990&1247&687&1214&79&341&2590&157&7765&2442&4014&5355&1648&1974&2537&2607&6331&3475&3120&1537&5077&1154&924&813&8066&191&1116&4346&1205&4937&178&3434&154&988&1427&4894&1231&2840&1530&7943&662&6295&7020&3536&67&512&1437&3453&1111&7262&6231&824&785&2612&5680&195&5126&849&5678&4357&1647&6163&3068&7545&5430&5788&7607&1207&315&2733&5413&7551&3533&1538&756&5683&558&3665&2824&2781&408&688&1513&4630&5812&2725&1141&3288&4692&3112&2301&1886&3333&4228&6531&3857&1273&2302&6361&2965&1618&4116&4749&5483&1628&6490&1992&5872&1842&5761&5032&3551&3041&5510&4566&4043&1266&4748&5740&1311&1608&1225&6202&3490&1260&2686&6836&4698&3094&5640&3579&6340&1199&7481&1581&3782&967&3356&1828&806&1981&5174&2403&4092&6494&2789&6321&557&4183&2541&2667&808&6892&1942&5530&6861&5631&1290&1246&4268&6845&977&2081&241&1583&2532&6061&43&5825&1268&1219&6101&441&5114&889&2826&5111
74.09188675880432,361,3417&5704&2025&292&5816&3307&2115&7578&4949&8286&112&6446&1584&488&2552&3121&7378&7767&7503&471&2893&1061&5609&553&854&532&6919&3447&3713&6448&1946&1330&2559&5478&244&353&3418&7902&1732&6954&4593&5344&851&7240&352&2360&7721&3566&3156&3636&88&1194&1753&5100&3833&3612&1157&1864&6739&3927&2158&173&1392&3022&4428&4504&2343&169&1122&1547&6907&2147&2644&4745&6104&1945&858&7134&2499&730&3673&5561&4322&5915&4986&2057&6143&3080&5691&6144&1635&3019&4951&903&5917&5685&815&569&327&3585&5648&3645&1117&0&129&607&2222&446&2558&248&2323&1777&499&144&5508&7139&3718&2649&2598&1697&2823&3006&2861&4670&27&6945&1195&3905&337&2190&2771&983&2415&7421&1377&4740&1304&1384&115&7818&1729&2487&7254&1163&3128&818&1674&89&420&6326&4627&4805&7125&6365&2577&543&2391&6074&5501&3581&2173&8096&401&3638&1303&247&2451&2002&2634&3868&3258&417&6718&798&6159&4194&3522&3104&4744&1990&4658&1247&687&5780&341&4830&2590&157&7765&5355&2881&6820&1974&2537&161&3475&3120&1537&5077&1154&924&8066&1320&3972&191&1116&2574&1205&5383&1660&1466&988&1427&6305&4894&1231&7943&3966&5695&3536&512&1437&3959&6045&6893&1111&7262&6231&785&824&2612&4282&5680&1672&45&195&5126&3014&3648&1647&6163&219&5430&6606&1207&315&199&2858&2064&673&3533&1538&5683&558&1991&3261&2685&2824&7623&2781&4052&177&1513&4630&5812&2725&3559&434&3288&1886&3112&4228&2672&1540&6531&3857&4300&1273&2302&6361&1618&1382&4749&1628&6490&1992&5872&1458&5032&1014&430&3041&5510&4566&679&4043&3565&2257&5266&792&1311&3367&1477&3366&2686&5227&1441&4698&6836&6681&3579&6754&5635&1792&1581&1895&3356&1828&806&1981&5174&2403&4092&6494&1114&6109&4787&2789&6321&3492&944&4132&4973&2667&6892&1942&5530&6861&5631&1290&1246&4303&7941&6379&6504&6332&5453&6482&6061&43&1268&3357&2089&6101&5587&272&5114&1802&889&2826&5111
71.00388073921204,361,3417&5704&1185&3264&3402&292&2646&2115&7578&4103&2015&4949&4611&217&3945&8286&112&6446&488&2552&3121&111&7378&6076&7503&4308&7154&2893&3613&8612&553&397&854&532&7042&3713&6448&1946&244&1330&353&6954&1206&3668&352&3156&3636&88&1194&1753&588&2220&2452&1436&1157&294&7999&3441&42&843&1864&156&6739&2145&3927&2158&173&1392&1244&383&3022&2665&839&2817&2343&3971&169&1547&1935&4745&1945&858&4487&2499&730&3673&515&4322&4021&1533&4986&2057&3237&4471&3080&300&3019&2641&903&5685&815&1431&4338&569&327&3645&0&2222&446&2558&248&724&7004&757&4783&2911&1822&499&870&3829&4639&4214&1697&2909&2823&2861&4670&27&7144&2710&1641&1770&4293&2771&983&2415&5152&7421&4740&1304&6377&115&1656&426&1729&2487&7254&1675&3128&2344&1674&89&420&4805&7125&6365&543&6074&5501&3581&2173&1303&221&247&529&2634&1024&3258&417&798&1011&4194&3344&7418&369&3623&1990&1247&687&3639&5780&6002&341&2590&157&7765&271&5355&4050&5022&1830&1974&80&208&6331&3475&4276&1537&5077&1154&1388&8066&191&1116&3182&916&1498&1205&7190&2172&4937&178&3434&202&988&1427&4894&1231&3649&7943&3966&7020&3536&512&1437&227&6045&824&6231&2612&785&5680&1081&5604&195&5126&7354&3648&1647&6163&2760&6262&219&5430&7607&1207&315&1731&3533&1538&5683&558&2824&4823&5364&2781&408&4477&688&1513&4630&5812&2725&3559&1569&3288&2683&4692&3112&2301&1886&2311&1066&3311&743&4228&749&1540&6531&3857&4156&2302&4749&5483&1628&3057&6490&5409&1992&5872&5295&5032&2993&2421&3041&5510&4566&4043&4049&1266&4748&3011&4330&816&3998&1311&613&3366&2686&6836&1441&4698&3729&551&4891&909&4482&5068&3579&5522&6302&1581&6962&3356&1448&1917&6201&1828&1981&5174&6494&6321&5538&4183&2667&6892&1942&5530&6861&1807&5631&1290&1968&1246&4268&6845&3982&241&6061&5825&1268&4792&1219&1659&6101&5114&889&2826&5111&3513&5927
