tdg_iter_descent_IMP[5000, 1]
time,|TSS|,sol
43.6412398815155,226,5504&1659&4601&3305&3737&3981&2049&1848&3002&4319&1262&478&2638&686&1709&80&1398&1735&5754&1644&606&2535&2086&2375&2293&2395&151&1992&1200&3615&1657&4190&1534&4763&2314&3599&4285&2345&5175&667&1989&335&169&2871&1462&1141&1337&4689&4293&3810&5775&1424&247&1749&4041&1751&1922&3309&3285&3771&922&108&1108&1797&6039&39&4004&963&4906&945&3723&1405&1971&1466&3178&5278&1354&193&4230&1899&4324&1229&180&49&1895&3930&3715&2596&3613&1758&1400&3463&1541&3115&1834&1620&3310&1685&20&390&2942&2948&3571&2523&2451&560&1396&2166&2828&635&1181&693&873&1636&3866&428&2666&2498&3475&516&6071&1275&3865&1765&2852&5537&4235&1304&2798&26&769&5545&3066&303&4781&2199&2094&1626&2862&1427&2114&2384&2632&1792&5788&1742&326&3846&55&5645&2275&1382&3358&3095&1666&3550&167&3163&2088&1318&4769&4434&886&1947&719&948&706&1081&3014&2244&1198&1307&5220&490&1974&3813&125&1030&2653&825&1429&1930&136&192&370&1867&4369&5096&1098&1474&146&4362&2391&3364&3179&4639&2654&3312&3171&1815&3716&289&804&2288&4941&821&1648&654&1015&1562&1882&3797&2906&1544&1369&4109&1168&1877&759&5004&576&3616&786&3926&958&736
45.29562282562256,226,1946&5504&1478&1659&1397&5470&3305&5572&521&1985&3981&2049&680&1343&478&4374&2638&686&2821&5553&80&1398&1735&1866&1644&3346&2086&2375&1026&151&1992&5406&1200&3615&1657&1534&2314&2890&4285&3599&2039&2345&667&2064&1989&335&169&3823&1141&4689&4293&5775&1424&247&1749&1751&1533&4617&3771&3777&108&5339&1108&6039&1222&4004&963&2524&2790&3926&22&740&1305&2647&3992&1466&1163&786&896&4230&4324&4628&180&49&338&1471&2193&3311&3930&3715&1856&3613&1758&2596&1785&655&1834&1620&3310&1685&1556&20&390&697&2942&2948&1674&341&3571&2523&4860&2451&1396&3096&1181&693&873&1636&3866&428&2666&2498&3475&1476&6071&1275&1765&2852&5537&364&1020&1069&572&2798&3066&303&2199&2094&1626&2862&2636&2114&5502&1040&5788&1742&326&1365&55&3846&4551&1959&271&1748&5645&1390&1382&2069&2011&1666&5381&83&3163&2088&3470&1318&4769&38&109&726&4434&886&2978&948&5154&385&3138&2244&1198&1247&1307&5220&310&490&3813&125&1030&2653&73&1930&136&4765&192&370&4369&3897&146&3364&4684&3179&2654&3312&3171&1815&2689&3716&1698&804&798&1669&3833&1648&1562&1882&493&2906&1544&1369&1168&1877&864&576&1596&4815&3810&736
44.55365467071533,226,5504&1920&1478&897&1659&3305&521&2049&3297&460&680&1343&407&478&133&2638&686&2663&80&1398&1735&1644&606&2086&2375&2293&387&151&1992&5406&1200&3615&1657&1534&411&2314&2890&4285&3599&2039&1558&1027&528&6046&2345&2309&667&1989&335&169&3082&1141&4689&4293&3810&5775&1424&1749&1751&196&3771&3906&922&5342&5619&108&2343&1108&1218&6039&4359&4004&963&3344&2484&248&2215&1305&1466&3178&1354&193&5583&4230&4324&251&1229&180&49&3549&3376&3930&3715&2596&3613&1758&1785&3296&4067&3115&3676&1834&1237&1620&3310&1685&422&3295&20&390&1556&2942&2948&3571&2523&2451&69&1396&2828&1181&693&873&1636&3866&777&428&2666&2498&3475&1476&6071&1275&3865&2852&5537&5209&868&129&572&2798&769&3066&258&303&4781&2199&105&1626&2114&2291&2384&1040&5788&1742&326&4551&55&2944&2267&2436&5645&1382&3163&1444&5931&1318&2253&4769&109&1999&854&726&4434&886&948&1198&5220&53&490&2726&2158&1974&3813&1030&2653&2017&797&1930&136&192&2904&370&700&4369&5096&1973&146&3364&3179&2654&3312&1815&3716&289&804&2288&955&1051&3232&1648&1562&1882&3797&3728&2906&1369&4801&4109&1168&1877&759&576&3405&786&3926&736
45.62945103645325,226,1946&1547&5504&4837&3172&1478&1659&2681&3247&4951&3305&521&3981&2049&369&4319&680&1497&478&2704&3566&80&1398&1735&1644&606&2086&2375&3462&1703&1026&2060&3238&151&1137&1992&5406&1200&3615&1657&1534&2314&2890&4285&3599&2039&636&5285&2345&626&1101&2228&667&228&335&173&169&3203&695&3823&2871&280&1141&4689&4293&1573&5775&1424&5356&1749&4041&1751&901&1459&3771&922&1801&108&1108&1218&4703&6039&1411&4004&1080&1971&1466&3178&1163&193&4628&4324&1229&180&49&1211&1288&3558&1117&3715&1856&3613&1758&3115&1834&2870&3310&1685&1556&20&390&11&1048&2948&2710&2523&2451&1396&1437&1181&693&873&3866&428&2666&2498&3475&2428&6071&3865&1765&2852&5537&1476&178&868&27&4768&2798&3066&303&4781&2199&867&2094&1626&2862&2114&2384&78&469&1792&5788&2300&1742&1365&55&3846&2676&2275&1382&4381&1666&3550&1692&3163&1492&4005&532&1318&4769&3967&2777&4434&4295&2231&948&2244&1198&5220&3813&125&2653&1930&136&192&370&4369&5096&1403&146&823&3364&3931&3179&2654&3312&3171&1815&3716&289&3033&804&3232&5241&1648&529&1847&4164&3080&1562&1882&3797&1890&3728&2906&1544&1369&4109&1168&1877&3809&576&786&3926&736
43.79817819595337,226,1946&1547&5504&1478&1659&232&3305&521&3981&2049&1690&680&1343&478&133&2638&65&2821&80&1398&1699&1735&3434&1644&1915&2086&2375&1217&2293&1703&3980&2437&151&2021&1992&5406&1200&3468&1228&3615&1657&67&2314&2890&3599&4285&2039&5285&2345&2986&1101&1328&2892&667&1989&782&335&169&107&1462&1141&1565&4689&4293&1424&1749&4041&1751&1950&3771&1779&922&108&1108&1218&6039&1520&4989&4004&963&2225&1115&2164&1305&1971&1466&3178&193&896&213&906&4324&1229&180&49&5795&2193&3558&1856&2596&3613&1785&3115&1834&4943&3747&1620&3310&1685&20&390&2942&2948&961&2523&2265&2451&1734&2055&1385&2828&693&873&2195&3866&949&428&2498&3475&1476&2852&1275&3865&1765&5537&2766&1106&129&250&2798&769&3066&2199&4781&1627&1626&2862&2571&2384&5788&1742&326&3846&55&4551&2676&2249&5645&1382&1394&1006&1666&5381&1692&3163&1318&2022&1490&3698&726&3670&3191&886&3259&5154&1198&2826&3587&5220&4839&490&942&3891&3813&1030&2653&1429&4815&1930&136&192&370&4694&4369&5096&176&950&2984&146&3364&1753&2654&3312&3171&1815&3716&289&804&2288&955&853&1669&1648&188&237&1882&1544&1369&4109&1877&4643&455&576&786&3926&736
44.269665002822876,226,472&541&5504&3796&1478&3433&1659&3305&521&1836&3981&2049&1535&1848&680&478&5178&3469&80&1398&1735&5754&1644&606&2485&2086&2375&5304&2293&2176&2695&151&1992&3200&5406&1200&3615&1657&236&1534&2314&2890&4285&3599&2039&2345&2892&30&667&1989&335&1540&169&4122&1462&280&1141&2092&4689&4293&3810&5775&1424&1749&4041&1751&1922&2002&3771&423&922&756&108&4081&1108&6039&1814&4004&963&1850&3723&1305&1466&1354&193&4230&4324&3900&1229&180&49&3812&2148&2996&2425&3715&1856&2596&3613&1758&3772&3115&1834&1620&3310&1685&1556&390&2942&2948&3571&2523&2451&1396&1385&2828&1181&693&873&1636&62&3866&428&2666&2498&3475&1476&6071&1275&3865&2852&5537&440&4216&2260&75&1129&2798&769&3066&303&2199&4023&1445&165&1626&2114&2396&2384&5788&1742&326&2268&3846&55&792&5645&1382&1666&3163&2657&1444&1263&1318&2253&4769&109&4434&886&2231&948&2784&1198&5220&66&310&490&3813&125&4049&2653&902&1930&136&192&370&2322&4694&4369&1258&4907&1973&146&3364&3179&2654&3312&279&754&1815&3716&289&804&2288&955&3232&1648&1562&1882&846&1890&2398&2906&1544&1647&4109&1168&1877&5131&4756&1610&576&786&3926&4458&736
44.88958787918091,226,5504&1972&1659&3305&521&3981&2049&4319&4836&158&478&133&2638&65&5535&2821&80&1398&1735&5754&1644&606&2086&2293&962&4539&151&1992&5406&1200&3615&1657&1534&2314&2890&4285&3599&2345&379&2933&5653&2309&667&1989&335&169&1462&1141&4689&1424&1533&1749&1751&1922&4617&2702&3771&922&242&108&2598&1108&4081&6039&2573&4004&963&2225&3926&22&2889&3363&1305&1971&1466&1354&193&884&558&4230&896&786&4324&1229&180&49&4307&2326&4375&3715&1856&2596&3613&1785&1541&3371&5312&3115&1834&1620&3310&1685&1556&20&390&2948&3571&2523&2451&1396&327&2055&2828&1181&693&873&1636&3866&3743&3471&428&2666&2498&1476&6071&1275&3865&1765&2852&5537&4235&1323&60&1855&2774&866&2798&5545&3066&1713&535&303&4781&2199&2094&1626&2862&2384&5788&1742&326&1086&55&215&96&5645&2173&3095&4741&1666&3163&3193&2088&3470&1318&4769&109&4434&4295&886&1947&719&948&2244&1198&2575&1307&2376&5220&562&1974&3813&125&2464&2052&1030&1930&136&192&42&370&700&4369&146&2391&3364&1753&3179&2654&3171&1815&289&804&2288&4040&3232&1648&559&1562&4014&1882&3797&1890&3728&2906&1544&1369&1168&1877&1610&576&917&4815&3810&4221&736
45.17855405807495,226,5504&44&1799&232&454&3305&521&1836&3981&2049&407&680&1343&1242&478&2638&686&3699&80&1398&1644&1250&2086&2375&252&2293&2395&151&1992&3200&5406&1200&3615&1657&1534&787&2314&2890&4285&3599&2039&2773&2345&667&335&169&107&3597&1462&1337&1141&4689&4293&1573&3810&5775&1424&1749&1751&1950&3309&5191&3771&922&108&2490&1108&5386&6039&4004&2225&963&1772&945&1305&1466&3178&2332&118&4324&251&321&1229&180&1854&4846&3715&1785&2596&3613&1758&1856&3115&3676&1834&4143&1620&3310&1685&1556&314&20&390&3403&2948&3571&2523&2451&1734&1396&32&635&1181&693&873&1636&2186&3866&428&2498&3475&1476&6071&1275&3865&1765&2852&5537&410&1129&2798&3934&3066&303&2199&2080&165&2094&1626&2862&647&2114&4474&2384&2869&5132&1040&469&5788&1742&326&3142&3846&55&5645&1382&3095&3550&5063&1668&3163&3415&1318&4769&1999&2777&4434&948&5154&2244&1198&1247&1404&1307&5220&66&17&490&3813&125&2653&1777&1930&136&192&2839&370&700&1873&932&767&146&988&4362&3364&3179&2654&3312&3171&1815&3716&289&1698&1702&1780&804&2288&514&1669&3232&1648&1562&1882&3797&1890&3728&2906&1544&846&4109&1877&576&3616&786&3926&736
44.07215905189514,226,1946&5504&1478&2006&3305&521&3981&2049&1413&4967&4319&680&1497&2841&478&967&133&2638&33&2662&4414&4880&80&1398&1866&5754&1644&606&2086&2375&2293&1026&151&1992&3301&1331&1200&874&3615&1657&2890&3599&4285&1968&2039&2773&2440&1027&5973&2345&667&1989&427&335&169&3121&2871&1462&1141&4689&4293&1573&3810&1424&1749&1751&2210&3771&2861&108&3886&1108&3129&1025&6039&2559&4298&4004&963&2593&22&1305&4533&1971&1466&4914&193&4628&4324&1229&180&49&2048&3930&3715&2596&3613&1758&1785&1400&89&3115&1834&729&1620&3349&3310&20&390&1684&2942&2948&3571&2523&2451&1396&149&32&1181&693&873&1636&1858&3866&926&428&2666&2498&3475&1476&6071&1275&2428&184&5537&270&2798&3066&303&4781&2199&1805&1626&2862&2114&316&2384&5277&1040&2868&5788&1327&1742&326&4207&1365&55&3846&4551&5645&1666&1088&3163&3581&2625&4249&1318&4769&109&1999&4434&2424&886&948&5154&5879&5181&1198&1307&2376&5220&1974&3813&125&2653&1930&136&977&192&3912&370&855&4369&1149&2551&5096&4487&146&3364&2654&3312&3171&1815&3716&289&804&2288&74&678&1648&1562&1882&3728&2906&1544&1369&4109&1168&1877&5131&703&576&3616&786&3926&736
