tdg_iter_descent_v3[10000, 1]
time,|TSS|,sol
271.4353497028351,173,1877&1675&2607&3310&5572&2384&572&165&1815&718&32&3613&3080&2039&4423&5645&2498&516&5304&5618&1742&4263&1749&1365&896&1198&4403&4041&1398&5220&1396&1856&5504&3191&4442&1533&55&1723&3670&4891&4867&1556&44&428&1287&1484&1002&4051&4654&1992&478&1041&1200&473&370&335&2285&5270&1453&1659&4109&2228&531&2134&989&2761&303&3323&3926&228&3943&2653&5154&2056&873&786&5183&5432&4896&3599&2377&20&1030&1626&579&958&2049&5608&3163&3475&2948&804&537&4432&1390&3615&647&129&2360&390&236&4292&3521&193&3558&5895&1181&422&4689&2794&4693&1243&1478&3716&2523&2260&926&961&351&3912&43&3038&949&3771&2362&955&693&146&5788&2048&1814&667&1562&5040&4781&133&1318&576&2114&76&4340&697&2225&6062&4606&4433&108&39&310&3398&886&125&3285&2638&496&1620&1920&248&250&1636&736&4434&1025&433&2102&1137&192&1867&1748&521&1866&1168&2654
276.45076847076416,173,732&176&1923&2199&3405&2870&5096&2900&3310&2384&1644&1815&1610&5645&878&3496&2498&3966&1742&2080&49&1749&3309&1198&3833&1163&1398&695&5537&3364&5504&726&2575&2050&55&4539&1534&962&1556&2719&5406&44&109&686&428&1247&1429&1579&1307&2529&478&1200&335&2890&138&3616&1098&1659&679&852&2134&989&2761&1343&303&4892&3045&3346&3926&1400&636&3962&1969&5154&2617&786&1685&3599&5285&20&1191&1030&4293&66&5332&1626&2049&3163&3475&1753&264&2948&804&3615&902&1882&105&390&3571&2748&3929&4381&198&3140&4689&4004&2794&1478&2017&961&2523&1301&1654&948&3462&490&1403&6071&1864&2362&955&693&146&1361&5788&4769&1540&1721&2345&1805&1459&251&667&2942&963&4857&133&1318&576&2114&108&4319&3813&310&4334&2828&3137&2646&2638&1751&1620&4191&2596&1218&1904&1229&2485&736&2803&3312&3715&180&1657&3866&192&1785&4973&169&3468&521&439&2654&659
263.3744537830353,178,1877&355&1675&2798&2199&1275&3405&5096&3310&2300&2384&1644&1815&2293&3613&2039&5645&101&5629&2498&1616&1742&2080&2702&2115&4137&1305&4762&1198&1973&3833&1212&1163&1398&1847&1396&1856&3364&5504&2575&2961&55&1534&4539&4891&1556&44&2055&428&4010&1535&5195&1734&1287&1002&1579&1307&2529&1992&252&478&1200&1026&4617&370&335&1850&191&2767&3930&1659&679&2134&989&2761&4330&303&4204&1765&4443&3926&382&3943&636&2653&5154&2617&873&20&1191&66&1626&3363&2049&3163&1753&2948&804&4098&620&4207&390&193&1889&3046&1703&4093&4689&4004&5312&1411&2017&2381&739&1666&948&43&4740&668&6071&3771&2024&955&693&1361&5788&4769&2048&1814&2345&4833&1707&667&2942&4062&1466&133&253&1318&2114&399&2225&108&111&39&4319&967&136&310&1648&2862&1124&496&1620&2596&1218&4694&250&3981&1229&988&736&155&4434&5254&3715&180&1657&3866&1867&1785&1748&169&4973&521&439&413&2654
268.72335171699524,155,1877&1675&2199&2870&418&3310&5572&572&2384&1644&2293&1462&1815&1603&32&31&1610&5645&1742&49&1749&1305&582&1566&2723&896&1198&1297&1163&1398&1396&5537&1856&3364&5504&3191&1286&2961&55&1534&4891&1556&428&1547&2001&1307&1992&478&1200&1026&610&370&335&138&326&1453&3095&2228&1917&1854&2761&303&2808&3926&228&1400&2653&873&3599&1222&1191&66&1626&3991&958&4344&3163&3475&1753&804&279&3266&3571&1834&2904&4093&859&3358&1019&1573&4689&4235&4004&655&4355&2017&961&2523&1666&64&3296&2376&196&4740&2683&6071&4741&2362&955&146&693&1361&5788&2244&1888&4769&1814&667&2942&133&576&2114&108&111&39&136&3813&2221&777&310&4334&4107&3147&125&654&2638&1369&1620&2596&248&1229&2485&736&4434&3715&180&1651&1657&1867&1785&169&521&1836&2654&1108
269.27935791015625,172,1877&5887&1675&2199&5096&5572&557&2384&165&1644&1462&1815&718&3613&2039&878&2498&1742&3115&1890&2338&1305&1424&582&1497&896&1198&1973&1520&1398&2635&1396&5537&1856&5504&1533&2654&2733&3232&3066&1534&1556&2949&428&686&1484&1002&2001&1307&3846&1992&478&1200&1165&335&138&191&5270&1659&4109&2228&3997&288&2134&989&2761&2267&303&2808&1765&3346&558&2653&300&1969&873&786&1075&5285&20&66&1626&3363&2826&2049&289&4400&3163&3475&1473&1753&2948&804&537&3615&129&390&236&2790&3&3571&1703&1687&1181&2336&4689&4004&2794&4285&2017&961&3716&3796&64&43&3296&490&3462&196&4740&1403&6071&1864&949&22&955&693&146&1361&5788&4769&2048&1805&1459&667&2942&1562&133&1318&576&2114&697&108&111&1377&39&4324&967&136&3813&2221&2828&3398&125&4191&2596&248&4880&3981&1636&1229&736&151&4434&3715&180&1657&3866&169&521&1025&1108
276.58319115638733,172,412&4596&1275&2870&3259&3310&2384&1644&165&1815&2293&32&3613&2039&1610&5645&2498&4402&5618&1742&2115&1749&3309&243&896&1198&1297&1398&1847&1396&5504&548&2654&4574&2050&55&3066&4539&1534&5406&5538&428&1179&1118&4180&1002&1579&1992&478&4745&1200&335&138&2285&3616&3930&2464&989&2761&303&3346&3926&606&3566&636&5154&873&3555&1354&1494&33&1548&1433&786&2871&1075&5285&2377&5131&5332&1626&289&3163&3475&1143&1753&2948&537&647&129&4159&1699&390&236&1625&3571&1181&859&4689&5421&4004&3463&2017&961&3716&948&64&2634&4740&22&6071&1864&3771&73&2362&280&693&146&1361&5788&2244&3797&2345&1805&667&963&3257&1562&1466&1318&576&2114&76&399&999&2225&5987&1733&111&4324&3813&310&4334&2862&147&145&3627&125&1445&1620&4191&2596&248&3102&4880&4813&736&3312&3715&180&1657&5508&3866&4629&192&1785&1748&2281&521&439&1866&1666
274.96555399894714,161,1877&2275&2578&2332&1675&2199&427&3310&3259&2384&1644&1462&165&1815&3613&2039&247&2498&1742&2115&1749&3309&2907&896&1198&1806&1163&1398&724&5220&5537&372&5504&1286&4369&55&930&1534&1556&2055&428&769&3213&1394&2241&4203&1547&2001&3846&1992&478&1200&335&1098&1659&2228&1388&3997&2134&2761&1605&4&4204&1765&4551&3926&1713&1476&1870&3989&2577&3900&786&1685&4754&20&1191&66&1626&579&3281&958&131&3163&440&804&537&752&3615&647&129&1882&764&3266&390&4292&3571&1834&4282&3558&2388&1703&3140&1019&4689&2750&3156&4004&1243&1478&2017&961&2523&64&3296&2593&3514&1403&949&2683&2309&2362&693&146&3138&1361&5788&2244&756&2048&98&5905&797&1814&1459&2942&3257&5040&1318&576&697&108&967&1780&1086&310&2828&125&1445&1620&1758&2485&736&4434&381&3715&2639&1785&1857&521&3466
267.7195360660553,172,1877&412&732&1675&2798&1275&5096&427&3310&5572&418&2384&1644&32&2293&3613&2039&1610&5645&247&2498&3295&1742&2451&1749&1305&801&1198&1193&5016&1163&1398&5537&3364&5504&1948&2575&55&3232&3066&2835&1556&44&428&1734&3863&2829&1307&1992&478&1200&4043&1026&473&370&335&138&3616&679&1917&2134&2761&303&4204&2314&3926&2569&1476&636&873&786&1685&3599&1075&5285&20&66&1626&958&2049&3163&3475&1753&804&537&279&390&236&4686&6078&193&2904&1181&859&1019&4689&4004&2017&3716&2523&3296&43&3462&1403&6071&3934&3771&2223&1820&2362&955&693&146&5788&1888&4769&2048&3396&1787&719&1814&1158&2942&3913&1466&133&760&1318&299&2226&2114&576&399&2225&6062&4324&1999&1780&136&249&448&310&2828&886&125&2638&1620&2859&3564&1218&4277&3981&1636&1229&2485&736&151&4434&2803&3312&3715&180&1657&192&1785&1258&169&759&2281&521&439&2654
270.7248718738556,164,1877&1675&437&2279&3310&2384&1644&165&1815&1462&2293&3613&32&2039&1610&5645&247&2498&1616&1742&1749&298&3822&906&896&1198&1692&1398&416&695&5220&1396&5537&1856&3364&5504&21&4684&2050&55&1534&4891&44&428&769&284&1002&1331&1429&2709&4533&1992&1200&475&335&191&3930&3919&4109&679&2134&2428&2761&1284&2569&1476&1400&636&2653&1969&5154&873&1685&1191&1030&66&4293&1626&3363&2049&4344&289&3163&3475&5052&1753&2193&3615&129&390&5682&1834&3558&2388&3140&4093&863&4689&4004&4285&2017&961&3716&2523&64&43&3462&949&3934&2399&3771&2309&22&2683&2024&693&146&1361&5788&2244&3797&1814&80&667&2942&963&1562&133&1318&576&2114&3098&108&111&1999&967&136&3813&952&777&3147&4107&3398&125&1620&2596&3355&4880&736&4434&3312&3715&180&1657&3866&1867&1785&3468&169&3988&4973&521&439&2654
