tdg_iter_descent[5000, 5]
time,|TSS|,sol
129.3018388748169,160,303&606&196&1758&2638&3981&5645&1424&2115&5529&1620&3715&1466&5788&299&867&3256&4721&804&3095&5537&1562&576&4109&1856&2523&3115&4230&2653&390&4369&3312&6071&4004&2049&2871&910&2391&2384&1030&3310&1877&2199&3771&136&49&5572&125&151&20&335&428&1626&1698&1198&2039&1692&1742&4041&1685&2114&4434&146&786&4319&1318&963&637&2498&2654&3865&1814&1168&2288&2942&1404&3163&2666&3930&5154&2828&769&3926&4891&1644&521&3200&472&110&680&180&1659&1675&2890&667&3813&2798&3615&3676&1478&3716&3866&108&1994&416&1654&693&1275&922&2048&1354&55&736&1882&1922&2948&1556&2293&1462&4769&4285&1992&886&5406&1181&1369&3247&3475&1792&1382&1396&579&5220&31&3613&1200&1534&2381&370&3364&1815&478&2244&382&2451&5504&4781&859&4689&2596&3398&686&1749&3066&3179&3797&1346&1636&169&3232
131.0407998561859,152,303&606&196&3045&3966&1758&2638&4324&4423&3981&2314&5645&257&1424&2115&1620&65&3715&1466&3285&699&5788&804&280&3095&654&5537&576&1856&2523&4230&390&144&3312&962&5423&4004&2049&2871&2391&2384&1030&60&250&3310&1877&2199&3771&136&5572&125&335&4355&428&1626&1698&1198&2039&1742&4041&1685&2388&146&786&4319&1318&963&2498&2654&3865&1814&2275&2288&2942&3163&1453&1974&5154&2828&5096&3568&4487&3926&3409&1209&521&3200&680&180&1659&1675&43&2890&667&3813&2798&3&1297&3866&108&111&693&922&2048&1354&55&736&228&1922&2948&1556&2293&4285&1992&886&4490&5406&1369&1286&3475&1108&1792&1396&4196&2094&3846&1548&5220&1191&31&3613&1200&3140&5168&1534&370&3364&1815&478&2244&382&2451&173&5504&4781&4766&686&1749&3066&3797&3232&3810
133.0827784538269,154,303&606&196&1758&2638&4324&3981&5645&1424&1620&967&1466&2961&5788&3571&3095&1305&5537&576&4109&1856&2523&2079&1022&2653&390&1218&3246&3312&6071&4004&2049&2871&3038&2391&2384&1030&3310&1877&2199&3771&136&949&49&5572&125&151&20&335&1626&1698&1198&122&2039&896&1742&4041&1685&2114&146&786&1318&1459&963&2654&3865&1814&1168&2288&2942&3163&3244&3930&1974&5154&2828&769&3926&4487&4880&4502&1644&521&3200&110&680&1659&1477&1675&531&43&2890&667&3813&2798&355&424&3716&3866&108&693&2048&55&736&1882&1922&2948&1556&700&4769&4285&2345&3462&1992&2875&886&5406&1181&1369&3475&1108&2281&1792&1676&1396&2094&3846&1548&579&5220&1191&3613&1200&1534&370&3364&1815&478&2244&2451&5504&859&4689&2596&686&1749&3411&3066&3179&3797&1636&697&289&3232
135.73199486732483,156,303&3634&606&196&5285&1758&3566&2638&4324&3981&5645&950&1424&1620&3715&1466&3285&5788&299&4628&3571&3095&1305&5537&576&4109&1856&2523&4230&2653&390&3246&3312&6071&4004&2049&2871&310&2391&2384&1030&60&3310&1877&2199&3771&136&4298&49&5572&20&335&1626&1307&1698&1198&2039&1287&1742&4041&1685&2114&3726&146&786&4319&1318&963&2498&2654&3865&1814&979&1168&1229&2942&2288&3163&2666&3930&1974&5154&2828&769&3926&4891&1644&3409&521&680&180&1659&4334&636&1675&2890&3813&5545&2798&1701&1478&3866&108&111&4741&693&1275&922&2048&55&736&1882&2948&700&2293&4769&4285&2345&1992&1890&886&5406&1181&1369&3475&1792&1396&2094&2485&3846&3613&1200&5168&1534&370&3364&1815&478&2244&382&2451&3514&5504&4781&859&4689&2596&2503&686&1749&3066&3797&169&64&3232&3810
132.95532822608948,160,303&385&606&5285&961&5498&1758&2638&3981&5645&3259&1620&1466&3285&3190&5788&804&4176&3095&1305&5537&576&4109&2523&4230&2653&390&4369&3312&6071&4004&2049&2871&2356&1030&2384&2087&3310&1877&2199&3771&136&4298&49&5572&20&335&1765&1626&1698&1198&2039&896&1742&4041&1685&4434&146&490&786&1318&3046&963&1557&2654&1814&1520&1168&2288&3163&2666&3930&1974&5154&6046&138&5096&769&3926&4880&4891&496&1644&521&3200&1924&680&180&1659&2425&1531&1675&2890&667&3813&2798&2615&1859&1478&3716&3866&108&1994&4513&4204&693&922&2048&55&736&1273&1882&2948&1556&2293&1462&4769&4285&2345&1992&1890&886&2145&4277&5406&1181&1369&1867&4852&3475&1108&2281&1792&1396&2094&2485&3846&5220&3613&1200&1426&370&3364&1815&478&2428&2279&2244&382&5504&4781&859&4689&2596&686&1749&3066&1636&169&3232
133.5117642879486,147,303&5285&1758&2638&4324&2723&3981&5645&3259&1424&3715&165&1466&63&5788&3571&804&5537&1562&576&4109&1713&2523&2079&4230&2653&390&3312&6071&4004&2049&2871&1445&2391&2384&1030&3310&1877&2199&3771&136&49&5572&125&151&1625&20&335&1765&1626&1930&1198&3463&2039&1742&4041&1685&2114&146&490&786&1318&1459&963&2498&2654&3865&1814&1168&2942&5629&3163&2666&2646&1974&5154&2828&5096&3568&769&3926&1644&521&3200&180&1659&4334&2890&667&3813&2798&3615&1331&1478&2581&3700&3716&3866&108&1994&1658&1654&693&922&2050&2048&2322&55&736&228&1882&1922&2948&1556&1398&964&1462&4769&2345&1992&5406&1108&1792&2094&3846&3613&1200&1534&370&1815&478&2244&382&2451&5504&859&4689&686&1749&3066&3179&3797&1636&697&169&3232&3810
129.09137058258057,155,303&1385&606&196&5285&1758&2638&4324&3981&5645&1424&2868&1620&3715&1399&1466&5788&3056&3571&3256&804&3095&5537&576&4109&1856&2523&2079&4230&2653&390&4369&3312&5131&6071&4004&2049&2871&310&2391&2384&1030&1476&1161&3310&1877&2199&726&3771&136&49&5572&151&20&335&1626&1307&1698&1198&2039&1742&4041&1685&3295&146&490&786&4319&1318&963&2498&1920&2654&3865&1814&2942&3163&3962&3930&1974&5154&2828&769&3926&4880&4891&1644&521&680&180&1659&1675&667&3813&3615&1478&5221&3716&3866&108&1994&2529&693&1275&922&2048&55&736&1882&1922&2948&1556&2293&964&1462&2345&886&5406&2309&1181&1369&3475&1108&1792&2094&3846&5220&2870&3613&1200&1534&370&3364&2228&1815&478&2244&382&2451&5504&859&2596&686&1082&878&1749&3066&4551&3515&3179&3797&1787&1636&3232&3810
135.7316529750824,159,303&961&1758&2638&2862&2091&4324&2723&3981&2314&5645&1424&5529&1620&3715&3503&1466&4180&5788&3571&804&175&5537&576&4109&1856&2523&4230&2653&390&4369&3312&6071&906&2049&1030&2384&4935&3310&1877&2199&3771&136&49&5572&125&20&335&1626&1307&1698&1198&2039&1287&423&1002&695&4041&2114&1685&146&490&786&4319&4587&1318&963&637&2498&2654&3865&1814&4012&2288&3781&2942&3163&3930&1974&5154&192&2828&769&3926&4891&1644&521&3200&680&180&1659&1675&3728&2890&667&2798&3615&1478&2221&3716&1098&108&2231&693&922&389&2048&55&736&1273&1882&1922&2948&4432&1556&1398&2293&1462&4769&2345&1992&886&193&5406&1369&1108&1396&2094&133&5220&1191&2761&3613&1200&5168&1426&3364&1815&478&2279&2244&382&2451&5504&3344&4781&859&4689&686&1743&1749&2698&3066&3179&3797&1657&1636&3232&3810
135.09815049171448,158,303&2831&606&5285&3822&5498&1758&2638&4324&2392&2314&5645&3468&4740&1620&3715&1466&3285&699&5788&3571&3095&1305&5537&1562&576&1856&2523&2653&390&4369&3312&247&6071&4004&2049&2871&310&2530&1030&2384&60&3310&2199&3771&136&49&5572&125&151&20&335&1765&1626&1698&1198&2039&1742&4041&1685&2114&4434&146&786&1805&1318&963&2826&2498&1506&2654&3865&1814&2942&2666&2646&3930&1854&1974&5154&2828&769&3926&4880&4891&1644&521&3200&180&1659&1675&2890&667&3813&2798&3615&67&1478&5221&244&3866&3178&108&1994&693&1275&922&2050&2048&55&736&2948&1556&2293&1317&4769&129&2345&1992&886&427&5406&1181&1369&3475&1108&1792&3266&1396&2094&3846&2761&3613&1200&5168&1534&370&3364&478&2428&2244&382&2451&5504&4781&859&4689&3398&686&1749&4551&3179&3797&572&1636&169&3232&3810
