tdg_iter_descent_v3[5000, 1]
time,|TSS|,sol
124.70602250099182,154,4230&963&3285&3771&5213&700&2798&49&2653&3312&4285&2050&3232&736&859&2523&1814&1200&5788&125&1749&3310&3179&1620&2114&5572&1318&1398&961&1387&2498&370&1462&2646&3981&1856&606&131&1992&1562&2279&1212&5073&1882&804&2638&3716&316&2288&3066&1229&1765&3364&2048&5129&2948&2362&2039&3163&1108&3846&1758&866&20&576&3613&1424&112&3571&1478&1890&5052&1742&1685&4324&680&5096&4235&4689&1644&521&3797&5504&3615&1534&4769&5645&1659&478&490&2069&1030&2890&2654&3475&1847&1930&1369&3715&693&2384&2424&418&3796&1792&390&1338&5110&2293&169&1466&1275&2828&303&3934&4362&3866&6071&1994&5168&4109&2942&5220&335&3115&62&759&180&1636&1476&686&1198&1307&1815&382&1675&3011&1626&3926&5537&108&1877&4754&2199&1419&1191&4434&3930&1305&1396&2345&2451&2596&4004
128.06635212898254,159,4230&963&3285&3771&1168&49&2798&2391&2164&4093&3312&4285&1891&736&859&2523&1814&5406&5788&1749&3310&3179&2114&5572&1207&1318&1398&5565&2498&38&370&1267&1462&1520&2646&3981&1856&606&2617&1992&2279&5073&1882&146&804&2638&3716&4721&3095&55&3066&1765&4891&1260&2244&3364&2048&2794&2039&3163&886&422&1108&3846&1758&20&576&3613&1181&1424&2267&3571&4369&1218&5052&1742&1556&1685&1377&680&5096&1644&521&3797&2049&5504&133&3615&4769&1659&478&636&1030&667&2890&2654&3475&1369&469&3715&693&1698&2384&3544&1792&390&2293&3459&169&1466&1275&2828&303&3813&1922&387&3866&786&6071&1994&5168&4109&2942&5220&2871&335&1429&180&1636&4298&686&1198&1307&1815&284&1675&726&2690&1626&3865&3926&5537&108&192&1877&4754&2199&1228&1191&4434&3930&1305&1396&4319&2451&136&2666&2596&4004
125.34658336639404,159,963&3285&3771&1168&2798&2428&4285&3232&736&859&2523&1814&5406&1200&4967&5788&1749&2835&3310&3179&1620&2114&3810&1222&5572&1318&1398&2498&370&1462&2646&3981&1856&606&1992&1562&5073&1882&2094&146&804&2638&3716&2288&3200&55&4487&3066&1229&923&1974&2244&3364&2048&2948&2039&3163&886&1108&3846&1758&20&855&576&3613&1181&1424&3571&4369&1890&5905&1742&1556&1685&4324&680&5096&4689&1644&521&1610&3797&2049&5504&3615&1534&4769&4880&1659&478&1094&3833&1030&667&2890&769&2654&3475&1369&693&1698&2384&353&1792&390&902&2293&5154&169&1466&1275&2828&303&3813&3866&786&247&6071&5168&4109&2942&5220&2871&335&151&180&1636&3470&686&3867&1198&873&1307&1815&382&1675&1654&1626&3926&5537&108&1649&5285&192&2199&4781&4434&3930&1305&4825&1396&2345&2451&136&2666&2596&415&4004&3823
127.72602200508118,152,4230&963&3140&3771&1168&49&2653&2391&2798&3312&4285&736&859&2523&1814&5406&1200&5788&125&1749&3933&3310&2201&1620&2114&5572&1318&1398&2498&2360&370&1462&2646&3981&1856&606&531&1992&1882&2094&146&804&2638&3716&2288&3200&3095&55&3066&279&427&1765&2244&3364&2048&2948&3163&886&1108&1758&20&576&3613&1181&1424&3571&4369&1742&1556&1685&4324&4235&4689&1644&521&3797&5504&3615&3616&1541&1534&5618&173&4769&5645&4880&1659&478&1850&1030&667&769&2654&2444&3475&1930&1369&3715&693&1698&1454&2384&1792&390&2293&198&169&1275&2828&2575&303&3813&1922&3866&786&3256&2942&4109&5220&2871&335&151&180&4298&686&1198&629&1307&382&1193&1675&726&6108&1626&3865&3926&5537&108&192&1877&2199&1191&209&4434&3930&122&1305&1396&136&2451&2666&4004
125.86592769622803,153,4230&963&2145&1081&3771&1168&49&2798&2391&3312&4285&736&859&2523&1814&1200&5788&125&1749&3310&2201&1620&2114&3810&5572&3705&1318&1398&2498&370&3904&2646&3981&3411&557&2859&1992&1562&1212&1882&146&804&2638&3716&2288&3066&1765&1229&1974&2244&3364&2048&2948&2039&3163&886&2719&1108&3846&1758&76&2278&20&5177&576&3613&1181&1424&4369&1742&1556&1685&4324&680&5096&1286&4689&1644&521&3797&2049&5504&133&3615&2773&3913&4769&5645&4880&1659&478&490&667&2890&769&2654&3475&385&693&1698&2384&32&1792&390&2336&2293&5154&169&1466&1275&2828&303&3813&3866&4098&6071&1994&5168&4109&2942&5220&2871&335&151&310&1429&1636&686&1198&873&1626&3865&3926&5537&108&1649&4139&1877&2199&4781&1191&4434&3930&1305&1396&4319&2451&136&2596&1273&494&4004&2485
128.09751391410828,164,4230&963&111&2870&3771&2798&49&2653&2391&3312&4285&3232&736&859&2523&1814&458&5406&1200&3885&5788&125&1749&4986&3310&3179&1531&1620&2114&3810&5572&1318&1398&2498&370&1462&2646&606&1992&1562&3542&1882&146&804&3716&3754&2288&55&4487&3066&4891&3396&923&2244&4635&3364&2048&2948&2039&3163&886&2719&4655&1108&3846&1758&2341&20&1780&138&576&3613&1181&1424&3571&4196&1890&5052&1712&1742&2159&1556&1685&4324&1860&680&5096&1286&4689&1644&521&1751&3797&2049&5504&3615&5645&4880&1659&478&3409&1119&667&2890&3654&2654&1369&3715&693&1698&2384&32&3859&308&4040&1792&390&4204&2293&5154&1275&2828&303&3813&1922&2569&786&6071&310&5220&2871&335&151&2080&180&1636&3599&686&1198&1307&1815&428&1675&1626&3926&5537&108&192&1877&1266&2199&4781&1191&4434&3930&1305&1396&2345&2451&136&2666&475&1026&4004
127.15438199043274,153,6023&4230&963&3285&3771&1354&1168&2798&2391&3312&4285&473&3232&736&859&2523&1814&5406&1200&1005&5788&125&1749&4277&3310&1620&2114&4937&5572&1318&1398&2498&370&1520&3981&606&1992&1562&1882&2094&146&804&2638&2288&3200&3095&55&4487&3066&427&4891&1839&1974&2244&3364&2048&2948&2039&3163&1108&3846&1758&20&3465&576&3613&1181&3571&4369&1478&1890&5052&1742&2892&680&1644&3797&2049&5504&3615&3468&248&1534&4004&5645&1659&478&3409&2017&516&1030&667&2890&769&2654&3475&760&3715&693&1698&2384&1792&390&2293&5154&198&169&1466&1275&2828&303&3813&1922&3866&786&6071&655&4109&5220&2871&335&151&180&1636&686&731&1198&1307&1815&382&1675&1626&3865&3926&5537&108&5285&1877&192&2199&1403&4781&2530&4434&3930&1943&1396&2345&2451&136&2666&485&2079
127.4574613571167,160,963&3285&2870&3771&1168&49&2391&3312&2050&736&2523&1814&3886&1200&125&5788&1749&1027&3310&3179&1620&2114&4293&1318&1398&961&2237&2498&334&370&1462&2646&3981&1856&3295&1573&1992&1562&1882&2094&1287&146&804&2638&3716&280&3398&3200&3095&4487&3066&1765&1974&2244&3364&2048&5291&2948&2039&3163&886&1365&1108&3634&866&1758&20&576&3613&1181&1424&3571&4369&1742&1685&4324&1787&852&680&5096&4689&1644&521&3797&2049&5504&3615&1534&5618&5645&1659&478&1022&1030&1301&667&2890&1028&769&2654&3475&1369&3715&693&1698&2384&1792&390&5154&654&169&1466&1275&303&3813&1922&387&3866&786&5168&4109&5220&335&151&719&180&559&4180&686&3462&1198&3191&43&5977&4183&1815&351&1675&2529&1654&1626&3865&3926&5537&108&110&5285&1877&3883&2199&4434&3930&136&4319&2451&2596&1273&1431&4004&896
127.9422996044159,150,4230&3140&3771&700&4295&2798&49&3312&3232&736&2523&1814&1200&1297&125&5788&1749&3310&1620&2114&3810&5572&4852&1318&1398&5941&1041&2498&5221&2007&370&1462&1520&2646&3981&1361&1992&1562&1882&804&2638&3200&3095&55&228&2244&3364&2048&2948&2039&3163&886&1108&3846&1758&866&20&3465&576&3613&1424&3571&1048&4176&1742&1556&1685&680&5096&4689&1644&521&3797&2049&5504&133&3615&3912&5645&4880&1659&478&3409&4400&490&3027&1030&2055&667&2890&769&3475&385&1369&469&3715&693&1698&2384&1792&390&2336&2293&5154&1019&169&1466&1275&2828&3900&303&3813&3866&786&6071&2942&4109&367&5220&2871&335&647&3568&180&1636&686&1198&1815&1675&1626&3865&3926&5537&108&4432&1877&2199&4781&1191&1943&1396&2345&2451&136&2666&2596&1273&926&2485&3823
125.85819554328918,159,4230&963&3771&1168&49&2653&2391&2798&3312&4285&707&3232&736&859&2523&1814&5406&1200&5788&125&1749&3310&3179&1620&2114&5572&1318&1398&2498&679&370&1462&2646&3981&606&289&131&1992&1562&1882&4510&1352&146&804&2638&3716&2288&3200&55&1765&4891&1974&2244&3364&4890&2048&2948&2039&3163&886&1108&3846&20&635&576&3613&1181&1424&4369&1478&1890&1742&1556&1685&4324&5096&4689&1644&521&1582&2847&3797&2049&5504&3615&1534&129&4769&5645&257&1659&478&1030&667&769&2654&3475&3715&693&4405&2657&2384&1792&390&2336&2293&5154&169&1275&2828&303&3813&1922&3866&786&6071&1994&2942&4109&3256&5220&2871&335&3115&151&180&1636&686&1198&629&1307&1815&3259&1675&726&1626&1924&3865&560&3926&5537&108&3991&5285&192&1877&2199&4434&3930&1305&1396&2345&2451&4319&2666&136&2596&4004&949
123.17454957962036,159,4230&963&3140&3771&777&1168&2798&2653&2391&3312&4285&3232&736&859&2523&1814&5406&1200&659&5788&125&1749&4277&3310&3179&2114&3810&5572&4852&1398&4041&2498&370&1462&2646&3981&1856&606&1039&1992&1562&146&804&2638&3716&489&55&4487&3066&4891&2244&3364&2048&2948&2362&3163&886&73&1108&3846&1758&238&20&576&2938&3613&1181&1424&3571&979&175&2952&4369&1478&1742&1556&1685&4324&680&4689&1644&521&1751&3797&2049&5504&3615&1534&4769&5645&4880&1659&478&4400&1920&1743&667&2890&769&2654&3475&385&3715&693&2384&703&1792&390&2293&1466&1275&2828&303&3813&3866&2337&786&6071&310&1994&4109&2942&5220&2871&335&3115&151&647&180&1636&686&1198&1307&1815&1675&1626&3865&3178&5537&108&878&5285&192&1877&2199&4781&3930&938&1396&2345&2451&4319&136&922&2596&3732&4004&2485&3699
125.95876860618591,153,4230&963&3771&2798&49&2653&1972&2391&3312&4285&3232&736&859&2523&1232&1814&5406&1200&5788&125&1749&3310&3676&3179&4005&1620&2114&3810&1222&1346&5572&1318&1398&60&2498&370&1942&2646&3981&1856&606&1992&5073&1882&2094&146&804&2638&2288&3200&579&3095&55&3066&279&1765&1974&2244&3364&2048&2948&2039&3163&1108&3846&1758&20&576&3613&1181&1424&3571&4369&1478&1742&1556&4324&680&1644&521&3797&2049&5504&3615&3102&1534&4769&5645&4880&1659&478&636&1030&667&2890&769&2654&1415&3475&1369&3715&693&1698&2079&2384&1792&390&2293&5154&169&1466&1275&2828&303&3813&1922&3866&786&6071&2597&2942&4109&5220&2871&335&180&1636&4298&4788&686&1198&2826&1307&1815&1675&1626&3865&3926&5537&108&192&1877&2199&4434&3930&1305&1396&136&2451&2596&98&4004&896
128.56911396980286,161,4230&963&4340&3771&1168&49&2653&2391&2798&3312&4285&3232&736&859&2523&1814&5406&1200&5788&125&1749&3310&3179&4536&1620&2114&3810&5572&1318&1398&2498&370&1462&2646&3981&1856&606&1992&1562&3542&1882&2094&146&804&2638&3716&2288&3200&3066&2376&279&1765&4891&1974&2244&3364&2048&2948&2039&3163&886&1547&1365&1108&3846&1758&20&576&3613&1181&1424&3571&4951&4369&1478&1890&1742&1685&4324&680&5096&4689&1644&521&2388&3797&2049&5504&3615&3468&1534&129&4769&5645&1659&478&490&1030&667&2890&769&2654&3475&1369&3715&693&1698&2384&4095&1792&1234&390&4587&5154&4815&169&1466&1275&2828&303&3813&1922&3866&786&6071&2942&4109&5220&2871&335&151&180&686&1198&43&1307&1815&2158&1675&1626&3865&2252&3926&5537&108&5285&192&1877&697&2199&1228&4781&3930&1441&1396&4319&2451&136&2596&415&4004
127.91566514968872,160,4230&963&1143&3771&1354&2798&49&2653&2391&4285&3232&736&859&2523&1814&5406&1200&5788&125&1749&3310&3179&1620&2114&3810&5572&1318&1398&2498&370&1462&2646&3981&1856&289&1361&1992&1562&1882&554&2094&3979&146&804&2638&3716&3398&2288&3095&55&3066&1229&4891&2244&3364&2048&2948&2039&3163&1108&3846&1758&20&637&576&3613&1424&3571&175&4369&1742&680&4689&1644&521&3797&5504&133&3615&1534&4769&5645&4880&1659&478&1850&490&636&2231&2823&1030&667&2890&769&2654&3475&1369&469&3715&693&1698&2384&1792&5131&390&2293&251&169&1466&1275&2828&303&1922&3866&786&6071&1994&2942&4109&5220&2871&335&151&4033&958&180&1636&686&1867&1198&1307&1091&1815&382&1675&3863&1626&3865&3926&5537&108&192&1877&2199&386&1191&4434&3930&3946&1396&2345&2451&4319&2666&136&2596&2639&4004&1973&896
128.79116368293762,161,4230&963&3285&3771&700&1354&1168&49&2653&2391&2798&3312&1537&4285&2050&3232&736&2523&1814&1200&5788&125&1749&1533&3310&1620&2114&5572&4433&1318&1398&825&2614&2498&381&370&1267&2646&289&424&430&1882&2094&146&804&2638&3716&280&2288&3200&55&3066&1229&1765&4891&1548&1974&2244&3364&2048&2948&2362&2039&3163&886&1108&3846&1758&20&5113&1780&576&1394&3613&1181&1424&3571&4369&1742&1556&1685&4324&1040&4279&680&5096&4689&1644&3797&2049&5504&3615&1534&4769&5645&1659&478&516&1030&667&2890&769&2654&3475&1369&3715&693&1698&2384&1792&390&1338&2293&5154&1141&1466&1275&2828&303&3813&1922&3866&786&6071&5168&2942&3190&5220&2871&335&3115&151&180&1636&686&1198&873&1815&1654&1626&2396&3865&2710&3926&5537&108&1877&2199&4781&1191&2343&4434&3930&1396&136&2451&2596&475&4004&1973&949
127.67788338661194,154,4230&963&3771&5775&1168&49&2653&1972&2391&823&3312&4285&3232&736&859&2523&1814&458&1200&5788&1749&3310&165&3179&1620&2114&3810&5572&1318&1398&2498&370&1942&2646&3981&1856&606&1992&2279&4513&1882&2094&146&804&1864&55&4487&4891&1839&8&3364&2048&2948&2039&3163&1547&2719&1108&1758&4875&576&3613&1181&1424&801&2952&4369&1890&1742&1556&1685&4324&680&5096&4689&1644&521&3797&2049&5504&3615&1534&129&4769&5645&4880&1659&478&2088&636&1030&667&2890&769&2654&3475&39&1369&3715&693&2384&1792&390&2293&169&4472&1466&1275&2828&303&3813&786&6071&2942&4109&5220&2871&335&3115&151&226&180&559&686&1198&873&448&617&3228&1815&382&1675&2529&1626&2396&3865&3926&5537&108&964&110&5285&1877&2199&1943&1396&2345&2451&4319&2666&136&2596&4004&699
