tdg_iter_descent[5000, 2]
time,|TSS|,sol
236.33568739891052,422,2649&1371&4744&4294&850&2552&5326&2173&5691&1792&1116&2574&6231&3966&72&6344&1359&350&89&191&3267&2002&4894&2510&284&956&169&5399&4266&488&2912&2623&915&1205&2478&157&3645&4479&88&2487&1974&1487&39&3912&3041&292&2147&2499&2437&3419&6017&1427&7014&5885&148&5764&1119&2534&3536&352&2887&6074&3868&6331&1266&219&1231&7154&6531&5704&1981&2667&1388&1791&5825&8198&3651&22&790&2539&2097&80&184&5126&982&327&3655&785&34&5483&2220&3417&7765&567&420&3398&5609&4103&4835&5105&507&1647&1627&5111&607&54&111&2321&5100&948&1330&1218&709&1513&2166&854&3006&28&2773&51&7942&1444&373&2893&6606&1869&244&5593&2117&1350&4065&666&3156&5680&1732&4630&3366&4151&4360&5077&2417&115&3434&6844&3000&6039&7421&1311&719&426&4228&983&2352&590&1886&2190&4740&2111&3339&2577&5561&7886&3636&1988&390&3037&3128&3761&2625&2762&1281&2797&1451&4566&2092&3658&2861&2081&353&173&6365&5157&175&5260&6256&7623&6863&446&3744&1697&3436&6962&2171&7562&1674&2302&6700&4690&2470&1728&512&1392&6144&2826&6861&6321&4745&3596&2936&5482&4414&368&369&3713&3804&4971&4639&2146&2222&6259&2492&1527&965&4183&1247&7671&1207&3740&4338&1992&1154&3906&6061&4194&2590&1807&2880&834&6262&3851&694&1187&2006&3221&889&139&1322&5114&4986&4442&67&2789&299&7543&3533&5683&3581&5246&2516&1672&2336&1181&499&3936&1016&5872&806&4937&6221&7020&1618&204&6657&1384&5726&1283&7941&5610&3080&1157&411&1581&3771&7514&5430&2519&3857&7125&730&776&1713&200&3112&4352&2665&3194&2485&1290&3964&3673&354&1990&2686&3091&4844&1547&748&2613&4325&2315&44&1729&5685&903&6115&6889&1274&4798&178&2380&5812&6574&5522&1303&3859&5108&4043&7949&7420&1067&3517&3071&2823&7658&924&2900&5877&7854&2909&6046&4322&2771&1449&1024&3969&1987&553&1945&1890&687&215&4952&2452&2829&8534&2986&1441&3623&3126&152&7533&4293&1920&3214&5816&2149&3927&5174&4375&3121&5227&3019&1152&3139&7354&3120&7203&4621&988&2781&634&2558&916&1659&5409&6693&2828&1219&1027&5778&2057&6163&2217&6637&1432&1942&7849&4268&27&7378&655&307&6836&5765&7503&558&2898&3356&3579&4823&112&2316&4976&159&7951&688&1437&1884&5501&1631&3889&1864
236.94584798812866,430,2649&1371&6073&4294&2552&2173&1194&1792&1116&2574&5859&6231&3966&4161&72&6344&350&89&191&2002&4894&2510&7537&4164&169&5399&465&4283&4298&488&3648&1205&157&3645&4479&88&2487&1974&3041&2642&292&1258&1246&2024&2499&2437&3419&813&1427&234&5915&5885&5764&148&4105&6096&2534&3536&352&2887&6074&2429&4021&1266&401&4961&7154&6531&1981&1348&2667&1138&1791&4951&6487&3838&22&2725&790&2539&2230&2097&2278&80&184&5126&982&4670&698&2415&3655&6556&2612&4027&3417&7765&420&3398&0&1426&8286&5609&6361&4103&4835&2722&4520&4635&7521&507&1647&1627&607&10&54&580&111&1803&2321&948&2675&1330&1218&1970&1513&2902&854&3006&2215&7197&679&373&4251&6606&1869&630&244&360&4698&6892&666&2242&846&3156&1732&4630&843&1796&4151&1391&5077&4360&115&5530&876&3434&2782&4898&6039&822&8330&7421&1311&719&3402&1935&426&4228&2352&4307&1886&2190&7262&4740&3867&3339&8218&4285&406&5561&1988&3037&390&3128&2625&1451&3658&3805&2861&2081&353&173&175&6468&6739&798&2365&7623&446&5604&1282&1697&4805&6962&3436&2171&7562&4353&3547&2302&6700&4690&4888&1728&512&5974&1392&6494&2826&5090&6861&6321&6448&2502&2936&369&3713&280&4971&799&2146&2222&1190&1527&4183&1247&3793&3740&1217&1992&1498&1154&6061&2590&824&4132&4471&2880&64&220&221&7818&3851&694&6072&258&3288&6446&3221&3723&889&5114&2027&6101&1731&2789&1540&3533&1214&5683&3581&5246&5671&2516&1672&3377&2085&499&417&3936&7193&806&6807&6221&7020&1927&1618&204&1891&6657&1384&5726&2817&2211&3256&3080&3771&7514&5430&3857&337&2840&1946&730&200&3112&1290&1583&2638&1798&1990&4850&7045&2686&5478&4844&3668&4325&4423&4896&870&1666&7838&1729&903&6115&6889&4798&178&2380&5812&1225&3261&1303&8615&3608&6490&5147&3071&657&2823&7578&195&2900&5877&6046&4322&2771&1339&1024&3969&553&3022&687&215&5802&1716&6407&8534&2829&1985&2986&1441&3623&3758&4158&7533&6027&3214&5816&2149&3927&1095&2731&3999&3121&5227&3019&198&3607&1989&3139&2561&3120&6139&4216&988&551&634&2781&1701&4560&2558&2265&1659&6693&1219&5929&1904&4949&5784&6163&529&1942&1404&6251&7716&1432&7849&27&655&6836&5765&558&3356&3579&4823&112&3961&159&688&1437&1884&3509&5501&1304&3889&1864&289&579
238.04694724082947,467,3347&4294&850&2552&2654&2173&1194&1792&2347&6216&1116&2574&588&6231&5859&6893&5372&3966&72&6344&1359&350&4748&89&3267&2002&4894&2510&3980&956&169&5399&465&4266&4298&488&2881&3648&2623&915&2912&672&1205&3645&4982&88&4479&1974&157&1273&2487&39&3041&292&880&247&1246&2499&2437&3419&6017&1427&7014&5885&148&5764&4105&2534&3536&2640&2887&352&6074&3868&6331&2429&1266&401&2301&219&1209&6531&1981&1348&2667&4525&1388&5825&4951&1002&2115&22&2725&790&2097&80&6954&2537&184&5126&4670&327&3104&698&2415&3655&6556&2612&3945&34&5483&3417&7765&420&3398&0&1426&341&5609&6361&4835&23&5105&616&4635&1647&1627&5111&607&54&580&111&2321&5100&1268&948&2675&1330&1218&1970&1513&854&3006&28&3672&373&2893&1869&6845&1178&244&4698&5648&7117&3156&1732&1111&4630&1091&4035&3366&4151&4360&5077&876&3434&4898&640&6844&822&6039&7421&6479&5241&1311&6964&404&3402&1935&426&2352&1886&2190&7262&4740&2111&2577&4330&4285&5561&3636&1988&390&3037&3128&3761&2625&2762&1480&1281&1249&458&4566&2092&3658&2861&2081&353&173&175&5260&6468&4532&3396&7623&446&3744&1282&1697&4805&6962&3436&6004&1639&1674&2302&2684&6700&4690&4888&512&5974&1392&6144&6141&2826&4362&5521&6494&6861&6321&4745&7240&3596&3475&2936&5482&369&3713&3804&4971&4639&2146&2222&2492&1527&4183&1247&1207&1878&3740&1498&1992&1154&680&3906&6061&4194&4471&2455&143&4132&2880&8461&221&6262&4488&3851&694&3288&6446&3723&889&4887&5114&4986&6101&2789&1540&3533&5683&3581&5671&2516&1458&2336&1181&3932&4749&2598&499&417&3936&5056&3762&6307&1538&3732&7193&5872&6221&806&7020&1927&1618&204&6657&1384&5726&351&2817&7941&5610&3080&1157&3771&1581&7514&5430&3857&337&5355&1946&730&200&3112&3694&4352&2485&3242&1290&1583&1990&4850&2686&5575&559&4844&1547&2613&4398&4325&455&3718&870&858&1729&903&6889&4798&639&178&2380&5812&6574&5522&1303&1121&4611&1063&3239&8246&6490&3071&2704&6076&7658&195&2900&5877&4322&2771&1024&3969&553&1945&1890&687&1789&215&2452&2829&8534&1985&2986&3623&3126&1628&3758&7533&6027&1920&3214&5816&2149&3927&5174&4375&3121&5227&3019&4667&1152&198&291&1989&3139&7354&3120&7203&4216&988&4621&634&2781&1701&2558&6693&1659&5409&1219&5929&1027&5784&2057&6163&2217&529&1942&1404&1432&27&7378&655&397&307&6836&5765&7503&558&3356&3579&4823&2244&6524&112&2713&159&1631&688&1437&248&5501&7951&2642&1864&579
233.8368434906006,463,2649&6073&4744&4294&2552&5326&2173&1194&1116&2574&588&6231&3966&4161&72&6344&1359&89&191&2002&4894&3248&4313&284&956&878&169&5399&4283&4464&2881&3648&2158&2623&915&2912&672&1205&4479&4982&88&3645&1974&5282&1273&2487&3041&292&6499&880&1246&964&2147&2499&2437&6017&813&1427&7967&7014&5885&148&5764&4105&5249&1119&2534&43&3536&2887&352&6331&4923&2429&4021&1266&401&4961&1231&7154&2527&1209&6531&532&5704&1348&11&2667&4525&1388&1791&4951&5825&1002&4942&855&2115&2725&1858&790&3431&68&2097&80&184&5126&4670&698&3104&2415&785&477&2612&34&3417&7765&420&3398&5180&1426&8286&6361&341&5609&5105&2722&4635&5017&1647&1627&5111&607&54&580&111&2321&5100&1268&948&2675&1330&854&3006&28&7197&679&373&2893&1869&6845&244&2340&7117&3156&5680&434&4630&1732&1111&3366&4151&5077&115&876&3434&4898&6844&2231&822&8330&6479&1311&6964&719&3402&1935&426&4228&983&2352&4740&2111&2577&4330&1828&4285&406&5561&7886&3636&1988&390&3037&2625&3761&2762&1480&1281&951&1537&2092&3658&2861&2081&353&173&644&5157&175&5260&6468&4532&2365&7623&2023&446&3744&5604&3679&1697&6962&4805&3436&2171&7562&3752&1674&7331&2302&6700&4690&4888&512&5974&1392&6144&6141&2826&4362&6861&6321&4745&6448&8309&3596&1146&369&5482&3713&5745&4639&2146&2408&2222&297&1527&4183&1247&7671&1207&804&4338&1217&1992&1498&1154&467&2824&4400&6061&3906&2590&824&4471&1807&2880&221&1584&6262&3851&694&5032&3288&6446&3221&889&4692&4887&139&1604&909&5114&4986&6101&2789&7543&1540&3533&5683&3581&5671&2516&1672&1458&2336&1181&4749&2598&499&417&1538&3732&5872&806&4937&6221&557&7020&1927&1618&204&1384&2817&5610&3080&411&3771&1581&7514&5430&3857&337&5355&1946&730&5565&1713&200&3112&4352&2665&2485&1290&1583&2638&1990&4850&2686&1547&4398&3668&4325&2315&3718&44&1729&5685&903&6115&6889&178&2380&5812&6574&1303&3859&1121&2768&4611&2423&8246&7420&3071&826&2823&1014&7578&195&2900&5877&6046&2771&1024&3969&553&3022&1945&687&215&2452&2829&1985&2986&3623&3126&2579&7533&6027&4293&1920&3214&5816&2149&461&3927&5174&5631&4375&3121&5227&3019&198&1152&1989&3139&7354&3120&2561&4216&988&2781&634&1701&4560&2558&5299&1659&916&6693&4949&1027&2057&6163&2217&529&1942&1404&1432&7849&4268&27&7378&655&6836&5765&7503&558&3356&3579&4823&112&452&2713&159&1631&688&1437&1884&5501&7951&7279&2642&1864
241.675377368927,426,6073&4294&2848&1617&2552&5326&2173&1194&2347&1116&2574&588&6231&4901&5005&3966&72&1359&89&191&4894&5399&465&4283&4266&4464&488&2881&3648&2623&2912&672&1205&157&3645&4680&88&1273&2487&3041&292&5927&6499&880&1246&52&2499&2437&3419&6017&1427&234&5915&5885&5764&148&4105&1119&2534&4671&3536&2887&352&6074&6331&6341&2429&4961&2301&1231&219&7154&6531&5704&1981&1348&2667&4525&1791&3838&2115&22&2725&790&2539&2097&1105&80&184&982&327&3104&698&2415&3655&785&1040&2612&34&5483&767&4027&3421&3417&7765&420&3398&0&8286&341&5609&4103&4835&2813&2722&4635&1647&1627&5111&818&607&54&111&2321&1268&948&1330&1218&709&2902&854&3006&28&679&6026&7814&373&4251&2893&6606&1869&6845&2179&244&5245&4698&5670&3156&5680&1732&1111&4630&1564&4151&4360&5077&1660&876&3434&6844&822&8330&719&3402&1935&426&4228&983&2352&1886&2190&7262&4740&2111&2577&1414&4285&3636&1988&390&3037&3128&2762&1480&951&2092&2861&353&173&175&5260&6468&6739&3396&7623&3744&5604&1282&1112&1697&4805&6962&2171&1674&2302&6700&4888&1728&5974&1392&2826&5090&4627&6861&6321&4745&3596&3475&7220&369&3713&1183&4971&4639&2408&773&2222&1614&2492&1527&4183&1247&4338&1498&1992&3317&3906&4194&2590&824&4132&4471&1807&2880&221&6262&1822&3851&694&6072&5032&3288&31&3221&889&4692&6714&139&4887&4986&6101&2789&133&1540&3533&4121&3581&6471&1458&2336&3377&499&5056&1538&5872&806&6221&1927&1618&204&5726&2817&1293&5610&3080&1157&1581&7514&5430&2519&3857&337&2840&1946&730&200&7757&3112&4352&3242&1290&3964&1203&1885&2686&5478&5510&4844&1547&4398&4325&5767&1666&1729&903&6889&4798&639&178&2380&5812&6574&1225&1303&3859&4611&3387&46&7420&311&3517&2704&3071&2823&1014&3195&7578&195&2900&5877&4322&2771&1449&1024&3969&553&3022&1890&1945&687&215&2452&2829&8534&2986&3126&1011&3758&2579&7533&1920&3214&5816&2149&900&3927&5174&5631&3121&5227&3019&198&1152&1989&4621&7354&3120&2781&4216&988&1701&634&4577&2694&2558&6693&1659&1219&5929&4949&2057&6163&2217&529&1432&1404&7849&156&27&7378&307&6836&4465&5765&7503&558&3356&3579&4823&112&3961&2713&5117&159&688&1437&1884&1631&5501&545&1304&1541&7279&2642&1864&579
236.22714972496033,463,1535&6073&4744&4294&6525&2552&2173&1194&1792&1116&2574&3989&588&887&3966&72&6344&1359&89&191&2002&4894&2510&7537&284&5399&465&4283&4266&2158&488&2881&672&2623&1205&157&3645&4479&88&1273&1974&2487&39&3041&2642&292&6499&880&1246&2024&2499&3419&6017&1427&234&2387&7014&5885&148&4105&1119&2534&43&3536&352&6074&3311&6331&2429&1266&401&4961&219&1231&7154&6531&532&5704&1981&1348&11&2667&1138&1791&4951&5825&1002&2115&22&597&2725&790&3431&2097&2537&4670&327&3104&698&2415&3655&785&2612&34&5483&3417&7765&420&0&1426&8286&341&6361&4154&5105&2722&4635&507&1647&1627&5111&607&54&111&2321&5100&1268&948&1330&1218&2902&1513&854&3006&28&7197&679&7942&373&2893&6606&1869&8134&8539&244&360&666&569&79&3156&5680&434&4630&1732&5661&4151&4360&5077&115&876&3434&4898&4210&822&2466&7421&6479&1311&6964&719&404&1935&426&1153&4228&983&2352&1424&1886&2190&4740&2111&2577&1414&5561&3636&1988&390&3037&3128&3761&2625&2762&1480&1281&951&3991&4566&2092&3658&2861&2081&353&173&6365&1230&175&5157&5260&6468&6739&3396&7623&6863&446&3744&158&5604&1282&1697&4805&6962&3436&2171&7562&2302&6700&1728&1392&6144&4362&2826&1103&6861&6321&4745&6448&8309&3596&7220&369&5482&697&5745&5699&4639&2146&2408&2222&2492&1527&4183&1247&7671&1207&804&3740&7247&1498&1992&1154&3906&4194&2590&2957&4471&4132&824&2880&221&6262&7818&3851&694&3288&3221&889&4692&139&1604&5370&5114&4986&6101&2789&7543&1540&6471&3581&5246&5683&1672&1458&2336&1181&408&4749&2598&417&1016&3936&5056&7193&1538&3732&5872&806&6221&7020&1927&1618&6657&1384&5726&2817&5914&7941&5610&411&1157&3771&1581&1656&5430&3349&3857&337&7125&1946&730&5355&5565&200&3112&4352&2485&1290&2638&3673&1990&4850&2686&5478&5510&4844&1547&2613&4398&3668&2315&870&7838&44&1729&903&2343&1979&6889&4798&178&2380&5812&6574&1303&1121&2768&4611&2423&3159&6490&1067&3071&2704&826&2823&3195&7658&7578&195&6223&5877&2900&4322&1449&1024&553&3022&1890&1945&687&7243&215&2829&1985&2986&1441&3623&3126&3758&1917&7533&6027&4293&1920&3214&5816&2149&900&3927&5174&5631&3121&5227&3019&198&1152&6607&3139&4621&3120&2561&4216&988&2781&634&2558&5299&1659&1219&5929&4949&5784&1027&2057&6637&6163&2217&529&1432&1404&27&7378&655&307&6836&5765&7503&558&3356&3579&4823&8087&6524&112&452&159&5501&1437&1304&1431&3889&1864&579
238.7826633453369,402,2649&4744&4294&1617&2552&7943&2173&1194&1792&1116&3989&2844&588&6231&4901&6893&4161&72&6344&1359&89&191&2002&4894&2510&3248&732&169&5399&465&4266&488&2881&672&2623&1205&157&4479&2487&88&39&1974&292&3842&880&1740&1246&1056&2499&2437&3419&1427&234&7014&5764&148&4105&5249&1895&1206&1119&2534&3536&352&2887&2429&3902&1266&6082&401&1231&3245&7154&6531&532&5704&11&2667&4525&1138&1791&1002&2725&790&4625&2097&2278&80&4726&6954&5126&3104&2415&3655&785&6556&2612&34&3417&7765&420&1426&8286&5609&4835&4635&507&1647&1627&5111&2426&607&54&10&4641&111&1268&1330&709&1513&854&28&373&2893&1363&1869&244&1678&4698&666&569&3156&5680&1732&434&4630&4360&5077&115&876&3434&6844&6039&822&8330&5241&1311&3402&426&983&1886&2190&7262&4740&2111&3867&6047&2577&4285&5561&3636&1988&390&3037&3128&1281&1537&3991&2092&1723&2081&173&6365&3442&175&5157&5260&6468&4532&3396&7623&446&3744&5604&1697&4805&6962&3436&1674&2302&6700&4690&1728&512&5974&1392&6494&2826&6861&6321&3596&3475&1146&2936&5482&369&5699&4639&2146&2222&1527&4183&1247&1207&356&3740&1498&1992&1154&3906&4194&2590&468&5383&4471&4132&824&1807&2880&221&6262&3851&694&1187&5032&3288&6446&5852&889&4692&6714&139&909&4986&6101&2789&1540&5683&3581&1672&4653&4503&1458&1181&2336&2085&499&1016&417&7193&518&5872&806&6221&1357&1927&1618&204&6657&1384&5726&4824&2817&5610&3080&1157&3771&1581&7514&5430&967&2519&3857&337&5565&3112&2485&712&1290&3874&4850&2686&3091&1547&3668&4325&2184&870&1666&7838&44&1729&903&6889&178&2380&5812&1303&1121&3604&1063&5188&7420&311&3071&826&2823&2200&7578&195&2900&5877&6046&4322&2771&1449&3969&553&3022&1890&1945&687&136&215&2829&2986&1441&3623&3126&1628&3758&7533&4293&3214&5816&1800&2149&461&3927&5174&3019&198&1152&7981&1989&2781&7203&4216&988&1701&634&4498&4560&2558&6693&5409&8288&5929&4949&2057&6163&2217&529&1942&1432&27&7378&655&3854&6836&5765&5413&7503&558&3356&3579&4823&8087&112&3692&808&159&5501&1437&248&1884&1304&1431&5096&2642&1864&579
239.89277458190918,410,2649&2775&4294&2552&2654&294&2173&1194&2347&1116&2574&588&6893&5005&5372&72&6344&1359&350&89&6969&191&1730&4894&956&169&5399&465&4298&2158&488&2623&1205&157&3645&4479&88&1974&1361&3041&2642&292&880&6378&2499&2437&3419&6017&1427&234&5885&5764&4105&3536&352&7449&8120&6331&2429&1266&401&1231&7154&4624&2527&5704&1348&2667&1222&1791&2809&2115&3082&2725&790&2539&2230&2097&80&2940&2537&1799&184&4670&698&3104&5884&2415&785&3655&6539&2612&5483&2220&3417&7765&420&3398&1426&8286&6361&5609&341&5247&5105&4635&1647&1627&607&54&111&2321&5100&948&1420&1330&1218&2902&1513&3006&28&373&4251&2893&1869&5638&244&4698&863&666&569&3156&5680&1922&4630&4151&4360&5077&5530&876&3434&4092&6844&8436&3000&8330&7421&1311&3402&1935&4228&2352&1886&2190&7262&4740&2111&2577&4330&1641&4285&5561&1291&1988&390&3128&2625&3761&2762&1480&2587&951&4566&2092&3658&2861&353&173&644&3442&175&5260&6468&7623&446&3744&5604&1282&1697&4805&6962&7562&3752&1674&2302&6700&4690&4888&1728&199&5974&1392&6494&6861&6321&4745&6448&8309&3596&7220&369&5482&1497&4639&1501&2146&2222&5780&2492&1527&1247&7581&1207&3740&4338&1498&1992&1154&2824&4070&4194&2590&464&824&4132&4471&2957&2880&221&6262&3851&694&3288&6446&3221&3723&4887&139&1604&909&2027&4986&6101&2789&1540&3533&5683&3581&1672&1458&2336&1181&2085&499&1016&417&1538&3732&5872&806&4937&7020&1618&6657&1384&2009&351&2817&3256&5610&3080&1157&3771&1581&5430&556&3857&337&5355&1946&730&1713&200&544&3112&4352&375&2665&2485&712&3242&1290&3964&2638&3673&4850&2686&5478&5510&1547&2613&4398&3668&4325&4423&858&1729&5685&903&6889&4798&2818&178&2380&5812&6574&1303&6490&311&2823&1894&7578&195&2900&5877&6867&2771&1024&3969&553&1945&1890&687&1716&2452&2829&1985&3623&1441&3126&3758&1920&3214&5816&2149&3927&5631&4375&3121&5227&3019&1989&7354&5340&7203&2781&988&1701&634&2558&5299&1659&6693&1219&4949&5784&6766&1241&2057&2217&529&1942&1432&7849&27&7378&4020&655&307&1550&6836&7503&558&1833&3356&3579&4823&8087&112&452&159&1631&5501&1437&1884&5493&3020&3889&1864&579
232.98705410957336,437,2775&4744&4294&850&2552&5326&2173&1194&2654&4881&2347&1792&2574&1116&588&5859&4901&5372&6344&1359&350&89&191&1730&2002&4894&2510&3248&956&169&8248&5399&465&4266&488&2912&672&2623&1205&2478&157&3645&4982&4479&1273&2487&39&3041&292&3842&880&1246&6378&1232&2499&3419&813&1427&5606&5885&148&5764&4105&1119&2534&3536&352&43&6074&6331&2429&3902&1266&4961&2301&1231&219&6531&532&5704&1981&2667&4525&1791&4951&1002&2809&4055&2115&22&2725&790&2097&80&6954&3116&184&5126&4670&698&3104&2415&3655&2916&2612&34&3417&7765&3398&1426&0&379&341&5609&6361&4835&5105&4635&7521&5860&1944&1647&1627&1598&607&54&111&2321&5100&1268&2675&1420&1330&1218&1970&1513&1251&854&3006&28&679&1444&373&4251&2893&5926&1869&1178&2641&5106&244&4698&666&5680&1732&1111&4630&3366&4151&4360&115&5530&876&3434&6844&3000&822&8330&6479&1311&6964&3402&1935&426&4228&2352&4307&1886&2190&4740&2111&3339&7083&2577&4842&4330&1414&1828&1641&985&5561&4903&3636&1988&390&3037&2129&3128&2762&1480&1281&951&1249&2092&173&2081&353&175&6468&4532&6530&7077&3396&2365&7623&3744&735&1282&1112&1697&4805&6962&2171&7562&3752&2302&6700&4690&2470&4888&1728&512&5974&1392&4362&6494&2826&6861&6321&4745&3596&7220&2936&5482&3804&4971&2146&2408&2222&2492&1143&1527&3313&4183&3793&1207&3326&3740&1498&1992&1154&2824&3906&4194&2590&824&4132&2880&4469&6262&8551&7818&694&3288&6364&3221&889&4692&6714&139&4887&1604&5114&4986&6101&1731&1540&3533&5683&3581&5246&5671&1458&2336&1181&408&4749&499&3936&1016&5056&1538&5872&806&7836&7020&1927&1618&6657&1384&5726&2817&7941&3080&1157&3771&1581&1656&7514&5430&3349&2519&3857&337&7125&5355&730&5565&200&3112&2665&2391&3242&1290&1990&2686&1547&2613&4325&4896&870&7838&1729&903&6889&4798&5812&6574&1225&1303&8615&1121&2768&2423&315&7420&3071&6076&2823&7578&195&2900&6046&4322&2771&1024&1945&3022&1890&687&215&2452&2829&8534&2986&3623&3126&3758&7533&6027&4293&1920&3214&5816&2149&3927&5174&2731&3121&5227&3019&198&1152&1989&3139&4621&3120&6139&4216&988&2781&634&2558&916&1659&5409&6693&4949&1027&1241&2057&2217&1432&1942&7849&156&27&7378&655&6836&5765&7503&558&3356&3579&112&1708&452&159&1631&688&1437&248&1884&5501&2642&1864
