tdg_iter_descent_v3[5000, 1]
time,|TSS|,sol
227.08563494682312,460,2092&3434&3969&1268&580&1119&350&1713&4532&4745&3080&1732&4489&1059&1111&2302&1547&558&6962&4183&4740&1627&2900&2665&43&5609&7354&1471&1540&4484&7943&2823&2221&2499&0&404&2415&3366&4322&5784&4986&2429&553&198&634&2380&1116&169&1281&1878&4285&1890&1290&488&6693&157&2762&7116&2057&1884&1228&34&2485&7537&4805&2111&694&3071&89&6861&4982&8534&159&7421&3112&74&1437&5974&244&2768&3139&655&983&3857&1513&5482&2146&2861&6657&3866&88&5249&2217&6331&1330&698&2627&5990&6524&1729&369&569&1992&822&1458&6221&175&426&191&6076&6231&1002&4525&112&6039&4844&6141&4621&7420&7154&3758&1498&2667&3006&5260&579&3623&353&221&1154&7262&903&4894&2452&5501&3221&3889&4360&5056&3581&799&5685&6844&6494&195&1157&1731&687&2771&3655&562&889&6344&5174&854&1927&1205&3596&3744&2880&6893&1828&3336&3636&465&2936&1427&6074&204&7623&464&3417&2301&4949&1701&2222&1945&1426&2487&1631&2725&6321&2315&1266&588&6365&1016&3579&5884&2115&2598&2642&3242&72&5541&806&2534&417&234&2190&3536&7533&951&3356&1480&4103&1404&3475&2625&6262&3156&248&2537&4056&6101&148&2937&3104&1432&27&843&6889&1207&607&1226&4639&7503&1392&1990&1842&4323&1674&2567&2817&54&1247&7578&4690&2423&1728&1384&2590&1730&1311&5610&1449&5885&1659&4951&2753&352&1989&3311&1869&5430&1618&44&1581&3980&7378&1441&2235&5859&178&6606&1697&2525&5399&6739&824&2638&6700&2704&4887&1219&5699&420&2149&296&1974&4092&5105&2510&4194&909&1864&6216&7757&6531&2686&1348&200&7014&3037&4483&3195&3019&292&3288&115&7765&4471&1537&3126&1246&1946&4228&1359&3076&961&8330&80&7769&4330&2654&7659&4749&3851&679&3740&2935&5825&341&5147&2408&6027&315&2902&20&2558&988&2577&4698&4748&1436&6223&4566&3732&4294&2893&8246&2999&4559&5114&2789&2986&4266&5227&3966&2552&390&379&4027&5816&2561&3398&2321&1970&876&7020&6499&4937&2492&3927&529&5561&1024&3138&337&507&5812&5522&688&5157&3868&5929&3859&4325&22&329&5683&3651&3771&3041&1218&408&373&6163&1152&2631&4375&6468&1942&730&1604&3022&4888&5764&948&2881&2781&1647&2829&184&1273&5704&6836&215&3648&2887&7514&1583&1988&81&3402&1527&4216&268&5241&2081&2713&6045&2468&3419&5877&4835&2722&3975&3993&307&311&1027&1231&411&4251&3214&1533&5299&4692&3906&2826&880&2478&173&219&39&6777&7942&2002&3120&790&672&1920&4105&1935&1791&4398&5126&1431&5872
234.08322596549988,438,2092&3434&3969&1268&580&1119&1063&4532&4745&2391&4898&3080&6361&1414&1732&5077&1059&1111&5551&2302&1547&558&6962&4183&1627&2519&2900&2665&5609&684&1765&1540&384&3175&2823&5269&3396&2259&0&2166&4479&1584&2415&4322&3852&4986&7203&553&198&634&2380&4193&2173&169&1116&1281&4285&401&2336&1890&1290&488&6693&7197&157&2762&1884&1228&2485&3071&89&2649&6861&4982&159&7421&3112&1792&4798&1437&5974&244&732&655&3436&983&3857&4831&2437&4208&5482&2146&2861&637&88&2217&6331&1383&1330&698&907&5086&1729&1985&1282&1458&175&426&191&6076&6231&1002&208&3999&112&6039&4844&327&3495&4621&3973&336&7154&3758&1498&2667&2377&5260&3006&3623&6987&556&353&1154&221&4894&903&5501&3221&3889&1194&4360&5056&3276&3581&799&5685&6844&6494&2912&195&1157&687&2771&3655&4010&889&6344&3553&5604&4744&5174&854&1927&1205&3596&3744&79&4121&3658&3636&465&464&1427&6074&204&3417&3533&2301&1945&1426&3509&499&2725&4293&564&6321&2315&1266&4362&588&6365&1016&785&8495&597&2087&4280&2598&3242&2534&806&2190&3536&417&72&951&7533&1480&3356&5237&1404&6944&6262&3156&1195&6101&148&1181&3104&27&6889&1207&7503&271&1392&1990&1842&1674&6157&7562&54&279&2817&1303&1247&7578&4690&1662&1885&1728&1889&6964&1384&855&1730&1311&5885&5680&389&1659&6479&4951&2171&3367&1989&5430&1618&44&3239&5565&1581&1421&7378&2612&887&5859&1697&4298&5399&6739&824&6700&1219&3668&3431&420&2149&1974&909&4194&383&6714&1304&1864&8338&6768&7757&6531&2686&2574&1348&200&3037&3019&11&7279&292&6061&3288&115&3126&6539&5409&1658&6305&1246&4228&446&1359&8330&80&1456&2654&1322&3851&3740&6259&2408&315&213&2558&988&2577&3713&4698&826&6223&2911&4566&3732&2893&5631&2999&2144&7951&5114&4033&2986&4374&4266&5227&3966&2552&3932&390&759&5816&3398&2321&1970&876&956&3927&4724&314&529&5561&5042&1024&337&1214&964&380&10&5812&688&4325&3771&5683&3041&7941&1218&1163&2184&324&373&1152&509&4375&6468&1942&4635&3988&730&4888&5764&948&2881&2781&1647&1538&1273&5704&6836&215&1988&6046&3402&1527&4216&139&1782&5877&4835&2264&307&1231&5166&4251&111&4692&3906&4945&2826&880&2623&1672&5126&173&219&6574&905&7942&2147&2002&249&790&3120&672&2097&1920&4105&1935&1791&4398&1628&5872
233.90516543388367,437,2092&3434&3969&5180&1119&350&4532&4745&3080&6361&1732&5077&1111&2302&1547&558&6962&4183&4740&2519&2900&5138&2665&43&5609&7354&1540&2823&5355&3396&2499&0&4479&2415&4322&5784&4986&2429&553&634&2380&1116&2173&169&1281&5111&1890&1290&488&6693&157&2762&1884&1228&2111&7537&4805&694&3071&89&2649&6861&4982&159&3112&5775&1792&1437&5974&1720&244&3421&2768&655&1217&983&3857&1886&1513&5482&2146&1823&2861&6657&6954&88&1656&2217&6331&1330&698&6524&1729&369&1992&1894&1282&1458&175&426&191&2457&6076&112&6039&7154&1498&2667&3006&5260&3623&579&353&221&1154&4894&2452&5501&3221&2489&3889&1194&4360&3581&5685&6844&6494&2912&195&1157&687&2771&3655&889&6344&5604&4744&5140&854&1927&1205&3596&2880&6893&3636&465&1427&6074&204&5671&6251&3417&2301&4949&1701&2222&1945&1426&2487&1631&1947&3172&2725&1403&499&5510&6321&2315&1266&588&7585&6365&172&785&297&3579&680&2115&2642&3242&2534&806&3536&7533&417&234&1807&951&1480&3356&6997&1404&978&7240&6262&3156&6101&148&7057&1181&3104&6115&1432&27&5483&6889&1003&1207&607&8087&4639&7503&1392&1990&28&1674&6907&566&2817&54&1303&1247&7578&4690&3267&2423&1728&6964&4994&1384&512&1311&5610&1449&5885&4132&1659&725&4951&352&5100&1989&3311&6635&6446&5430&1869&1618&44&5565&7378&887&5859&178&6606&1697&4298&7193&5399&1958&1141&824&2638&6700&2704&4887&1219&3668&850&5699&420&2149&1974&5105&2510&3762&6714&1304&1864&2686&6531&4035&200&7014&7125&3037&3019&292&3288&115&7765&452&4471&3126&6539&1246&6017&446&1359&4596&80&6448&2189&4330&2654&4749&3851&679&3740&341&2408&6027&315&5780&1715&2558&2577&4698&4748&4043&1436&851&4566&3732&4294&2893&2999&6766&3718&666&5114&2789&3645&3673&2921&4266&3966&2552&2573&390&5816&6316&2824&2561&2321&876&956&4972&3121&2492&4937&3927&529&5561&1024&3223&337&507&380&5661&688&4780&4325&3868&3275&6530&3771&5683&3041&7941&3128&408&2453&373&6163&1152&2343&4375&6468&1942&730&3022&4888&5764&948&2829&2781&1647&184&1639&3709&1538&5704&6836&215&7514&1583&1988&3402&1527&4216&139&2081&5726&2675&5877&1027&2722&307&1231&4251&111&3214&3906&2652&2826&880&2623&1121&4469&5126&173&219&6574&39&905&2085&3120&790&2097&1920&4105&1935&1791&1628&1431&5872
236.76331734657288,430,3434&4686&3824&3969&5180&1119&350&1063&1713&6361&5217&1732&5077&3867&2302&1547&558&6962&4183&4740&1627&2900&2665&7354&3175&2823&5355&7521&2499&4479&2415&4322&5784&3852&2539&4986&2429&7203&553&198&634&1116&2173&3307&169&1281&1878&401&4285&2336&1290&488&6693&157&2057&1884&1687&1228&34&2485&7537&4805&2111&1825&694&89&6861&4982&8534&159&7421&3112&1437&244&732&3139&655&983&3857&1513&5482&2146&2861&6657&2244&88&1656&2217&6331&1330&698&569&1729&369&1985&1992&822&1282&1458&3950&175&426&2024&191&6076&647&3999&112&6039&7154&3758&1498&2667&3006&5260&579&3623&1484&353&221&1154&4894&903&5501&3221&3889&1194&4360&5685&1779&6844&6494&2912&195&687&2771&3655&889&6961&1768&5575&4744&5174&854&1205&3596&3744&2880&1828&3636&465&1427&6074&204&7623&5671&3417&3533&2301&4949&1701&2222&1945&1426&2487&499&2725&6321&1266&4362&588&785&3579&2797&1089&2642&1237&3242&2534&806&72&3536&417&234&1807&7533&1480&3356&6997&1146&3475&2625&6262&5830&3156&4338&8309&6101&148&1181&1432&27&5483&6889&1549&1207&607&4639&7503&1392&1990&3151&2817&54&1303&1247&4690&3267&2423&1728&6964&4823&4994&1384&512&2590&4625&1311&5648&5885&4132&1659&4951&2171&3367&4959&352&5430&1618&44&1581&7378&1441&2612&5530&3639&887&178&4313&1697&5859&4850&5399&6739&824&2638&6700&2959&4845&1219&2584&2354&5699&420&2149&1974&4057&2510&2703&467&6714&1304&1864&6216&7757&6531&2686&2574&1348&200&3038&7014&7125&3037&3256&3019&2375&292&6061&3288&115&6904&7765&4471&2922&3126&5409&1537&532&1246&4228&6017&5915&1359&8330&80&6448&4330&2654&1321&6073&3740&5825&341&2408&315&2902&5780&858&2558&988&2577&3713&481&4698&397&826&4566&1833&2893&2999&666&2789&3761&2986&1382&3673&4266&5227&2552&4413&5816&2824&2561&3398&2321&1970&876&7020&956&6499&1641&3121&3781&3927&314&5561&1024&3138&337&964&3936&5812&4325&3868&3275&3664&6530&3771&5683&1218&3128&2591&6163&1152&2343&6468&1942&4635&3181&730&2903&1604&4888&5764&2644&948&1647&2829&567&184&1789&5704&6836&215&7514&1988&133&3402&1527&4216&1249&139&982&4835&1027&307&1231&4251&111&3214&4350&6490&3906&4653&2623&1672&5126&173&219&2002&5017&3120&790&1920&4105&1935&1791&1628&1648
234.05812764167786,426,1176&4268&3969&5765&5180&1268&1119&350&1713&4745&4898&3080&1732&4005&1111&2302&1547&7004&558&6962&712&4740&1627&2900&2665&7354&967&1540&7943&2823&2767&2499&0&4479&5245&4322&553&198&634&2380&1116&2173&169&401&2336&1890&1290&488&2762&2057&1884&462&1228&3351&4805&694&3071&89&2649&6861&4982&159&3112&4798&1437&5974&23&1388&2768&655&2437&1513&2861&6657&3194&88&1656&4551&2217&4093&1330&5990&1729&369&1992&822&1458&1251&175&426&191&6231&1002&112&4621&7154&3758&1498&2667&3006&579&3623&353&1154&4894&903&2452&7818&5501&3221&2839&3889&4360&3581&6844&3046&2912&195&1157&1731&687&2771&4010&3655&889&6344&5604&4744&5174&854&1927&1205&1775&2880&3658&3636&465&6941&2936&1427&6074&73&3417&2301&4949&2117&2222&1945&1426&2487&1947&499&6321&1266&588&6365&1016&785&3579&2115&3991&356&3242&2534&806&2190&3536&417&7533&1807&1480&3356&6997&299&1404&4961&3475&2625&3156&6748&2700&148&1181&3104&6115&1432&27&6889&1207&607&5246&1206&4639&7503&1392&1990&5326&1187&1674&2817&54&1303&1247&7578&4690&4824&2306&1728&2347&2423&4823&1384&2590&1311&1449&5885&4132&1659&6479&4951&352&5100&1989&6635&6446&5430&1869&1618&44&5565&1581&4670&7378&1441&2612&5530&178&1697&4298&5399&5493&6478&6700&1219&5699&3431&420&2149&5105&2510&909&4194&6714&1304&1864&3411&4055&4940&2686&6531&2574&8352&200&5062&7014&3037&3019&7279&2317&292&6061&3288&115&3490&7765&452&4471&3126&5409&532&1246&7115&1946&4228&6017&1359&961&8330&80&4330&2654&2168&6073&3851&510&341&2840&315&5780&858&719&988&2558&2577&3713&4043&1436&826&4294&2893&8246&2999&6863&5114&2789&3645&2986&3673&5227&2552&3932&759&5816&2824&3398&2321&1970&876&7020&956&3121&4937&3927&529&2656&5561&3805&1024&337&964&2731&5522&4325&301&3275&3859&22&3771&5683&4283&3041&1218&3128&373&6163&2650&2343&4375&6468&355&1942&2006&4066&4635&730&6710&3022&5764&948&2881&2781&1647&2829&741&184&1538&3725&1435&5704&6836&7514&3377&6046&3402&1527&4423&1249&139&5241&1350&3976&5008&5726&5877&3419&1027&307&1231&4251&1190&111&3214&6490&2678&3906&2826&880&2623&5557&1672&173&39&1096&2002&3120&790&672&2260&1920&8286&1935&1791&4398&5126&4352&5872
232.3988118171692,422,2092&3434&3969&4532&4745&3080&6361&1732&5077&1917&2302&1547&558&6962&4183&5372&1627&2519&2900&2665&43&5609&7354&1540&2200&3989&2823&5355&3396&5032&2499&0&2166&4479&2415&5245&4322&4986&2429&3216&553&198&634&2380&1116&2173&169&1281&4285&401&1274&1890&1290&488&5932&2762&5343&1884&5302&4161&2111&2485&694&89&2649&6861&159&7421&1792&4798&1437&5974&244&3139&655&2352&3436&3313&983&3857&1886&1513&2146&6657&6954&5249&2217&6331&4383&1330&698&1617&569&1729&369&1992&434&822&1282&1458&175&426&191&6076&6231&1002&4525&112&6039&8685&4844&4621&7420&7154&3758&1498&2667&3942&3006&3623&353&221&1154&4894&903&3109&2452&7818&5501&3221&3889&1194&4360&3581&799&6844&2912&195&1157&1731&687&2158&2771&3655&889&6344&4744&5174&1927&1205&1775&2880&1828&31&3636&1427&6074&204&7623&5671&3417&3533&2222&1945&2487&499&2725&4293&6321&2315&1266&4362&4683&588&6365&785&3579&2115&2642&3242&3804&806&2534&2190&417&3536&1807&7533&1480&3356&1404&3475&3156&4338&1591&1943&6101&148&2579&1181&3104&27&2641&5483&6256&607&4639&7503&1392&1990&28&566&7562&54&2817&1303&1247&7578&4690&1662&2347&1728&2423&6964&1384&512&2590&1311&5885&5570&1659&6453&3220&2171&352&5100&1989&1869&5430&1618&44&5565&1581&7378&2612&5859&3113&1697&4298&4850&5399&1141&6700&420&2149&4092&5105&2510&909&4194&6714&1864&6768&2422&7757&6531&2686&2574&1348&7014&7125&3037&3019&11&7279&870&292&1915&6061&3288&115&7765&4471&1537&3126&5409&6539&1246&4228&5915&1359&80&2654&7030&1322&4749&3851&679&3740&341&2408&315&1777&1715&2558&988&2577&3713&4698&1436&6223&2911&2940&4294&2893&5631&2999&6766&666&5634&2986&3673&4266&5227&2552&390&379&317&5816&2824&4896&3398&2321&1970&876&6499&2025&3121&2492&3927&5561&398&1024&337&3936&5812&688&2410&4901&2361&3275&3771&5683&3041&7941&1218&373&6163&1152&4375&6468&355&1942&4635&730&3022&2179&4888&5764&2829&5084&2781&1647&184&1538&1273&5704&188&6836&215&1583&6046&3402&1817&1527&4216&2672&2081&3419&4835&2722&4554&1027&307&1231&111&6091&3214&4692&3906&2826&2478&2623&1121&1672&6144&173&3260&905&3120&790&672&2097&1920&4105&8286&1935&1791&4398&5126&4352&5872
235.48257970809937,468,2092&3434&5765&3969&1268&1119&350&3604&4745&2391&4898&3080&6361&1732&5077&1111&2302&1547&558&6962&4183&2519&2900&2665&43&5609&1540&7943&2823&5269&7521&2499&4479&404&2415&3366&5784&2539&4986&2429&553&198&634&2380&1116&2173&169&1281&1878&4285&401&2336&1890&1290&488&68&6693&157&2762&2057&1884&1228&34&2485&7537&4805&2111&694&89&2649&6861&4982&159&7421&3112&1792&4798&1437&5974&244&2768&7849&655&2352&3436&983&3857&1886&1513&5482&2861&6657&6954&88&1656&5249&2217&6331&1330&698&1617&6524&1729&369&1985&569&1992&434&1894&822&1282&1458&175&6221&426&2024&191&1363&6076&6231&4525&7838&112&4844&6039&327&6141&4621&7154&3758&1498&2667&3006&5260&3623&353&221&1154&7262&903&4894&3441&7818&3221&1194&4360&3581&799&6494&195&1157&1731&687&2771&3655&889&6344&5604&4744&854&1927&1205&3596&3744&1775&2880&3636&465&2936&1427&6074&204&5671&3417&3533&2301&4949&1701&2222&1945&1426&2487&1631&499&2725&4293&6321&1266&588&6365&1016&785&3579&2115&2598&640&2642&2534&72&806&3536&7533&417&1480&1807&396&4103&3356&299&1404&4961&6845&6262&8355&3156&4338&6101&148&1181&3104&1432&27&5483&6889&1908&1207&607&8087&7503&5605&1392&1990&5326&1187&28&1674&7562&54&2817&1303&1247&7578&4690&4824&1728&6964&1384&512&6471&1311&5610&5478&5885&4132&1659&4951&7285&2171&352&6556&1869&5430&5371&1618&5565&1581&3980&7378&1441&2612&887&5859&6606&2199&1697&4298&5399&824&2638&6700&4887&1219&850&420&2149&1974&5105&2510&4194&6714&1864&2686&6531&1348&200&7125&3037&3019&7279&870&292&6061&3288&115&8234&7765&4471&1537&5409&1946&4228&6017&5915&446&1359&80&5487&4330&2654&4749&679&3740&5825&341&1091&5147&551&315&2902&5780&719&988&2558&2577&3713&1241&4698&4748&4043&1436&6223&559&3732&4294&2893&5631&8246&2999&3718&4559&2789&3761&2986&3673&4266&5227&3966&2552&390&5816&6316&2824&3398&158&151&2321&1970&876&7020&956&6499&1641&3121&3927&529&5561&1024&337&964&3936&5522&5812&5157&3868&4325&3275&22&3771&5683&2587&3041&1218&3128&373&6163&1152&2343&4375&6468&1942&4635&730&1604&3022&4888&5764&948&2881&2781&1647&2829&184&1789&1538&5704&6836&215&3648&2887&7514&1988&6046&1527&4216&139&2081&5726&2713&5877&3419&1027&2722&1231&411&4251&111&3214&5341&5593&4692&3906&2826&2623&1098&1121&7886&1672&5126&173&219&6574&39&4495&2085&3120&790&672&2097&1920&4105&8286&1935&1791&4398&1628&5872&4352&4857
233.50237464904785,454,3434&3969&5180&1268&1119&350&1713&220&7658&4745&4898&7117&3080&6361&5077&1111&2302&406&1547&558&6962&712&4740&4183&1627&2519&2900&2689&43&5609&7354&967&1540&3989&7943&2823&4623&2499&5778&3366&5784&3852&2539&4986&3723&3216&7203&198&489&634&2380&553&2173&169&1116&1281&5111&401&1890&1290&488&157&2762&2057&1884&1228&34&2485&7537&4805&694&3071&89&2649&6861&4982&8534&159&7421&3112&4798&1437&5974&244&1388&2768&655&983&1513&5482&2146&2861&88&2217&6331&1330&894&698&1617&569&1729&369&1985&1992&434&822&6524&1282&1458&6221&175&426&191&6076&6231&1002&4525&2365&6039&6141&7420&7154&1498&2667&3006&5260&579&3623&353&221&1154&7262&903&4894&2452&7818&5501&4611&3889&1095&1194&4360&5056&3581&5685&6844&6494&195&1157&3258&1731&687&2158&2771&3655&889&6344&5604&4744&5174&854&1205&3596&3744&2880&6893&1828&3636&465&2936&1427&204&7623&3417&2301&4949&5003&1701&2222&1945&2487&3172&499&2725&4293&5510&6321&4331&1266&4362&588&6365&785&3579&2115&2642&3242&3804&806&916&2190&3536&7533&1807&951&1480&4103&3356&299&1404&1146&4961&7240&6845&3475&6262&3156&4338&4449&2537&7543&6101&148&1181&3104&6115&1432&27&5178&6889&1207&607&5246&4639&7503&1800&1392&1990&1674&7562&54&2817&1303&1247&7578&2423&1885&1728&6964&4823&5370&1384&2590&512&1730&1311&5648&5478&1449&5885&4132&5680&1659&6479&4951&352&6556&1989&5100&6446&5430&1869&1618&5565&1581&3980&7378&1441&2612&563&887&5859&178&1697&7193&5399&824&6700&4887&5843&420&2149&4092&5105&4194&6714&1864&7757&6531&2686&200&7125&3037&3195&3256&3019&3011&4544&870&292&3288&452&4471&2922&3126&5409&1246&1946&4228&7127&5915&8330&80&6448&2654&4749&3851&3740&5825&341&2840&5147&2408&315&5780&2558&988&3713&4698&4043&1436&826&4566&559&3732&4294&2893&176&5631&8246&666&7951&5114&2789&3761&3673&4266&5227&3966&2552&379&5816&2824&4896&4942&2561&3398&639&2321&1970&291&876&956&6499&3121&4937&3927&529&7418&5561&1024&3138&337&507&3936&5522&5812&688&5929&4325&3771&5683&3041&2862&408&373&6163&1152&2343&4375&1942&4635&730&1604&3022&4888&5764&2829&2881&2781&1647&2353&5721&1789&1538&4059&1273&5704&6836&215&2583&2887&1583&1988&139&1782&5877&3419&1027&2722&1231&4251&3214&805&6490&3906&2826&2623&6144&173&219&6574&39&2085&7942&2002&790&672&2260&1920&4105&1935&5126&4352
236.22034287452698,413,3434&5914&3969&1268&580&1119&350&3604&220&7658&4745&3080&6361&1732&4489&5077&2302&1547&558&6962&712&4740&4183&1627&2900&5609&7354&1540&2499&2415&5245&3366&4322&4986&553&2380&634&1116&2173&169&1281&2027&5111&4285&1890&1290&488&6693&157&2057&1228&2485&3351&4805&4232&238&694&3071&89&6861&4982&159&7421&3112&2118&4798&1437&5974&244&3139&655&2352&3436&983&3857&1513&2146&2861&6954&2217&6331&1330&3349&1729&369&1992&1282&1458&1251&175&191&2497&6076&6231&1002&6015&495&112&6039&4844&327&375&4621&3758&1498&2667&5260&6987&3623&353&221&1154&7262&903&4894&4053&7818&3221&5501&4611&3889&1194&3581&6844&2912&195&1157&3258&687&2771&3655&889&557&8025&6344&4744&854&1927&1205&3596&3744&2880&2816&3658&3636&465&2936&1427&6074&204&5671&3417&2338&3533&4949&1945&1426&2487&1631&1947&499&4293&1660&6321&1266&4362&6522&588&6365&785&3579&5884&2413&2642&1237&2534&2190&806&916&3536&72&234&951&7533&1480&3265&3356&4103&1404&5925&6487&2981&6845&6262&3156&248&6101&2700&148&1181&3104&6115&1432&27&843&6155&6889&4639&7503&1392&293&28&1674&3937&2567&2817&1303&1247&4690&2423&1728&6964&1384&2590&855&1730&1311&99&5885&4132&1371&5680&6479&4951&798&2171&352&6556&1989&5430&1618&5565&1581&4670&3980&2012&6784&7378&1441&2612&5530&178&6606&1697&4298&7193&5399&360&824&2638&6700&4887&1219&3668&420&2149&2510&6714&1864&544&6531&1348&200&3245&3037&3019&870&292&540&3288&115&7765&452&4471&5409&6539&4228&6017&1359&80&4330&2654&4749&3887&2408&551&315&1777&2558&988&1241&4698&1436&826&711&7656&3732&4294&2893&5631&2214&5927&7951&5114&2789&3645&2986&1382&4266&5227&2552&390&5816&4971&2561&2321&1970&291&876&7020&956&3781&2492&3927&1024&964&5812&4901&3868&7220&22&1357&5683&3771&2587&3041&7941&3128&408&373&6163&1152&8101&1942&4635&730&3022&5764&948&2829&2781&1647&184&5251&1538&5704&6836&215&7514&3402&1527&4216&139&5241&6045&3419&1027&2722&307&2782&111&3214&5341&1533&4692&2826&521&880&212&2623&1672&6144&5126&173&219&987&6574&905&39&2002&790&672&2097&1920&4105&5617&8286&1935&1791&4398&1628&4352&5872
