tdg_doerr1+1[3;10000]
time,|TSS|,sol
286.44961810112,486,0&2173&446&558&11&499&27&28&2771&2986&169&173&175&2762&1414&34&39&2887&2781&2789&54&2817&72&2823&2826&2829&352&353&2590&80&88&148&417&3126&1890&89&2861&2846&2878&2880&1946&2722&111&112&115&785&1647&1732&3214&3221&350&2881&122&2893&2899&2900&988&1795&2912&465&1602&2916&136&1290&452&1154&157&159&426&392&1205&917&2991&178&184&2665&2999&3006&3019&3022&191&195&198&2057&1293&200&204&512&3037&3041&2499&3071&215&219&1002&553&292&221&234&3080&244&3084&3104&2146&3112&272&3120&3121&3139&3156&1458&284&687&806&1266&1729&1730&307&1935&315&3194&2111&337&3242&341&579&1231&822&815&366&730&3275&369&373&3288&390&401&408&3349&3356&1181&420&1945&3396&3398&3402&434&2171&1359&1426&1628&3417&3419&854&3434&488&503&507&1869&880&3475&1886&529&1437&588&3533&3536&543&1404&559&2623&2222&1540&5726&6321&3579&3581&3596&634&1111&3655&655&3623&2023&3636&3645&666&858&3648&672&1152&3673&694&1974&1218&698&3713&3732&3744&3758&4285&3771&4013&790&1480&2725&3793&1674&876&1618&2380&996&850&3857&1392&3868&889&1713&1717&3878&903&3889&905&909&3887&3927&3906&1791&3932&948&3936&1217&964&983&3966&4740&3969&3980&1659&1024&1027&1228&1282&1116&1118&1119&4043&4094&1157&4092&6471&1604&1194&4105&1207&4132&2315&1920&1990&4151&4194&1246&1247&4177&4178&4183&4216&1697&1268&1273&1281&1303&4228&1311&4894&5816&1330&4266&1348&2686&2485&4293&4294&1384&4298&4322&4330&4338&2452&1427&1431&1432&2002&4352&1436&1441&4360&4362&4375&1449&4398&1513&1527&5764&5561&5609&1581&1547&1559&1588&4471&4479&2352&1884&4621&1701&4597&4611&4630&4635&1985&4670&4690&1864&4698&6061&2561&4744&4745&1927&4749&1970&1992&4805&4823&2085&4844&4850&2092&2115&4887&4901&2149&2158&4961&4949&4951&2217&4982&2301&2302&2321&5032&2336&2343&2345&5056&2360&2574&2415&5077&5100&5105&5114&5126&2487&2513&5780&2534&2537&2539&2552&2558&2577&2579&5227&7802&5260&2642&2654&2667&2704&6479&5399&5416&5430&5482&5483&6892&5501&5506&5530&5522&5565&6714&5671&5680&5683&5704&7280&5755&5765&5784&5812&5825&5838&5859&5877&5872&5884&5885&5891&5974&6039&5915&5929&6836&5968&7354&6046&6076&6074&6101&6141&6144&6163&6221&6231&6262&6263&6331&6344&6365&6468&6499&6524&6531&6548&6556&7886&6606&6700&6693&7578&6739&6861&6844&6845&8041&6889&6893&6962&7942&6997&7014&7020&7117&7123&7125&7154&7193&7197&7203&7220&7259&7262&7303&7378&7420&7447&7503&7533&7537&7543&7658&7671&7757&7765&7838&7849&7983&8034&8330&8476&8534&8694
283.8417978286743,492,0&1828&2173&558&1059&499&27&2771&2986&169&173&175&2768&34&2887&2781&43&44&2789&54&2817&72&2823&2826&2829&352&353&2590&80&148&3126&1890&870&89&2861&104&2880&1946&111&112&115&259&505&785&1647&1732&3214&3221&350&1731&2881&2893&2900&988&2912&139&1290&2936&1154&157&159&426&1205&916&1388&567&178&184&2665&2097&2999&532&3006&3019&3022&191&195&198&2057&200&204&512&3037&3041&3071&215&219&1002&553&292&221&234&3080&545&2126&244&247&248&3086&3231&2146&3112&3120&3121&3156&1458&1569&687&1498&3173&805&806&1266&1729&1730&307&1935&315&2713&3199&2111&337&3242&341&3498&2612&4888&7279&579&1231&817&822&824&815&730&369&373&374&3307&3288&401&404&3356&1181&3367&420&421&1945&3398&3402&434&3391&1359&1426&1628&3417&3419&3434&3436&488&507&1869&1886&529&1437&588&3505&3533&3536&543&559&2623&2222&1540&5726&6321&3579&3581&607&2437&3596&634&1111&3655&655&3623&1672&3636&858&3648&672&3673&3668&694&1974&1218&1942&698&719&3713&2492&951&3732&3740&3744&3758&4285&4798&2625&3771&790&2725&1674&1016&876&1618&2380&3835&2633&3857&3859&1392&3868&887&889&1713&903&3889&905&3927&3906&1791&3932&948&964&3957&983&3966&4740&3969&1989&1659&1020&1024&3992&1027&1228&1282&4046&1116&1119&4050&1121&1157&4092&6471&4103&1194&4105&1207&1219&4132&2315&1920&1990&4151&4194&1246&1247&4161&4183&2081&4216&1697&1268&1273&1281&1303&4228&1304&1311&1981&4894&5816&1330&1348&2686&4283&2485&4293&1384&4325&4330&4338&2452&1427&1432&2002&4352&1436&4360&4362&4363&1449&4398&1986&1508&1513&1527&5764&1537&5561&5609&1581&1547&4471&4479&1617&2352&1627&4515&1641&1884&4529&4532&4566&1688&1701&4630&4635&4639&4675&4664&1985&4690&1864&4698&1881&4745&1927&1970&1992&4805&4850&2092&4876&2115&4887&4898&4901&2149&2158&4961&2168&4937&4949&4951&4986&4971&2217&2709&4982&2301&2302&2321&2336&2354&2360&2574&2408&2415&5077&2429&5105&5111&5114&5126&2487&2510&5780&2514&5147&2529&2534&2539&2552&2558&5174&2577&5227&5249&5260&2642&2654&2667&2697&2704&5355&5399&5409&5423&5430&5482&6892&5501&5565&5604&6714&5675&5685&5683&5699&5704&5748&5765&5784&5812&5825&5859&5877&5873&5885&5891&5974&6039&6836&7354&6033&6046&6076&6074&6073&6101&6115&6163&6221&6223&6231&6249&6262&6331&6344&6365&6446&6448&8362&6468&6490&6524&6531&6556&7562&6657&6700&6693&7578&6844&6889&6954&6962&7941&6997&7014&7020&7154&7262&7276&7378&7410&7420&7421&7503&7533&7589&7623&7671&7757&7765&7874&7916&7978&7997&8021&8098&8280&8330&8664&8483&8488&8538&8560&8623
269.9733340740204,496,1828&2173&558&11&499&27&2771&2986&169&173&175&2762&1414&1538&2768&34&2887&2781&43&2789&54&389&2817&72&2824&2826&2829&352&353&2590&80&88&148&417&3126&3128&89&2861&2880&1946&2722&111&112&115&785&1647&1732&3214&3221&350&2881&122&2893&2900&2902&988&1320&2912&465&139&1290&2015&2936&1154&157&159&426&1205&915&916&184&2665&2097&2999&3006&777&3019&3022&191&195&198&2057&1807&200&512&3037&3041&2499&3071&215&219&1001&1002&553&292&221&3080&1457&247&248&3104&2146&3111&3112&3120&3121&3150&3139&3156&1458&687&3168&568&1498&3173&806&1266&1728&1729&1935&315&2111&4271&337&3242&341&2190&2612&4888&1231&824&815&730&369&373&3307&3288&390&401&2076&3356&1181&3366&420&1945&3398&3402&434&2171&1359&5268&5464&1426&1628&3417&3419&854&3434&488&3451&507&1869&880&1886&529&1437&588&3533&3536&543&3514&1404&1014&2623&2222&5726&6321&688&2638&3579&3581&607&2437&3596&634&3600&1111&3655&3658&655&3623&1672&2649&3636&3645&666&3648&672&1152&694&1974&1218&1942&1583&698&719&956&3713&1012&3732&3740&3744&3758&3761&2625&3771&790&1480&2725&812&1674&1016&826&876&1618&2380&3851&3857&1392&3868&889&903&3889&3882&909&3906&3932&3936&960&964&983&3966&4740&3969&1989&1659&1024&1027&1228&1282&4032&1116&1119&4043&4051&1121&1157&4090&4092&4083&4100&1194&4105&1207&1219&4132&2315&2618&1990&4151&4194&1246&1247&4161&4183&4216&1697&1268&1631&1281&1303&4228&1304&1981&4894&5816&1330&1348&2686&4283&2485&4293&4294&1384&4299&4303&4322&4325&4330&4338&2452&1427&1431&1432&2002&1436&1441&4360&4362&4375&1449&4398&1513&1527&5764&5561&5609&1581&1547&4471&4479&1617&2352&4525&1641&1884&4532&1665&4566&4835&1701&4611&4630&4635&4639&1985&4690&1864&4698&6061&2561&4745&1927&4748&1970&1992&4805&4823&4844&4850&2115&4887&2149&2158&4937&4949&4951&4986&2217&4982&2253&5018&2302&2321&2323&5032&2336&2360&2574&2384&2405&2408&2415&5077&5099&5105&5111&5114&2487&2516&5326&2510&5780&2537&2539&2540&5157&2552&2558&5174&2577&5195&2598&5227&5246&2639&5249&5260&2642&2654&2667&5355&5399&5430&5433&5482&5483&6892&5501&5565&5604&5610&5631&5671&5680&5685&5683&5699&5704&5722&5812&5825&5877&5872&5885&5974&6039&5915&6836&7354&6013&6027&6046&6076&6074&6101&6141&6163&6221&6231&6331&6344&6361&6365&6372&6402&6446&6448&6468&6490&6494&6531&6548&6556&7886&6700&6693&7578&6722&6861&7650&6844&6870&6889&6903&6954&6962&6964&7014&7020&7117&7161&7193&7197&7200&7217&7220&7262&7378&7420&7503&7514&7543&7547&7765&7818&7838&7943&7966&7976&7985&8066&8087&8246&8307&8466
282.66076016426086,489,0&7&327&2173&558&11&499&22&27&28&2771&2986&169&173&175&1538&39&2781&43&2789&2797&54&67&2817&72&2823&2826&2829&352&353&2834&80&148&3126&3127&3128&1890&870&89&2861&108&2880&1946&111&112&785&1647&1732&3214&3221&350&2881&2893&2900&2902&988&1290&452&1154&159&426&1205&915&916&1388&184&2665&2097&2999&3006&3019&3022&195&2057&1293&1444&200&204&512&3037&3041&2499&3071&215&219&1002&553&292&221&3080&244&3104&2146&3112&3115&272&3120&3121&3139&3156&1458&687&1498&806&1266&1728&1729&1935&315&3198&2111&337&3242&341&2190&2612&4888&1231&824&815&730&3275&369&373&3307&3288&3529&401&404&3356&414&3366&420&1945&3396&3398&3402&2171&1359&1426&2423&1628&3417&3419&3425&854&3434&3436&488&1869&1886&529&1437&588&2673&3536&543&1404&559&1686&2623&2222&1540&6321&2638&3579&3581&594&3587&1792&3596&634&1111&3655&3658&3605&655&3623&1672&3636&3645&672&1152&3668&694&1974&1218&1942&1583&698&956&3718&951&3735&3740&3744&3758&4285&4798&2625&3771&790&1480&2725&1016&4210&876&1618&2380&3857&1392&1713&903&3889&3927&3906&1791&948&964&983&3966&4740&6216&3969&3980&1989&3982&1659&1024&1027&4024&1526&1228&1282&4046&1116&1119&4043&4076&1121&4057&1157&6471&1194&4105&1219&4132&1920&1990&4151&1247&4183&4216&1697&2613&1268&1281&4239&1303&4228&1311&1315&1981&4894&5816&1330&1348&2686&2485&4293&4294&1384&4325&4330&2452&1427&1432&2002&1436&4360&4362&4375&1446&1449&4398&1513&4421&6583&5764&5561&4440&1581&1547&4471&4479&4520&4501&2352&4525&1627&1884&4532&1656&4557&4621&4611&4630&4635&4636&4639&1985&4690&1864&6061&4729&2561&4744&4745&1927&4749&1970&1992&4805&4823&4844&4885&4886&4887&4896&4901&2149&2166&4961&4949&4951&4986&4957&4971&2217&4982&2301&2302&2321&2336&2343&5057&2360&2574&2415&5077&2429&5107&5105&5111&5114&5126&2487&2516&2510&5780&2521&2534&2537&2539&2552&2558&5174&2577&5197&5214&5227&2609&7806&5234&5246&5260&2642&2654&2667&5355&6479&5388&5399&5413&5430&5426&5478&6892&5501&5510&5530&5565&6714&5634&5637&5671&5680&5729&5685&5683&5704&5765&5784&5812&5825&5859&5877&5872&5885&5974&6039&6836&7354&6027&6046&6076&6074&6073&6101&6111&6115&6141&6140&6144&6163&6169&6205&6262&6331&6361&6365&6406&6405&6446&6494&6519&6524&6531&6548&8221&6562&6624&6693&7578&7115&6763&6861&6844&6847&6889&6917&6962&6964&7941&6997&7014&7020&7032&7117&7125&7147&7154&7193&7220&7363&7378&7421&7503&7514&7524&7533&7537&7623&7757&7765&7792&7838&7849&7943&8066&8087&8177&8205&8246&8330&8369&8538&8611&8662
282.8657760620117,494,0&1828&2173&446&1542&558&499&22&27&28&2771&2986&169&173&175&2768&34&39&2781&2789&54&2817&72&2823&2826&2829&352&353&80&88&148&3126&1890&89&784&2880&2722&111&112&115&785&1647&1732&3214&3221&2881&2893&2900&2902&988&2912&465&139&1290&452&1154&157&159&426&2362&1205&184&2665&2097&2999&3006&3019&3022&191&195&198&2057&1807&200&512&3037&3041&2499&3071&215&1002&553&1164&292&221&3062&3080&244&247&248&3104&2146&3112&272&278&3120&3121&3156&1458&284&687&3189&1498&1503&806&1266&1728&1729&1730&1935&315&2111&337&3242&341&2190&2612&4888&579&1231&822&824&815&1254&3258&730&3275&369&373&3288&390&3435&401&404&408&3356&411&1181&3366&420&1945&3398&3402&434&2171&1359&1426&2423&599&1628&3417&3419&854&3434&488&1869&2450&529&1437&588&3507&3536&543&1404&2109&2623&2222&1540&5726&6321&848&3556&3579&3581&1792&607&2437&3596&634&1111&3655&655&1672&3636&3645&666&672&1152&3673&3668&694&1974&1942&698&726&3712&3713&951&3737&3740&3744&750&3758&3761&4285&4798&3771&781&790&1480&2725&3791&1674&1016&876&1618&2380&3851&3857&1392&3868&887&889&1713&903&3889&3927&2648&3906&1791&948&3940&3943&964&3966&4740&6216&3969&3980&1989&3984&1024&1027&1100&1228&1282&1116&1119&4043&1137&1157&4103&1194&1207&1214&1219&4132&1920&1990&4151&4194&1246&1247&2081&4216&1697&2613&1268&1273&1281&4224&1303&4228&1304&1311&1981&4894&5816&1330&1348&4277&2686&2485&4293&4294&1384&4325&4330&2452&1427&1431&1432&2002&4352&1436&1441&4357&4360&4362&4375&1449&4398&1513&1527&5764&5561&5609&1581&1547&2702&4471&4479&1619&2352&4525&1627&1641&1884&1656&4566&4621&1701&4586&4630&4635&4639&2101&2519&1985&4670&1848&1864&4692&4698&6061&4744&4745&1927&4749&1970&1992&4805&4844&2092&2115&4887&4897&4898&4901&2149&4961&4949&2189&4951&4986&2217&4982&2301&2302&2321&5032&2336&2343&5057&2360&2574&2408&2415&5077&5100&5110&5102&5105&5111&5114&5126&2487&5141&5326&2510&5147&2534&2537&2539&2552&2558&5180&2577&5217&2598&5227&5249&5260&2642&2654&2667&2704&5316&5355&5399&5430&5478&6892&5501&5510&5530&5522&5565&5604&6714&5631&5671&5680&5683&5704&5766&5765&5784&5812&5877&5872&5885&5974&6039&5915&6836&5998&7354&6017&6046&6054&6076&6074&6094&6101&6115&6141&6144&6221&6223&6231&6262&6266&6331&6344&6361&6365&6468&6494&6499&6524&6531&7562&6604&6606&6614&6693&7578&6729&6861&6844&6889&6893&7676&6954&6962&6964&7941&6997&7020&7017&7117&7125&7154&7193&7197&7229&7262&7378&7421&7503&7514&7658&7707&7765&7831&7838&7849&7925&8066&8069&8071&8307&8447
279.8296890258789,496,0&2173&558&11&499&27&28&2771&2986&173&175&2762&1414&1538&2768&34&2887&2781&43&44&2789&1782&54&2817&72&2823&2824&2826&2829&353&2590&80&86&88&148&417&2412&3126&3128&1890&2401&89&2861&2872&2880&1946&2722&111&112&115&1647&1732&3214&3221&350&1731&2881&2893&2900&2902&988&2912&465&2914&135&139&1290&2936&1154&159&426&1205&1466&915&916&920&1388&178&184&2665&2097&2999&532&3006&3019&3022&191&195&2057&1807&204&512&3037&3041&2499&3071&219&999&1002&553&753&292&221&3080&244&248&3104&3093&2146&3112&679&2583&3120&3121&3156&1458&687&1988&1498&806&1266&1728&1729&1730&1935&315&2111&337&3242&341&2190&4888&7279&1231&822&824&815&730&3275&369&373&3288&388&401&404&408&3349&3356&411&420&1945&3398&3402&2171&1359&1426&2423&3417&3419&854&3434&1878&507&1869&1437&588&3536&543&1404&559&2623&2222&1540&569&5726&6321&688&580&3579&3581&1792&607&2437&3596&634&3655&3658&655&3623&3636&3647&3648&672&1152&3668&3670&2293&694&1974&1218&1942&727&3713&3717&3718&2492&3732&3740&3744&1506&3758&3760&3761&4285&4798&2625&3771&790&3781&2725&1016&876&1618&2380&850&3851&3857&3859&1392&887&889&903&3889&908&3927&3906&1791&941&948&983&3966&4740&3969&1989&1659&1024&1027&1103&1228&1282&1116&1119&4043&1143&1157&4092&1604&4103&1194&4105&1219&4127&4132&2315&1920&1990&4151&4194&1246&1247&4183&2081&4216&1697&1268&1631&1273&1281&1303&4228&1304&1311&4247&1981&4894&5816&1330&4268&4266&1348&2686&4283&2485&4293&4294&1384&4298&4325&4330&4338&2452&1427&1431&1432&2002&4352&1436&1441&4360&4375&4398&1513&6855&1527&5764&1537&5561&5609&1581&1547&4471&4479&1617&2352&1627&1884&4532&1656&4835&4621&1701&4609&4630&4635&4639&2519&1985&4670&4690&1864&4692&4698&6061&4745&1927&4749&1970&1992&4790&4805&4844&2092&2115&4887&2149&2158&4961&4937&4949&4951&4986&4971&2217&4982&2302&2321&2336&2340&2341&2343&2360&2573&2574&2408&2415&5077&2429&5100&5105&5111&5114&5126&2487&5326&2510&5780&2534&2537&2539&5157&2552&2558&5174&5180&2577&5225&5227&5249&5260&2642&2654&2667&2720&5355&5399&5409&5430&5478&6892&5501&5530&5534&5542&5565&5604&5671&5680&5683&5699&5704&5765&5784&5812&5825&5859&5877&5872&5885&5974&6039&5915&5929&6836&5980&7354&6017&6076&6074&6101&6115&6144&6163&6221&6231&6331&6344&6365&6446&6468&6499&6531&6548&6550&7562&6651&6657&8589&6700&6693&7578&6861&6791&6844&6889&6942&6954&6964&8286&7014&7020&7072&7154&7193&7197&7203&7262&7378&7390&7487&7503&7514&7533&7537&7757&7765&7818&7849&7902&7943&8183&8188&8196&8261&8315&8456&8534
274.9306402206421,493,0&327&2173&558&499&22&27&28&2771&2986&169&173&175&2762&1538&34&2527&2887&2781&43&2787&2789&54&2817&72&2823&2826&2829&352&353&80&88&148&417&3126&3128&1890&870&89&2861&2851&107&2880&2722&111&112&115&439&785&1647&1732&3214&3221&350&2881&2893&2900&2902&2912&465&139&1290&2936&144&1154&2971&157&159&426&1205&915&916&2097&2999&532&3006&3019&3022&3018&195&198&2057&1295&3031&200&512&3037&3041&2499&2028&215&219&1002&553&292&221&234&3080&244&247&3104&2146&3112&3120&3121&3139&3156&1458&687&1498&806&1266&1728&1729&309&1935&315&2111&337&3242&2190&2612&4888&7279&579&1231&822&824&815&730&3275&369&373&3288&3527&401&404&3351&3356&1181&3366&420&1945&3396&3398&3400&3402&2171&1359&1628&1902&3417&3419&854&3434&3436&488&520&3475&1886&529&3490&588&3533&3536&543&1404&3549&2623&1540&6321&2638&3579&3581&607&2437&3596&634&1111&3655&655&3623&1672&3636&3645&3648&672&1152&3654&1891&694&1974&1218&1942&698&956&3713&3718&951&3732&3740&2727&3758&3761&4285&4798&2625&3771&4015&790&1480&2725&1674&1402&1016&826&876&1618&2380&850&3851&3857&883&1392&3868&889&1832&903&3889&3927&3906&1791&948&983&3966&4740&6216&3969&7320&1989&1659&1024&1228&1282&1116&1119&1137&1157&6471&1163&4103&1194&4105&1207&4170&1219&4132&2315&1920&1990&4151&1246&1247&4183&2081&1779&4216&1697&2613&1268&1631&1273&1281&1303&4251&4228&1311&1981&4894&5816&1330&4266&1348&2686&4283&2485&4293&4294&1384&1407&4325&4330&4338&2452&1427&1432&4352&1436&4360&4375&4398&1513&1527&5764&1537&5561&5609&1581&1547&4467&4471&4479&4485&1617&2352&4525&1627&1641&1884&4532&4566&1701&4617&4630&4635&4639&2519&1985&4690&1853&1864&4692&4698&6061&4737&2561&4744&4745&1927&1970&6747&1992&4805&4823&2085&2092&2115&4887&4898&2149&4961&4937&4974&4949&4951&4986&4971&2217&4982&2301&2302&5032&2336&5056&2360&2363&2368&2574&2408&2415&5077&5105&5114&5126&2487&2510&5780&5147&2534&2537&2539&5157&2552&2558&5174&5180&2577&2598&5232&5227&5260&2642&2654&2667&2697&5355&5399&5409&5430&5482&6892&5501&5499&5509&5565&6714&5610&5631&5671&5685&5683&5704&5765&5784&5812&5839&5859&5877&5872&5885&5895&5974&6039&7314&5915&5940&6836&6076&6074&6073&6079&6101&6115&6144&6163&6221&6681&6231&6304&6331&6344&6361&6359&6365&6420&6446&6448&6468&6488&6574&6524&6531&6556&6573&7562&6665&6700&6693&7578&6739&6861&6844&6876&6889&6909&6962&6964&7941&8286&6991&6997&7020&7193&7378&7412&7420&7487&7503&7514&7521&7530&7543&7608&7757&7765&7818&7838&7849&8066&8246&8330&8480&8649
278.11210083961487,486,327&2173&446&558&499&27&28&2771&2986&169&173&175&2762&1538&34&2887&2781&2789&54&2817&72&2823&2824&2826&2829&352&2590&80&88&148&3128&1890&89&2861&2880&111&112&115&1732&3214&3221&2922&350&1731&2881&2893&2900&2902&988&2912&465&139&1290&2936&452&1154&157&159&426&1205&1388&178&184&2999&532&3006&3019&3022&3015&191&195&198&2057&200&204&512&3037&3041&2499&3071&215&1002&553&724&292&221&3080&244&3100&3104&2146&3112&272&3120&3121&3139&3156&1458&283&284&687&4035&806&1266&1729&1935&315&3193&3483&2111&337&3242&341&4888&1231&824&815&730&369&373&3307&3288&3328&401&404&408&3349&3346&3356&3366&420&1945&3398&3402&434&2171&1359&1426&2423&1628&3417&3419&854&3434&3436&1878&3439&3452&1869&880&1886&529&1437&588&3532&3536&543&544&1404&3520&559&3543&2222&1540&3559&569&5726&6321&688&2638&3579&3581&1792&607&3596&634&1399&1111&3655&3658&655&3623&1672&2649&3636&3646&3648&672&1152&3675&694&1218&1942&1583&719&956&2543&3713&3718&3728&951&3740&3758&4285&4798&2625&3771&790&2725&1674&876&1618&3829&2380&3851&3857&3859&1392&887&889&903&3889&1944&3927&3906&948&983&3966&4740&6216&3969&1659&1024&1027&4055&1116&1119&1157&4092&6471&1603&1183&4103&1194&4105&1207&1219&4132&1920&1990&4194&1246&1247&4183&2081&4216&1697&2613&1268&1281&1303&4228&1304&1311&4438&1981&4894&5816&1330&1337&4268&4266&2686&1993&2485&4293&4294&1384&4298&4325&4330&2452&1427&1432&2002&4352&1439&4360&4362&4375&4398&1513&1527&5764&5561&5609&1581&1547&4471&2352&4525&1627&1884&4528&1656&4566&4835&2209&4624&4580&1701&4614&4630&4635&4639&2519&4670&4690&4687&1864&4692&4698&6787&6061&2561&1927&1970&1992&4805&4823&2085&4844&2115&4887&4896&2149&4961&4937&4949&2200&4986&4971&4982&5002&2301&2302&2321&5032&2336&2343&2360&2397&2415&5077&2429&5100&5111&5114&5126&2487&5326&5780&5147&2534&2539&5157&2552&2558&5174&2577&5227&5246&5249&5260&2642&2654&2667&2704&5355&8144&5399&5409&5430&6892&5501&5530&5565&5593&5610&5631&5637&5671&5683&5704&5765&5784&5788&5812&5859&5877&5872&5885&5897&5974&6039&5927&5929&6836&7354&6017&6076&6074&6073&6101&6141&6142&6144&6163&6223&6231&6262&6330&6344&6361&6365&6430&6446&6448&6466&6468&6490&6499&6524&6531&6556&7562&6606&6693&7578&6861&6844&6845&6858&6889&6893&6954&6962&7941&7942&8286&7014&7020&7154&7193&7203&7220&7262&7310&7333&7378&7421&7427&7487&7503&7514&7525&7533&7537&7543&7632&7656&7698&7722&7757&7765&7814&7838&8076&8126&8205&8338&8330&8377&8382&8405&8570
281.45179533958435,496,0&1828&2173&2303&446&558&15&499&22&27&28&2771&2986&169&173&175&1414&1538&39&1862&2887&2781&44&2789&2817&72&2823&2826&2829&352&353&2590&79&80&88&148&3126&3128&1890&89&2853&2880&1946&2722&111&112&115&785&1647&1732&3214&3221&2921&350&2893&2900&2902&988&2912&465&1290&2936&2950&1879&1154&157&159&426&1205&915&916&1388&184&2665&2097&2999&532&3019&3022&195&198&2057&1712&1807&200&204&512&3037&3041&2499&3071&215&553&292&221&234&3080&244&3104&3107&2146&3112&679&272&3120&3121&3139&3156&284&687&3189&1498&800&806&1266&1723&1728&1729&1935&315&2713&322&2111&337&3242&341&2190&2612&4888&7279&579&1231&824&815&3264&730&369&373&3288&390&401&408&3356&411&1181&3366&3375&420&1945&3396&3398&3402&434&1359&1426&2423&1628&3417&3419&854&3434&3436&488&504&1869&1886&522&529&1437&588&3533&3536&543&1404&559&3537&2623&2222&1540&569&6321&3579&3581&1792&607&3596&634&1111&3655&3658&655&3623&1672&3645&666&770&3648&1152&3668&2284&694&1974&1942&1583&698&719&956&3713&2492&951&3740&3744&768&3758&4285&4798&2625&3771&790&1480&2725&1674&3809&1260&826&876&1618&2380&3851&3857&1392&3868&889&903&3889&909&3927&3906&1791&948&961&964&983&3966&4740&6216&3969&1989&1659&1024&1040&2370&1228&1282&1116&1119&4043&1121&1847&1157&4092&6471&1194&4105&1207&1219&4132&1920&1990&4151&4194&1246&1247&4183&4216&1697&2613&1281&1303&4251&4228&1304&1981&4894&5816&1330&4254&4266&1348&2686&4283&4313&2485&4293&4294&1384&4298&4325&4330&1427&1431&1432&2002&4352&1441&4360&4362&4375&4398&1513&5764&1535&5561&5609&1547&4471&4479&1617&4525&1627&1884&1656&4549&4566&4835&2675&4621&1701&2136&4630&4635&4639&2519&1985&4670&4690&1864&4698&4718&4731&4745&1927&4749&1992&4823&2059&4844&4850&2115&4887&2149&2158&4937&4949&4951&4959&4986&2217&4982&2302&2321&2336&2343&5056&2360&2574&5066&2415&5077&2429&5107&5105&5111&5114&5126&2487&2510&5780&2534&2539&2552&2558&2577&2598&5227&5249&5260&2650&2654&2667&2704&5355&5335&5372&5360&6479&5399&5409&5430&5478&5482&5483&6892&5501&5510&5522&5565&6714&5637&5680&5683&5704&5765&5812&5859&5877&5885&5974&6039&5915&5929&6836&7354&6017&6027&6046&6076&6074&6073&6101&6141&6144&6163&6221&6226&6223&6262&6276&6331&6344&6361&6365&6468&6496&6499&6574&6531&6657&6692&6700&6693&7578&6861&6802&6835&6844&6845&6889&6893&6954&6962&7941&6997&7014&7117&7120&7154&7262&7378&7405&7421&7487&7503&7537&7541&7552&7663&7671&7691&7765&7818&7838&7849&7885&7910&7943&7960&8305&8066&8087&8292&8486&8518&8566&8615&8633
275.9929690361023,478,1828&2173&558&499&934&27&1008&2771&2986&169&173&175&34&39&2781&54&2817&2823&2824&2826&2829&352&353&2590&80&84&88&148&417&3126&3128&1890&89&2861&2880&1946&2722&111&112&115&785&1647&1732&3214&3215&3219&3221&350&1731&2881&2893&2569&2900&2902&2912&465&1290&1154&157&159&426&1205&915&916&178&184&2665&2999&3006&3019&191&198&2057&1807&3030&200&512&3037&3040&3041&2499&214&215&219&1002&553&292&221&234&3080&244&3104&3233&2146&3112&3120&3121&3139&3156&1458&687&806&1266&1729&1730&1935&315&2713&3194&2111&337&3242&341&2190&2612&4888&7279&1231&822&824&815&766&730&369&373&3307&3288&3328&401&3349&3344&3356&411&1181&3366&420&1945&3398&3402&434&2171&1426&3594&1638&3417&474&854&3434&488&1878&3439&508&1869&880&1886&529&1437&588&3536&543&1404&559&2623&2222&1540&3559&6321&688&2638&3579&3581&1792&2437&3596&634&1111&3655&3658&655&3623&1672&3636&3645&666&3648&672&1152&1974&1218&1942&1583&698&956&3740&3744&751&3758&3761&4285&4798&2625&3771&790&2725&1674&1016&834&876&1618&2380&3851&861&3857&3859&1392&3868&1200&889&1713&3889&909&3927&3906&1791&948&3936&967&983&3966&4740&3969&1989&1659&1024&1027&1040&1228&1282&1116&1119&4048&1157&4092&1194&4105&4132&1920&1990&4151&4153&4194&1246&1247&2081&4216&1697&2613&1268&1281&1303&4251&4228&1311&1981&4894&5816&1330&1332&1348&2686&4283&2485&4294&1384&4322&4325&1427&1431&1432&4352&1436&1441&4360&4362&4375&1449&1513&1527&5764&1537&5561&5609&1581&1547&4444&4471&4479&4520&1617&2352&4525&1627&1884&4532&4566&4835&1701&4611&4630&4635&1781&4639&1985&4690&1864&4698&6061&2561&1927&4749&1970&1992&4805&4844&4850&2092&2115&4887&2121&2149&2158&4961&4949&4941&4951&4986&4971&2217&4982&2301&2302&2321&5032&2336&2360&5059&2574&2400&2415&5077&5092&6576&5100&2434&2458&5123&5126&5129&2487&5326&2510&5780&2534&2537&2552&2558&2577&5227&5246&5260&2642&2654&2667&5283&2728&2732&5355&5338&5399&5409&5430&5478&5482&5483&5485&6892&5510&5522&5565&5604&5610&5631&5671&5680&5683&5699&5704&5765&5784&5790&5812&5825&5877&5885&5974&6039&6836&7354&6028&6046&6076&6074&6101&6144&6163&6221&6231&6331&6346&6344&6361&6365&6423&6446&6448&8362&6468&6499&6574&6531&6548&6556&6589&7562&7886&6660&6686&6700&6693&7578&6708&6861&6823&6845&6889&6954&8490&6962&7942&8286&6997&7020&7125&7154&7193&7197&7262&7378&7412&7421&7497&7499&7503&7623&7712&7758&7765&7800&7849&7874&7943&8066&8087&8124&8126&8683&8330&8575
