tdg_iter_descent[10000, 2]
time,|TSS|,sol
384.22333431243896,305,4986&1886&5885&2826&3019&1074&630&569&639&3658&889&4957&1290&1116&0&80&565&1273&4667&4293&6&511&1194&6216&1282&7154&1157&2190&785&3636&7177&2936&6893&2302&6446&1540&529&5816&2158&369&2429&1431&1537&307&688&2824&356&2641&6490&5077&6365&2880&1753&3121&1992&661&220&5764&4894&806&4698&694&5430&99&1515&284&1392&4971&2344&238&2654&2354&1697&2771&1016&5114&8246&8472&2301&1266&337&350&28&446&2893&824&92&1990&352&4805&5227&2612&4690&215&2144&488&983&54&4479&2667&159&3349&3857&2986&353&5685&1864&244&1732&558&3258&1441&7578&5166&1618&1384&4151&5522&6321&5174&2686&7765&3475&2002&2957&5609&2336&4744&6262&2577&1281&1701&3194&341&3071&115&1207&7125&5105&221&5704&1427&3906&4322&2552&3645&1231&5631&6053&4352&1547&3536&1138&89&191&5300&499&1458&7503&5344&7543&7378&3612&1667&1890&1513&1989&3927&4745&27&2789&4612&6101&5612&1538&2487&5561&1330&4216&687&3041&3356&3729&7421&5100&2171&1359&198&1833&553&2173&169&5096&2485&8218&6845&3533&1211&766&3966&5188&7757&709&4195&1687&5915&1581&1729&5812&249&3022&2217&6836&1647&850&1935&3812&2902&5245&588&156&2829&6657&1437&4630&6103&1678&6954&3581&120&6061&6231&5683&730&6074&3402&6163&4205&2499&1187&3868&1891&4056&3867&1527&1303&1857&6531&5417&2415&175&1414&5340&6468&3006&5872&2558&2781&1627&3214&3668&3307&1246&4961&1205&2115&88&4471&148&420&532&112&4194&408&4901&5482&4740&982&292&4330&4850&2081&2324&3080&195&3417&315&2437&2027&43&1247&3579&2725&1968&5780&6448&2408&4823&5583&1264&4154&4210&3559&2525&1311
372.49594497680664,334,4986&2826&5885&1886&3019&2452&4449&569&3658&889&1085&1290&1116&80&314&858&317&4293&2442&2235&6&4214&1194&1203&1282&1157&2190&785&2510&139&1268&8446&2936&3419&2302&6446&529&5816&2158&7262&369&6693&1981&2429&1431&1537&307&688&5501&1945&2824&3866&2641&6490&5077&6365&5648&1753&5405&3121&1992&5764&3718&2649&657&4894&4698&200&1002&4949&694&3028&5430&5825&5530&284&3120&2598&1392&4971&77&964&1154&2654&7279&1697&3874&2771&8246&2301&1266&3288&337&350&446&7203&2893&3989&824&3053&5227&2057&4690&488&983&54&4479&2667&159&3857&2986&353&5685&1864&111&1732&4611&5409&558&3258&7117&1441&1985&7578&1618&1384&4692&4151&6321&5174&4228&4639&2686&7765&3475&2002&2423&6166&173&1105&5609&2336&219&6262&2577&4161&1281&4027&341&3071&115&1207&5105&296&221&5704&1427&3128&2528&854&4322&1001&2552&7020&1231&7354&1547&3536&5510&89&191&2360&11&7503&811&7378&4835&512&3366&6861&6361&5126&1513&1989&3927&3434&4745&27&507&1674&2789&6101&1024&3221&5680&1538&2487&5561&1330&1946&687&3041&3356&3729&7421&5100&2171&1359&3623&198&1884&169&2485&2173&6144&3533&8087&3966&7757&5915&6964&1581&1729&5812&5326&3022&2217&6836&1647&850&1935&8160&2823&2902&2537&588&909&1388&2638&1437&2660&6954&3581&6061&719&5683&4951&1807&730&1304&6074&2665&404&6307&3402&5355&6163&2149&2499&6115&3868&1628&4103&1527&6494&357&6531&1974&2415&175&1414&3006&6606&5872&2558&2781&1627&157&3214&3668&3307&1246&7623&1205&88&564&7220&4471&5483&148&679&420&355&158&4183&112&4043&408&4901&1059&4740&982&292&4330&4850&2081&3991&916&3080&195&1942&3417&6534&2613&3936&43&1247&3579&988&2343&1121&2725&3510&4010&2492&3942&6448&2408&4823&6331&6221&3646&2938&2348
380.34401392936707,303,4986&4144&3436&1886&5885&3019&4449&2605&569&3658&1290&1116&80&3261&317&2064&1904&3651&3256&1194&7154&1157&2190&3104&785&3636&5990&5246&2510&139&2936&2704&6893&2302&1540&529&5816&2158&369&2429&72&1537&307&5501&4020&1945&6862&2824&1693&2574&2641&3804&5077&6365&1753&3121&1992&3265&3718&2649&200&5430&248&284&2598&2940&1392&434&805&964&2654&2699&7279&1697&1716&1016&6524&2214&5114&8246&1266&1858&337&2539&2893&7941&824&144&1990&7431&4805&5227&2612&4690&2448&2057&488&983&4479&1869&2667&159&3349&3857&2986&353&5685&1864&111&1732&2610&558&2623&1985&698&1618&4903&7819&1384&4692&5522&3300&2622&1248&6321&4228&4639&2686&4995&7765&3475&173&5609&2336&4744&219&6262&5828&2577&7818&1014&4161&1281&8013&341&3071&8286&1207&5105&390&5704&1427&3128&3906&3645&2552&1231&4352&1547&375&3536&5510&89&191&870&417&1458&7503&23&7543&7378&2625&3112&1513&3927&3434&27&507&6101&1908&3811&5680&1538&2487&5561&1330&329&5032&1946&687&1146&3041&3356&7421&5100&198&3623&553&1884&169&2173&6144&2380&3533&4313&766&1214&4937&426&5915&1581&1729&5812&3022&2217&6836&1647&850&1935&2537&1800&588&909&1388&6657&1437&4630&6954&3581&327&2590&6061&2816&3517&6231&5683&730&4683&2665&39&3402&5787&6163&4942&2149&3740&2244&4103&1527&6531&1974&1536&5767&175&3006&6606&3126&5872&2558&2781&1627&1219&3214&3153&3668&3307&1246&7623&4961&7418&1205&88&4471&2222&148&420&4183&112&816&4194&408&4901&1059&3326&292&4330&2081&3080&195&1942&3417&315&2027&1247&3579&988&1119&6448&1264&6221&5076&1311&1981
388.4699459075928,291,4986&3713&2826&5885&1886&3019&5859&2452&569&1290&1116&80&199&4293&3138&712&241&2071&2881&6603&1194&1282&1157&3104&2190&785&3636&6739&5246&1268&2936&3419&1541&6893&2302&6446&1540&529&5816&2158&2211&1537&307&688&5501&2824&2641&6490&5077&6365&1545&300&5299&1753&3121&1992&1768&2649&4894&200&694&5430&5530&284&3962&1392&434&3841&4971&964&2297&1154&1533&2582&7279&1104&2921&1697&2771&5114&1889&5493&1266&3288&337&1444&6228&446&401&2893&5291&824&1990&4805&5227&2612&2057&4690&488&54&1869&2667&159&3349&3857&2986&353&5685&1864&111&5409&4403&558&3258&2775&1441&2041&2623&5178&7578&1618&1598&2935&1384&4692&4151&2762&5565&6321&5174&4228&4639&3046&2686&458&7765&2679&173&2336&4744&6262&1851&4685&4161&1014&1281&279&1701&1207&221&5704&1427&3128&2528&4322&2552&3645&5631&7354&4652&4352&375&5510&89&191&647&499&417&3608&1458&7503&7378&3612&2625&1890&6861&5126&1513&1989&3927&3434&27&2789&3221&5680&1538&2487&5561&1330&4216&3041&3356&7849&7421&1359&3623&198&553&2173&2861&297&3533&3966&7757&426&1581&1729&5812&3709&6714&3022&2217&6836&1647&850&1935&2823&2537&1800&909&156&6945&6657&2340&1437&3011&4232&5140&6954&3581&327&6061&1209&6231&5683&6074&3402&5355&6163&2149&3673&136&4103&1303&462&6531&2415&175&1414&3692&6606&3126&985&2558&1627&3214&1246&2168&1205&3723&2115&88&567&2222&148&679&420&532&4183&112&4194&4740&982&292&2081&3080&195&247&7777&3417&43&3151&1247&3579&988&6448&3398&4823&461&6221&1981
376.45518136024475,345,4986&3436&5885&3019&5859&1731&569&889&1290&1116&80&1273&2689&4293&1194&1282&1157&2190&785&3636&6739&5246&2510&2636&139&2936&3419&2257&2302&1540&529&5816&2158&4621&369&2429&1431&1537&5501&688&4423&1945&2824&7886&2574&2641&6490&5077&1753&1992&1135&5764&1768&465&1791&806&4698&4949&4952&694&5430&248&2321&5825&2817&2598&1392&434&1154&2654&7279&3260&1697&2771&2214&5114&878&2301&5493&5691&1266&271&337&28&2539&446&2893&3989&4489&824&1990&4805&2612&4690&4525&983&54&4479&2667&159&2986&353&7001&1864&5685&111&1732&558&3258&2024&1441&2623&8330&2900&1618&1384&4692&4151&5565&6321&5174&4228&4639&2686&6471&887&7765&3475&2002&2423&384&1139&3094&1792&173&5609&607&4744&219&6262&2577&7818&4161&1281&341&250&3071&8286&1207&7125&5105&5704&1427&3128&2528&4322&1001&2552&7020&1231&5631&4352&1547&3536&5510&89&191&360&711&1713&499&417&1458&7503&5371&7543&7378&1667&5111&4835&512&3366&6861&5126&1513&3927&4093&3434&4745&27&2789&6101&1024&3221&1538&2487&5561&1330&1946&1604&4357&687&3041&3356&7849&7421&5100&2171&1359&3623&198&6499&553&4748&169&2173&1884&4092&3533&3966&426&5915&6964&1581&1729&5478&5812&4325&2217&6836&1647&850&1935&2823&2902&2537&588&909&4251&6657&522&1437&4630&5056&790&6954&3581&2840&327&2590&6061&4444&6231&5683&4951&730&152&1304&6074&2665&5745&4670&3402&634&5355&6163&6910&2149&3740&2499&3868&1628&3673&5084&4103&4056&1527&1303&6494&6531&1974&8289&2415&175&1414&3692&1775&3006&6606&3126&5872&3969&2558&2781&1627&5610&3214&1246&7623&4961&1205&2115&88&3771&5391&5483&2222&679&4183&4043&4194&408&2129&292&3648&4330&2081&916&3080&195&1942&247&3417&4627&315&43&1247&3579&5089&988&2343&1121&2725&6610&840&6448&3539&2347&3311&3559&6221&6850&3646&1311&1981
389.6630883216858,301,3038&4986&3713&3436&2826&1886&5885&3019&5859&2452&569&4342&1290&1116&0&80&3261&4293&1190&2609&1194&7154&1157&2190&785&3636&2510&8446&2936&3419&2302&5816&2158&6830&369&2211&2429&1537&307&688&5501&1945&2824&1693&7886&356&2641&6490&5077&6365&5648&1753&1003&3121&1992&7898&2649&806&4698&200&4949&5430&5825&2940&1392&4971&1154&2654&7279&1697&2771&1095&4132&1266&3288&337&350&6072&2539&446&2893&824&1990&4805&4844&5227&2612&2448&488&983&54&4479&2667&159&3857&2986&7562&353&1864&111&1732&5409&7117&2775&915&767&1618&1384&4692&4151&6321&5174&4228&178&2052&3475&2002&6166&5647&173&5609&4744&6262&219&2577&7998&1281&2220&4055&2023&341&1777&1207&5105&221&5704&1427&1420&854&2552&7020&813&1231&3596&5631&4352&3536&566&5510&89&191&360&711&11&499&417&7503&5371&811&7543&7378&1943&3112&512&6861&5126&1513&1989&3927&3434&27&1674&903&5680&1538&2487&5561&1330&5032&3041&3356&7849&7421&5100&5749&2171&1359&3623&198&553&4748&169&2173&4285&3533&8087&3966&5188&6964&1581&1729&5478&5812&249&3022&2217&6836&1647&850&1935&2537&8&588&909&2638&6945&6657&4227&1437&4630&6954&3581&2590&6061&719&6231&5683&1304&6074&4059&5745&1895&2665&4670&7449&5355&6163&2149&3740&2499&3868&2244&666&1527&8534&6531&1974&2415&175&7943&1414&3006&6606&5872&2558&2781&1627&5610&1219&3214&3668&3307&1246&7623&5180&162&1205&2111&1063&88&5483&148&679&420&7513&112&4043&4194&4901&2032&4740&292&1111&2081&3080&195&1942&1143&3417&5604&43&1247&3579&988&7982&2725&6259&6448&2408&3559&1981
393.1667129993439,314,4986&2826&1886&3019&630&569&1116&0&80&317&4293&4956&1723&241&2071&466&2881&1194&1282&1157&2190&3104&3636&5246&2510&7010&1268&2936&1541&2302&6446&1540&529&2158&7262&369&1537&307&688&5501&454&1945&2824&7886&2641&6490&6365&6841&1753&3121&1992&5764&2649&4894&2147&806&4698&200&5430&907&1487&5825&776&434&805&2344&1154&4298&2654&7279&1697&2771&1095&1016&5114&2189&8246&2301&1266&1098&3288&2672&1858&350&28&446&2893&824&1990&4805&2448&4690&568&488&983&54&1869&2667&159&3857&544&353&5685&1864&111&1913&1732&830&4403&558&1260&1441&915&2041&8330&7578&1618&1384&1394&4151&5522&6321&5174&4228&4639&2686&7765&5454&1792&173&624&5609&2336&4744&219&6262&2577&4161&1281&5713&1701&341&3071&1207&5105&221&5704&1427&3128&1312&2528&7607&1420&3906&4322&2552&854&7020&1231&5510&89&191&647&5129&96&499&417&1458&7503&5344&7378&1398&2625&5111&3112&2166&6861&5126&1947&1989&1513&3927&8402&3434&4745&2025&27&2789&6101&3221&5680&1538&2487&5561&1330&1946&4216&687&1146&3041&2813&3356&7849&7421&2353&2171&198&3623&1884&169&2485&4285&6144&3533&4313&8087&3966&4593&4195&426&5915&6964&1581&1729&5478&5812&5485&3709&2217&6836&1647&850&2823&2537&1800&909&1437&4630&3581&6061&6231&5683&730&6074&2665&404&4670&3402&5355&6163&2534&3740&1970&2499&6115&3868&1628&3673&1040&2573&6494&2169&2415&175&3037&3692&3006&3126&5872&2558&2781&1627&3214&1246&7623&1205&1917&88&4471&5483&2222&679&420&532&4183&112&408&4740&982&292&3648&4330&2081&3080&195&1942&247&1550&3417&67&43&1247&2911&3579&988&840&6448&2408&4823&4274&3559&6221&1311&1981
375.65916442871094,335,4986&3713&3436&2826&5885&3019&569&3658&1348&889&4957&1290&1116&80&4293&3431&1194&7154&1157&2190&3104&785&3636&5246&2510&139&22&1268&2936&3419&6893&2302&1540&529&5816&2158&7262&234&2642&1537&5501&688&1693&2641&368&6490&5077&6365&2375&5299&1753&3121&1992&5764&3317&3718&2649&1791&4698&200&694&3347&5430&248&1402&284&2817&1152&1392&434&4971&2654&7279&1697&3874&1716&2771&1016&4132&8246&1266&2672&337&350&2539&446&2893&7941&824&1990&6766&4805&467&2612&2057&6073&488&983&54&4479&5017&2667&159&3349&3857&2215&2986&353&4988&5685&1864&111&244&4611&558&3005&1441&1985&698&1618&798&545&1384&4692&4151&2762&5522&5565&6321&4228&4639&2686&6471&7765&3475&2423&173&5609&3859&2336&219&6262&4744&7818&8013&1701&341&3071&115&8286&1207&221&5704&1427&2528&3906&4322&3645&7020&1231&5631&4352&1547&3536&5510&89&191&360&711&616&499&7503&3114&1321&4749&1645&7543&7378&1667&2625&5111&4835&3112&3366&2633&5126&1513&3927&880&3434&27&2789&903&6101&1024&3221&5680&1538&2487&5561&5593&1330&1946&7838&4216&687&3041&3356&7849&7421&5100&2171&198&3623&5157&4748&169&2485&2173&4092&6144&3533&4477&426&5915&1581&1729&5812&559&3022&2217&6836&1656&1935&2823&2902&2537&909&4251&510&6657&1437&4630&5056&6954&3581&3851&327&5988&6061&719&2583&5683&4951&1807&730&6074&2665&4670&3402&1894&6163&2149&3740&1970&2499&1628&3673&5084&6531&1974&3220&175&1414&4360&5567&2146&3006&3126&5872&2558&2781&1219&157&3214&3307&1246&7623&1205&6480&2115&116&88&4471&5483&2222&148&679&420&4183&4194&1617&4901&4740&292&4164&1111&2081&5147&916&3080&195&1942&247&3417&1958&6534&2613&315&43&1247&3579&988&2343&1121&2725&2713&840&2492&6448&2347&3559&6221&6331&799
375.1479949951172,329,4986&3436&2826&1886&3019&569&1116&80&1273&4293&1904&1194&1666&4551&1157&3104&785&3636&5990&2510&139&270&3419&2936&6893&2302&6446&1540&529&1106&2158&5816&7262&369&3980&234&2429&1431&1537&307&5501&4423&3139&2824&7886&2574&2641&6490&5077&6365&3025&1753&3121&1992&2818&5764&4734&4698&200&4949&694&5430&5825&284&2797&2940&1392&1154&2654&7279&1697&2771&4132&7004&8246&2301&1266&3288&350&1444&857&2539&446&7203&2893&4489&2209&5952&824&1990&3664&4805&5227&2612&4690&5617&488&983&54&4479&2667&159&3349&5541&3857&2986&353&1864&111&244&1732&521&558&3258&6270&1237&2024&1441&5877&3791&1985&698&7578&1618&5247&1384&4692&4151&5565&6321&4228&2686&6471&7765&2423&2002&1792&173&1298&2336&4744&6262&1939&4161&7818&1281&1701&4055&341&8286&1207&5105&221&5704&1427&2528&854&4322&2552&3645&7020&1163&1231&5631&4352&1547&3536&5510&89&191&360&96&11&499&417&1458&7503&2714&7543&7378&4835&3112&512&6861&5126&1513&3927&4677&3434&4745&27&1674&2789&1024&3221&1538&2487&5561&1330&5032&1946&4216&687&3041&3356&7421&724&967&1359&3623&198&169&2173&6845&6144&3533&3421&4937&426&5915&1581&1729&5217&5812&7332&5326&3022&2217&6836&1647&850&1935&2902&2537&588&1388&2638&6657&1815&1437&4630&3301&6954&3581&2590&6061&3357&3517&719&3149&2583&5683&4951&1421&1807&730&1304&6074&2391&2665&1895&6844&4670&3402&5355&6163&2149&2499&3868&1628&4218&4103&1527&1303&8534&1974&2415&175&3692&6468&3006&6606&3126&5872&2558&2781&1627&1219&157&3214&1246&7623&1205&88&4471&1828&5483&2222&148&420&532&4183&112&4194&4901&4740&292&4330&2081&3991&3080&195&1942&1143&247&3417&1247&3579&1121&1968&468&6448&2408&4823&7528&3559&6221&6331&1981
