tdg_iter_descent[10000, 5]
time,|TSS|,sol
198.06053352355957,210,2927&4369&2388&5096&1181&289&1369&73&5220&752&873&1644&896&3405&3115&1026&1445&1556&1200&1030&1389&138&3163&2094&416&1245&55&1462&1659&1749&1414&175&310&5754&3716&1814&2653&5653&180&4689&553&4617&693&2870&225&958&33&3220&967&1400&108&3616&2275&786&5645&1888&1882&3926&2498&3310&1785&1947&2942&855&335&125&4539&169&1877&5510&111&1758&2092&1385&1780&151&680&427&146&963&2646&4781&2384&1163&1380&3462&390&2638&196&478&64&2362&531&5504&4459&1847&3285&5537&422&1792&370&1669&3244&3613&1992&1098&3305&1751&2823&3981&399&3929&1301&4639&804&248&1579&2798&1361&3771&1834&4769&1403&1476&1318&718&1411&2047&2134&1930&3615&1685&1459&1742&736&516&1636&3558&303&1654&2314&3833&1198&1141&950&3676&236&2332&4434&43&1674&3866&1075&129&2523&2086&2862&2948&4004&726&1237&1025&3327&475&1413&886&3475&3846&428&4324&1281&2654&2898&165&1260&2199&2761&2039&2017&3934&3016&439&3312&44&3246&3831&20&2666&759&2049&576&1004&955&4160&307&2195&2253&1429&667&1657&5788&1229&1626&264&3398&961&537&949&1815&60
211.63357734680176,229,3232&1974&1398&4369&424&5096&2821&1181&3363&2360&3930&1424&5220&136&5406&873&1644&4628&896&3405&3115&3810&1445&1556&1200&1666&1714&1389&138&416&1723&1547&191&55&66&1462&1753&1659&1388&1749&1414&1337&175&310&4319&279&5754&521&3137&4282&1814&1735&1692&4293&554&636&5653&180&5545&112&4689&4617&3514&693&3933&1969&958&4041&1400&108&3616&2275&257&4741&786&5645&1888&3926&2498&3310&1785&1317&1947&1620&2907&3463&3865&125&6039&169&1877&27&111&131&1805&1228&1703&146&4781&2384&2114&2544&390&2244&2638&478&8&64&3815&2362&5504&243&2345&1847&5537&422&1675&1792&370&1669&3613&2093&3305&3981&399&248&3813&4016&2798&1361&3771&1834&1579&4769&1403&686&2425&1610&2134&3733&1930&4362&1222&1478&1685&1459&1742&3102&2024&736&303&3032&2102&1382&1654&2314&49&1365&1218&3178&3833&1198&756&4778&950&647&1352&4434&1307&1247&1674&3962&1075&129&2523&4004&726&2948&1237&1025&475&962&4686&3364&1359&886&3033&2007&428&4324&2654&2898&3160&2199&2761&2017&439&3312&3296&44&2828&1343&2055&62&979&2942&576&955&307&667&1981&1657&5788&1497&929&1698&1284&1229&1626&3398&1002&4174&961&537&4242&1815&1417&3152&1856
205.99924778938293,241,193&3232&2927&629&2593&1398&4369&167&5096&582&1181&6062&289&1369&1946&1765&2360&3930&5220&136&3066&2115&873&1644&896&3571&2852&3405&3115&1971&1445&3191&1556&1200&1030&2451&138&2295&191&55&66&1753&571&1659&1749&310&4587&4319&279&5754&490&1814&606&1787&1692&4551&2653&636&180&4689&553&693&2663&4285&1969&3341&2690&108&3616&981&2275&4741&786&5645&2942&3926&2498&3310&1785&1317&1620&4217&125&4539&169&1877&3441&131&1703&247&1108&146&4781&2384&2114&1163&390&2244&8&478&64&695&3815&2362&5504&2345&1847&4815&3285&5537&422&1005&370&1669&1792&3613&4109&382&1992&1098&1751&3095&314&1305&3981&1301&804&248&3266&1579&2798&1361&3771&1834&4769&1403&1411&1610&3615&948&1685&1459&3358&1742&1039&4180&2024&736&516&1836&3715&303&2314&1168&1365&1218&4721&3178&1198&1141&6071&3676&1466&236&1404&2779&3886&2332&4434&43&767&1674&1075&1827&1046&2862&2086&4004&2948&1154&2231&726&4880&1237&475&3364&886&3475&3033&3846&2007&428&1562&192&2654&769&1850&2199&2017&3934&999&3016&439&3312&3092&44&2828&2055&20&979&2861&2049&679&576&4152&5154&955&2897&307&667&4875&1657&75&5788&1497&929&1354&1229&3171&1626&264&3967&1002&1890&505&961&537&1815&1866&1417&325
216.07075238227844,263,193&3232&1398&4369&1181&1765&2360&3066&873&1644&896&1843&4176&3115&334&2288&1666&1030&496&138&416&66&311&2743&521&3346&1814&1735&4826&5653&180&636&4381&1943&4617&5168&1400&108&3616&981&3926&2906&1785&3310&1947&1877&111&131&1385&1703&151&247&680&427&208&146&4781&2384&64&4459&2345&1847&4340&2375&5537&422&370&1669&382&1098&3095&399&804&3813&248&2798&1361&1834&1610&3615&1478&1742&736&516&3558&2102&2314&2835&1198&236&2332&1307&43&767&4740&1674&3866&252&1827&2523&2086&2948&475&5343&3033&2007&428&353&2654&5291&769&165&2199&2039&1275&2017&3934&3312&1973&44&2666&979&955&2195&572&101&1981&1497&2293&537&2596&325&421&1974&559&3363&289&1369&1946&5220&5406&3571&2852&1445&1556&1029&1389&3163&55&1462&1753&1659&1749&175&310&4754&3716&1787&1692&2653&4689&693&4285&1969&33&4041&786&5645&1882&1620&4362&2942&2907&335&3900&5285&125&4539&169&1805&1758&1108&5063&2114&390&2244&3797&2362&5504&1396&3285&1675&1792&3613&4109&1992&3305&284&1305&3981&1301&3179&1579&4769&1403&1476&1318&2134&2424&1636&303&326&1168&4400&3178&3833&1466&3886&4434&4502&1075&1431&2862&4004&2231&726&2001&1713&1237&1025&4686&3364&886&3475&3846&700&4324&1562&2712&2761&3016&439&3296&2828&4355&39&2049&679&576&1699&667&579&1657&5788&1229&3171&1626&1002&961&1815&1866&922&1856
206.7848834991455,224,1287&4369&5074&2388&2821&1181&3363&289&6062&3930&2360&5220&136&5406&873&1644&896&1856&1026&1971&1445&2336&1426&1556&1200&3742&1030&2826&1389&2451&1854&55&66&1462&1659&1749&3881&175&4587&3346&1735&1692&1787&2653&636&5653&112&1022&4689&1943&1048&4617&693&4285&122&1969&33&3220&4041&1958&4200&108&1212&2275&4741&786&5645&1882&3926&4362&3310&1785&1317&2942&335&3865&125&6039&169&1877&111&131&1758&4107&151&1108&418&146&963&2384&3462&390&2244&196&2638&478&64&5504&4459&2345&1847&4815&5537&422&1675&4204&412&370&1669&3613&1992&1098&3095&1305&3981&399&1859&1301&804&3813&248&1579&2798&3771&1834&4769&1403&1318&3129&1610&1217&1930&3615&179&4137&1685&1478&1459&1742&2024&389&736&516&1636&3558&4344&49&1168&1365&1972&4005&3833&1198&4263&4334&647&236&4434&1307&253&355&3866&1075&4206&129&2523&2862&4004&2948&726&1025&962&3364&886&3475&700&428&4324&1562&2654&2898&769&165&2199&2761&2017&3934&3312&3296&44&2828&1343&62&20&2049&1273&679&576&4569&2267&1390&1699&964&5154&955&572&667&101&3823&1657&5788&1842&1229&628&1626&264&1002&2596&1454&1815&4093&325&102&2871
213.563054561615,229,193&1398&4369&1181&3363&1369&1946&1765&5220&136&3066&668&873&1644&896&2852&3115&1026&2336&1200&1030&1389&55&66&1462&1753&1659&1749&175&310&279&5754&4&490&4282&1814&2226&1692&3716&2653&4293&606&636&5653&180&5545&4689&1943&4617&693&2870&4285&2683&1969&958&5168&33&2690&1400&108&3616&2275&786&2942&3926&2498&1620&1785&1317&335&3865&125&6039&169&1877&1805&131&1758&1385&1703&151&3409&146&5063&4781&2384&2114&1163&3462&390&2244&8&478&64&2362&5504&4459&2345&1847&5537&1675&370&3613&4109&382&1992&1098&697&1301&3179&804&3813&248&1579&2798&1361&3771&1834&4769&1403&2047&2425&1318&686&1217&1930&3615&948&1685&1478&1459&1742&736&3259&516&3032&2102&2314&3178&3833&1198&2635&1141&3149&1466&236&1352&4434&3913&1307&43&1247&4740&1674&3866&767&1075&1668&4230&2523&2086&2862&4004&726&1237&1025&475&4686&2549&4159&886&3475&3033&3846&700&428&21&4324&1562&5529&192&2654&2898&769&165&2529&2199&381&1275&2017&3934&439&3312&3296&44&2828&1534&39&62&2666&979&868&20&2049&576&1699&2829&5154&955&307&2195&572&667&579&1657&75&5788&1497&1729&1229&1626&1002&961&2596&1815&4242&1866&560&2871
211.93580317497253,214,3232&3451&1974&226&1398&3922&1181&289&3930&5220&5406&3066&1857&1644&896&2201&1026&334&4191&3490&1426&1556&1200&1907&1030&2148&496&138&3163&1547&55&1753&1659&4735&1749&175&4754&310&1814&1735&1787&1891&1692&1266&636&180&1137&693&4285&1969&4041&108&2275&786&5645&1882&3926&2498&3310&1620&4362&125&4539&169&5452&111&131&5082&1385&4792&1780&247&1703&418&151&680&469&1367&146&2384&1649&2114&1380&390&2244&2638&478&64&3815&2362&531&5504&243&2345&1847&3285&715&5537&422&1675&4204&4487&1669&3613&1992&1098&2888&116&3095&1305&399&2709&1301&804&3813&1579&1361&3771&686&1411&1028&3615&948&1685&1459&1742&4986&1415&4813&3524&736&516&389&4746&1836&3234&484&889&2314&1168&1365&1198&2676&2309&1466&1404&410&4434&2237&1247&988&1370&3781&4557&129&1075&14&2523&2086&2862&2948&4004&726&1025&4686&886&3475&3033&3465&428&4324&192&2654&2898&769&1260&2199&2761&2017&3934&654&3312&3296&1973&1534&1343&62&20&576&3885&1004&1390&5154&955&307&667&4211&29&4875&3823&1657&572&5788&2347&5040&929&1229&1626&264&1002&961&537&2596&3081
210.1497938632965,229,1398&4369&5096&2821&2719&1181&3363&878&289&1369&2360&3930&5220&136&5406&3066&1533&3&752&873&4458&2634&1644&896&2852&3405&548&1026&1445&1161&1556&1200&1666&1030&1389&2451&138&416&1387&922&55&66&1462&1753&1749&2617&310&4319&279&5754&490&3966&1814&1735&1692&2653&180&4689&1943&98&4617&298&693&4285&2391&1969&958&5168&33&4041&2690&1400&108&2275&4741&699&786&5645&4362&3926&2498&2906&1317&3310&1620&2942&125&17&6039&4539&169&1877&149&111&131&1228&1385&1108&680&418&146&963&2384&2114&1163&390&2244&3797&196&478&2638&64&5504&4459&1847&3285&343&5537&422&2949&1792&370&2381&1669&3613&3564&1992&697&1305&3981&399&1301&804&3813&1579&2798&1361&3771&1476&686&1930&3615&1685&3358&1742&1478&1459&1174&2024&736&516&3259&3715&326&2835&1198&1141&236&4434&43&1247&988&4740&1674&355&63&129&1075&1286&2523&4004&726&2948&1237&1025&475&4686&886&3475&3033&428&1281&3542&2654&2199&2761&2017&3934&439&3312&3296&2828&1534&62&979&20&2049&576&4295&5154&955&2897&32&307&667&2347&3823&1657&5788&1497&655&929&1698&1354&1229&1626&1223&264&3398&1002&961&537&2596&4242&1815&560&325&1856&2871
215.2969470024109,206,1287&193&1398&4369&1181&3363&1369&3930&1424&5220&5406&356&1533&250&873&3571&2852&3127&1026&1445&3670&1556&1200&2148&1030&1029&2826&1389&3163&416&2094&1753&66&5440&1749&175&310&133&279&4282&1814&1735&1692&606&2653&554&180&1748&4689&4617&693&1969&3220&2281&989&1400&108&3616&786&5645&4362&3926&2498&3310&1785&1620&2530&2942&1743&3865&4890&5285&125&4539&169&1877&111&1108&1453&930&2890&5016&146&1649&2114&1163&1942&390&2638&196&478&652&2362&5504&1847&3285&5537&1675&2050&1792&370&1669&3244&3613&4109&1992&4043&1301&804&3813&248&3771&1476&1834&718&1610&5425&740&1930&3615&113&2790&1685&1478&1742&736&516&303&2314&3833&1198&5277&1141&1466&2020&4788&3943&2080&4740&253&3866&1075&2523&2086&726&2948&22&4880&160&1025&4825&3364&377&1582&700&428&80&1281&2464&2654&2992&1850&165&769&2199&2761&3160&2039&2017&999&439&3296&44&1292&39&109&20&2055&2049&576&5224&1250&2829&144&5154&955&32&667&1402&1657&2524&887&655&929&1354&6245&1229&1626&264&1844&961&537&1815&60&325&1856
