tdg_doerr1+1[3;10000]
time,|TSS|,sol
150.073748588562,232,1896&247&248&20&2761&1703&39&43&1930&44&49&55&64&1992&1198&1946&66&1973&1974&1337&80&1989&1476&108&2017&2039&111&1361&2048&2049&125&146&390&131&136&137&138&1466&786&2102&667&151&2114&169&180&3066&3715&2134&191&192&193&196&736&1556&1749&236&2199&326&1644&873&1305&2231&279&967&1620&955&2244&303&310&2279&335&370&2293&1030&2345&2360&2362&693&2384&2375&399&416&1814&769&1002&428&439&4781&478&484&490&521&576&2498&537&3312&804&2523&4319&1610&1275&606&668&746&636&2567&679&686&2587&2596&2638&2646&2653&2654&2666&817&886&859&896&911&2798&2814&948&961&963&1783&2853&2862&2878&1318&989&2890&2906&3462&2942&2948&1075&1098&1108&3016&1882&3865&1181&1200&3095&3115&1765&1307&3163&3200&1369&5788&3232&1398&1400&1403&3285&1445&3310&1462&3316&1478&1636&3363&1562&1579&3364&1626&1648&1657&1659&3571&1666&1674&1685&1698&1712&1742&1751&1753&1785&1815&1834&1848&3599&1856&3613&3607&3615&3616&1877&3686&3771&3797&3833&3846&3866&3882&3926&3930&4004&4041&5645&4204&5154&4285&4293&4317&4324&4334&4344&4352&4387&4434&4551&6071&4689&4741&4769&5090&5096&5168&5572&5406&5425&5504&5612&5647&5775&5832&5537&5957
148.84890460968018,233,247&248&18&20&2761&1703&39&43&44&49&64&65&1992&1198&66&80&1476&2012&2013&108&2017&2039&111&1361&2048&2049&125&146&390&133&136&138&1466&786&2102&1728&667&151&2114&169&180&3066&3715&2134&191&192&193&736&659&1556&226&1749&236&245&2199&326&1644&873&2231&279&967&1620&955&2244&303&310&2279&335&370&1805&2288&2293&2314&2334&1030&382&2345&2362&693&2384&2375&399&1814&769&1002&428&439&4781&2451&478&490&521&576&2498&537&3312&804&2523&4319&1610&1275&591&606&636&679&1845&2596&2638&2646&2653&2654&886&859&896&2798&948&2828&4123&961&963&2862&1318&989&2906&1191&1026&3462&2942&2948&2965&1075&1098&1108&1890&1163&1882&1181&1382&1200&1765&1307&3163&3178&3179&1355&1369&5788&3229&3253&1396&1398&1403&3285&3296&1445&3310&1462&1478&1562&3364&1626&1648&1657&1659&3571&4109&1674&1685&1698&1712&3493&1742&1743&1751&3508&1753&1758&1785&3546&1815&1834&3599&1856&3613&3615&3616&1877&3716&3771&3813&3833&3846&3913&3926&3930&3974&4004&4015&4041&5645&4107&4204&4194&4196&4230&5154&4285&4324&4383&4434&6071&4689&4769&4774&4782&4948&4949&5096&5168&5191&5220&5291&5572&5868&5406&5457&5504&5616&5775&5537&6195&6229&6246
151.0383117198944,233,1591&247&248&20&2761&960&1703&39&43&1922&1930&49&64&65&1992&1994&1198&1946&66&1974&80&85&1476&108&2017&2039&111&1361&2048&2049&125&146&390&133&2081&136&138&1466&2094&786&2102&667&151&2114&169&180&3066&3715&2134&191&192&193&196&736&659&1556&2150&226&1749&235&236&2199&1644&873&1304&2231&279&967&1620&955&303&310&2279&2280&335&339&370&2293&2314&1030&2362&693&2384&2375&416&1814&769&3029&1002&428&439&4781&2451&478&500&521&528&576&2498&537&3312&804&2523&4319&1610&1275&1426&636&1365&679&2596&2638&2653&2654&2666&886&859&896&2798&948&2828&961&963&1318&2886&989&2890&3462&2942&2946&2948&1075&1098&1108&1141&1163&1882&1168&1181&1200&1765&1307&3163&3177&3179&1359&1369&5788&1398&1403&1404&1546&3296&1445&3310&1462&1478&1515&4891&1636&3363&1562&1579&3364&1626&3386&1648&1657&1659&3571&4109&1675&1685&1698&3447&1712&1742&1751&1758&1785&3550&1815&1834&3599&1856&3613&3615&3616&1877&3666&3716&3728&3771&3791&3810&3833&3846&3866&3913&3926&3930&3933&3961&3992&4004&4041&5645&4093&4159&4230&5154&4285&4293&4324&4434&6071&4628&4689&4769&4917&5096&5168&5291&5285&5572&5406&5504&5545&5659&5775&5537&6130&6174
153.22935390472412,220,248&20&2761&1703&43&1922&44&49&55&64&1992&1994&1198&66&80&1476&108&2017&2039&111&1361&2048&2049&125&146&390&133&131&136&138&1466&2086&786&2102&667&5940&151&2114&169&180&3066&3715&2129&2134&191&193&196&736&659&1556&226&1749&2223&236&2199&1644&873&1301&1305&2231&279&967&1620&955&289&303&310&822&335&350&2290&2293&2314&2325&2345&693&1792&2384&399&416&1002&428&439&4781&2451&478&2453&521&528&576&2498&3312&804&2523&4319&1610&1275&668&636&660&675&679&2596&2638&2646&2653&2654&2686&2666&2712&886&859&867&2760&896&2798&2821&948&2828&958&961&963&1318&3028&989&2890&2909&1025&3462&2948&1075&1098&3016&1890&1163&1882&1168&3865&1181&1200&1265&1765&1307&3163&3200&5788&1398&1400&1403&1404&3285&3296&1445&3310&1462&1636&3363&1562&1579&3364&1626&1648&1657&1659&3571&1666&1674&1675&1685&1698&3475&1742&1751&3512&1753&1785&1815&3599&1856&3613&3615&3616&1877&3698&5177&3771&3833&3907&3926&4004&4041&5645&4093&4107&4171&4426&5154&4285&4293&4324&4334&4369&4434&6071&4689&4692&4740&4769&4815&5096&5109&5285&5406&5492&5504&5725&5537&5950&6046&6129
146.87900114059448,229,247&250&20&2761&39&1922&49&52&55&64&1992&1993&1198&1946&66&1969&1973&80&1989&1476&108&2017&2039&111&1361&2048&2049&2055&125&146&390&131&138&1466&786&2102&667&151&2114&2115&169&180&3066&3715&2134&191&192&193&2391&736&1749&236&2199&922&1644&873&1301&1305&2231&279&967&1620&955&303&310&2279&335&370&2289&2293&2314&2373&1030&382&2362&693&2384&399&416&3306&769&1002&428&435&439&4781&3309&478&521&528&576&2498&537&3312&804&2523&4319&1610&1275&1040&636&647&679&686&2596&2638&1424&2653&2654&2695&2907&788&886&848&859&896&948&961&963&1318&989&2906&1191&2929&2942&2948&1075&1098&1108&3007&1158&1163&1882&1168&1181&1200&1307&1534&3163&3178&1369&5788&1393&1398&3261&1403&1404&3296&3310&1462&3326&4891&1636&3363&3373&1562&3358&1579&3364&1626&1648&1657&1659&1674&1675&1685&1698&3475&1742&1751&1758&1771&1785&1815&1834&3599&1856&3613&3615&1876&1877&3716&3771&3810&3815&3833&3846&3913&3926&3930&4004&4041&5645&4196&4206&5289&5154&4293&4324&4334&4347&4399&4414&4434&5931&6071&4689&4717&4741&4769&4815&4816&4817&4880&4976&5096&5220&5230&5291&5406&5415&5504&5619&5623&5775&5799&5537&5949&6212
150.1813509464264,233,1899&247&249&248&20&2074&2761&1703&39&43&1922&44&49&64&1992&1198&66&1969&1974&77&80&1989&1476&108&2017&2039&111&1361&2048&2049&2055&125&146&390&131&136&138&1466&2086&786&2102&667&151&2114&2115&169&180&1575&3066&3715&2134&191&192&193&2391&736&1556&226&1749&236&2199&1644&873&1301&2231&279&967&1620&955&289&303&310&335&370&2293&2362&693&1792&2384&2375&399&2392&416&769&1002&428&439&4781&478&480&521&576&2498&537&3312&804&2523&4319&1610&1275&1040&610&668&636&679&686&2594&2596&2638&2653&2654&2685&2666&2907&886&859&896&948&2828&961&963&2871&1318&989&1026&3462&2942&2948&2956&1075&1098&1108&1141&3016&1890&1163&1882&1181&1200&3091&1266&3122&1504&1765&1534&3163&3165&3200&1359&1369&1387&5788&1396&1398&3296&1445&3310&1462&1478&4891&1562&3358&1579&3364&1626&1648&1657&1659&3571&1666&4109&1685&1698&1712&3475&1742&1743&1751&1753&1785&1815&1834&3599&1856&3613&3615&3616&1877&3626&3716&3771&3797&3813&3815&3833&3926&3930&4004&4041&5645&4045&4159&4169&4204&4187&4230&5154&4293&4324&4334&4344&4337&4369&4434&6071&4628&4689&4740&4769&4815&4849&4880&5096&5184&5217&5291&5572&5406&5504&5545&5537&5930&6266
148.200585603714,228,247&20&2761&1919&1703&39&43&44&55&64&1992&1198&66&80&1476&108&2017&2039&111&1361&2048&2049&125&146&390&133&136&138&1466&2094&786&2102&667&151&2114&2115&169&818&180&3066&3715&2134&191&192&193&736&621&241&2199&326&922&1644&4180&873&1137&2231&279&967&1620&2239&955&2244&303&310&335&344&370&2293&382&2362&693&1792&2359&2384&399&769&1002&428&487&439&4781&2451&490&521&528&576&2498&537&3312&804&2523&4319&1610&1275&636&679&686&2596&2638&2641&1424&2653&2654&4072&1024&2907&886&857&859&2766&896&2821&948&2828&2843&1540&963&2871&1318&989&2890&1191&2940&2942&2948&1075&1098&1101&1141&1163&1882&1181&1382&1200&3105&1229&1260&1268&1765&1307&1534&3163&3200&3179&5788&1396&3232&1398&1403&3296&1445&3310&1462&3363&3358&3364&1626&3385&3395&1648&1657&1659&3571&1666&4109&1674&1675&1685&1691&1698&3475&1742&1751&1758&1785&1815&1834&3599&1856&3613&3615&3616&1877&3716&3728&3771&3815&3833&3846&3866&3926&3930&4004&4041&5645&4048&4074&4107&5600&4204&4206&5154&4261&4285&4324&4334&4369&4434&6071&4686&4689&4769&4815&5088&5096&5256&5572&5406&5429&5504&5545&5578&5775&5782&5537&5967&6268&6286
152.8029751777649,223,247&248&20&2761&39&1922&44&49&55&64&1992&1198&1946&66&1969&80&1989&1476&108&2017&2039&111&1361&2048&2055&125&146&390&131&136&138&1466&2094&786&2102&667&151&2114&169&2119&180&3066&3715&2134&192&193&196&736&659&1556&226&1749&2199&919&1644&873&2231&279&1620&955&303&310&2279&335&370&1805&2288&2293&1030&382&2345&2347&693&1792&2384&399&2392&413&416&769&1002&428&439&4781&475&478&521&528&576&2498&537&821&804&2523&4319&1610&1275&2550&668&636&876&2596&2638&2646&2653&2654&752&2907&886&859&896&2798&948&2828&961&963&1318&1320&989&2936&1191&3462&2942&2948&1075&1098&1108&2998&1141&3016&1163&1882&1168&1181&1192&1200&3081&1229&3981&3095&3116&3128&1765&1307&3163&3179&1369&5788&1396&1398&3296&1445&3310&4891&3345&3363&1579&3364&1626&1632&1648&1657&1659&3571&1666&4109&3449&1674&1685&1698&1712&1742&1743&1751&1753&1758&1785&1815&1834&3599&1856&3613&3615&3616&1877&3728&3771&3810&3815&3833&3913&3926&3930&4004&4041&5645&4139&4196&4233&4247&5154&4293&4324&4334&6071&4628&4689&4840&4769&4810&5096&5145&5168&5220&5572&5406&5504&5545&5733&5662&5663&5775&5537
152.09589266777039,228,248&20&367&2761&2630&1703&39&1930&44&49&55&64&1992&1994&1198&66&1973&1974&80&1476&108&2017&2039&109&111&1361&2048&2049&125&146&390&133&136&138&1466&786&2102&667&151&2114&169&180&3066&3715&2134&191&193&196&736&1556&1749&229&236&2199&326&1644&873&1301&1305&2234&279&967&1620&955&303&310&335&370&2293&357&2314&2326&380&1030&2362&693&2384&416&5013&769&1002&428&4781&474&478&521&4248&576&2498&537&3312&804&2523&4319&1610&2530&1275&668&636&654&1084&669&679&2589&2596&2638&1424&2653&2654&2666&886&859&896&2798&948&961&963&2871&1318&989&2890&1005&1007&2906&1026&3462&2942&2948&1075&1098&1108&1882&1168&1181&1200&3125&1504&1765&1307&3163&1359&1369&5788&3232&1398&1400&1403&3285&3296&1445&3310&1462&1478&4891&1544&1636&3363&1562&3364&1626&1648&1657&1659&3571&1666&1674&1685&1694&1698&3447&1712&1742&1751&3519&1753&1785&1815&3562&3588&3599&1856&3613&3615&3616&1877&3716&3771&3810&3813&3815&3832&3833&3836&3846&3866&3926&3930&3933&4004&5645&4093&5154&4280&4285&4293&4324&4434&4441&4531&6071&4689&4740&4769&4880&5096&5291&5285&5572&5406&5441&5504&5512&5775&5537&6030&6051&6196&6223
153.5102162361145,237,247&249&248&20&2761&92&1703&39&43&1922&49&64&1992&1994&1198&66&1973&80&1476&104&108&2017&2039&111&1361&2048&2049&2055&125&146&390&133&136&138&1466&2093&2086&786&667&151&2114&169&180&3066&3715&2134&191&192&193&196&2391&736&659&1556&226&1749&236&2199&1644&873&1301&2231&279&967&1620&955&303&1093&310&2279&2280&335&370&2293&572&2327&633&382&693&2384&2375&399&1814&769&1002&2405&428&2418&4781&478&490&521&528&576&2498&537&3312&759&804&2523&1610&1275&606&1040&636&1365&679&686&2638&2646&1424&2653&2654&2687&1618&2907&886&2751&859&896&905&2803&2821&948&2828&961&963&1318&3028&989&2890&1191&3462&2942&1075&1098&1108&1141&1163&1882&1181&1382&1200&3981&3090&3095&3115&1765&1307&1534&3163&3200&3179&1369&5788&1396&1398&1404&3285&1445&3310&1462&1478&4891&1636&3363&1562&1579&3364&1626&1648&1657&1659&3571&1674&1675&1685&1698&1712&1742&1743&1751&1753&1758&1785&1815&1834&3585&3599&1856&3613&3615&3616&1877&3728&3771&3833&3847&3866&3913&3930&4004&4041&5645&4107&4159&4204&4196&4206&5154&4293&4334&4344&4358&4383&4434&4479&6071&4689&4721&4740&4741&4842&4769&4902&5096&5220&5291&5406&5504&5775&5861&5537&6040&6136&6162&6280
148.72093558311462,214,20&2761&1703&39&43&44&55&64&1992&1198&1981&66&80&1989&1476&108&2017&369&2039&1361&2049&125&146&390&133&2082&136&138&1466&2094&786&151&2114&2115&169&180&3066&3715&191&192&193&196&736&659&1556&1749&236&2195&2199&326&922&1644&873&967&1620&955&289&303&310&335&370&1805&2293&2309&2314&382&2362&693&2384&2375&399&416&769&428&2443&4781&478&521&576&2498&3312&804&2523&1610&1275&636&651&2575&2578&679&2596&2646&1424&2653&2654&3654&896&2798&948&2828&961&963&989&2906&1191&1026&3462&2942&2948&2986&3016&1890&1882&3055&3865&3054&1382&1200&3072&1229&3981&1765&1307&3163&3197&3185&5788&1396&3232&1398&1403&3285&3296&1445&1447&3310&1462&1478&1527&1562&3358&1579&3364&3365&1626&1648&1657&1659&3571&1666&1674&1675&1685&1698&3475&1736&1742&1751&1753&1757&1758&1785&1815&1816&1834&3592&3599&1856&3613&3615&3616&1877&3638&3716&3728&5541&3771&3813&3833&3933&4004&4041&5056&5645&4093&4204&4206&4230&5154&4285&4293&4324&4336&4334&4326&4344&4345&4434&6071&4689&4741&4763&4769&4799&4990&5079&5220&5572&5504&5775&5537&6008&6003&6237
146.7766408920288,229,247&248&20&2761&1703&39&43&44&49&55&64&1992&1198&66&80&1476&108&2017&2039&111&1361&2048&2049&2055&125&146&390&2063&133&136&138&1466&786&2102&667&151&2114&169&1264&180&3066&3715&2134&191&192&193&736&1556&1749&2217&236&2199&326&922&1644&873&2231&279&967&1620&955&289&292&303&310&335&370&2288&2289&2293&2314&2338&382&2345&2339&2362&2356&693&1792&2384&2375&399&407&416&769&1002&428&439&445&4781&2451&478&521&576&2498&537&3312&804&2523&4319&1610&1275&606&636&679&2596&2638&2653&2654&2666&2668&5224&886&2752&859&896&2821&948&2828&1249&961&963&2865&989&2890&1191&1026&3462&2942&2948&1075&1098&1108&1141&3016&1890&1163&1882&1181&1341&1200&1215&1229&3981&1765&1307&1534&3163&3200&3197&1369&5788&1396&3232&1398&1403&3285&3296&3310&1636&3363&1562&3358&1579&3364&3365&1626&1648&1657&1659&3571&1674&1675&1698&1712&1742&1751&1753&1785&1815&1834&3599&1856&3613&3615&3616&1877&3658&3728&3771&3833&3846&3866&3913&3926&3930&4004&4093&4107&4159&4230&5154&4285&4293&4324&4334&4434&6071&4595&4608&4689&4741&4769&4815&5096&5257&5291&5315&5572&5406&5504&5631&5775&5537&5885&6027&6164&6194&6222
148.41449689865112,233,247&248&20&2761&2524&1703&39&43&1922&44&49&64&65&1992&1198&1946&66&1973&80&1157&1989&1476&108&2017&2024&2039&111&1361&2048&2049&2055&125&146&390&133&136&138&1466&2094&786&667&151&2114&169&180&3066&3715&4539&2134&191&192&193&736&204&1556&1749&236&2187&2199&326&1644&873&2209&1301&1305&274&279&967&1620&955&303&310&335&336&370&2293&2314&1030&382&2362&693&1792&391&2384&399&1814&769&1002&428&4781&4830&478&2497&521&576&2498&3312&563&804&2523&4319&1610&1275&636&1365&679&2596&2638&2653&2654&731&886&859&896&2798&948&2828&961&963&2871&1318&989&2890&994&3462&2942&2948&1075&1108&1141&1163&1882&1168&1181&1200&3095&1237&1251&3114&1765&1307&1534&3163&3173&3178&1369&5788&3232&1398&3260&1404&1422&3285&1445&3310&1462&1478&1636&3363&1579&3364&1601&1626&1648&1657&1659&3571&1675&1685&1698&1712&3475&1742&1743&1751&3507&1753&1785&1815&1834&3599&1856&3613&3615&3616&1877&3716&3728&3743&3771&3810&3797&3813&3815&3833&3846&3926&3922&3930&4004&4041&5645&4079&4159&4204&4206&4215&5154&4293&4324&4334&4434&4468&6071&4602&4689&4740&4769&4858&4880&4965&5096&5135&5285&5392&5362&5406&5504&5775&5810&5537&5913&6238
153.18587017059326,224,247&2064&248&20&2761&1703&39&43&1930&44&49&55&64&1992&1198&1977&66&80&1476&108&2017&2039&111&1361&2048&2049&125&146&390&133&136&138&1466&2086&786&2102&667&151&2114&2115&169&180&3066&3715&2134&191&192&193&736&1556&1749&236&2199&922&1644&873&1305&2231&279&967&1620&955&303&310&822&335&2286&370&2293&2345&2362&693&2384&2375&769&1002&428&2418&439&4781&478&504&521&576&2498&537&3312&804&2523&4319&1827&1610&1275&606&1040&636&1365&679&2596&2638&2653&2654&2666&886&859&896&2821&948&2828&961&963&2856&2862&1318&984&989&2932&2906&3462&2942&2948&1075&1098&1108&3027&1163&1882&1181&1200&3095&1271&1765&1307&1534&3163&1359&1369&5788&3280&1396&1398&1400&1403&3285&3296&1445&1447&3310&1462&1478&4891&1636&3363&1562&3358&1579&3364&1626&1648&1657&1659&3571&4109&1674&1675&1685&1698&1712&1742&1751&1753&1785&1788&1815&3562&1834&3599&1856&3613&3615&3616&1877&3629&3782&3771&3813&3831&3833&3846&3926&3930&3933&3952&3983&4004&4011&5645&4204&4230&5154&4293&4344&4368&4434&4462&4471&6071&4619&4628&4689&4721&4769&4815&4880&5096&5220&5285&5572&5406&5504&5591&5775&5537&6280
148.04005551338196,213,247&20&2761&1703&39&1930&55&64&1941&1992&1198&66&1969&1973&1974&80&81&1989&1476&108&1041&2039&111&2048&2049&125&146&390&133&135&138&1466&2086&786&2102&667&151&2114&169&180&3066&3715&2134&191&192&193&2391&736&1556&1749&236&2197&2199&326&922&1644&873&1301&2231&270&279&967&1620&955&2244&303&310&335&370&2292&2293&1030&2362&693&2384&2375&1814&428&439&478&490&521&528&576&2498&537&3312&804&2523&4319&1610&1275&606&668&636&2576&679&2596&2653&2654&886&859&867&896&908&2798&948&2828&961&963&1318&989&2890&1026&3191&3462&2942&2948&1075&1098&1108&1890&1882&1181&1382&1200&3981&3085&3095&1286&1765&1307&3163&3200&3179&1369&5788&1396&1398&3296&3301&1445&3310&1462&1478&1479&3363&1562&1579&3364&1626&1648&1657&1659&3571&4109&1674&1685&1698&1712&1742&1751&1753&1758&1785&1815&3599&1856&3613&3615&1877&3671&3716&3728&3771&3810&3850&3846&3872&3926&3930&4004&4041&5645&4107&5154&4293&4324&4369&4434&4445&6071&4681&4689&4704&4741&4748&4769&4809&5182&5220&5285&5293&5572&5406&5504&5514&5775&5793&5537&6293&6022&6276
153.54317831993103,225,247&20&2761&27&1703&39&43&1922&44&49&55&64&65&1944&1992&1198&1946&66&1969&80&1989&90&108&2017&2039&111&1361&2048&2049&125&146&390&131&136&138&1466&2086&786&2102&667&151&2114&166&169&180&3715&700&2134&191&192&193&2391&736&659&1556&1749&236&2199&326&922&1644&873&279&281&286&967&1620&955&303&310&2279&335&1587&370&1805&2293&2362&693&1792&2384&399&416&769&1002&428&4781&478&486&521&522&576&2498&537&3312&804&2523&4319&1610&1275&668&636&679&680&686&2596&2638&2646&2653&2654&886&859&896&2798&2821&948&2828&961&963&2871&2862&989&2906&1026&3462&2942&2948&1075&1098&1890&1163&1882&1181&1382&1200&1229&4907&3095&1251&3115&1294&1765&1307&1534&3163&3179&1359&1369&5788&1396&1398&1403&3296&3298&1445&3310&1462&1478&1636&3363&1562&3358&1579&3364&1626&1648&1657&1659&3571&4109&1674&1698&1712&1732&1742&1751&1758&1785&1815&1834&3599&1856&3613&3615&3616&1877&3716&3764&3771&3773&3813&3815&3833&3846&3926&3930&3933&4004&5645&4134&5154&4285&4293&4324&4334&4329&4399&4584&5001&6071&4628&4689&4740&4741&4769&4815&4880&5096&5572&5420&5504&5545&5690&5775&5537&5949
