tdg_iter_descent[10000, 1]
time,|TSS|,sol
210.13567066192627,212,3358&2942&1108&3634&6039&2148&881&62&3312&1556&267&1968&64&422&1397&4617&5472&693&1365&547&607&1181&418&4041&1307&4180&5788&3171&2114&2638&3733&1882&1385&2199&1025&3571&4689&3285&1603&111&1743&31&5154&2852&1758&1466&1030&125&478&75&4875&1814&1403&2049&948&27&1534&1751&726&1620&1229&1856&3846&5096&3466&1075&4081&1301&955&1785&196&886&2723&175&2653&1459&2293&1002&303&335&1168&411&2228&180&129&2391&797&43&1973&4803&2862&516&146&2007&1369&122&4183&5645&2798&39&804&1698&131&248&3771&2086&2761&667&2709&3296&1318&4639&356&1317&2690&401&5129&1297&108&98&5504&1445&576&428&3310&4434&4516&4340&2080&1974&1396&3295&2275&4242&310&4324&1026&1815&3364&370&1579&5063&1735&1969&193&4781&4319&138&3926&1669&390&1674&1141&1413&873&3066&5754&1040&2134&1742&1644&381&636&961&1117&4093&1685&5220&289&4285&3462&3232&1992&3615&1626&2596&1847&1294&2314&1251&3409&1237&2654&1198&4293&3930&3767&4004&2646&55&169&341&2523&5537&1834&49&1398&1200&2093&1019&786&3412&1692&896&1562&1917&1703&736&769&1415&1657&2498
205.31869077682495,236,537&3358&2942&1108&2053&3405&6039&4369&66&62&3312&1556&2451&4109&64&422&4617&4107&1675&4686&3967&693&3178&1365&1836&1181&418&4041&1400&2599&1478&5788&3171&2114&2638&4&1385&2199&1025&4689&2102&3285&929&111&963&1743&5154&21&2852&1466&2411&125&478&1814&1403&2049&948&1534&1751&726&1620&5096&1229&1856&5895&4769&1075&1877&1301&136&1785&955&886&1547&1890&2336&5406&2039&175&2653&1459&247&1002&416&1792&4399&3833&1168&4825&32&180&2391&145&472&43&516&191&2007&146&1369&2231&4732&2798&3897&697&1275&804&131&2086&3771&1354&762&3934&2761&667&3296&1318&325&1317&1753&2281&4740&1163&475&108&695&5504&1445&576&428&3310&4434&3865&4459&1305&1602&1396&1389&369&439&310&4324&1815&938&3364&370&1497&1579&4643&1735&3309&1969&193&4781&4319&138&5241&3926&1669&390&1674&5291&873&3066&718&5754&351&5545&1742&1644&44&3016&988&192&961&2384&226&2094&4447&126&1685&5220&289&1724&4285&3956&979&1992&20&3615&4628&3463&1626&531&2360&2596&1864&3613&1749&307&4362&1847&1805&1527&1237&5653&2654&2871&1198&4293&3930&4004&5168&5102&2828&55&169&3991&2523&2375&5537&2017&1398&1200&2338&786&3033&962&896&1562&2345&1476&1222&736&769&1657
213.95594906806946,231,2942&1108&3405&6039&4369&66&3312&62&5285&1556&2451&4109&64&422&5040&4617&4107&4686&924&693&867&1181&3475&4041&1400&5936&418&1307&1478&5788&1084&2638&1385&2199&1025&2362&3813&3571&4689&2102&3285&1610&929&1596&111&5154&2852&1466&125&75&3866&1814&1403&2049&2343&27&726&1620&1229&1856&3846&5065&1098&4769&694&1075&1877&136&955&1785&886&4741&2039&5406&175&2653&1459&247&1002&303&1792&868&3833&1866&180&1765&43&516&3305&2007&146&251&2231&2798&1454&804&131&2086&3771&248&680&3934&2761&1218&667&3296&1317&2690&1753&717&108&579&2743&5504&1445&65&576&428&3310&4434&4459&1305&2898&1402&2821&1636&174&1389&1028&439&310&33&3900&4324&1815&6046&3364&370&279&1497&1579&469&1735&193&4781&1787&3981&3926&1669&2244&390&1674&3066&1193&4852&1040&2134&1742&1644&3396&636&44&4539&2948&3016&490&192&2728&961&2384&1922&878&1685&5220&4174&4285&3616&3232&979&1992&1971&3615&1626&2360&1666&2596&3613&1749&307&4362&1864&1847&2314&1805&3797&3363&1701&1237&2654&1930&3930&4004&2828&169&1462&3991&989&2523&5537&1834&3886&647&49&1398&2017&4891&786&3929&1692&896&4344&1562&2345&4359&1476&1703&736&769&1415&1657&2498
216.4095118045807,241,537&2942&1108&386&3405&3634&5321&4369&3398&703&66&3312&1556&1426&64&422&801&4107&1675&1946&693&1181&3475&4041&418&109&1478&5788&2906&2114&2638&1882&1385&2199&1025&3571&4689&2102&3285&1041&929&236&111&1341&5154&2852&1466&125&478&75&3866&1250&1814&1403&2049&948&1534&679&1751&726&1620&5096&4815&1229&1856&5510&1098&326&4769&1075&1772&1877&1301&955&1785&886&4741&2039&5775&175&2653&1459&1792&1002&303&3833&180&1765&43&1973&516&151&2007&146&1369&2666&5645&3081&4400&2798&804&1698&131&2086&3771&4421&3934&2761&667&3296&1318&325&1317&2690&1753&3115&4740&1163&4940&108&1434&5504&576&428&3310&2286&4434&4551&4459&1305&2898&2275&1389&1947&439&2617&33&310&4324&1026&1815&3364&370&1497&1579&1735&1969&193&4781&4319&4880&138&3981&3926&1669&2244&390&1674&873&3066&5754&4282&38&1742&1644&636&44&2948&490&192&961&4093&2384&5276&3716&1723&1685&1548&4285&3462&3232&321&1992&20&3615&399&1626&2360&1666&2596&3613&1749&4362&1847&4693&2314&3797&3409&1237&5653&2654&1198&4293&3930&5168&4004&1701&2828&55&1462&2523&2351&5537&1834&3886&49&1398&2017&4721&2377&2575&1200&2329&3327&606&786&3033&3810&424&1981&1692&3095&896&1562&2345&1703&1222&736&769&1657&2498
213.06588339805603,244,537&2942&1108&3405&2148&6039&4369&66&3312&1556&2451&3599&1943&64&422&4617&715&693&2322&1729&1836&3551&1181&1228&418&4041&3475&105&1165&1478&740&5788&2114&2638&2907&385&2201&1989&1385&2199&1025&2362&3813&1343&2986&1610&1046&4154&111&963&5154&2852&1466&1659&125&478&4295&1289&75&1403&2049&948&3056&1534&726&1620&1856&1098&4769&1544&1877&1433&1301&136&955&1890&1547&4914&2039&175&2653&1459&1792&1002&868&335&411&180&1765&43&155&3200&659&4033&2639&516&191&146&1369&355&5645&697&2798&804&1698&248&3771&3934&2761&667&3296&1318&4639&1317&2690&243&1753&1163&4432&2875&475&108&4940&2743&98&5504&1445&576&428&3310&4434&1748&1305&2080&1361&2821&1396&2275&2337&439&310&33&3364&370&1497&1579&4643&1969&3893&193&4781&382&4319&4880&138&1649&3926&2244&390&873&3066&2358&3558&2134&4458&1644&1742&636&44&4539&2948&192&961&878&2384&423&1685&5220&289&1540&4285&3616&3232&3462&1992&20&3615&399&531&1626&2719&2360&4726&2596&3613&1749&2890&4362&2314&1805&3363&1237&2654&2871&1198&1930&1573&3791&4973&2828&55&169&1462&2615&2523&3931&3805&5537&1834&3886&49&1398&2017&5373&4793&1200&786&3033&962&1981&1692&1209&896&1562&2345&3092&1703&3859&4846&736&769&2777&1657&2498
205.69153237342834,226,3465&537&1108&1243&4369&3398&66&3312&2492&4109&64&422&4502&4617&484&3355&1260&1850&3403&1675&4686&3178&4164&1181&3475&4041&418&1478&5788&2114&2638&1338&2907&2201&179&1882&1385&2199&753&4689&87&2607&1610&3285&1223&111&963&5154&1466&1659&125&478&4587&75&1814&1403&2049&948&1534&1751&726&1620&1856&3846&2819&1098&2904&2826&326&1075&1877&1301&136&1785&955&1890&5775&5406&4810&2653&1459&1792&1002&247&868&3833&335&1866&180&1765&43&659&2862&151&516&2666&1867&5645&2798&804&1698&131&2086&3771&248&1354&3933&3934&2761&1218&667&3296&1318&325&1317&1753&1453&2281&108&5504&576&428&3310&4788&4434&4051&2546&3865&1305&63&1636&1396&2275&922&3728&1389&1028&4355&439&310&370&1579&193&4781&382&4319&3926&2485&1669&390&1141&655&873&3066&427&5754&112&1040&1742&1644&5724&636&44&4539&2948&192&961&2384&1117&22&3149&1685&3963&5220&1548&4285&3462&3232&979&1992&4628&3463&2050&1626&2719&1010&2360&2596&1864&3613&1749&4362&1740&1847&2314&3363&1527&2654&1198&1896&4004&55&3197&5677&1287&6071&5537&1834&2017&1398&1137&1200&786&3929&1692&1520&896&1562&2345&3092&1476&1703&2777&1222&736&1657
204.00386095046997,225,537&2942&3405&4369&703&3312&949&62&1556&2226&2961&64&422&1675&4686&613&693&3178&4164&1181&2046&244&1400&339&109&5788&2114&2638&1882&1713&2199&1025&2362&3813&1212&5529&4689&1343&3285&1610&929&1223&111&1086&1743&5154&1466&1659&125&478&4587&75&1814&1403&2049&2529&679&726&1620&5096&1229&1856&1098&3220&4769&1075&1877&955&1785&886&1890&4741&2039&5406&2653&175&1459&2293&247&303&416&1792&81&1168&2228&2055&180&1765&472&43&516&3305&191&2007&146&1369&5645&4732&2798&5110&1275&804&131&2086&3771&248&2761&667&558&3296&1318&2831&635&325&1317&3417&2690&1753&3115&1163&475&108&5504&1445&3962&576&428&3310&2898&1974&2275&922&2635&1389&310&33&4324&1815&3364&370&1579&1735&1969&193&138&3926&5175&2115&2244&390&1413&873&3066&4282&351&2134&1742&1644&636&44&2948&3016&490&961&2384&1685&5220&1724&289&2946&4285&3616&3232&3462&2593&1971&20&3117&3615&560&1891&1626&2719&2360&1666&2596&3613&1749&307&5386&1847&3408&1805&3363&1237&5653&2654&1198&4293&3930&4004&4973&2828&169&1462&2523&5537&1834&2017&2870&1398&3676&1200&786&3033&1981&1692&1917&1562&2345&1703&736&769&1657&2498
212.40658283233643,243,3358&537&1108&3405&3634&4369&700&3398&1868&3312&62&1556&1943&149&4109&64&422&4617&693&1365&1181&3475&418&1400&2112&1478&5788&2638&2907&2199&1025&2362&3813&3571&4689&3285&929&236&111&1743&5154&2852&821&100&1030&1659&125&478&3866&1814&1403&2049&3346&1534&1620&5052&1229&4815&1856&3846&1098&2056&4769&1075&1877&1301&136&1785&955&196&886&1890&5682&2032&5406&4741&2039&175&2653&1459&247&1002&303&416&1792&3833&2237&335&4825&180&1765&2391&43&1973&2639&659&1230&516&151&146&1369&355&2666&2231&5645&1278&2798&697&1569&804&1698&131&2086&2079&3771&248&3038&3934&2761&667&3296&1318&1317&1753&1207&4740&1163&4500&108&5504&1445&65&576&428&3310&4434&1748&1281&11&2898&1974&2275&1389&1947&4242&439&310&2790&4324&1026&938&3364&370&4643&1579&1735&4206&1969&193&4781&382&4319&4880&138&3981&3926&1669&2244&390&4230&873&5754&3078&2134&1742&1644&3396&636&2948&988&961&2384&22&3716&1685&3963&5220&3616&3462&719&1992&1971&979&3615&4628&399&1626&2360&2596&767&1749&2890&307&571&1847&2314&1805&3363&1237&2654&1198&1930&3930&5168&4004&2828&169&1462&2523&1287&5537&1834&4112&176&49&1398&1137&2377&2292&786&3033&1981&1692&3095&896&4344&1562&67&1222&736&769&1657&2498
221.63799285888672,220,537&2942&3405&352&4369&66&62&3312&64&4617&1286&3210&1675&4686&693&5254&418&1228&1181&3163&1307&1478&5788&2114&2638&3096&1385&2199&1025&2362&3046&3813&2225&4689&1343&1610&2551&1596&236&111&104&2278&963&1743&5154&2852&1030&125&478&4280&1403&2049&948&2529&3346&1534&1751&726&1620&5096&4815&1229&2904&326&4769&1075&1877&1301&955&1785&886&1890&4741&4810&5406&175&1459&2293&1002&868&4825&32&180&1765&2391&2808&43&2639&516&151&191&146&2176&1369&355&4183&5645&2798&1698&131&2086&3771&1354&680&1920&3934&2761&667&3296&1318&325&2690&243&1163&4940&108&412&5504&576&428&3310&1305&1402&1361&1396&2275&1389&439&310&33&4324&1026&279&3364&370&1579&1735&3309&1969&193&4781&4319&138&1601&3926&1669&2244&390&655&873&3066&4852&1742&1644&636&1717&2948&2629&192&1117&961&2384&2392&3716&126&1685&22&5220&264&289&3564&4285&4334&3616&1992&20&3615&1626&2360&1442&2596&1267&3613&1749&307&4362&4438&1847&1237&2654&1198&1930&4293&4004&55&169&1462&2523&3886&49&1398&2017&3676&2575&1200&786&3033&424&1692&896&4344&1562&1059&2345&559&1476&5318&736&1657&2498
