tdg_iter_descent[10000, 1]
time,|TSS|,sol
209.30317163467407,188,3833&3462&693&146&3615&1703&2948&1404&1354&1699&133&1229&4282&1466&428&1734&1659&1685&2646&335&1742&2523&1785&247&439&2498&1657&370&310&1969&1209&109&4228&238&3281&1398&1562&151&4587&667&5775&4689&1973&1636&4769&4539&786&576&521&1108&478&1753&1877&279&759&873&1275&2039&1749&2629&4093&1856&2199&1181&63&2115&2024&2654&4459&3571&196&2079&289&961&20&989&5537&43&2278&399&963&2391&180&3463&2828&248&4432&5052&1556&1641&955&39&2279&1163&1814&3933&2325&390&64&1445&1477&2055&1075&1644&1626&2049&2102&1620&679&1200&2761&4434&1318&4740&125&1476&736&5154&1413&44&886&2942&4805&5645&1198&3016&1098&1548&2017&5096&1610&3266&4781&55&636&2001&1743&11&1666&1815&2524&3771&2653&2939&111&1002&3310&804&2362&264&906&4319&3715&2293&3312&922&1040&1847&3930&2114&967&1429&732&2384&2612&1930&1168&3716&2638&6071&2862&5285&1992&1005&5788&4324&1596&3364&2048&3670&3163&4235&1144&2486&193&108&1674&5504
206.82635140419006,187,3833&3462&693&351&146&3615&1703&2698&3415&2050&3178&4004&3179&1229&4230&1466&428&1659&410&2646&335&1742&2523&3613&2575&2498&1657&303&370&131&4891&1881&1398&667&1260&4689&2193&896&353&3232&4041&1692&5629&4769&316&3616&65&576&521&1108&478&76&1204&2424&165&759&873&1247&1275&2039&647&5625&1191&175&2205&3981&2654&700&2248&606&4334&2322&3475&3571&138&4355&2859&3200&5347&196&3913&961&20&989&1462&3034&180&1758&1882&1478&1556&955&2279&1163&531&1814&3933&1579&5653&5304&390&64&2798&2055&490&1644&1626&2049&4420&243&1620&528&2761&4434&2338&736&5154&1305&44&3846&1198&27&1098&695&988&2017&5096&1548&760&4444&3926&236&55&636&1815&415&3771&4880&3549&111&2362&3310&1751&2086&4183&2451&2364&1850&2293&3312&4109&2591&173&1396&2690&2719&967&1429&2384&726&475&3822&3086&1207&66&6071&2862&1992&3066&5788&4324&3220&3364&2048&2831&3466&1698&2228&3163&892&1958&2134&1733&108&5277&1674&5504
211.14825439453125,182,3833&693&146&1703&2050&1699&3179&4004&1229&4282&326&2821&1466&428&1659&410&3309&2646&335&1742&3539&1785&3246&439&2498&1657&303&310&1969&1562&151&5171&667&4689&1973&896&4041&2529&3346&416&4769&846&3616&786&576&521&1108&3152&478&1753&2231&1877&2314&5406&873&1247&1275&2039&1749&5572&4093&554&1856&2596&2199&3191&1181&2244&2377&1792&2654&700&4334&3813&4852&169&3571&3475&4204&138&350&697&1361&2670&196&3913&961&20&5537&1462&4516&399&180&801&1882&866&1478&248&3991&955&39&1163&1579&390&64&2356&1075&2992&1644&1626&2049&496&4482&1620&1200&1765&2871&3459&2761&4434&852&1318&125&1476&736&5154&2942&5645&1198&2223&1534&2017&5096&1610&3926&558&236&4781&55&2001&1815&4137&2653&2826&111&2362&3310&804&3715&1230&2293&3312&999&1030&1896&2114&949&1086&967&855&2384&2504&3716&66&49&5285&686&1992&5788&4324&3220&411&2048&1218&3163&3363&4159&2486&2134&1836&108&5504
208.36337399482727,191,179&3833&3462&693&146&1287&3615&2890&1234&2948&3178&4004&133&1229&2281&326&1466&428&5296&1659&1685&4746&6180&2523&335&1742&4875&3613&1785&247&1657&1307&303&370&310&4891&1969&5073&3281&1398&1562&667&5775&4689&864&5168&896&3797&4041&136&416&4769&3616&786&576&521&1108&1669&478&1753&2773&1877&279&2709&4124&5406&873&1275&1749&5572&1856&4754&2596&2199&2997&2654&606&4334&169&3475&3571&138&1361&196&1805&1041&961&43&20&989&5537&1462&399&32&963&180&2828&421&1028&3654&955&39&2279&2888&1814&101&1579&390&64&2798&2237&1075&1644&1626&2049&3296&1620&528&821&1200&2761&4434&1318&125&1476&2392&736&1305&44&3846&448&5645&1198&1098&2014&2017&5096&1610&4107&3926&1431&236&1403&1141&1815&3771&2653&4880&3285&111&2362&3310&1890&2086&4183&4628&3715&2345&2293&3312&922&4109&3930&2114&2719&967&2384&1400&66&2638&1675&6071&686&1992&3066&4324&1596&3364&859&191&2048&1369&2831&1218&5457&3163&147&3363&2134&1674&5504
202.23896622657776,182,3833&3462&693&146&3615&1703&2948&2050&1354&1026&4004&133&4282&326&1466&428&769&1659&2646&335&1742&1566&2575&3135&1785&247&439&2498&1657&1307&303&370&310&3247&4857&1881&5073&151&4587&667&4689&3929&5168&136&4769&786&719&521&1108&478&1753&4513&1877&4124&279&873&1275&2039&1749&647&5572&554&1191&1856&2596&2244&2885&1389&4631&1792&2654&1245&4334&3813&3475&3571&4204&138&1361&196&961&43&20&989&5537&1462&1999&399&963&3463&180&1882&3190&2828&1478&248&1556&955&39&473&6111&1814&390&64&2055&1075&1644&1626&2049&2102&1620&679&243&1200&1765&2871&4553&3244&3417&2761&4434&1318&125&1832&2392&736&5154&2942&4447&5645&1198&1098&5096&3926&236&636&55&1441&1666&1815&4442&4662&174&3771&2653&4293&3285&2362&3310&804&2451&1230&325&2293&537&999&1834&3930&1086&2114&949&967&2384&3716&66&2638&6071&3810&49&1992&3066&5788&4324&3364&859&2048&1369&1698&3163&1859&108&5504
209.64404368400574,178,797&693&146&3615&1703&450&1527&1026&2821&1466&428&750&1659&2523&335&1742&3613&247&439&2498&303&370&131&310&1969&4180&109&1657&1520&238&1398&1562&667&5775&4689&896&353&1365&136&4041&4769&1397&3616&576&521&1108&478&1753&4513&699&1877&759&910&2314&873&1275&2039&1749&665&5572&554&1191&1856&2596&2199&4658&1792&3981&1212&2654&382&606&1222&4334&4852&169&3475&138&4629&697&1497&2670&196&961&43&20&989&4741&5537&1462&3045&180&1882&2828&248&4432&955&2201&1163&1814&3933&1579&390&64&2798&2055&1075&1644&1626&3296&950&1620&679&548&1200&1765&2761&4434&1476&2392&736&5154&44&3846&5589&2942&448&5645&3373&1198&27&1098&1534&2017&1610&3926&558&3266&636&3771&2653&4880&1411&2362&1002&3310&804&3398&4726&4400&4319&3715&2345&2293&5197&352&1834&1847&1396&1654&3930&2114&3823&2384&66&2638&4502&6071&1992&5788&3364&859&715&1698&3163&2134&108&5504
203.7611162662506,175,3833&3462&693&146&1703&5163&5040&4004&1124&1866&1466&428&1685&2523&2646&335&1742&3613&2639&439&2498&1657&1307&303&370&310&1969&5925&1398&1562&4864&667&3558&4689&1973&1258&1286&896&1636&3797&3232&4041&136&1692&6139&4769&3616&786&576&521&478&1753&129&1877&279&910&873&572&2039&1749&647&5572&554&1856&2596&3191&1387&1181&2205&3981&2654&1864&169&3475&138&196&289&961&43&989&5537&22&399&2835&180&1882&1478&248&4416&2288&955&3046&1814&1579&390&64&2798&1075&1644&1626&2049&1620&560&821&1200&3244&2761&4434&1318&4740&125&736&5154&3846&886&4805&1198&3016&1098&2094&1534&2017&2014&988&3926&1504&1403&2172&636&1141&1815&3963&3732&3771&4880&111&1002&3310&1890&2819&4319&3715&2293&537&4109&1834&412&1847&1396&3930&1896&2114&2384&475&1168&2388&3716&1400&66&2638&686&1992&5788&4324&3364&859&1369&3982&2228&3163&5716&2134&108&3514&5504
211.07592701911926,176,3833&693&146&3615&1703&2050&1564&450&1527&4004&4282&428&1659&3469&2646&2523&335&1742&3613&1657&303&370&131&310&1969&109&1307&195&389&1398&151&2490&667&4689&226&1973&896&3797&4041&3095&4769&0&846&4539&3358&576&521&478&1753&129&76&5504&571&1877&279&759&910&5406&873&1275&1749&2629&647&1191&2199&2683&2115&2654&2946&4334&3813&169&3571&2474&697&196&961&989&5537&1462&2391&180&4784&248&1641&2279&1814&3865&1579&1273&390&2055&5479&1644&1626&2049&1620&1987&1200&4068&61&1318&4740&125&1476&736&5154&44&1305&2942&5645&1198&3140&695&760&1534&2017&2014&1610&948&4107&3926&2852&1403&1388&2001&1743&1141&1815&33&2260&2653&4880&111&1002&3310&804&1890&3398&264&2324&4319&325&2293&3312&1907&1668&1834&1317&1396&3930&2114&967&1429&732&2384&1019&726&579&3716&66&2638&718&4502&1992&3066&5788&4324&1596&859&1369&98&3466&193&108&1117
211.91737723350525,192,5220&179&3833&3462&693&3866&146&3615&1703&1947&2948&4004&4282&1466&428&769&1659&1685&1945&2646&335&1742&2523&247&2498&1657&303&370&131&310&4180&1398&1562&4587&667&5775&4689&1084&4203&896&1694&4041&3564&3616&786&576&719&521&1108&1129&478&1753&571&2231&753&1877&279&873&469&1275&2039&1749&5572&4093&4369&1856&2199&1181&253&1212&700&3813&169&3571&1290&2471&4204&138&3323&654&4285&1361&3913&1805&961&20&989&5537&22&5680&2391&180&1882&2828&248&1556&1163&1331&1579&390&64&1075&1644&1626&2049&1620&679&1200&1765&2761&4434&1318&125&1476&448&736&5154&44&2942&5645&5200&1198&4200&695&760&2017&15&1610&948&288&3926&558&236&1403&4781&55&636&1743&1141&1666&1815&655&3771&2653&4293&2362&3285&1751&804&1890&2086&3080&4319&2777&2293&3312&1649&559&1668&1834&412&1396&5241&1030&2114&967&4617&732&2384&1930&3822&4002&3716&1400&66&2638&718&6071&4362&1992&5788&3364&191&2048&1698&3163&193&2134&418&108&1674&5504
