tdg_iter_descent_v2[10000, 1]
time,|TSS|,sol
359.99509143829346,287,1195&730&4835&159&2986&3019&4183&2149&7020&1247&2699&1157&1549&408&6844&1311&3533&6331&1935&6163&3475&4698&6365&5764&1552&2573&5478&1290&982&198&7658&532&112&5683&988&1989&195&5105&1225&5530&175&5501&687&6446&6601&850&488&1540&1205&5126&3680&4805&3402&3581&2725&1458&3356&5885&5077&1753&2558&2343&2861&5355&477&909&461&2641&553&5825&4322&1437&80&1273&3559&446&7154&420&4949&889&383&8460&2654&4216&6221&2158&657&806&839&2686&148&43&1628&7327&4330&7279&111&2789&3419&2781&3121&3434&983&2173&688&2214&499&1732&3022&1187&2613&5521&6490&7757&417&588&2487&1266&1246&1618&4043&4690&679&6072&89&6539&3288&4745&4479&2552&558&3927&5704&6448&337&3214&5565&115&68&1384&3673&4630&6531&139&426&2826&341&4194&284&6076&1282&5522&1942&2612&2057&1538&1513&5609&4092&3258&1945&694&1154&2665&5227&1268&3906&3936&6101&1441&2301&1194&2824&2302&2081&2936&7765&2222&6262&7421&4132&1697&2510&169&2415&2437&157&3596&244&1330&1886&4670&6494&1207&2499&6861&1547&5691&6657&529&2408&2577&404&5780&315&7001&3579&4471&1431&3417&4228&1281&4740&6074&7354&3863&2823&249&4986&2539&7886&2893&6061&3856&6103&1146&1581&1537&4744&1815&4639&3349&27&7378&824&6231&1427&5510&221&1111&2537&1917&1828&1414&7578&369&7503&1729&2667&88&3080&1527&327&5430&785&3104&854&6681&1392&1864&7623&1974&353&4151&3536&3436&6361&3041&3857&5114&6954&200&191&5872&1904&215&4961&2215&5812&2771&3868&2817&6468&292&8330&4823&815
348.3990180492401,288,1195&730&6962&4901&159&2986&3019&2149&1014&4754&5409&182&1157&1311&3533&6331&1231&1935&6163&6365&5100&5764&2590&3740&596&6321&1290&982&5483&2528&2380&112&5683&0&4937&1992&1989&1219&5105&4692&28&175&6910&5501&687&6446&850&488&1540&5631&4805&3402&5246&3581&3307&8286&2725&1458&3356&5885&5077&1753&2558&2861&5355&894&909&4010&1116&2641&2448&4322&1437&2485&80&1273&3559&446&3991&420&4949&889&2649&2654&3246&6221&2158&11&2069&2686&148&6606&7279&111&3966&3419&2781&3121&3434&512&983&2173&688&2214&499&1627&3022&1990&2722&4683&2613&2474&6490&8087&2410&417&2487&1266&1618&4690&2115&5174&89&2552&558&3927&5704&6448&337&3214&5565&115&1384&5610&6531&426&2826&341&1890&4194&1282&985&5522&830&1942&2190&2612&1538&1388&1513&1701&5609&6893&7323&567&3258&1945&694&1908&1154&2665&1851&5227&1268&3275&6101&356&2301&1194&2824&1241&2302&2449&2081&2936&65&7765&6262&1421&7421&1697&169&2510&2415&5371&2638&1330&1886&3623&3636&4670&4161&6494&2423&1207&2499&6861&1547&2408&2577&1985&3655&315&7001&3579&4471&4902&3417&4228&2660&7418&1281&6074&2823&4986&1884&4293&234&2539&1715&6061&2002&1581&2996&4894&1537&5062&4744&4639&27&2336&7378&824&6231&1427&5510&221&3645&1981&1111&958&7578&3221&7503&1729&2667&5561&4652&7125&3080&1869&5326&327&5430&785&3104&854&6681&1392&1864&7623&6471&353&4151&3536&3436&1647&661&1947&6836&3041&3857&5114&6954&200&191&5872&4961&5882&3902&5812&2771&6521&292&54&569&7543&195
356.7269961833954,311,672&2604&4835&159&3019&2149&7020&816&1247&1157&6844&1311&2388&3533&5816&6331&1231&1935&2462&1103&6163&4698&887&6365&5764&2590&3740&5478&1777&6321&4798&3126&1290&198&2528&532&112&5683&988&4937&1989&1228&1219&5105&3866&4692&3442&3211&5732&175&5501&687&6446&441&5593&850&1352&639&1540&5631&1205&5126&5017&3402&942&3581&3307&8286&2725&1458&3356&5885&5077&1753&1674&2558&2343&5355&3139&1116&2641&3113&5915&553&4322&3999&1437&2485&1273&1649&5299&446&3225&7154&420&4949&889&5454&2654&4216&1315&2158&11&806&148&6606&4330&7279&111&5117&2089&2789&3419&3434&983&2173&688&1206&279&2214&499&1732&1627&3022&1990&2722&2429&2613&6490&8087&72&6144&780&417&2487&1246&1618&956&4690&2115&679&89&3431&4745&4479&2552&558&5493&4055&3927&5014&3805&5704&6448&3214&115&3692&1807&4630&6531&139&2826&341&4194&6076&1282&2935&4956&350&5522&1792&355&2612&1538&2625&1701&6267&916&6524&3258&694&2320&2665&905&2278&1268&6101&1441&356&2301&1194&2302&2081&2936&2222&6262&7421&4132&1697&169&2510&2415&157&2377&7192&1330&1886&3623&3636&2423&1207&2024&6861&529&2408&2577&3142&271&5780&2642&307&315&7001&3579&4471&1431&3417&4228&2559&4740&6074&7354&249&4986&4293&6061&6103&2902&8246&1581&4894&8061&1537&3718&4744&3658&27&4352&2336&7378&824&3071&6231&1427&5510&221&1399&3245&1111&2537&1414&7578&2478&3221&369&7503&1729&2667&3080&5430&1001&785&3104&1894&2071&434&854&1392&1864&7623&4105&1974&4951&4151&3536&353&3436&3982&1647&3128&2466&3336&3041&3857&200&191&5872&5056&2771&3868&833&3715&292&8330&178&54&569&6514&7445&4823&815
358.2490141391754,300,7671&730&4901&2598&159&2986&3019&4183&2829&2149&1247&5409&1157&408&3112&1311&4230&3533&5816&1935&46&6163&6365&333&5100&4307&1303&2573&6321&3126&1290&3852&2528&314&7528&532&112&5683&988&0&1992&1219&5105&1225&5530&5388&175&687&6446&850&488&1540&1205&5126&879&4805&3581&880&3307&8286&2725&3356&5885&5077&1753&2558&2343&1222&2861&4338&2588&5355&1116&2641&5915&3617&4322&1437&2485&80&1273&3700&3559&446&7154&5178&420&1687&889&383&2649&2158&11&3539&806&2686&148&1628&7327&6606&4330&1895&111&7279&4959&3966&2789&3419&2781&3121&3434&983&840&2173&688&499&1732&3022&2722&6490&7757&986&2487&1266&1246&1618&4690&551&89&3288&4745&5680&3431&4479&508&2552&558&2200&3927&5704&6448&3838&337&3214&5565&68&1384&5610&4630&2826&341&284&4194&6076&644&350&1942&2190&2612&1538&2625&3267&6893&567&5111&3258&1945&694&2972&2665&5227&1268&3275&6101&1441&1194&2824&2302&7203&2081&2936&7765&2222&6262&7421&4132&1697&169&2510&6259&2415&5604&1330&1886&3623&556&3636&4670&2211&815&1207&2499&6861&1547&5691&6657&529&3053&2408&404&5780&315&3579&5406&1431&2567&3417&5870&7418&4740&6074&1359&3863&272&2823&247&4059&4749&4293&2539&2171&2893&6061&8246&1581&4894&1537&3718&4744&3658&4639&3349&27&4352&2336&7378&5343&824&1427&2422&221&1981&1111&2537&1828&1414&7578&7503&1729&2667&5561&1121&3080&1527&3781&327&5430&785&434&854&4093&1392&876&1864&7623&1974&353&4151&3536&3436&1660&1647&7417&6836&3041&3857&200&1545&191&1946&5056&5812&2771&3868&566&292&4971&7543&2902&195
348.3821110725403,328,2454&730&1730&4901&6060&4835&2986&3019&4183&2149&7020&1247&1931&1157&2623&1311&4144&6964&3993&3120&3533&1231&1935&6163&4698&887&6365&4268&5100&5764&1303&3740&1361&2712&3126&1290&198&7658&3648&532&112&5683&988&1992&1989&1219&5105&4692&1225&28&5032&175&5501&1217&687&6446&850&488&1540&5631&1205&5126&4805&3402&3581&3943&2911&2725&1458&3356&5077&1753&2558&2861&5355&3139&1304&2641&5915&1059&553&5825&4322&1437&2485&80&1398&5166&1420&3559&446&7154&420&889&2649&3851&2654&4216&8495&2158&806&2686&148&1382&6606&4735&4330&3194&111&7279&6223&2789&3419&3121&3434&807&512&983&2173&688&2092&2940&1732&1627&507&3022&1990&4208&6490&7757&767&5399&417&588&1203&2487&1246&1618&4043&4690&8534&2115&5174&679&3398&2025&89&180&6341&4745&5680&4479&558&3927&5704&6448&337&3214&5565&115&1384&3673&5610&6531&964&4630&4194&284&6076&1282&350&5522&1942&2190&2612&2057&1513&3367&1002&3644&1701&5609&6893&1343&3258&1945&2217&694&2665&905&1604&5227&1268&3275&3906&636&3936&2452&6101&711&2301&1194&2983&2824&2302&2081&2936&6262&5685&7421&4132&1697&3969&2510&169&2415&157&2638&1330&4308&1886&3623&4161&815&1207&4612&6861&1547&5691&6657&529&2408&2577&5780&331&336&2297&315&3579&4471&3417&4228&1226&4740&6074&1359&4342&4986&1884&2539&3182&2171&4232&2893&1445&6061&3537&2916&1146&2002&1581&4894&3718&4744&3658&4639&27&2713&4352&2336&7378&824&3071&6231&1427&5510&6739&221&1111&1828&1414&7503&1729&2667&5561&88&3080&1527&5430&4303&785&1617&434&854&7758&1392&1864&7623&2181&4581&1974&353&4151&3536&1647&3128&1947&3041&3857&191&215&411&3902&5812&2771&3868&566&4205&4128&2817&292&8330&178&6182&569&7543&2902&195
357.24196314811707,309,7671&7004&4901&2598&159&248&3019&4183&2149&1014&7020&1247&397&4635&1157&6844&1311&3533&6331&1231&1935&1263&6163&3475&6365&4103&5764&2590&2862&5478&4525&6321&3126&1290&2528&5683&1992&1989&1258&1228&647&1219&175&5501&687&6446&5593&850&488&1540&8605&4805&3402&903&4492&3581&880&7659&8286&2725&1458&3356&5077&2558&1533&5355&894&4532&2880&1024&2641&3347&5915&553&5825&4322&1437&2338&4566&1273&3559&446&7154&5138&540&420&4949&889&2669&2654&4216&1631&6221&2158&11&2686&148&1628&3366&6606&7279&111&2789&3419&2781&3434&983&2173&499&1732&3022&1990&2722&2340&2429&6490&7757&72&1190&6144&5399&417&588&2487&1266&1246&1618&4690&5174&1943&89&3431&4745&4479&558&2200&3927&5704&6448&3214&5565&115&1384&3673&4630&6531&139&2816&426&2826&341&4194&1890&284&3741&350&5522&1942&2190&2612&1538&1513&776&6893&3258&1945&2217&4611&4850&2665&5227&3906&6101&1441&711&356&2301&1194&544&1402&2302&2081&2936&2222&6262&7421&5778&169&2510&5604&2437&157&244&7198&1330&1886&3623&3636&4161&4888&6494&2423&1207&815&2499&6861&1547&7521&6657&529&2408&2577&1985&3713&315&7001&3579&4471&1431&843&3417&4228&1281&5527&6074&7354&1359&3387&4986&2539&2171&2893&6061&2902&8246&4894&1537&1607&4744&27&7378&824&3071&6231&1427&1535&5510&221&3645&1414&2537&1828&7578&3221&2361&7503&1729&2667&1121&88&1527&3781&5326&327&5430&785&1617&1864&7623&353&1639&4151&3536&3436&3646&1647&4975&2466&565&1210&6361&770&7417&6836&3041&3867&571&3857&5114&1791&200&2231&191&5872&1904&215&4057&4961&2771&3868&2817&6468&292&54&569&4971&7543&4823&195
348.2031571865082,322,4901&159&2986&3019&4183&2149&7020&1247&5409&1157&408&3112&3261&1311&6964&3533&6499&5816&6331&1231&1935&7743&3475&4698&6365&4103&1303&2644&39&3156&1777&4525&6321&1290&3416&2528&1858&532&112&5683&988&0&1992&1989&1228&4692&2574&5032&175&5501&687&6714&6446&850&6115&488&1540&1205&5126&4805&3402&3581&3037&2725&1458&3356&5885&5077&1753&1674&2558&2861&5355&1143&3139&909&698&1116&2921&1304&1024&2641&5915&5825&4322&1437&2485&80&4566&1273&3559&446&420&4949&889&2649&2654&4216&3006&2158&806&2686&148&43&6606&4330&7279&111&3966&2789&3419&2781&3434&983&840&2173&2092&499&1732&1627&3022&1990&2722&2429&6490&7757&6144&417&2487&1266&1246&1618&4690&8534&2115&5174&5680&4479&2552&558&5493&3927&5704&6448&337&3214&5565&115&1807&1384&3673&4630&6531&139&341&4194&284&6076&1282&350&5522&1792&2190&2057&1538&4748&1513&3367&1701&5609&6893&6524&3258&2217&694&4611&5924&4850&1154&2665&905&1604&5227&2881&3275&6101&1441&1436&2301&1194&2824&2302&2704&7203&2081&2936&7765&6262&5685&7421&4132&1697&169&2510&2415&2638&3596&244&1330&1886&3623&3636&4670&4161&815&2423&1207&2024&2499&6861&1547&6657&529&2408&2577&5780&1985&3713&307&315&3579&4471&1431&1817&3417&4228&1281&4740&6074&749&3311&2823&247&4986&4293&2539&3592&2171&2893&6061&2902&8246&2002&1581&4894&1537&4744&3658&27&2713&4352&2336&7378&824&3071&6231&1427&1178&5510&221&3645&1981&1414&1917&2537&1828&7578&3221&369&1729&2667&5561&88&3080&1527&327&5430&4384&854&1392&1864&7623&1974&4951&4151&3536&353&3436&1647&858&6361&3041&3857&5114&1095&6954&200&191&5872&915&1946&5812&2771&2817&725&292&178&54&569&4971&4823&195
351.32826018333435,303,730&4901&2598&4835&159&248&3019&1920&2149&7020&816&1003&1247&2699&1157&1549&408&6844&1311&6499&5816&6331&1231&1935&6163&4698&6365&4103&5764&1303&2590&6155&1777&4525&6321&3126&982&1290&4844&7658&2528&198&3517&1858&532&112&5683&0&1992&1989&5105&2574&2235&7914&4363&5032&175&687&6446&850&488&1163&1205&5126&4805&3402&5246&3581&7764&8286&2725&1458&3356&5885&1753&2558&2343&2861&1253&5355&1116&7262&2880&2641&5915&553&5825&4322&1437&2485&2338&80&7154&420&4949&889&2654&4216&6221&2158&2147&2686&43&7279&3966&2789&3419&2781&3121&3434&983&2173&688&2214&499&1732&1627&3022&1990&2722&6490&8087&72&5399&417&588&2487&1246&1618&4690&2115&5174&3398&89&3288&4745&5680&4479&2552&3927&3509&5704&6448&3214&3692&1384&5610&6531&4630&139&426&2816&2826&341&4194&284&6076&1282&350&5522&1942&2190&355&2612&1538&4748&1513&1701&5609&1945&2217&2665&905&1604&4400&2881&1268&3906&697&6101&1441&356&1194&2824&2302&2081&2936&7765&6262&5685&7421&1697&169&2510&67&1498&2437&157&5796&3569&244&1330&1886&3623&1718&3636&4670&4161&2768&2211&6494&815&1207&5691&6657&529&2408&2577&4413&6768&1985&315&3579&4471&3417&4228&2027&1281&4740&6074&7354&1359&2823&247&4986&1884&2539&2171&7886&2893&6061&6103&805&8246&2002&1581&1537&27&2426&7378&824&3071&6231&1427&5510&1981&7578&3221&6749&7503&1729&2667&5561&88&3080&1527&327&5430&785&1392&1864&7623&1974&353&4151&3536&1260&1647&3128&264&6836&3041&571&3857&5114&200&191&5872&3153&4961&5812&2771&3868&1138&292&8330&54&569&4971&7543&2902&4195&195
368.43724489212036,303,730&4901&2598&159&2986&3019&4183&1920&2829&2149&1003&1247&1218&2221&1157&408&3261&6964&3533&5816&6331&1231&1935&1740&6163&3475&4698&6365&185&333&4103&5100&1303&2590&3740&6321&5859&1290&4844&532&112&5683&1992&1989&195&1219&5105&3000&2574&175&3650&6910&687&6446&850&488&1540&1205&5126&4805&3402&4492&3581&1458&3356&5885&1753&1674&2558&2343&1383&5355&909&1116&1304&4325&2641&5915&6233&152&3617&553&4322&1437&5344&1273&3559&6777&5299&7154&420&889&2649&2654&3246&2158&1261&2686&148&43&4330&7279&2789&3419&2781&3121&3434&512&983&2720&2173&688&8292&499&507&3022&1990&6490&417&588&9&2487&1266&1246&1618&4043&4690&5174&4957&89&3288&4745&4479&2552&558&5493&5914&3927&5704&6448&337&3214&115&3673&4630&6531&964&426&2826&2775&4194&284&6076&350&5522&1942&1792&2190&2612&2057&1538&1513&1672&1002&1701&7941&6893&3258&1945&694&2665&5227&2881&1268&3275&3936&6101&1441&1436&8040&2301&1194&2824&2302&7203&2081&2936&7765&2222&6262&7421&1697&169&2510&2415&244&2377&1330&3623&454&3636&4670&4161&2423&1207&2499&1547&6657&529&2408&2577&379&1985&315&7001&3579&466&4471&4053&3417&2660&2275&1281&4740&6074&7354&1359&247&4986&1884&4293&2539&2893&6061&8246&2002&1581&4894&1537&4744&4639&3349&27&2534&4352&2336&7378&2426&824&3071&6231&1427&1981&1414&3221&369&2361&7503&1729&2667&1121&88&7125&3080&1527&327&5430&4303&785&854&2479&4093&1392&1864&7623&7818&353&3536&2797&1647&6361&6836&3041&3857&5114&6954&2259&200&191&5872&215&4961&2215&2242&5812&2771&1016&3868&292&1113&4971&7543&815
