tdg_iter_descent_v5[10000, 1]
time,|TSS|,sol
386.2731087207794,428,300&5619&2823&4949&6101&1604&2514&1541&1266&3841&1085&2321&4798&4320&7116&591&4683&468&5575&2409&4898&5929&4624&5105&1194&2753&2654&178&3434&7514&6099&3596&3080&3581&2880&2422&184&1713&3126&4805&3740&2492&4010&195&6531&7378&5357&3022&4621&3536&151&1701&1540&666&1729&1205&350&2558&2485&2642&6361&337&204&3104&1228&948&5914&383&2938&1927&4266&3927&1915&315&219&855&2577&7357&7020&2623&2171&2625&1458&4630&3139&4035&2002&175&5057&450&3071&6163&2487&3221&5383&4844&4887&1513&54&2921&3041&2579&4671&1436&5370&4183&2360&3431&5764&5780&28&3019&2762&5812&2817&462&2826&3679&6046&34&607&2230&317&3315&3347&815&499&2097&4444&687&307&7262&569&6954&1290&169&3651&1392&2667&6556&7578&1430&3230&6777&889&3121&3851&4033&2302&4216&373&1519&3868&1121&4070&1641&4957&3398&336&5246&3636&1864&4194&634&198&1103&1950&4698&1359&4670&876&5227&1753&1444&488&6962&4850&3645&3884&4161&558&1437&1152&111&1970&3863&5478&4566&1311&553&1618&822&6693&3140&3902&3969&3713&1939&293&1992&2408&5872&4888&4823&3533&529&1833&512&2936&6167&3120&2149&2534&3172&4471&942&341&292&5915&2115&2265&2665&1231&426&4322&7765&688&5096&80&4971&6606&2220&1303&1281&5355&6862&2190&2146&2552&5483&7421&6074&4151&622&200&4635&7849&187&1989&115&3112&3255&1024&1891&172&988&3559&4285&1219&446&639&1935&790&2510&2725&8662&215&220&1581&5857&6845&2336&2900&6448&5510&5784&2347&3613&3668&2574&3906&7533&1384&879&5111&3156&785&4294&3752&1817&5399&467&5430&5100&5765&0&159&2442&2986&4894&5482&3758&3396&369&2121&7211&5343&2221&3579&1689&4330&112&1732&2333&6779&72&299&1154&1697&6700&5371&4132&417&3356&234&3741&1181&1896&6027&1016&1547&2686&961&3402&5561&806&173&7537&244&2173&776&1371&314&6889&1498&2771&3545&1268&5077&3288&1246&1330&7818&1659&4059&824&672&4308&3781&3889&6331&3623&3225&951&6574&7503&1869&3128&1111&4043&454&6964&89&1427&1981&3771&7648&27&2893&5635&5442&915&4293&1886&518&5260&1890&1990&4228&4362&5974&221&1647&4986&477&4851&3242&1628&4280&2352&5448&3012&2618&2789&2637&905&694&1828&2940&3732&6494&5816&965&401&2380&1879&5683&5885&2217&4325&6714&2365&1119&7562&2041&730&2111&420
380.55905747413635,426,4949&6101&1282&1266&2649&3572&3936&1085&2321&6045&3436&1656&1791&4798&5522&5929&6344&5501&5126&5105&1194&3993&4961&2753&2654&178&1040&5530&3080&3581&2880&1116&3975&3126&3740&5704&2675&2092&2015&195&6531&4837&7378&3022&2158&4621&3536&1908&151&8534&1701&1540&666&1729&1205&350&2558&1974&2642&337&204&3104&948&6893&6039&4266&3927&1731&4749&2519&5005&315&834&8286&2577&7020&2171&5129&1851&4630&3139&2002&175&3071&983&6163&2487&2423&1449&659&5383&4844&1945&2613&6365&1513&899&148&54&6321&3041&2579&44&2861&2301&826&4183&2360&5764&5780&28&887&3019&647&3475&5812&698&1241&2826&607&815&499&687&1942&6144&307&7262&2024&1290&169&5699&5341&2667&5606&2612&4532&7578&2587&3838&1538&889&3121&3851&1157&3220&390&2302&4216&7154&5405&379&1583&1121&465&6479&5246&1631&1864&4194&198&1207&4698&956&1359&4670&4349&5227&1753&488&6962&4850&7819&138&558&1437&1152&3805&1388&1311&553&1878&8545&1618&6693&982&3969&136&3006&7941&1789&1992&5872&3533&529&676&2936&3120&2149&2534&4471&7623&1946&5565&942&88&292&5915&2665&8330&1231&1523&4322&80&2220&1303&2598&7757&4654&6862&3519&5859&2146&2552&7421&6074&4151&200&5671&4635&7849&4982&3268&2057&1674&1989&115&6572&5409&3112&1024&813&142&988&6861&5609&446&1935&6836&4577&2725&2510&973&215&67&1581&3349&1431&6845&2336&5098&2887&2900&3046&6448&5784&1947&5510&2574&5727&1988&2546&2222&5111&3156&785&6248&5877&4294&2257&5399&1441&5430&5765&1247&0&159&4027&6367&4894&5482&543&3758&369&6262&1432&3579&4330&112&1732&8582&6468&1102&7942&3419&1697&6700&2722&1089&4105&417&588&3356&234&5174&1944&1181&2902&6027&1016&1547&2686&806&1426&2781&2415&173&6844&4360&2173&157&7521&6891&6889&1498&2771&2085&1382&2437&280&5077&3288&1246&5217&1330&1659&4059&824&2829&4053&556&6331&3623&357&1728&3857&951&3300&1869&7503&3128&1111&4044&4043&6964&89&247&4479&1981&3771&3966&4298&3037&27&3852&2893&3417&6291&5442&3265&7725&1027&1920&1886&2081&5260&1533&2452&1527&1807&353&1132&1990&4362&1647&221&4986&1628&3242&1884&2789&6216&905&694&2940&3732&6494&5114&5816&4745&401&2380&4325&6714&2999&1895&1775&8150&1119&2461&6490&3961&730&352&4690&420&854
386.65954661369324,445,7014&2823&4949&6101&2129&6017&1604&1282&1315&1266&2649&3572&2713&1526&507&2321&1656&1791&4798&4465&4346&4898&6344&5501&5126&5105&1194&2654&3434&7514&3596&3080&4483&3581&2880&1116&184&4805&5604&5704&2675&2092&7378&679&3022&2158&4621&3536&151&1701&1214&8495&1540&3688&1729&1205&350&2558&1974&2642&2485&2561&337&204&532&1537&579&5914&1251&4230&6039&1927&4266&3927&1731&2519&315&4525&483&219&964&7020&7420&2623&2625&1458&4630&4268&3139&2002&175&3980&655&5638&574&7886&1449&2487&2423&3221&4952&4844&1945&39&6365&1513&148&54&6321&3041&44&2861&2301&826&6356&86&4183&2590&5764&5780&1716&28&6223&887&3019&2762&3475&5812&698&2817&2826&3357&6046&607&8440&272&649&815&2117&2097&499&687&1942&4994&1098&2818&6954&1290&169&4744&1392&5341&2667&384&5427&4532&7578&4748&4896&1538&3121&712&3851&11&390&2302&7154&373&7543&1641&5985&2881&3636&1864&4194&634&198&956&1359&876&5610&5227&5691&3932&1753&488&6962&3645&6076&2235&558&1437&1970&4566&1311&553&1618&822&4375&2499&6693&3902&5726&3969&3713&3006&7941&1992&2099&1095&2408&5872&529&1672&1833&2936&3120&2149&2534&4471&5565&6622&88&341&292&5915&2115&4103&2665&426&434&1303&7220&1281&5355&2552&7421&6074&4151&4639&200&5056&5671&4635&7849&1002&4982&6072&4232&7626&1989&115&356&3673&185&3112&1024&2529&988&4285&1219&5609&6836&790&2510&2725&1304&215&1414&1581&139&329&4692&1431&2644&2336&2900&2887&4154&3613&2468&1988&2546&3214&2222&1639&1384&5111&3156&785&5877&5399&2516&5430&5100&1247&5765&159&4740&4159&404&2986&4894&5482&3758&369&22&6262&1432&1792&5003&6141&2221&3579&4352&1420&112&1732&6468&72&299&4121&3419&1154&1697&6700&1627&241&2722&4105&417&588&3356&5174&1896&6231&2902&1016&1547&2686&806&1426&2781&2415&173&3442&244&4360&2173&157&1371&1498&2771&2085&5077&3288&1246&1330&7818&1218&1659&824&2829&3781&6331&2089&3623&357&544&1728&3857&951&6574&7503&1869&3128&697&1111&3854&6964&191&89&247&5249&1427&1981&3771&77&3966&6061&4251&1904&3037&27&2166&2893&3417&915&1920&4293&2081&5260&1807&2452&1527&580&6766&353&4228&5974&221&1647&4986&3242&4414&2352&1187&2789&1730&905&1828&3732&6644&5114&5816&4745&401&2380&5683&3259&5885&2217&6714&2999&4205&1119&3114&327&7562&6490&730&352&4690&420&854
396.8636269569397,401,3258&1803&2823&4949&6101&6017&1282&4728&6471&1266&2649&2713&507&2321&6045&1791&468&596&2409&5929&6344&5501&5126&5105&1194&1535&4961&2654&178&7514&5530&3596&3080&3581&2880&1116&521&184&1713&3126&4805&903&5604&2492&2909&5704&2675&4010&2015&4438&7378&987&3022&5773&3536&76&1701&1540&666&1729&1205&337&2558&1974&2642&6361&2561&204&6039&1927&3927&4749&315&8286&2623&2171&2625&4630&3248&2002&175&5638&3071&983&6163&1449&7203&5383&1945&39&4887&2613&6365&148&54&6321&3267&3041&2638&44&2861&1436&4183&2590&5764&5780&28&6223&887&3019&3475&5812&698&2817&2375&462&2826&6046&34&607&196&317&2230&815&499&2097&1942&307&7262&1098&2818&6954&169&5648&4744&1392&2667&2612&7578&5767&889&3121&1157&390&2302&4216&373&3636&1631&1864&4194&634&198&1207&1103&755&956&1359&719&5610&5227&488&6962&4988&4161&558&1437&1152&111&1970&5478&553&1878&1618&3744&5344&4375&2499&6693&843&3969&5549&7941&7530&1992&5872&880&3533&529&23&452&2149&2534&4471&7623&1946&5565&88&341&292&1404&2115&2265&2983&4103&3788&426&2665&3989&4322&7765&688&80&1303&2190&5859&2146&2552&5483&7421&6074&4151&2729&551&4639&200&5056&4635&7849&6673&5247&5409&3112&3339&1024&2922&7252&7197&988&6861&4285&4508&5609&446&1935&6836&790&352&2510&1304&4972&215&139&1581&1431&2336&2900&6904&6448&3330&4951&1988&3906&3214&2222&7533&1384&2567&5111&3156&785&5877&5399&2516&5430&4835&5157&1247&4740&2986&7057&4894&5482&3758&369&6262&3175&1792&6141&3579&4352&112&6468&5032&7942&2454&1154&1697&6700&4132&1627&417&588&3356&5174&3655&2902&1016&1547&2686&5637&3402&5561&806&1426&2781&173&7979&1912&244&2173&7521&6891&6889&1498&2771&2437&7218&1268&1246&1330&7818&1218&1659&824&672&2829&3889&6331&556&1728&3857&951&5178&1955&1869&7503&3128&1111&1985&4043&3537&89&2601&4479&1427&1981&3771&6446&2751&3037&27&2893&3417&636&1886&2081&5260&1890&1527&353&1990&4228&5974&221&1647&4986&3242&4280&2352&1187&4959&694&1828&3732&5114&4745&401&2380&3614&5683&2217&2999&1119&7562&730&2111&4690&5685&420&854
384.87108278274536,423,1348&451&1803&3275&2823&4949&6101&6017&2537&1282&907&1266&2591&507&2321&6045&4798&1791&5522&5929&2824&6344&5501&5126&5105&1194&2654&294&178&3434&7514&1040&3596&3080&3581&2880&1116&2422&3138&3126&4805&3740&903&2492&5704&2092&195&7378&987&3022&3761&4621&3536&1178&1701&841&1540&1274&1729&1205&350&2558&1974&2642&6361&2485&337&204&3104&948&6039&383&1927&4266&3927&1731&4749&315&2391&8286&219&2577&7420&2171&2625&1458&3139&4489&1237&2002&175&655&311&7886&6163&2487&2423&5383&4844&6731&39&6365&1513&148&54&6321&3041&2638&44&2861&2301&826&1436&4183&725&2590&5764&5780&2147&5062&3019&2762&5926&647&854&3475&5812&698&2098&1662&7354&2826&2768&34&607&4776&5241&815&499&687&307&1098&5775&799&169&4724&4744&800&1392&2667&5699&6556&2612&7578&4748&1538&3121&390&2302&4216&7154&7543&3539&3868&1583&3053&465&2881&6479&336&5246&731&1631&1864&634&1207&182&4698&1359&488&1403&6962&3585&1437&1152&558&1970&111&5478&1311&553&1618&822&2499&6784&3256&637&3969&3006&7941&1939&1992&5872&4888&3533&529&512&7217&3120&2149&2534&4471&5565&88&341&292&1404&2115&2665&8330&1231&426&7765&80&2606&2598&7220&5355&5859&2146&2552&5483&6128&7421&6074&4151&551&1823&4635&7849&4982&1674&1989&356&5409&3112&3339&1024&6524&988&3387&6861&446&1935&6836&2510&1304&215&67&1581&139&220&1431&870&2336&2887&4901&5784&2574&6530&4596&3945&3214&2222&7533&1384&2272&3156&785&2449&5877&1678&5399&2516&5430&4835&7516&5100&1247&159&4740&2986&404&2527&4894&5482&3396&369&22&6115&1432&3579&1689&4352&313&1420&112&1732&6468&7942&4121&3419&1697&6700&3866&1627&2722&1089&4105&417&588&3356&234&6430&5174&389&2902&7838&1016&1547&2686&3402&1426&2781&2415&173&6844&188&244&2173&157&1371&165&6889&1498&2771&2437&5077&3288&5217&1330&7818&3309&824&2829&3889&3623&357&1728&3857&4492&3859&6574&7503&967&1869&3128&1111&1985&4043&6964&191&89&5249&4479&1427&3771&6061&759&3037&27&2893&3417&636&915&4293&518&1890&2775&1527&353&6047&1990&5974&221&1647&4986&2478&2352&3012&2111&2789&1730&1059&3732&5114&5816&4745&401&2380&5683&5885&2217&6714&5188&7562&4519&730&352&4690&5685&420&144
390.99311447143555,457,7014&3275&2823&4949&6101&1604&2537&1282&4728&1315&1804&1266&1273&5825&2321&4554&3811&6344&5126&2654&178&3434&7514&3596&3080&3581&2880&1116&184&3126&4805&4611&903&3740&5604&2492&5704&5326&2092&4010&2015&6531&3592&7378&237&3022&3761&2158&4621&3536&8534&1701&1214&8495&1540&1729&1205&350&2558&1974&2642&6361&6768&2485&337&2561&3104&948&579&6039&383&1927&4266&3723&315&2912&2577&964&7420&2623&2171&1458&4630&4268&3139&2002&175&655&1177&3071&2244&6163&2487&1449&3221&7203&7193&4844&1945&39&6073&1513&148&54&6321&44&2861&2301&826&1436&4183&2699&2590&5780&2147&6223&887&28&3019&2762&568&2614&5812&698&2817&7354&2826&2768&34&607&317&6590&5241&815&499&687&1942&355&307&569&3971&1098&6954&1558&1290&169&4744&800&5699&2667&5543&2612&7578&3038&4748&889&3121&3851&5117&390&2302&7943&373&3868&465&1641&2881&3398&6316&3636&1631&1864&634&4937&198&1207&4698&956&1359&4670&876&5610&1763&488&4850&3645&3884&1225&558&1437&1152&111&1970&4551&4566&1311&553&1618&3744&822&5631&4375&2499&6693&3969&3713&3006&6997&293&1789&1992&2408&4823&529&1672&512&6091&2936&3120&2149&2534&2343&4471&6460&5565&341&292&1404&2115&6534&8330&1231&426&4328&688&2606&80&434&1303&8087&1798&7220&1281&84&2190&2146&559&2552&6074&1777&4151&4639&200&5671&7849&1002&4982&1674&1989&115&1766&356&3673&4560&3112&3339&1024&5409&7197&988&6524&3559&3648&6861&4285&1219&5609&446&2488&6836&790&352&2725&2510&8114&215&139&1581&870&2336&2900&4901&5784&3668&1988&133&3906&3214&2222&7533&1384&5111&3156&785&4258&5877&5430&5157&5100&1247&5765&159&4027&4740&850&2986&404&2315&5482&3758&3396&6262&6115&1432&3579&4352&4330&112&1732&411&6468&72&7942&3419&1154&7117&7127&1697&6700&4132&2722&4105&417&588&3356&4398&1480&5174&3655&798&389&1181&1896&6231&6027&1016&2686&3402&5561&806&1426&2781&173&6844&1063&4360&2173&6889&7279&2771&1498&1372&1268&5077&1138&3288&1246&816&1330&1218&1659&4338&2829&1421&6331&3623&1882&3857&951&1869&7503&967&1111&1985&4043&79&5372&89&5249&4479&1981&3771&1427&3966&6061&3658&27&2893&3417&915&1027&1920&4293&1886&5260&1890&2452&1527&1807&1990&4228&4362&5974&221&1647&4986&1628&2704&3242&1884&3937&3094&1730&248&694&8249&1828&3732&6494&5114&5816&5180&4745&2380&5683&5885&2217&4325&2999&1119&7562&2041&6490&2111&4690&420&854
389.64153504371643,397,7014&3992&2823&4949&5415&2537&1266&4921&3936&2321&4683&2169&2023&3159&6344&5501&5126&1194&7656&2654&178&3596&3581&2880&1116&521&2489&3126&4805&4611&903&3740&5604&5704&195&6531&2672&3022&3761&4621&3649&151&7487&1540&1729&1205&350&2558&337&204&6361&3104&1228&948&5914&6039&1256&1927&4266&7243&5275&3927&2519&315&2577&964&1264&7020&2625&4630&4195&2002&175&3071&983&6163&2487&3221&4844&1945&212&39&4887&6365&1513&148&205&2921&6321&3041&44&2861&2301&8239&4183&2360&2590&3431&5764&5780&887&3019&2762&1195&565&5661&647&3475&2614&5812&698&2817&2826&2768&34&607&815&499&2097&687&1942&2602&355&129&7262&1098&1290&169&1392&2667&7578&1538&889&3121&1157&2892&4625&2302&4216&7154&7943&7543&3053&4070&1641&351&2881&557&1631&1864&4194&634&4937&8380&1504&4698&198&1103&1207&1359&3608&719&876&1233&488&6962&3645&558&1437&1152&111&3863&4551&2631&1311&553&1618&4375&2499&6693&25&3969&3713&5084&549&1992&4201&2408&4823&3366&529&1672&2936&7339&2149&2534&4471&5565&2767&88&341&292&2665&8330&1231&426&4055&7765&80&688&2220&434&1303&1281&5355&2190&5859&4913&2552&4623&6074&1777&4151&200&396&4635&2057&1674&1989&115&3856&1024&5076&988&3387&6861&1219&5609&1935&6836&790&1304&215&1414&1581&139&220&1431&213&6845&2336&2900&6448&5510&2574&1603&3709&3906&2222&7533&1384&2168&1222&5111&3156&4294&3752&5399&1441&5765&1247&0&159&4740&4894&271&1977&3758&369&6262&3175&1432&3469&5384&4352&4330&112&3867&1732&5920&6468&72&3419&6910&4940&1697&6700&2283&2722&2539&1627&4105&588&5174&3655&798&1922&1181&6231&6027&1547&2686&3402&5561&806&1426&2781&173&6844&3611&244&2173&157&2771&2437&4669&3288&1246&1330&1584&1218&143&5990&824&1421&3889&6331&3623&1728&6139&3859&1869&7503&3128&4014&4043&2840&191&89&5249&4479&1981&1427&3966&27&3417&3582&2641&1361&1920&1890&118&3261&353&1990&4228&5974&1647&4986&1628&2704&3242&1884&6863&2111&6603&7680&905&694&1687&2940&1155&3732&5114&8424&4745&401&2380&5683&5885&4325&2999&730&352&4690&420&144
389.6905725002289,428,1348&2823&4949&6101&6017&1604&8373&408&1282&808&839&1266&3572&3936&2321&3436&1791&5147&2784&2824&5749&6344&5501&5126&5105&1194&2654&3434&1040&3596&3080&3581&2880&1116&2782&464&184&2489&5291&4503&3126&3740&903&5704&2092&195&6531&6748&7378&3022&3761&2158&4621&3536&1908&8534&1701&1540&666&1729&1205&350&2558&1974&2642&6361&337&204&3104&948&4400&1927&4266&3927&1731&3723&315&4525&6855&2912&8286&7020&7420&2171&3726&4630&3139&1237&175&655&983&6163&2487&2423&3221&7193&659&1945&4887&2613&6073&1513&6365&148&54&6321&44&826&1436&4183&3431&28&3019&2762&2817&7354&2826&34&607&5241&6590&2816&272&815&499&687&1942&3311&307&7262&1290&169&5648&4744&1392&2667&2612&4532&7578&4748&1538&889&3121&1157&11&390&2302&4216&1321&373&174&3868&8&2881&3532&5246&3636&1631&1864&634&198&1207&182&4698&1359&4670&5227&7106&6962&4850&3645&4161&558&1437&1152&1970&1388&4566&1311&553&1878&1618&217&2708&1617&2499&6693&843&3969&3006&7941&3142&549&1992&5872&4888&3366&3533&529&1672&512&4021&2936&3120&2149&2534&2343&4471&1946&5565&5133&88&341&292&1404&5915&2983&4103&8330&1231&426&2665&7765&1265&688&80&4971&434&8087&2008&1281&5355&2190&5859&2146&2552&6074&1777&4151&4639&10&5671&4635&7849&4982&249&2057&2413&1674&1989&115&3673&5409&3112&7197&6861&4285&5609&6836&790&352&2725&2510&215&139&1581&4692&1431&6845&2336&2900&5784&1947&4951&1988&424&3906&3214&2222&7533&1384&2567&3156&785&837&5877&4294&5399&2516&1441&4835&5430&3680&5765&1247&2986&2315&4894&5482&2843&3758&369&1432&1792&3579&4352&4330&112&1732&6468&7942&299&3419&1154&7117&7453&1697&6700&4132&1627&2722&4105&588&3356&234&4398&5174&3655&1547&3402&5561&806&1426&2781&2415&173&6844&6824&7537&244&2173&157&6889&1498&2771&2085&1613&3113&7298&7327&3288&1246&1330&1218&2957&5990&824&2829&1421&4053&3889&6331&556&3623&1728&3964&3857&6069&3859&5340&7125&7503&3128&1111&1985&191&89&4479&1427&1981&3771&6446&3658&3037&27&3417&1027&4293&1886&2081&5260&1890&1527&1807&580&353&1990&258&4228&5974&221&1647&4986&3242&1884&4280&2352&1187&905&694&3732&5114&5816&5180&4745&401&5683&4227&4325&2999&1895&2453&1119&2451&730&2111&4690&854
388.2218129634857,454,1348&7014&735&2823&6101&6017&1604&1266&32&1273&5825&2649&1526&2321&6045&4798&1791&6719&2409&5522&2824&6344&5501&4624&5126&1194&830&2654&2184&178&3434&7514&3596&3080&3581&2880&5870&1116&184&1713&3416&4956&4805&4611&903&3740&5604&5704&5326&2092&195&6531&6748&73&7378&3761&3536&1701&1540&666&1729&1205&350&2558&2485&2642&6361&337&204&3104&579&1251&4313&4092&6039&1927&4266&1106&3927&2519&315&4525&2912&8286&2577&964&7020&7420&2623&2171&3139&175&3980&3071&983&6163&2487&1449&3221&1945&3374&5839&6073&1513&6365&7224&148&54&6321&3041&44&2861&826&1436&4183&3431&2590&2360&2699&5764&5780&28&3019&2762&430&4449&2614&2817&4434&1241&1226&7354&2826&6046&607&815&7658&2097&499&687&1942&6144&307&2981&7262&6954&1290&169&1001&1392&2667&5699&2612&46&4532&7578&1538&5680&889&3121&3851&1157&3354&2302&4216&7154&379&1121&465&3398&3874&5246&1631&1864&4194&634&198&1207&4698&208&956&1359&4670&876&5610&5227&6608&6739&3942&488&6711&6962&4850&3645&4161&558&1152&3672&1970&111&3805&1388&4566&1311&553&1618&3744&822&4375&2499&6784&637&3969&3713&3006&6997&1992&2408&5872&880&4823&1672&452&512&2678&2149&2534&4471&5565&341&292&1404&2115&6313&1231&426&4322&7765&688&6606&1303&8087&2190&5859&2552&5483&7421&6074&4151&4639&200&10&5671&7849&1002&4982&2057&115&4560&3112&1024&988&3648&6861&4285&1219&446&639&1935&6836&790&2510&2725&1304&215&3349&1581&139&4692&870&2336&2900&2887&6448&3668&2574&2468&4951&1988&2546&3906&3214&2222&924&7533&5111&3156&785&837&5877&3752&4294&5399&2516&1441&5430&4835&6657&5765&1247&4740&850&2986&2315&4894&271&3758&369&6262&1432&3579&4352&4330&313&112&1732&6468&3419&7117&1697&3775&6700&2629&5371&4132&1627&2539&4105&588&3356&4398&1480&1112&3655&798&1181&6231&4520&1016&1547&2686&5637&961&3402&5561&806&1426&173&2415&6844&7537&244&4360&2173&157&6889&6772&1498&2771&2085&2437&1268&5077&1350&3288&1330&1218&1659&8577&4059&824&672&2829&4308&6331&3623&1728&3857&7125&6574&7503&1869&1111&1985&6964&191&89&5249&4479&1981&3771&1427&3966&6061&4251&6446&3377&3037&1904&847&27&2893&3417&1027&8376&1920&5260&1533&1527&1807&580&1990&4228&5974&221&6043&4986&1628&2704&3242&1884&4959&694&3116&3732&5114&5816&1209&4745&401&2380&5885&2217&4325&6714&2999&5541&7562&3961&730&352&4690&420&854
