tdg_iter_descent_IMP[5000, 1]
time,|TSS|,sol
76.483966588974,347,1293&1787&4459&1170&3363&3866&2219&2532&929&5168&2828&33&4911&3334&3615&4369&935&261&885&1562&999&1865&3900&131&2134&136&5063&478&1237&2719&3844&111&2764&3865&11&1&2537&390&3364&4657&1666&5645&2034&1898&5537&28&1369&1361&961&1674&4041&767&3716&78&6071&896&2559&5762&1365&5096&2322&834&1098&3163&1398&247&1167&192&5478&1049&878&20&3886&2852&1750&5285&2798&873&1734&798&4285&1785&1648&1445&439&2360&2086&2017&2877&621&2582&4686&165&4769&939&1801&2293&146&1930&680&307&193&3728&1856&2049&5154&335&4721&1837&370&1753&3913&5775&1070&1556&1973&32&1749&2384&4628&1075&2019&786&4740&941&4943&104&1181&1260&2010&3822&3823&416&279&1305&49&1914&1108&2942&4206&2329&1229&289&1657&1610&236&2821&4196&693&1025&1544&2007&1306&1712&6171&667&2890&2888&4125&5788&948&2948&1579&1692&582&1971&3813&2114&3933&5653&5504&1604&2485&44&1534&2055&3200&1281&112&1287&652&568&576&636&1424&490&3056&686&2314&1626&2892&1748&1974&537&886&169&3171&1389&4355&1703&4627&1981&2871&2596&963&1815&2802&4159&3846&66&2730&1923&1497&4617&399&516&1353&4434&2226&1478&1751&2029&736&981&55&447&2039&5963&2666&4502&1200&1743&5065&43&53&64&1026&955&421&3136&191&1989&5406&226&1394&4293&3462&1735&2102&3285&2862&3771&2498&1030&4004&1462&2727&960&4204&3714&4155&3806&475&5316&2531&3310&3232&838&4324&1466&125&6046&1882&1742&979&800&3475&1459&1625&1002&4752&1198&1249&5334&4781&2523&180&1877&410&4362&1644&4539&554&5863&809&496&3322&1141&2654&719&1847&5866&310&428&4334&100&4694&4891&1041&2761&994&2053&3220&1307&769&2287&1675&412&3670&1814&3926&1718&3715&3080&4689&1403&2638&1280&108&4432&101&1992&1000&3178&521&2816&3616&655&2275&1669&4741&2013&1117&3613&1946&5545&3583
77.01423716545105,347,4344&1787&1969&3363&922&138&74&1252&929&5168&1659&2828&33&90&3128&3615&4369&1562&999&5140&2451&2031&6167&0&1526&5063&63&1237&2719&111&65&3599&2659&2052&390&3405&1343&1524&5645&28&5537&1361&961&1698&1674&4041&767&190&3716&3981&1250&1922&896&75&1758&1382&4854&1365&2322&1098&3163&1398&2345&4496&247&192&20&3886&2852&2362&105&873&80&4285&4107&1785&1648&1445&2411&439&3675&2086&2017&1763&621&4465&4686&2582&4769&836&2293&3289&146&116&1930&680&307&2723&173&193&3728&254&1856&2049&753&5154&4721&4537&1318&962&420&1753&5775&3095&1296&1973&1040&1749&5777&3358&1222&2384&1075&1570&786&4740&5754&1181&1545&2056&175&2115&1933&4880&1260&1601&1477&6202&1834&3823&416&279&1849&1305&49&1108&2942&1229&289&804&1657&958&236&2048&693&1025&569&2007&1712&667&2487&2890&1218&4549&4547&1225&4817&5788&948&2948&1943&1579&1692&118&2094&99&3810&3813&2114&5504&415&44&1534&3179&4670&6039&2278&1301&3102&568&576&636&3056&1636&686&1994&3115&2314&1626&665&3312&1974&4052&537&886&169&3171&1389&4355&1703&1981&2871&1290&963&1815&3846&66&1497&399&516&303&4434&1478&1751&4815&736&2941&3826&3066&1620&2529&981&3833&55&2666&644&1200&58&43&1596&647&64&5543&2231&3326&1026&955&606&1989&5406&226&4293&1735&2102&3285&3771&1030&1168&4004&3930&1462&2727&960&4204&475&3310&418&3232&4324&1466&4973&125&6046&1742&5453&979&1359&3016&1459&1625&1198&1248&2199&1947&883&4781&2523&180&614&1877&1836&4362&1644&4539&2907&1163&3797&259&2654&989&719&1847&2906&1396&749&310&428&4694&1723&419&994&2889&1859&1307&2898&1675&2998&412&775&1286&1814&3926&3715&4109&4689&1403&2157&2244&598&2638&158&108&1639&3375&1992&3934&521&3616&655&2275&1669&2733&4741&2013&3613&1946&54
75.17490553855896,347,465&4344&1787&382&3363&3866&929&1659&33&1598&3615&4369&2726&1858&935&884&1562&999&2451&3900&803&3006&938&131&2134&6183&1526&5063&478&1237&111&3215&3599&881&3865&901&4353&390&3405&1343&1666&2034&325&5537&4230&1369&1361&2546&961&1698&1674&4041&767&5299&6034&3981&1922&896&75&1758&1382&1404&1365&2322&1098&3163&1398&2345&247&3033&192&20&3886&2852&2362&151&5285&2798&873&1634&4285&1785&1648&1445&1879&439&114&529&2086&2017&1223&165&4686&326&1045&3367&2293&350&6000&146&510&1930&307&173&193&5590&1685&1856&2049&5154&1318&962&1837&370&1753&2051&1946&3095&1556&1296&559&1973&600&1414&32&1476&1040&1749&2384&1075&1570&786&2019&1230&5754&2100&1181&2056&5931&4880&1260&1834&279&1305&49&1108&362&2942&4206&2178&1229&804&1657&1610&236&4196&1425&693&1025&2007&5788&948&2948&5131&1579&1692&582&118&2094&4199&3810&3813&5504&44&6039&2278&253&1301&3102&652&1287&636&1424&490&4123&2653&1636&686&1994&3115&879&3312&1974&1919&1970&537&886&50&169&1389&1792&4355&1981&2871&1290&963&1815&5414&4159&6162&66&1497&4617&399&516&303&4434&1478&1751&2029&736&1275&6125&3066&1620&477&981&5724&55&2039&766&650&1200&1765&43&586&5291&64&1026&955&606&5406&1664&226&22&3462&1735&3285&2862&3771&2498&1999&157&1168&356&4004&1462&2727&1226&2032&1042&500&2531&3963&3310&366&216&4973&125&6046&1882&1742&800&1359&1459&1625&534&1198&880&98&1831&2199&883&4781&2523&180&1528&1877&1836&4362&1644&4539&554&1668&3305&648&752&1163&1745&4683&2654&5981&989&719&1847&654&1220&1247&310&428&4334&3361&937&5220&4694&3571&2761&994&3353&2053&1307&769&2898&1675&1814&3926&1521&3715&4109&4689&1403&2244&4551&108&430&1992&3178&3616&655&2275&1890&2439&1117&274&3613&1712&5545
74.29222559928894,347,1969&3363&922&3866&929&5168&1659&2828&33&3615&3008&935&2726&885&1562&999&2451&3900&803&938&131&2134&478&1237&2719&111&1523&1559&65&3146&3599&1525&390&3364&3405&3638&1666&1165&3329&5537&28&961&5810&1674&4041&3612&3716&3981&896&2364&1758&2559&4827&1404&1365&5096&2062&1098&3163&1398&2345&626&247&3033&192&10&2011&5834&1067&20&1289&2852&2362&5285&4133&2798&1028&80&1734&801&798&4285&4107&1785&1648&1445&439&114&2360&5586&2017&3904&4769&3837&326&3344&109&146&2574&1930&680&5076&193&1805&1856&2049&5154&335&4721&1911&1318&962&370&1753&3913&2047&1512&5775&1946&508&1556&2842&32&1476&1749&1222&2384&703&4628&1075&2728&786&2649&5269&868&1181&2115&1215&1601&1260&1834&3823&416&1880&279&1305&13&1914&1108&2942&726&81&804&1657&958&236&4196&693&1025&1544&2621&2007&667&587&2888&4527&1991&5788&948&2948&1943&1579&1692&2094&3813&3296&2114&2530&5504&1604&44&3200&6039&2278&1317&1301&3102&576&636&3733&3056&1636&879&2314&1626&3137&1234&1974&537&886&169&3171&1290&2871&2596&963&1815&4159&2730&66&1497&4617&399&516&303&4434&1478&1751&4815&2415&444&736&2724&1157&3066&1620&2529&3833&55&2103&2666&2690&644&650&1200&1743&43&64&2231&5020&1026&5437&196&955&421&540&1989&5406&226&3462&1735&2102&3285&2862&3771&1030&1350&2568&970&1168&4004&2449&1462&2727&4365&4687&4204&2032&3806&475&3588&3310&418&3232&2286&1466&125&1882&4093&1742&1359&1143&3475&1459&1002&1390&1198&1069&4055&880&98&2199&4781&180&14&1877&410&4362&2944&1644&4539&554&752&2907&1608&3797&1656&354&2654&719&1847&1396&310&428&5220&4694&3571&1859&1628&1307&769&1675&1864&775&412&1814&3926&3001&4109&4689&1403&2244&2638&108&1992&521&655&2275&6&1669&1122&4741&1117&2647&3613&1712&2026
73.1942183971405,347,2544&653&1787&3149&1969&3290&922&3866&929&248&2828&33&651&4242&3111&3615&4369&1562&999&5140&966&3900&1996&2109&2031&6124&131&1433&2134&136&5063&478&1237&818&111&6159&3599&881&3865&11&390&3364&3405&1343&1666&5645&325&5537&28&3030&961&1698&1674&4041&4124&3981&78&6071&896&75&1365&5096&2322&1098&3163&1398&2345&626&247&3033&192&2186&3886&2852&105&151&5285&2798&873&1204&4285&1785&1648&1445&439&2772&2360&30&2086&2017&3129&1223&4686&357&326&2765&146&47&1930&680&2887&307&193&1805&1685&1856&2049&5154&335&3240&6015&1178&668&420&1896&1753&3913&784&1070&1946&62&1556&4028&32&3358&2384&703&998&1075&786&4740&868&104&1181&3417&296&1260&848&3823&416&279&1305&1108&2942&2329&1229&804&1657&1610&236&4196&3548&2048&693&2712&1025&1695&1544&667&1418&2890&2888&5788&948&2948&1579&1692&2094&1971&3810&3813&1118&2114&5504&44&1534&3200&2218&1683&3717&2278&2689&3102&576&636&3056&1029&686&1994&3115&2314&1626&3312&5882&886&169&993&3607&1400&1703&4355&2871&2596&3191&1815&3057&1236&66&1497&4617&399&516&1478&1751&4815&736&2724&1620&5724&3833&55&2039&2690&5217&1200&2308&1765&43&1596&5291&64&4884&6060&2231&2334&1026&196&955&292&26&421&4538&1989&226&4293&3462&5688&255&2102&2862&3771&2498&1030&2568&4004&6192&1462&679&4204&2032&2488&475&3310&418&4324&1466&125&6046&1742&5829&979&1359&1459&4080&1002&1198&1248&2199&1947&2523&1680&180&2124&1877&1836&4362&1644&4539&4838&3305&1141&752&1163&3797&4845&557&2654&719&1847&1220&2906&1396&1084&310&428&5613&2238&4319&4694&846&2761&1050&1627&1859&1161&1307&3907&2030&2898&1675&1864&412&635&1286&1814&3715&4109&4689&1403&2244&2638&108&422&1992&3934&521&655&2275&1890&1669&1122&4741&3613&1712&5545&2288&4649
72.57606959342957,347,1787&3149&4459&1969&3363&3866&2532&4422&929&5168&2828&33&1598&94&3615&4369&2726&1562&999&5140&1865&2451&5180&2204&5887&131&5063&478&1237&2719&111&65&656&3599&881&3865&5773&1&390&3364&3405&1343&1666&2473&325&5537&1361&961&2976&1698&2024&4041&767&1193&1922&896&75&1382&2559&1404&5731&4787&3184&893&2322&1140&1098&3163&1398&1309&192&5510&2186&3886&2362&151&3170&873&1228&80&4285&4107&1785&1648&1445&439&659&2360&3533&2086&2022&1763&5311&165&4686&4157&939&1045&1804&146&116&1930&307&193&1685&1856&2049&753&5154&335&4721&1911&3404&1318&4623&2713&668&370&420&1753&6221&5689&3095&1556&1296&4014&32&4697&1749&1222&2384&2616&4628&1075&2019&786&4740&941&868&1181&175&1260&4221&6165&1834&3822&416&1453&279&49&3897&1108&2942&6210&4070&1229&289&804&1657&958&1610&236&2048&693&1025&667&1385&4547&1225&4534&5788&948&2948&1943&1579&1692&2094&1971&3296&3933&2530&813&5504&2485&44&638&3200&1281&1683&2278&1317&253&1301&4912&3392&576&636&3733&1597&1636&686&2314&3115&1626&1298&595&3312&2392&537&886&1102&27&169&3171&1792&2871&462&102&1815&4159&1219&3846&66&602&1497&1475&4617&399&516&303&4434&992&1478&1751&736&2021&1275&3066&1620&2529&3833&55&650&1200&6164&432&5437&955&1682&3839&606&226&4293&3462&1735&3285&3771&2498&1168&4004&1577&1631&3930&1462&2727&475&2531&3310&418&2286&4324&1466&4973&125&1742&3016&3475&1459&4377&1390&2199&1947&1072&4781&2523&180&1877&410&4362&2944&1644&554&1668&3305&2045&648&1211&1141&6001&1163&2654&1295&989&719&1847&2906&2131&310&428&100&3361&4319&2081&1041&565&2761&1050&2037&6230&1307&2030&2898&1675&2998&3385&1814&3926&1243&1521&4109&1403&5722&2244&2638&4551&108&422&1992&3178&5711&655&6&1669&4741&3613&1712&5545
73.84870338439941,347,3363&3290&922&3866&4828&5168&248&1659&2828&33&1502&1598&1906&3615&5381&4369&4388&1562&999&2451&3900&131&2134&1237&2719&3440&111&3215&3599&1104&3865&260&1525&4152&390&3364&1584&3405&1208&5645&1165&3530&325&5537&4230&2637&639&1361&2976&1674&4041&3716&3981&78&6071&1922&75&1758&1382&896&1365&1121&6087&5096&172&3163&1398&3033&1167&192&878&5959&3886&103&2852&2362&105&151&5285&6293&2798&873&4285&4107&1785&1648&1445&4739&439&2123&659&2017&165&4769&3837&2293&146&1930&307&193&1685&1856&2049&753&5154&2331&335&4721&964&1318&962&668&2391&370&1753&641&2047&5689&563&1556&3466&32&1749&1222&2384&850&1075&786&4740&5521&2649&868&104&1181&2056&1545&175&2115&1260&1834&1052&3823&279&1517&1108&4206&1229&804&1657&4321&236&693&1025&1544&2007&1712&667&2890&3004&1385&3680&5788&948&1943&1579&1692&118&2094&2556&2028&1971&99&3296&3933&5715&5653&5504&44&1534&3179&3719&6039&2278&1317&1301&576&636&2535&463&1597&1636&2314&3115&1626&3312&1748&1101&537&886&169&1792&1400&1703&4355&2596&963&2639&3846&66&4451&5585&2440&1497&399&516&303&4434&992&1478&1751&4815&736&1620&55&2690&2629&1200&58&1765&647&64&1026&196&3365&955&292&4264&606&2910&226&640&4293&1735&2102&2862&3771&2498&1030&4004&1631&3930&1462&679&4204&3325&121&2032&1042&475&2531&3963&3310&418&3232&4324&1466&366&4973&676&1882&1742&1359&5972&3475&1459&375&1002&1390&1198&2036&2199&883&2213&4781&2523&180&2573&759&1877&718&1836&931&1917&410&5157&4362&1644&4539&1668&3305&496&776&1278&752&3797&2654&4130&719&1847&2906&1396&310&428&4334&100&4694&3571&2525&2761&994&76&1628&1307&769&550&412&4901&1814&3926&1521&4689&1403&2244&2638&108&422&1992&3934&2275&1890&1669&1117&2647&5800&1946&5545&2288
73.0373809337616,347,1402&875&4344&1787&4459&298&1969&2077&4161&1294&777&4422&929&5168&1659&2828&33&4911&3615&4369&1562&999&2451&857&2932&136&1526&478&3663&1237&2719&111&717&65&763&3599&1&390&3364&1666&176&2473&2034&325&5537&2637&28&1361&961&1630&1698&1674&4041&3716&3981&78&2018&2803&896&75&1382&1404&1365&1066&2322&1098&3163&110&1398&247&3033&3421&192&2212&20&3886&1289&2852&2798&873&80&2502&1892&4107&1785&1648&1445&659&2017&24&2582&4686&326&3118&109&146&116&454&307&2723&193&3728&1685&1856&2049&1241&5154&3083&962&2391&1876&1753&3913&179&579&3095&62&4310&1556&32&1749&3593&1222&2384&703&3870&1154&378&1075&941&786&2649&5754&1181&1260&1834&1516&1453&279&1914&1108&726&2329&1229&804&1657&236&693&1025&2007&667&1218&1385&2888&5788&948&2948&1579&1692&2028&3296&3933&813&5653&5504&1604&44&1534&1281&2218&6039&2278&2927&253&1301&3392&3102&2088&1287&576&636&3733&3056&1597&1636&3652&686&2314&3115&1626&3312&537&886&3171&1389&4355&1981&2596&3384&1815&2802&4159&3846&66&4617&399&303&4434&5244&1478&1751&4815&444&2642&736&1275&3066&1620&272&55&4180&2039&2666&644&4502&1200&1765&43&647&5941&5291&3943&955&292&606&191&1989&5406&3152&1540&1394&2054&4293&3462&1735&3771&2498&1168&4004&1631&3930&1462&4238&4687&960&679&2799&3806&475&3310&418&3232&4324&1466&3922&3722&1882&4093&979&1742&3016&1459&1625&1002&1198&3185&98&2199&1947&1471&870&4781&2523&180&1688&4191&1877&3871&358&410&4074&4474&1644&1427&4539&4562&3540&448&2907&1163&3797&2188&916&2654&1295&719&1847&1247&310&428&4334&3361&5220&4694&457&4509&1161&1307&769&2480&2236&2848&775&412&406&1814&3926&3715&4689&1403&108&101&1992&2685&3934&521&4051&3488&2275&1890&29&1669&1090&1117&3613&1712&5545
73.01785945892334,347,465&382&922&138&4171&4890&732&929&1659&2828&33&3615&4369&2726&1562&999&5140&1865&2451&938&2134&136&5063&478&1237&2719&111&65&3599&1909&1&2545&3405&1343&1666&5645&2203&1165&5537&1361&4788&961&1698&1674&4041&767&3716&3981&4024&896&1179&1404&6087&6213&1066&1337&5096&270&1098&1398&2345&3033&1167&192&4705&5510&20&3886&2852&2740&2798&873&1028&4285&4107&1785&1648&1445&2584&3456&2086&2017&4769&4157&326&1862&109&146&1930&680&307&2723&193&1805&2375&1685&1856&2049&5154&335&4721&1318&1527&962&370&1753&5827&5035&3095&1556&1973&3504&1476&1040&1078&1749&1222&1075&2019&786&4740&868&5754&1181&175&2115&1260&1834&3823&416&279&1305&1613&2771&1108&726&1229&804&1657&958&1610&5918&236&4196&693&1025&1695&1544&2621&1712&667&2890&209&844&5788&948&1943&1579&1692&2094&1971&3810&3296&5653&5504&44&1534&3179&3200&1281&649&6039&2278&1317&1301&3102&576&636&2535&490&2755&3056&1636&686&1994&3115&2314&1626&1772&879&3312&1919&537&886&21&169&4355&1703&1981&2871&1815&2639&3888&3846&66&1497&4617&399&1353&516&4434&1478&1751&444&736&1275&2941&1620&55&2666&2690&1200&1743&1765&2025&3622&4288&5291&64&2989&1026&5437&577&196&955&3132&4264&1989&4293&22&4361&255&2102&2862&3771&1999&2684&1168&4004&3930&1462&6041&2032&525&475&3310&418&3232&4324&1466&125&676&4093&1742&979&2880&1722&3016&1459&2636&2506&2199&1947&2523&180&2573&6121&2060&759&1877&1376&4362&3857&1644&554&496&2020&648&3360&776&571&1163&3797&1494&5621&4328&2654&3177&1295&989&719&1847&1396&1247&310&428&4334&4319&2081&5220&4694&3571&2761&1050&2943&1307&4120&2038&2898&1675&1864&412&3670&1286&1814&3926&4109&4689&1403&2638&4551&108&5990&4466&422&1992&3934&3178&521&1458&655&2275&1890&6&1669&1946&4898
