tdg_iter_descent_IMP[5000, 1]
time,|TSS|,sol
71.61928224563599,291,1920&3285&1992&3310&1674&994&3684&3011&1030&989&4880&5775&3710&5504&1703&896&1753&1790&2942&109&2393&350&1504&1115&649&1098&1562&3290&1033&390&1657&39&528&44&2102&2575&2948&64&1785&4689&1644&2152&4423&2654&1666&3866&2906&801&4740&1318&2314&3613&565&4093&3364&468&1648&4891&3833&1403&3934&1026&1095&1369&2288&1002&3829&2646&2523&2802&1929&1754&2653&878&3439&5096&1792&5417&679&3796&1200&66&100&1626&2053&2871&5220&1882&4815&1478&5537&2141&4107&370&1043&1031&2098&2278&2926&3458&3670&961&1973&1556&3137&736&1400&1462&1517&1198&2231&2114&1758&1659&1610&3797&43&2049&80&859&955&1466&18&3312&935&478&667&1712&1864&1900&948&1168&1853&3771&5686&193&3178&1303&636&2890&4159&3813&647&248&6046&3207&4129&1742&1396&2628&1050&4324&1749&1275&1629&192&298&693&840&1814&847&3396&1760&2638&1805&49&1307&1398&1856&5545&4282&4004&537&2176&1798&550&2293&4369&2975&1601&335&1723&1636&1117&3033&3715&303&5645&125&5332&1815&1765&131&29&1877&1075&1445&1250&1521&5154&3462&999&2531&2656&3846&4334&2115&2761&1286&2279&1361&3716&439&1728&301&1692&2746&1353&3363&1915&1855&6071&786&1834&853&33&5731&471&1748&1500&3970&1946&4769&496&1218&191&804&1620&4393&461&576&428&1685&27&1181&55&521&922&5788&2630&4434&236&1179&136&1476&111&1208&5866&326&3599&517&799&2985&399&2362&382&606&1579&3163&668&138&3926&279&3571&4911&2134&1294&2391&40&2094&2384&1042&1669&3615&2828&2666&180&4405&1237&1108&310
74.76700353622437,291,5285&2345&2036&3475&3285&5567&1992&151&3310&1674&4120&525&4587&776&989&3179&3232&5775&5504&924&896&5262&1753&226&1170&2942&350&4741&4319&4858&2318&1098&1562&4401&4241&390&1657&39&2102&44&5778&3700&2948&6254&1785&3216&3865&2635&274&1644&4973&2654&3866&1930&524&4740&1318&3613&4093&419&2306&1698&3364&1648&4891&1747&1403&3934&1297&934&1369&1002&5931&2376&2646&1019&2523&2653&4362&1792&4781&5168&41&4114&1305&679&5510&1200&66&100&1626&2871&1882&2244&1478&5537&4107&370&3777&1417&961&3137&3115&1462&1751&2742&4204&1198&2114&1659&43&2049&967&80&2661&3066&4400&3016&2960&859&1466&3616&935&3312&478&667&659&1712&3373&3191&948&1168&3771&3728&193&3178&636&2890&2431&4159&3813&4721&647&1734&1890&6046&4129&769&1040&572&1742&2986&1396&1313&98&1516&5518&3748&2007&3200&5291&4324&105&1275&418&963&192&693&1141&1382&1163&1814&1787&2638&1805&2122&49&272&1307&993&4344&850&1398&1856&3296&2862&5545&1847&4004&537&2293&1459&4369&2000&335&1636&2897&3033&3930&4196&303&125&2199&1815&131&1424&1877&3981&1075&1445&4399&5154&3462&3846&4334&5371&2115&146&2761&1488&1286&2279&574&1361&3716&439&247&1692&5827&1834&2633&510&1500&1415&4985&4769&2716&1218&191&804&2996&576&428&216&3405&1685&27&99&571&1181&521&4628&108&5788&4434&236&136&111&1165&326&3599&4123&1539&2985&5572&399&516&382&606&1579&3163&668&1499&3926&116&3571&5460&2467&2134&416&2391&2384&1669&4041&3615&2828&2666&1849&1237&1108&310
74.77462649345398,291,2051&5285&2345&2036&1992&3310&1674&525&1044&1030&4293&686&1222&333&3232&5504&896&1753&226&1722&2942&2393&350&4207&4741&1978&3976&1098&1562&390&2962&1657&39&4365&528&44&2102&2948&1785&22&4689&1565&1644&4423&490&1066&1451&2654&1666&2571&3866&2906&1930&4740&3613&71&1698&3364&465&468&3300&1648&3833&1403&4771&1026&3252&1668&2646&2523&1865&2653&4362&937&5096&3963&4781&5168&1241&2024&3769&3058&1200&66&1626&5220&20&1882&2228&2244&1478&5537&5104&370&961&4578&3497&2596&1556&1973&5725&3115&736&1400&2776&1751&1198&1659&1610&43&2049&967&80&3066&859&955&3616&935&3312&478&3815&667&659&1712&1453&3135&3191&948&3771&3728&193&636&2890&4159&3813&4721&2724&248&1890&4206&769&2275&6299&1742&1396&1365&98&3202&5961&3200&1749&1275&963&5193&1240&192&1163&1382&2638&4765&1108&1307&4344&5406&1398&1856&3296&1847&4004&1497&1263&537&1561&2293&4369&335&1411&1121&873&2031&3715&724&2821&1701&303&5645&1815&1765&131&1424&1877&1296&1075&1445&1250&5154&1243&999&3846&4334&2115&146&2761&1286&196&410&2279&1140&1361&3716&439&247&4285&1692&169&3363&2086&6071&786&1834&1161&1266&958&4110&12&1584&696&4769&496&2888&191&804&4353&1620&2552&3764&4393&5054&3215&576&428&3583&3405&1685&3595&99&1181&55&521&4974&108&5788&236&136&111&3599&653&5572&5164&4235&2375&399&2469&560&65&5323&1244&606&3163&668&138&3926&279&3001&4484&3571&2039&2467&416&2391&2094&2384&1088&1669&2032&4041&3615&2828&180&2498&310
71.81095480918884,291,2345&3475&3285&1992&151&3310&1674&525&1030&4293&3232&5775&4987&5504&1703&896&2028&1753&1615&2942&350&1191&3751&3879&3980&4741&916&102&2809&1098&1562&4241&390&1395&1657&1904&2102&44&3860&64&1785&4689&3865&1795&3913&1644&2410&5106&6120&490&1289&2654&1930&1913&2498&1318&2798&3613&1698&4127&3364&468&1648&3833&1403&3885&3080&1002&2523&2029&104&1675&2653&4362&2080&5278&5096&5168&41&1764&3058&1200&66&475&20&5050&4815&1478&5537&4065&5858&961&2533&736&1400&1462&1751&4174&4204&2418&1198&2114&1659&1610&4230&43&2049&967&1974&80&3066&2048&2960&349&859&1466&3312&478&3815&667&659&1712&3380&1864&1397&948&3771&193&1598&5119&3178&636&2890&2642&421&723&5600&4721&4977&1890&3933&2275&1040&1265&2978&1742&1365&98&2332&2007&133&1264&594&3200&4324&2617&1749&105&963&192&693&1141&1163&910&1989&1814&3810&1349&2638&1307&1398&1856&680&2862&1520&5108&4004&537&2293&1459&2055&4369&335&1121&1636&873&2031&3715&4196&2485&2821&2741&303&2199&5332&1815&131&1424&6022&1877&3981&1075&1445&1455&165&1941&5154&3462&4546&5236&534&1741&2531&2115&2761&2017&1361&439&247&654&1692&1006&2086&6071&786&1834&2730&2201&471&958&101&3379&340&4769&3272&804&1620&2996&576&428&4890&216&3405&3309&2494&3604&99&1332&1181&55&521&922&4974&108&5788&1249&3468&1999&28&136&111&1165&653&2985&5572&399&560&382&606&1579&3163&668&138&3926&6&279&3571&648&2134&3712&4507&1669&4041&3615&1827&2828&180&1849&1237&1108&310
72.14595079421997,291,4646&1992&151&3310&1674&5652&2967&1030&4293&686&1490&3232&5775&5504&1703&896&1753&3592&2942&350&1191&4741&1562&2904&886&390&1657&39&44&64&1785&4689&3865&747&1644&5106&1192&2654&1666&3866&4087&2498&2798&3939&3613&5345&1487&1698&3364&1648&3833&1403&3934&1026&1369&1002&4032&2646&2029&1675&2653&1429&617&5096&1305&1764&1200&66&1626&4225&5220&20&1882&1627&2244&1868&4815&1478&5537&2141&4107&370&1043&2278&961&2212&1973&1556&736&1462&644&4204&3239&1198&84&2114&1659&1610&3797&4230&4538&43&80&3066&3113&529&4580&548&2896&1404&955&1466&5719&3312&478&667&659&1712&2481&1864&948&1836&3771&5686&193&636&2890&4159&723&3813&248&5092&1433&4129&2275&1742&1396&1365&5291&4324&105&1749&1275&963&1069&3626&192&1596&693&1163&1814&159&1805&1295&3433&3140&1641&3374&3608&1307&4344&5406&1398&1856&3296&5545&1520&5108&1847&4004&537&2293&1459&1099&335&1117&3033&1597&3715&4196&2160&4171&303&5645&473&417&2199&1765&131&1424&5329&463&1877&1296&1075&165&5154&3462&999&4334&146&2761&1286&2017&1361&439&247&654&4707&4285&1692&2746&169&2905&2086&6071&786&1834&471&5773&1260&1748&1161&3747&992&1534&1854&2970&2025&4769&191&804&1620&563&576&428&3405&261&2836&1181&55&521&4628&922&2620&5788&4837&1498&236&28&136&111&332&326&3599&2677&3289&3095&399&516&282&2362&5091&606&1579&3163&668&578&3491&1499&3926&279&3571&2039&2134&2391&1025&2384&1669&1432&4041&3615&1827&2482&2828&2666&180&1237&1108&310&4199
72.73712611198425,291,2051&2345&2470&1992&3310&1674&1030&4293&989&4880&3179&5775&5504&2636&1703&896&844&1753&4279&2942&109&0&1191&2599&1504&1405&4741&4319&3806&1098&1562&4155&390&1657&39&1922&528&44&2102&64&1785&4689&2287&274&1644&1289&2654&1666&2906&1930&1913&2498&1318&2568&3613&5211&2875&1603&419&71&1698&3364&2930&2984&5779&1648&4891&3833&1403&3934&2364&1095&1668&1002&5931&2646&1019&2523&2653&1429&4362&937&5096&1792&4550&5168&1305&679&2024&1200&66&1626&2871&4830&2244&1478&5537&36&1043&3777&1287&2926&961&1556&579&3115&736&1400&1462&1751&2021&1198&1758&1659&1997&3797&4230&2049&80&3066&4400&2048&3282&4157&1466&3616&478&3815&667&659&1712&948&1168&2468&3771&4585&3968&193&3827&3178&636&248&1876&769&1040&1742&1396&1365&98&2332&6212&2007&133&6182&4324&1749&1275&1629&963&1069&192&693&1141&1382&1163&1814&5030&3810&2638&49&272&1307&1398&1856&5545&569&4004&1497&1263&537&2293&4369&2975&1624&335&2559&1636&873&1298&3930&3715&5645&2199&1815&131&463&1424&1000&1877&3981&1445&4399&5154&3462&3358&2115&146&2017&3716&439&4285&1692&169&3652&3363&1915&6071&786&1834&1416&3385&5731&567&958&2792&1534&161&4051&1946&4769&774&804&1620&5192&576&428&1685&420&97&1181&521&4628&922&4409&5260&108&5788&4434&3468&236&1999&136&111&326&3599&5612&653&799&846&2991&3095&6056&399&656&65&382&1579&3163&289&138&3926&279&3001&3571&1505&484&2391&2094&2384&1669&4041&3615&1827&2828&180&4676&1237&1108&5312&3717&310
73.32201027870178,291,3475&2602&1992&151&3310&1674&1030&3969&4293&989&686&4880&3922&5504&609&1703&1969&896&1753&4547&901&1722&2942&109&350&4913&1220&1504&4319&4540&1098&1562&2644&390&1657&39&1922&2102&44&933&4681&2575&64&1785&4689&3865&747&2522&3913&1644&274&2654&3866&5411&2906&1930&524&4740&1318&2314&2798&2568&3613&3364&1648&4891&1403&3934&934&1668&2288&1002&2523&2440&1675&2653&878&4362&30&4493&1792&4781&2567&679&2024&1200&66&1626&6264&2871&20&1413&171&1478&5537&4107&370&1043&1852&4028&2278&1417&961&2596&3137&736&1462&1751&644&4204&2021&1198&2231&2114&3146&1659&1610&3797&2049&80&3066&4400&1891&4580&1171&2048&360&859&955&1466&3616&2030&3312&478&3815&667&1712&1806&948&1168&1836&3771&193&4238&3178&636&2431&1004&3813&118&6046&769&1742&1396&2814&98&2007&4324&1749&1275&4687&2170&192&693&1989&3057&2638&1805&1295&3140&272&1307&415&1398&1856&2862&5545&4826&1847&4004&1497&537&2293&4369&3849&1601&335&1624&6175&873&1117&3930&3715&2334&4109&303&125&2199&1815&1527&1000&1877&3981&1075&1296&1445&5154&5756&999&3846&1664&2761&2017&2279&1361&3716&439&1692&169&2584&1855&2044&1834&752&1161&958&6003&1534&1032&2025&1946&4769&1218&191&804&1620&576&428&216&5284&3405&1181&4050&55&521&922&1293&5788&4824&2388&1498&4434&236&3430&136&326&3599&2729&698&399&2362&4820&382&1579&6089&3163&668&626&289&1684&3926&6&279&2639&3571&2039&2134&416&40&1025&2384&1669&4041&3615&2828&2666&1849&2223&1237&1108&310
72.01702332496643,291,2051&5285&3475&3285&151&4120&3310&1030&4293&989&5504&2636&924&1703&1969&896&1680&1753&3009&2942&129&350&1191&5158&2599&4319&1098&3537&1252&886&390&1657&39&528&44&2102&2575&2948&64&1785&22&3913&1644&1565&3866&1930&4740&1318&2314&2560&4093&419&1698&3364&465&1648&3833&1403&3934&4771&1026&1297&1804&2376&2646&2523&2029&104&4362&5096&4355&4781&679&4770&862&1200&66&1626&1731&5220&20&3311&1627&4815&1478&5537&4107&370&719&1064&1287&1229&1417&2640&961&655&2596&1556&3115&736&1400&1462&1751&4204&1198&1829&2114&1659&4230&43&2049&967&80&1567&2048&859&1404&955&3616&3312&478&667&659&948&1853&4482&3771&895&3728&193&3178&636&2890&4239&4159&3813&4721&3368&248&1890&4206&6046&342&769&2275&3893&1742&1365&98&2034&1050&5291&4324&2342&1749&1275&3354&1069&192&1596&693&1141&1382&1163&2638&1295&49&1715&1108&1307&4344&1398&1856&2862&2068&4004&537&4369&1601&335&1636&873&2124&2943&3033&3930&2821&4109&4632&5645&3544&125&4916&1815&1765&338&1424&1877&1075&1445&1521&5416&5154&5046&2473&999&2159&146&2565&2761&3601&196&2017&1361&3716&439&1692&169&3363&2086&6071&786&1834&404&510&1500&1266&1501&676&409&1032&4769&804&1620&576&428&5500&3405&1685&2054&1682&3604&1181&55&521&4628&108&5788&2065&4434&236&653&4123&929&5572&1606&4414&2362&65&606&1579&2218&3163&668&2826&138&406&3926&279&116&3035&3571&2039&2134&416&2391&2094&1025&2384&1669&2961&1070&3569&3615&1827&2828&2666&3474&1237&2498&310
71.92504239082336,291,5285&2400&1992&3310&1674&4293&3232&5775&5504&2636&1703&1969&896&844&1753&4150&226&343&901&1722&2942&109&3808&350&4741&6111&1098&1562&4502&4401&1917&3417&1657&39&2102&44&2582&945&2948&64&1785&1644&4173&2152&490&2654&3866&1930&1318&2798&1037&4395&3600&3613&4093&3112&1698&4752&3364&4337&1648&1059&1403&3934&1026&3019&4253&1581&1369&1002&1668&2646&2574&104&1543&2653&1600&1113&3021&1792&5168&679&3769&3796&1223&3058&1200&66&1626&475&20&1627&4815&5537&4107&961&5182&2212&2596&1973&2870&3137&579&736&1400&1462&1751&1198&2114&1659&1610&43&2049&3066&3016&2048&4157&4156&859&1404&955&1466&3616&1494&3312&667&1712&531&1453&948&898&3771&193&5008&4080&636&2431&3813&248&3933&2275&572&1743&1742&1396&1365&2034&3200&5291&4324&5724&192&2495&693&1141&1163&1989&2638&1805&1307&4344&5406&1398&1856&2862&3296&1520&569&1119&4004&1497&537&2293&797&2055&4369&335&4419&1121&1636&873&2124&3033&4264&5107&1772&4196&724&2485&1046&4109&303&5645&473&2199&1815&131&1424&1877&3981&1075&1445&1521&5154&883&4366&4334&6063&146&2761&1286&2017&2279&410&439&654&1692&2086&6071&786&1834&752&430&1260&1500&1534&676&1032&4769&496&2888&804&1620&2996&597&576&428&216&3405&1322&571&1181&55&521&4628&1301&108&5788&4434&236&1179&136&1476&111&653&846&5572&3095&6167&399&516&606&1579&3163&289&1684&3926&279&3571&2039&2134&416&2391&1025&184&2384&5479&1088&1669&3615&1827&1559&2828&1109&2013&180&536&1237&2498&1474&310
