tdg_iter_descent_v4[10000, 1, 125]
time,|TSS|,sol
516.9072773456573,378,4465&5699&798&983&6962&1011&261&2861&244&2184&6365&1927&2627&4375&7420&607&7154&2598&204&6082&210&3126&1864&5227&5501&7339&6954&1290&2665&1886&241&3214&5593&6844&2437&1878&4805&4216&336&5915&905&3261&499&1519&4611&1584&5974&7757&5249&545&7020&2539&588&666&5631&3857&5478&2623&4293&2158&352&5522&7378&2302&988&8246&1942&3636&1273&2714&790&1944&7551&7117&2686&2725&3969&694&3758&1697&5704&5929&1205&3966&2881&895&1732&7057&5174&5812&2423&2408&6321&2301&4161&1988&2361&2222&4362&5510&434&6893&77&7014&2654&7197&4268&3175&182&4639&1104&6262&1935&2415&7648&5409&5114&1437&6074&2468&1190&1111&3713&6531&4835&6076&2986&2510&8178&2817&1218&2149&88&2829&3906&5260&2667&1891&2173&512&1610&356&1627&7765&2171&426&3927&6448&1181&3771&3006&4285&1647&580&3623&2751&730&6221&3579&373&5430&6889&219&529&2823&2097&776&5344&1807&3156&4183&5246&4313&4266&6027&876&2935&824&3071&2612&4294&8202&3112&7941&6039&27&687&4692&4228&292&1945&1782&3718&264&1392&3242&4599&1920&1426&420&5240&1152&1946&1448&2638&44&1869&1024&1303&7503&1731&89&111&452&3475&6061&144&655&647&2002&2902&1121&4894&6700&2217&4749&4690&2189&3811&1103&3053&1537&1146&863&4667&3740&353&6344&389&2660&3356&1194&1330&1540&3536&3022&5111&2487&5683&3417&315&1718&2519&341&2023&6046&337&1246&5825&6231&1384&2537&5691&2117&915&1908&1618&5848&115&417&2552&1775&1480&4303&2893&1581&1002&2940&2558&2789&3019&7623&2762&3288&3398&1359&3139&72&8198&3572&806&4986&2936&3120&1247&3434&1817&3104&6144&4525&2375&1501&3612&4745&1659&2722&903&3041&467&5872&446&4055&4471&1311&5816&1266&184&1427&1728&390&815&350&6446&4325&3732&2880&191&5885&5126&2781&195&169&148&1981&408&7578&1249&1547&4635&7262&1992&2146&3037&2771&5764&1016&1027&1432&4949&5765&3402&785&1904&672&4352&4194&1538&5003&2999&7853&2912&8481&6861&488&2826&175&1513&558&3330&2321&4479&1604&2499&4901&198&5859&6072&2938
446.08551597595215,368,7811&5877&6962&2038&2861&244&6365&1927&3581&6494&6714&7514&3126&1864&5227&5561&5501&4698&1290&2665&241&3214&4338&1487&4951&2437&4805&4216&5915&2429&905&4611&5974&5249&465&6836&2336&6259&588&887&5293&7354&1116&3857&5478&4293&3889&352&5522&28&7378&2302&988&3636&790&5077&4251&1549&6378&1225&4092&2686&2025&2466&1321&2725&1828&694&3655&3758&1697&5704&870&4798&3339&1205&3419&3966&2881&1732&5174&3246&5812&7270&2423&2408&6321&2361&2222&4362&951&77&7014&7045&2129&205&553&1989&6961&1885&4844&518&4639&6262&1935&2415&7648&5409&1437&6074&6531&6017&4835&4035&6076&6693&2986&1063&2510&200&2817&3121&2149&3442&2829&3906&2667&2642&2163&5732&2173&512&356&1627&7765&2171&426&5032&3927&2577&3771&3006&4285&1647&3623&2751&2932&730&6221&3579&5147&373&6907&4374&3267&5430&6889&3080&4065&529&2823&1915&7252&698&1807&2641&4183&5482&7521&4266&876&1414&824&3071&2612&4294&5399&7941&6039&688&27&687&1890&4228&292&2193&1945&2649&1392&4599&3658&1920&4322&5680&1426&4621&420&1152&2211&44&8087&1869&178&2190&1024&3932&1303&7503&89&111&6061&8534&54&655&2587&2902&2625&2534&4894&6700&2217&4749&4690&889&1103&8286&353&634&6344&389&139&3356&1194&1330&3536&3022&5111&2487&5683&3417&315&2147&337&1246&6231&1384&507&7421&3533&1527&1908&1618&115&417&2552&837&961&1480&4464&2893&1581&1002&3225&2558&6739&1674&3019&7623&2115&5726&2092&3387&854&7562&3288&1359&3139&72&3572&5371&1730&1067&4630&806&4986&2936&3120&549&567&6657&3434&1247&857&4525&1501&4745&1532&2722&903&4898&3041&5178&5872&446&2380&4055&1311&3307&5816&1266&184&1427&1974&1728&284&390&815&272&7942&7671&159&4325&4151&221&2880&191&5885&34&397&2781&195&169&148&5784&1678&6524&1547&4635&7262&1992&2146&2771&5764&112&719&1628&1432&1258&4949&5765&3367&1231&785&672&2999&5105&2826&175&1513&558&401&2321&1157&3596&6468&215&198&915
432.1923768520355,469,5699&3859&7886&6962&2492&2861&124&5326&6365&4105&4375&607&3581&7154&901&204&1420&3349&6714&6115&7514&3645&3126&1864&5227&1119&5501&4698&6954&1290&2665&1886&241&3214&4982&6844&2168&4338&4951&1348&2437&1878&4805&4216&1399&3584&5915&2429&905&1672&499&6331&5100&4611&5974&4959&5249&6836&7020&465&1884&2336&5342&588&4298&887&10&271&7354&1116&3857&2623&3889&2057&352&4961&28&7378&850&2302&988&7220&8246&1942&3636&790&5077&5157&8678&4092&2686&4888&2111&2725&1713&3969&1828&694&3655&3758&1697&5704&870&5929&5606&4798&1205&3419&4121&3966&2881&1732&5174&2590&5812&2423&6321&2301&4161&1988&2222&4362&434&157&6893&7014&2654&2129&679&3866&1792&1207&4844&4639&6262&1729&5483&2415&1558&5409&5114&1437&6074&6374&3713&4744&6531&5565&6017&4835&6076&6693&2887&2986&2510&200&2817&1218&3121&2149&2829&5260&2667&2642&2173&1610&369&7765&426&5638&3927&5637&3936&916&5340&1181&3771&3006&4285&1647&2768&5530&3623&730&6221&3579&5147&6610&373&5430&6889&3080&529&2613&2516&2097&1154&698&3258&1807&1404&3156&4183&1138&7521&4971&4266&1414&824&6361&4103&3071&2612&6228&4294&43&6490&3112&5399&7941&6039&688&27&687&1890&292&1945&2485&264&1392&3242&4330&3658&1920&4824&1426&4621&420&948&1256&3851&1152&234&1089&2638&44&1869&2713&1024&3932&1303&7503&1731&89&111&3475&54&6635&3804&144&1388&655&2002&2625&1121&2534&4894&6700&3648&858&2217&4749&4690&889&1103&1791&4670&8286&3740&1896&353&634&6344&139&3356&1194&1330&711&1540&830&3536&3022&1228&5111&7818&2487&5683&3417&315&3805&1458&2519&341&6046&337&1246&5825&6141&7421&2537&1527&4748&2773&915&1908&1618&1990&417&2552&1480&2574&4887&2893&1581&4566&1002&2940&2558&2789&3019&7623&2115&2092&4896&3288&3398&1359&3139&5188&72&3572&3128&6474&4630&806&4363&4986&3120&6657&3434&6479&1247&6144&3104&4525&5804&1498&4745&3366&2722&3041&5872&2380&446&4471&5816&184&1427&1282&1974&5671&5604&5056&1219&5685&1728&284&390&311&6548&4850&350&1449&815&272&7671&159&4325&637&2081&4151&221&3732&7203&2880&5885&5126&6997&34&1939&2781&195&490&169&1281&148&5784&5780&638&7578&1547&4635&7262&1617&1992&2146&6101&3037&5859&112&1016&826&719&1027&39&1628&4043&1432&4949&5765&3402&1231&785&5610&672&1195&4194&4352&1538&2999&2452&2912&6861&5105&2826&175&173&411&5180&1304&1513&2343&558&2321&4479&401&1157&2499&5609&4901&3596&4398&7838&6468&215&2839&3221&198&5764
436.0647406578064,404,5699&798&983&5877&6962&244&6365&1927&4105&4375&7420&607&3581&6494&204&1201&1504&6714&2085&3645&731&1864&5227&6216&294&4698&6954&1290&2665&1886&241&3214&4982&6844&4951&4010&4805&4216&5915&1672&499&6331&5100&5383&2921&5974&6836&1884&2336&588&666&3868&7354&1116&2127&5478&1631&2623&4293&6163&559&352&2158&7658&4961&7378&850&2302&1942&3636&1273&4360&790&5077&834&4251&2352&2686&5005&2725&3655&694&3758&1697&5704&1268&1206&4798&1985&1205&3419&6471&2881&3937&1658&1723&2590&2122&2408&6321&6316&2301&5582&1988&2222&4362&3220&434&157&951&2654&553&1989&1792&3175&4844&182&329&6262&1729&1935&2415&2828&4957&5114&5409&6074&1437&3143&1111&3713&759&454&4654&6531&5565&6076&6693&3247&2887&2986&2633&3537&200&2817&1218&3121&2149&88&2829&4328&3906&5260&2667&2642&2173&512&4093&1379&7198&7765&7943&2171&426&5637&2577&2353&4285&3006&4369&1647&5530&3623&3903&307&730&3579&5147&327&373&5430&6889&3080&2613&2516&3812&7252&1154&3258&1404&3156&6137&5246&4313&2478&876&824&3071&1541&208&2612&6490&5399&7941&27&964&1890&292&1945&2649&2485&1392&1920&767&4322&1426&5680&4621&3851&7193&1946&6748&44&8087&1869&1024&3932&1303&452&89&111&54&985&655&2902&2534&4894&6700&3648&858&2217&4690&840&889&1103&3053&1791&2672&8286&3740&353&634&3356&4541&1194&1330&711&1540&3536&6876&3867&2265&2487&5683&315&341&924&6046&337&1246&6231&5299&1384&3533&684&1527&1908&1618&115&417&213&2552&2242&2574&1581&1002&2940&2558&2789&3019&2092&4896&2762&7562&3288&3398&1359&2824&3572&1730&8160&4630&2027&5493&806&4986&2936&3120&1247&3434&3104&6144&4132&1498&4745&1659&2230&4898&467&3041&5178&446&5872&2380&4471&1311&5816&1266&184&1427&1974&616&1596&5604&1753&5685&390&815&350&7942&7004&159&4325&1178&4151&221&1858&191&3732&2880&5126&822&2781&195&1124&169&148&7578&1547&4635&7262&1617&1992&2146&6101&3037&2771&5859&112&5291&1027&2064&1628&4043&5765&3402&4208&785&4352&672&1538&4194&5003&2999&1441&6861&488&5105&175&173&5826&1513&2900&558&2321&4479&1157&1604&2499&3596&6468&198&5764&6072
423.4659860134125,410,5699&3723&983&5467&5877&6962&7328&2861&6365&1927&4105&4375&3581&7154&3563&6115&2085&7514&210&3645&368&3126&1864&5227&5561&1119&5501&945&1290&2665&241&6844&3214&2437&4805&4216&5915&1672&4823&499&6331&5100&4611&465&6836&7020&2336&666&5631&4298&10&7354&1116&1631&2623&4293&3889&2057&352&5522&4961&28&7378&156&2302&988&1942&3636&4360&790&2352&1225&2686&101&2111&2725&80&1828&3655&3758&1697&5704&870&247&1985&1205&3419&2881&5174&2590&7240&3317&894&5812&2408&6321&4161&5946&157&951&6893&1421&679&553&3866&1989&1545&68&2310&1207&4639&6262&1729&5483&2415&1935&1558&5114&1437&1111&3713&4744&6531&5565&6017&4835&2449&6076&6223&6693&5661&2887&2986&2510&2817&3121&2149&88&2829&3906&5260&2667&2642&973&2173&512&1627&369&7765&3927&2577&916&4627&1181&3771&3006&4285&1647&3623&730&6221&3579&909&3248&373&3080&529&2823&1789&6499&1154&5344&698&1404&3156&4183&6572&4971&2478&4266&876&1414&824&6361&3071&4294&5399&3112&7941&6039&688&27&687&964&1890&4228&2640&292&1639&2809&2485&1392&3242&5828&3658&1920&4322&5680&1426&4621&420&1777&3851&627&2638&2211&178&2190&1024&2377&1303&7503&1731&89&111&452&8534&54&655&3608&532&2534&4894&6700&2217&6601&4690&889&1103&1791&8286&7657&3740&634&139&3356&1194&1330&2235&711&1540&3536&2511&2409&2487&5683&6816&3417&315&1458&2147&337&1246&6231&544&3533&2537&1527&1618&1990&115&2552&3441&800&2574&2032&2760&7982&2893&1581&314&4566&2558&2789&3019&2115&2092&4560&854&4896&2762&3288&635&1359&3398&3139&5281&72&3572&5634&3128&4630&2027&4567&806&4986&3120&549&6657&3434&6479&1247&6824&1498&4745&3366&248&1659&1937&2722&3041&5872&2380&1311&7543&3307&5816&1266&1427&5914&1282&5671&8034&927&1728&390&3992&815&272&350&7942&1550&7671&159&4325&11&4151&2880&191&7203&822&2354&404&34&3322&2781&195&169&148&1981&5780&1678&1547&4635&7262&2146&3037&6101&2771&5859&112&719&6766&4043&7487&5765&3402&1231&6606&3651&4740&785&672&4352&2912&1074&6861&488&2826&175&5105&411&596&1304&1513&558&401&2321&4479&1157&2499&5609&4398&3596&4937&6468&215&3221&198&5764
437.92074608802795,429,5699&3859&798&983&5877&6962&2861&355&5326&4105&4375&7420&3581&6494&7154&204&3349&6115&3645&3126&1864&5227&5561&1119&5501&1322&4698&6954&1290&2665&1886&241&4982&6844&3275&1348&2437&1878&4805&4216&5915&499&6331&5100&4111&5974&4959&6836&465&7020&8292&2336&588&666&5631&7537&887&3868&7354&1116&3857&5478&579&2623&6163&3889&2057&352&2158&4961&28&7378&2302&988&8246&380&1942&3636&1155&790&2360&5077&2352&2686&8040&5005&4888&2111&5355&2897&2725&3969&3655&694&3758&8495&1697&5704&956&5606&1268&1206&4449&2200&4798&3339&1205&2675&2881&1732&5174&3585&7816&996&2590&7240&5812&1436&2408&6321&2222&4362&157&951&5512&2654&679&2315&553&1989&1792&3175&1207&6530&4240&4639&1729&5483&5409&2828&1437&5114&6074&2644&1111&4744&6531&5565&2449&6693&2986&6152&200&2817&1218&3121&2149&88&2829&3906&5260&2667&2173&512&1627&2916&369&426&3927&5637&2577&3771&3006&1647&3623&307&730&6221&3579&5147&2690&373&5430&6889&219&3080&2823&3700&2097&698&1404&3156&4183&5482&5246&4266&876&824&6361&4103&5454&3517&3020&3071&2612&4294&43&6490&5399&7941&6039&27&687&964&1890&4692&4228&292&1945&1014&1392&4330&1920&4322&1426&4621&420&3851&7193&1152&2638&44&1869&178&2190&1024&2713&1303&1731&7503&89&111&6061&54&144&655&3762&3761&2902&2260&1121&2534&4894&6700&2217&6601&4690&889&1103&1791&3113&3740&353&6344&3356&1194&1330&1540&3536&4781&2409&5111&7818&2487&5683&3417&315&1458&341&4283&1246&6231&2489&5591&4391&1384&7421&1527&1908&1618&3991&7515&1990&417&115&2552&3744&6045&2893&1581&4566&22&2940&2558&766&6739&1674&3019&2789&3421&2115&5726&2762&3255&3288&3398&1359&72&3128&6574&4956&4630&806&4986&2936&1247&3434&7732&3104&6824&4525&32&4132&1498&4745&1659&2722&903&3041&5178&5872&2380&2231&1311&4471&5816&1266&184&1427&1282&1974&5604&5056&1728&390&4850&815&636&7942&159&4325&2081&11&4151&3732&191&2880&4195&5885&5126&822&1003&2781&195&169&1281&148&1981&5784&7578&1678&1547&4635&1992&2146&6101&3037&2771&5859&112&3989&1016&1027&6777&1432&5765&3402&1251&6606&785&4352&672&4194&2999&6861&5105&2826&175&173&1513&558&401&2321&4479&254&1157&1604&2499&7258&4901&3596&6460&4937&6468&1517&215&3221&198&915
449.54449582099915,375,2908&5699&983&6962&2492&2861&5326&244&6365&4105&1927&4375&7420&607&3581&6494&7154&1701&3545&2085&7514&3645&3126&1864&5227&5561&5501&4698&6954&1290&1098&2665&1886&241&3214&5593&6844&2168&4951&1348&4805&4216&5915&4823&499&6331&4611&5974&7757&1232&6836&1884&5631&6521&3857&1116&579&2623&6163&352&5522&28&7378&2302&1942&3636&1273&4360&790&5157&1944&2686&4888&2111&2466&2725&80&3969&3625&694&3655&4634&1697&5704&870&956&1268&1205&2675&3966&3396&5174&1095&5812&4686&2024&2423&2408&6321&2301&4161&1988&300&4362&434&157&7014&2654&2315&553&1989&5887&6262&1935&1437&5114&6074&2513&6531&5565&6017&4835&4035&6076&6223&6693&3247&2887&2986&2510&4612&2817&3121&2149&88&2829&4328&3906&5260&2667&2173&512&1627&6413&369&2171&426&3927&1181&3771&4842&1823&1647&3006&4285&3623&730&6221&3579&5147&373&6907&199&5430&6889&3080&529&2823&2613&2097&268&1404&3156&4183&8044&7521&876&824&2612&462&5399&3112&688&6039&27&687&964&1890&4692&4228&292&3436&2649&3718&2485&1392&2221&3658&1920&4824&4322&1426&4621&420&948&1777&44&1869&178&1024&2377&2188&1303&7503&89&111&3475&144&655&2902&2534&4894&551&4690&889&1103&2672&8286&353&634&6344&139&3356&1194&1330&2704&1540&3536&1230&3138&3867&3022&2409&2487&5683&3260&3417&315&1458&2147&622&6046&4283&337&1246&6231&2489&1384&7421&3011&3533&1908&1618&115&2552&4464&4713&2893&1581&2558&3019&7623&2092&6862&854&3398&5188&3572&4625&4630&806&2936&6657&3434&1247&3104&1498&4745&1659&2722&2058&903&2230&3041&5872&446&1311&4471&5816&1427&5604&5685&1728&390&4850&1449&815&350&4944&636&159&221&2880&191&5885&3639&404&2781&195&169&1281&148&1981&5784&7578&1678&1547&4635&7262&1992&3603&6101&7872&3037&2771&112&1016&719&1027&1432&4949&5765&1251&3402&1231&3760&785&672&1538&4194&3377&2999&2452&2912&6861&1447&488&2826&175&4504&411&5180&2900&558&401&2321&4479&1157&2499&5609&4398&3596&215&3221&198
430.46593141555786,386,5699&3859&6073&983&5877&6962&2861&6365&1927&4375&607&3581&7154&204&2344&1420&3349&6714&3645&3126&1864&5227&5561&5501&2422&4698&1290&1886&241&5927&3214&6844&4805&4216&5915&4823&499&6331&4611&5974&6836&1884&3855&4298&7537&7354&1116&3857&579&2623&4293&3889&2057&352&6163&5522&2158&28&7378&1237&2302&988&3636&790&4251&2352&1944&2686&5581&2725&80&3969&1828&694&3655&3431&3758&1697&5704&956&1268&2200&1205&1732&2816&2590&5812&1436&2423&2408&6321&2301&1988&2222&4362&434&157&2654&2963&662&1357&553&4268&1989&5251&1207&329&4639&6262&1729&5483&1437&2828&6074&6531&6076&2887&2986&200&2817&1218&3121&2149&88&2829&4328&3906&5260&2667&2642&2173&356&1627&1379&369&7765&2700&6448&1181&3771&3006&4285&1647&730&6221&3579&5430&6889&3080&529&2097&1154&2641&3156&5396&4183&5482&4971&876&1414&824&2612&4294&6490&8330&3112&3004&688&687&964&1890&292&1945&2649&5870&2485&23&264&1392&4330&100&3658&1920&4322&1426&420&948&3851&234&4056&2211&44&8087&1869&2190&1024&1303&1731&7503&89&111&452&3475&144&655&647&532&2625&2534&4894&6700&2217&4749&4690&880&3811&889&1103&1791&8286&4231&3740&353&6344&2426&139&3356&1194&1330&508&1540&5108&3536&1693&1228&2409&2487&5683&3417&315&1458&924&341&3116&337&1246&1384&507&7421&1527&2886&1908&1618&2573&115&417&2242&1480&4887&4464&1581&314&2940&2558&2789&3019&7623&2092&841&854&3962&2762&3288&2824&1359&3139&72&6574&4630&806&4986&6608&3120&6657&3434&1247&3104&4132&1498&4745&903&4898&3041&5872&2380&446&2231&1311&4471&5816&1266&184&1427&1974&5671&1416&1753&1219&765&1431&1728&5685&390&284&4850&350&7004&159&4151&2880&5194&191&7203&6964&3322&195&169&1281&148&1981&408&5784&7578&1547&4635&7262&1992&2146&6101&6182&3037&112&3159&39&5193&4043&1432&3367&4949&5765&3402&8065&1231&4740&1904&672&785&4352&1538&2797&2999&1441&2452&1074&6861&488&2826&175&5105&5076&1304&1513&2343&2900&2321&558&401&1157&2499&5609&3596&6468&215&3221&198&5859
