tdg_iter_descent_v4[10000, 1, 50]
time,|TSS|,sol
433.3981363773346,289,2158&858&7279&1330&3436&1027&1304&1281&6657&6954&3927&2222&1942&208&5704&139&773&6365&1427&5680&337&1540&6076&3041&1498&2986&2641&1990&2936&3156&6836&3402&1154&4151&2487&5882&3417&1059&1194&824&5105&2789&4014&2510&2528&7671&7543&1732&157&1264&1105&1935&5430&1290&3006&4639&2714&404&4805&4670&221&27&948&1385&1647&1359&7765&3261&982&72&2231&785&341&6262&1392&4844&2415&3434&488&3533&3411&1436&2343&314&1205&1693&3966&1753&905&4986&4471&916&148&880&7972&569&198&248&5885&6454&144&1618&5683&1414&4228&3579&1246&4293&7378&3214&688&6074&2667&2823&1678&529&1981&3936&1268&3019&245&7020&112&5227&3126&3536&2173&292&3623&2057&3356&2217&985&6531&6534&1458&3366&80&5510&553&1207&4823&159&6073&1697&3431&1614&1437&1729&5114&3080&2336&5026&1581&4690&588&6321&6061&815&1627&6468&4894&1441&2654&1003&850&3128&111&5501&5077&3267&426&7154&2861&988&2893&1533&195&1247&2302&3139&4194&2485&806&3673&1547&191&634&7203&3258&730&1920&983&89&1231&1527&244&2087&5872&5685&3288&3275&6893&5816&5174&0&2190&1927&2590&4698&2071&4740&284&6231&4056&3349&5780&6221&1116&5100&3004&1989&1828&353&169&3866&3559&6331&88&3857&1537&2534&3740&350&2259&2844&2552&3718&315&1713&1864&6072&2429&4322&7578&1157&1431&3220&4161&2598&3581&854&4525&694&3868&1538&420&446&2558&1106&5126&558&4216&1266&2826&6101&2081&2612&3022&175&3315&417&5413&67&2625&4596&466&182&7421&4971&6448&687&2771&7623&5493&2881&4043&4835&2499
409.15572476387024,307,2158&4630&7279&3436&1330&1281&115&6954&3927&2222&1942&139&5704&6365&3221&6446&1427&5612&3121&638&337&1540&3041&2244&2409&1990&1807&2936&3402&8495&1154&4151&2487&5355&1194&4352&824&5105&2789&640&2510&5610&6341&894&1674&1732&3961&2457&6471&157&2115&1935&5430&1290&5915&3006&4639&5260&6613&477&4805&6910&27&948&1647&7765&567&3645&982&3906&1384&719&72&6017&3980&785&2595&341&6262&2587&1392&7951&1443&2415&4183&3434&488&3533&1974&1768&1205&3966&1753&7001&4986&2713&4471&148&809&569&5885&1618&5683&5764&4228&3579&1945&1246&6361&7378&5193&3214&2902&688&2667&2823&6163&529&1981&3936&3851&3019&7503&7020&112&5227&327&2347&5609&3536&2173&292&3623&2817&3356&2217&2360&630&6531&6534&3366&5510&553&4976&1207&6606&159&7028&2638&4132&2649&1697&1152&1437&1729&636&3080&6766&1181&588&5453&4690&4982&1731&6061&815&2797&317&1627&6468&556&5614&3317&2654&3648&28&5914&178&850&4959&2516&2640&5501&215&1426&1424&2861&2893&195&1247&5631&4692&879&369&43&2302&3139&4194&4232&806&3673&2660&1547&191&634&3258&730&983&7902&89&3636&1231&1527&244&5812&2525&6893&5816&5174&0&4698&909&887&4740&284&2725&6635&6231&2423&4056&4323&6221&5780&1116&5100&2564&3004&1989&1828&3991&353&169&3559&3104&6331&2149&3857&2534&5561&4937&1282&315&4479&1864&4322&7578&1157&2686&4161&854&6096&3581&694&3868&420&446&2558&1273&2024&1791&5126&558&4216&4901&2665&2781&1266&4850&6101&2081&2612&3022&175&6693&1513&5413&2509&1311&2625&1219&184&1766&1303&2301&7421&6448&499&512&687&2771&54&7623&2881&200&5634&2499&6962
406.472749710083,328,1228&508&2158&4630&7279&1330&1281&5565&115&6657&4824&3927&6954&2222&1249&1942&139&5704&7982&6446&1427&2537&1540&6076&2561&3041&2986&2641&1990&1807&2936&3156&6836&3402&1154&4151&2487&6714&978&5355&1194&4352&824&467&903&2789&2510&5610&2528&490&2092&7125&2457&6471&1105&2115&1935&5430&1290&2408&7585&4639&4805&221&27&948&1647&1359&6144&2659&982&889&3906&1384&72&785&5583&341&6216&6262&1392&3625&1701&3434&488&3533&6115&2437&1886&2202&1205&3419&1753&905&4986&2713&4471&916&148&569&248&5885&1618&5683&5764&4228&1414&3579&1945&1246&4330&4293&502&7378&3214&688&6074&2667&2823&6163&1792&2539&529&1981&3936&1268&3851&3019&6141&1135&7503&4325&112&5227&2347&596&5409&2146&5609&8286&3536&2173&292&3623&2057&1085&3356&1352&2217&3307&6531&1458&3366&80&5510&553&2911&6606&159&3680&4132&2649&1697&408&3387&1437&1729&6499&3080&4251&2336&4744&1581&4690&7262&6223&6321&1604&4982&1731&6061&815&1627&6468&2577&4894&8534&1441&2654&3120&1904&850&5077&3267&426&3532&5694&2861&2893&195&2417&1247&5631&369&43&2302&2485&8065&4210&1547&247&191&3258&730&983&1231&3636&1527&532&5872&5685&3288&2454&3275&5812&5241&6893&5816&5174&0&2190&6118&4698&4740&284&1946&2725&2921&6231&964&3349&1116&5100&7354&1989&1828&353&169&3559&6331&2149&88&3857&1537&1992&5561&3740&350&2259&2552&4937&1282&315&927&6490&4748&1864&1157&2686&4161&854&1431&2598&3581&4525&694&3868&5483&1538&420&1089&446&2558&5522&1273&5126&2002&558&3242&1056&4901&2665&2781&4745&2826&6101&2081&2612&3022&175&6693&1513&417&3116&1311&8662&1219&2301&4749&3713&4971&7421&6448&499&2704&3071&687&2771&7623&5767&2881&2448&200&4043&4268&4835&1119&2499
415.7416441440582,341,1228&2158&4630&7279&307&1330&3436&5405&1281&115&6657&3927&2222&1942&1444&139&7982&986&6365&1399&3221&6446&1427&6850&7886&3121&8087&337&1540&6076&698&3041&2986&2641&2492&4092&1807&2936&6836&1154&4151&2487&3417&5355&607&1194&77&4352&824&5105&6494&903&5604&2789&640&1884&5610&2510&4611&2528&7671&3172&1674&1732&6471&157&1105&2115&7197&1935&5430&2408&3006&4639&404&4805&221&27&1647&6144&7765&3906&1384&72&785&341&6262&1392&4844&870&2064&2415&4183&1701&3434&488&6115&1974&1723&1987&2027&1205&3966&3419&6861&2470&1753&7001&4986&2713&4471&148&6964&569&198&1225&5885&5683&5764&4228&1414&3579&1945&1246&6361&4330&502&7378&5193&3214&2902&688&6074&2667&2823&1678&6163&4492&3936&3851&3019&7503&7020&112&5227&5409&3126&5609&8286&3536&2173&292&3623&2057&2817&268&3356&3307&2452&5326&6531&1458&3366&80&5510&553&1207&6606&1660&159&3112&3475&2649&2527&408&1152&1437&1729&5114&3080&2361&6766&2336&4744&1581&4690&6321&3347&6061&815&1627&6468&2577&2654&5111&178&3120&850&2935&3128&111&5501&5077&6844&215&426&7154&2861&2893&195&1247&4692&369&43&2302&4194&2485&3673&2184&2613&4949&247&3258&730&983&89&3636&1527&311&244&532&5872&3275&4010&4503&5812&2171&6893&5816&3658&5174&2190&0&2590&4698&909&5246&8277&5648&887&4740&284&6344&2725&2921&3349&6221&1116&7117&7354&1103&1989&353&169&3559&6331&2149&88&3857&1537&1992&2534&5561&350&2552&4937&1282&3718&4479&6490&1713&4748&1864&3220&7578&2686&4161&854&1431&3581&694&3868&1538&420&1869&1420&446&2558&5522&1273&3859&5126&2002&558&5147&4216&4901&2574&2665&2781&1266&4745&2826&6101&2320&2081&3022&175&6693&1513&1311&1403&1219&1303&2301&3713&4971&7421&6448&499&512&3071&687&2771&54&7623&2881&4043&4835&2499&578
409.34760451316833,351,4630&7279&307&1330&115&6657&6954&3927&2222&1942&139&5704&6365&6446&1427&7886&3121&1540&337&6076&698&3041&4103&2986&2641&1990&6824&2936&3156&6836&1763&3402&1800&1154&4151&2487&3417&5355&1194&4352&824&5105&3539&5604&2510&5610&7818&2528&7671&7543&894&1732&7125&234&6471&157&2115&1935&5430&1290&5915&2408&4639&4805&221&27&948&7943&1647&1359&915&3645&889&3906&1384&72&785&341&6216&6262&1392&870&2415&4183&1701&3434&488&3533&1974&2437&624&1886&241&3863&1205&3966&3419&6861&1753&5530&905&7001&4986&2713&4471&1046&1656&148&569&198&5885&5683&1014&1414&4228&3579&1945&1246&6361&4330&4293&7378&7838&3214&2902&688&6074&6163&529&1981&3936&1268&3851&3019&6141&7503&7020&112&5227&5409&3126&5609&8286&3536&292&3623&2057&8246&3356&2217&5326&6531&6534&1458&3366&5510&553&1207&4823&6606&1211&159&3112&2638&2649&4132&408&1775&3431&1152&1437&1729&1659&3080&5166&1581&4690&7262&6223&6321&4070&1604&1731&6061&6468&4894&8534&1024&1441&2654&5111&1121&1067&850&3128&2319&111&5501&5077&215&4961&2861&5617&125&195&1247&5631&4692&369&5478&2147&43&2302&3139&4194&3999&2485&2673&1891&4949&1547&247&191&7203&3258&730&983&89&1231&1527&244&5872&3288&4951&5812&2171&6893&5816&3658&5174&2190&4888&2590&4698&909&887&3693&4740&284&2725&6231&964&5780&6221&3349&1116&7117&3668&7354&1989&1828&353&1988&92&169&3559&3104&6331&2149&88&3857&1537&1992&2534&5561&350&2552&4937&3718&315&4479&6490&1713&1864&4322&2429&7578&1157&4161&854&2686&1431&2598&3581&3868&1538&420&2824&446&2558&5522&1273&2722&1791&1106&3859&5126&2002&1221&666&558&5147&523&4216&4901&2574&2665&2781&1266&4745&2826&4850&6101&2081&2612&3022&175&3878&6693&1513&417&1311&2625&1219&2301&7421&4971&6448&499&2704&3071&687&2771&54&7623&200&4043&4268&1119&1617&2499
415.0505576133728,291,2158&4630&858&1330&1281&4057&6954&2222&1942&139&5704&6365&3221&6446&1427&5680&337&6076&698&3041&4103&2641&1990&2936&6836&3402&1895&2242&2487&4151&3417&5355&607&1063&5178&4352&824&5105&2789&1985&1884&5610&7818&2528&157&1935&5430&1290&5915&2408&3006&4805&27&1647&7765&401&889&2338&3906&1384&785&341&1392&4183&3434&488&3533&6115&434&1436&2343&2413&1205&3419&6861&1753&3351&905&7001&4471&148&1623&569&198&248&5885&5683&5764&4228&1414&3579&1246&4330&7378&3214&688&2667&6163&529&1981&3936&1268&3851&545&3019&7503&2321&4641&112&5227&2347&5409&5609&4956&2173&292&3623&2057&8246&7658&3356&2217&2452&6531&1458&3366&80&5510&553&1207&6302&159&3475&1697&1152&79&1437&1729&5114&3080&6499&2361&2336&4744&588&1581&4690&5453&6321&6061&6784&507&2577&4894&1441&5299&2654&5111&4532&3120&1904&850&2935&3128&111&5501&4961&7154&1947&2893&195&4360&1247&5631&369&43&2302&3139&1672&2485&3673&2584&2660&2613&4949&247&191&634&3700&352&3258&730&983&89&3636&1231&544&1527&532&5872&3288&4951&3275&5812&6893&5816&3658&5174&2190&4698&5246&5825&4740&2725&6231&964&5780&6221&1116&3004&7354&353&169&1977&6331&2149&818&88&3857&2214&3740&350&2259&2552&1628&315&4479&6490&4748&1864&4322&3220&7578&1157&4161&854&2686&1431&3581&2598&4525&694&1538&420&2824&2558&1273&3867&5126&558&1146&1748&4216&2665&2781&1266&4745&1187&2826&6101&2081&2612&3022&175&6693&1311&1219&1303&2301&1177&7421&6448&499&3071&687&2771&54&7623&200&3301&6962
419.14162158966064,316,2158&4630&7279&307&1330&1281&115&6657&3927&2222&1942&4205&139&5704&6365&3221&6446&1427&2537&34&3121&1540&6076&337&3041&2641&2492&1990&2936&3156&6836&3402&1895&1154&4151&2487&3417&5355&1194&4352&5105&5604&2789&1884&2510&4611&2528&2092&7671&1674&1732&2457&157&2816&2115&5430&1290&5915&2408&3006&3781&4639&4805&4670&27&948&7943&1647&7765&3645&889&1384&72&785&341&6262&1392&3655&4183&1701&3434&2352&488&3533&1241&1974&2775&1205&3966&3419&6861&1753&905&4986&4471&148&569&198&5885&1618&5683&5764&4228&1414&3579&1945&1246&4330&7378&7838&3214&688&6074&2667&2823&6163&1792&529&1981&3936&1111&3851&394&3019&245&7503&2321&7020&112&5227&3126&5609&8286&3536&292&3623&2057&8246&1890&3356&1352&2217&3307&2452&6531&6534&1458&5510&553&2591&1207&6606&159&2649&3475&2527&1697&1152&1437&1729&5114&3080&4744&1581&4690&6321&1731&6061&2163&815&1627&6468&2577&4894&1441&1178&2654&28&850&3128&5501&5582&4961&426&7154&2893&195&4692&369&5478&274&43&2302&4194&2485&3673&956&1016&2613&7757&272&1547&191&634&3258&730&983&89&3636&1231&3644&1527&244&532&5872&5685&1201&5812&6893&5816&3658&5174&2190&0&2590&4698&5056&4740&284&2725&6231&2423&3349&6221&1116&5100&1103&1989&1828&353&169&3559&3104&6331&2149&3857&1537&1992&2534&3740&2552&3718&315&4479&6490&1864&4322&2429&7578&1157&4161&854&2686&1431&3581&694&3868&1538&420&2824&2558&2722&1791&5126&2002&558&5147&523&4901&2574&2665&2781&1266&6101&2081&3022&175&6693&1513&417&3159&1311&2625&1219&2211&2301&3713&4971&7421&6448&499&512&3071&2862&687&2771&54&7623&3441&4972&6718&2881&200&3377&2499&6962
408.3962709903717,292,4630&2158&7119&7279&1330&1304&1281&6657&115&3927&6954&2222&1942&5704&6365&6446&1427&3121&337&1540&6076&2561&698&3041&4103&2986&2641&1990&2936&6836&3402&2487&4151&3417&5355&1194&824&5105&6494&639&5604&2789&2510&2528&1674&1732&798&157&2115&1935&5430&1471&1290&2408&3006&4639&551&4805&221&27&7765&401&1552&3645&889&1384&719&72&785&341&6262&1392&4844&2415&4183&2375&1701&3434&488&3533&6115&1974&1886&1436&2343&2027&1205&3966&967&1753&905&4986&4471&916&148&6964&198&5885&1618&5683&1414&4228&3579&1945&1246&4330&4293&7378&3214&688&6074&2667&2823&6163&679&1981&3936&1268&3019&7503&7020&112&5227&596&5609&8286&3536&2173&292&2057&1890&3356&2217&2452&3596&6531&3366&5510&553&8402&1207&4823&159&4132&3475&3431&3884&1437&1729&3080&4251&2336&4744&1581&4690&7262&6321&6061&2306&815&2797&1627&2577&4894&8534&1441&4362&2654&3648&3771&5111&6934&178&3120&1904&850&5077&5501&3639&426&465&988&2893&195&1247&5631&369&2302&806&956&1016&4949&272&1547&247&191&634&3258&730&983&89&3636&1231&244&5872&5685&3288&5482&6761&5812&6893&5816&5174&2190&2590&4698&887&4740&284&2725&6231&964&6681&1116&5100&3004&5399&1989&169&1858&3559&3104&2149&88&3857&1992&2534&3740&350&4937&1282&3718&2900&315&4479&452&6490&1713&1864&2429&1157&2686&4161&854&2598&3581&694&3868&4921&1538&420&2558&1273&2722&558&3037&3469&5088&4901&2574&2665&2781&1266&6101&2081&3022&175&6693&1513&417&4749&7421&6448&1074&512&687&54&5493&2448&4043&4835&2499
