TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004467964172363281, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0044002532958984375, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0045588016510009766, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004568815231323242, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004494190216064453, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004498004913330078, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004510641098022461, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0045163631439208984, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004352092742919922, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004281759262084961, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0042874813079833984, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004287242889404297, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004293918609619141, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0042798519134521484, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0043256282806396484, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.00429987907409668, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004297494888305664, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004305601119995117, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.00429987907409668, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_const_0.8 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004283428192138672, ts_size=18, ts=['15', '3', '1', '10', '39', '0', '11', '2', '7', '25', '8', '6', '28', '30', '12', '14', '23', '16']
