TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004628658294677734, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004715681076049805, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004787921905517578, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004736423492431641, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004666328430175781, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004688739776611328, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004683971405029297, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004704475402832031, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004461765289306641, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004459857940673828, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004464149475097656, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.0044536590576171875, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004468202590942383, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004456043243408203, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004469633102416992, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004458427429199219, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004465579986572266, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004563570022583008, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.00448918342590332, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
TSS instance barabasi_albert_50_4_uniform_1-100_uniform_0.75-1 (50 nodes, 368 edges) solved using gen_tdg:  time=0.004472494125366211, ts_size=16, ts=['10', '12', '11', '25', '28', '0', '1', '14', '15', '8', '6', '23', '7', '2', '3', '16']
