TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006955385208129883, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.00724339485168457, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007055997848510742, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006956338882446289, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007074117660522461, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.0067598819732666016, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006661176681518555, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.0066988468170166016, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006688356399536133, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006666660308837891, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006705284118652344, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_const_0.8 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006757259368896484, ts_size=24, ts=['35', '4', '27', '37', '39', '1', '42', '46', '2', '20', '13', '34', '22', '32', '19', '38', '30', '0', '49', '17', '15', '12', '21', '44']
