TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.0071887969970703125, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007299900054931641, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007320404052734375, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007237911224365234, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007307529449462891, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.0070819854736328125, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006880998611450195, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006956338882446289, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006891727447509766, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006895780563354492, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006894111633300781, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006975889205932617, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.0069751739501953125, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006915092468261719, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006913185119628906, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006923198699951172, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.007012605667114258, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006925344467163086, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006932735443115234, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
TSS instance watts_strogatz_50_8_0.5_123_uniform_1-100_uniform_0.75-1 (50 nodes, 400 edges) solved using gen_tdg:  time=0.006876707077026367, ts_size=24, ts=['21', '17', '49', '2', '34', '35', '15', '1', '44', '46', '4', '42', '12', '39', '0', '22', '37', '27', '38', '19', '20', '13', '30', '32']
