TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4189.571030378342, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4128.620043039322, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4109.513578414917, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4123.455263137817, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4134.4585518836975, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4126.744060993195, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4084.5824027061462, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4071.113775253296, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4050.5292313098907, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4056.787509202957, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4414.596148729324, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4097.880955219269, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4067.962134361267, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4063.272013425827, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4090.7205758094788, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4074.084011077881, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4043.9325299263, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4030.847895860672, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4025.1897144317627, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4029.8076119422913, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
