TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4423.1264798641205, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4360.920907497406, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4347.720417261124, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4383.673783063889, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4378.533235788345, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4355.123209476471, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4316.141130685806, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4289.804062843323, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4288.191515684128, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4612.509958982468, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4371.316255331039, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4311.6223566532135, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4296.569513320923, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4327.830481290817, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4307.596733570099, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4285.383334875107, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4266.643059015274, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4259.3273203372955, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=4227.907847642899, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3841.7871553897858, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
