TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3455.6780202388763, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3430.9402379989624, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3416.5494315624237, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3432.4558758735657, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3437.5077934265137, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3429.7646317481995, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3395.260968208313, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3382.76695895195, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3373.541284561157, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3376.1068313121796, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3406.3063786029816, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3400.9835193157196, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3386.9375665187836, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3379.807151079178, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3390.7629041671753, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3383.6079540252686, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3359.638362646103, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3349.224381685257, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3347.720746278763, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3351.095406293869, ts_size=16, ts=['1', '2', '3', '7', '13', '17', '19', '20', '21', '23', '28', '30', '32', '34', '35', '36']
