TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3644.9709572792053, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3614.306727409363, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3600.753788471222, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3624.153514146805, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3616.351846933365, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3594.7559349536896, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3578.838968515396, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3564.317324399948, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3557.7180349826813, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3565.9567697048187, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3592.0287251472473, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3571.7872035503387, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3573.48277592659, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3573.019439935684, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3569.9272067546844, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3547.9093775749207, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3535.31844162941, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3534.8427424430847, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3516.6670322418213, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using exact_sat:  time=3289.822764635086, ts_size=15, ts=['1', '2', '3', '7', '13', '17', '20', '21', '23', '28', '30', '32', '34', '36', '37']
