TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.005413532257080078, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.005498170852661133, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.005437612533569336, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.005480289459228516, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.005466938018798828, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.00533747673034668, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004189014434814453, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.0041904449462890625, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004182577133178711, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004202127456665039, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004174470901489258, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.0041828155517578125, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.00417017936706543, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.0041997432708740234, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004183292388916016, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004181623458862305, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004178285598754883, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004217624664306641, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004174947738647461, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
TSS instance barabasi_albert&uniform_1-5&const_0.8&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004186153411865234, ts_size=19, ts=['11', '12', '27', '3', '6', '14', '1', '8', '30', '25', '28', '18', '2', '16', '10', '15', '7', '0', '23']
