TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004250049591064453, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004204988479614258, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004201173782348633, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004242420196533203, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004199504852294922, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004202604293823242, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004199028015136719, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004195213317871094, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004201650619506836, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004201650619506836, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004206180572509766, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004202127456665039, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004199028015136719, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004202365875244141, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004221677780151367, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004201650619506836, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.0042133331298828125, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.00420832633972168, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004210233688354492, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
TSS instance barabasi_albert&uniform_1-5&uniform_0.75-1&50&4 (50 nodes, 368 edges) solved using tdg:  time=0.004210233688354492, ts_size=18, ts=['6', '10', '12', '14', '7', '15', '11', '28', '23', '27', '25', '16', '30', '2', '0', '3', '1', '8']
