TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004456996917724609, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004578828811645508, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004494905471801758, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004159212112426758, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004136323928833008, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004155158996582031, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004121065139770508, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004144430160522461, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.00412750244140625, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004152059555053711, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004134654998779297, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.0041351318359375, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
TSS instance watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.0041239261627197266, ts_size=21, ts=['1', '13', '24', '32', '20', '23', '2', '35', '30', '4', '21', '19', '29', '9', '10', '25', '15', '34', '8', '28', '36']
