TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.0040891170501708984, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004036903381347656, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.0040683746337890625, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004035234451293945, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004046201705932617, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.0040361881256103516, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004043102264404297, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004043102264404297, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.0040471553802490234, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004032135009765625, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004034757614135742, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004037380218505859, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004058837890625, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004034996032714844, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
TSS instance watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123 (40 nodes, 320 edges) solved using tdg:  time=0.004035234451293945, ts_size=20, ts=['35', '34', '30', '32', '9', '25', '20', '29', '15', '2', '28', '1', '24', '7', '13', '36', '23', '8', '10', '21']
