TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.14990282058716, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.60278391838074, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.54886603355408, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.21459984779358, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.59977149963379, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.1132869720459, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=72.4865562915802, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=72.46269726753235, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=72.30142712593079, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=72.50579380989075, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=72.68595361709595, ts_size=226, ts=['5285', '2094', '335', '5220', '2384', '1398', '1369', '6071', '5168', '667', '49', '1040', '4815', '2798', '2906', '2391', '886', '1657', '3913', '1462', '4781', '4319', '1200', '326', '5406', '1318', '1974', '1856', '1476', '3716', '4769', '136', '193', '4721', '3846', '1922', '5291', '4293', '1765', '3066', '3933', '2293', '769', '3364', '1307', '2115', '3771', '2862', '1026', '390', '1785', '3312', '226', '786', '125', '3615', '1141', '1181', '1556', '1989', '1168', '4109', '3285', '1815', '3179', '192', '2049', '2288', '1994', '3926', '2114', '1675', '65', '55', '5537', '1343', '1882', '2828', '180', '4196', '6046', '2375', '680', '521', '4434', '4206', '2777', '2244', '2596', '3305', '108', '4741', '1890', '80', '1198', '4159', '2055', '1992', '1620', '3171', '1466', '1396', '478', '3232', '1382', '1698', '1534', '1424', '4004', '4689', '3613', '2039', '5504', '4230', '948', '4628', '4369', '289', '1365', '382', '804', '1400', '151', '659', '3475', '3715', '3815', '1030', '2653', '1685', '1971', '4093', '1644', '3200', '1544', '1743', '3178', '2890', '606', '20', '981', '3310', '370', '3728', '1758', '693', '3797', '2666', '873', '4285', '1648', '1946', '5775', '2086', '6039', '5096', '4107', '686', '3930', '1229', '4880', '1834', '2654', '922', '303', '1877', '2948', '4324', '1742', '1735', '3016', '1659', '3813', '3571', '1626', '576', '5645', '3810', '3095', '1281', '428', '1827', '963', '1930', '2345', '4041', '2871', '2498', '1562', '1305', '5545', '1792', '1751', '3865', '2199', '1275', '3866', '1108', '146', '3981', '2942', '4551', '1636', '3599', '2907', '5154', '2821', '5788', '1666', '4740', '2523', '3163', '169', '196', '2638', '1359', '4344', '490', '1478', '5754', '2451', '736', '3115', '1749', '2852', '2314']
