TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=75.29649615287781, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=75.31350255012512, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=73.4710419178009, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=74.58527088165283, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=76.05238556861877, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=75.27886128425598, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=75.59524154663086, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=77.45279669761658, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=76.2983136177063, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=74.31630277633667, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=75.57598638534546, ts_size=226, ts=['1882', '65', '2777', '1400', '2055', '1620', '3728', '3066', '1765', '2821', '693', '2862', '1856', '1749', '2907', '1743', '3846', '1930', '335', '2890', '390', '686', '3981', '2288', '3715', '1343', '2293', '1751', '2049', '4551', '196', '4815', '769', '1785', '6071', '1946', '4196', '786', '490', '1666', '2039', '1478', '3571', '521', '3095', '5545', '2114', '981', '2852', '1827', '3171', '1636', '1989', '2345', '1229', '1462', '1424', '2451', '3232', '1974', '5754', '4159', '2498', '1318', '1659', '1281', '1030', '2942', '1200', '6039', '3285', '289', '3016', '55', '2871', '1181', '370', '4628', '4689', '5504', '1792', '4740', '1735', '2094', '3930', '4721', '303', '5291', '192', '1168', '2654', '382', '3115', '1994', '2906', '3179', '108', '2948', '3312', '1026', '1648', '478', '4206', '3613', '576', '1877', '3813', '125', '6046', '804', '326', '1675', '2086', '1476', '3771', '2666', '136', '1815', '1544', '1040', '4344', '5788', '4107', '1466', '1534', '3716', '1992', '3865', '2653', '1305', '5285', '4109', '3815', '1141', '3810', '3163', '873', '1198', '3866', '1108', '2375', '2314', '2638', '1657', '3475', '3310', '4319', '5096', '151', '49', '193', '1396', '1359', '20', '5537', '5154', '1626', '4741', '3200', '1382', '3364', '659', '1742', '3178', '2523', '1890', '4769', '1922', '3599', '5775', '2384', '2596', '1971', '680', '922', '963', '428', '667', '146', '180', '80', '2391', '3797', '4781', '4041', '1275', '1398', '3305', '4093', '2828', '1685', '4285', '4230', '2115', '4369', '2798', '5406', '4293', '5645', '1307', '606', '2199', '1365', '5168', '4324', '3926', '1369', '886', '3933', '4880', '1556', '948', '1834', '4434', '1698', '3615', '226', '3913', '1644', '5220', '2244', '1758', '1562', '4004', '169', '736']
