TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=79.46458053588867, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=79.75112318992615, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.72549557685852, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.73768830299377, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=79.85973596572876, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=79.39971852302551, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=79.80218625068665, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=78.99160480499268, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=79.12940740585327, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=78.51609134674072, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=78.4355263710022, ts_size=200, ts=['1882', '3865', '4107', '1396', '4206', '606', '1398', '5406', '4285', '146', '3095', '2375', '3771', '1030', '1108', '2391', '390', '4041', '2094', '1556', '1644', '3571', '4815', '1890', '3312', '3475', '1168', '2798', '6046', '4741', '886', '490', '693', '1181', '2653', '3232', '2828', '1462', '108', '193', '2948', '5096', '3615', '3913', '1827', '4721', '3178', '2293', '335', '659', '226', '4891', '4369', '4781', '180', '1992', '2666', '3933', '1191', '3715', '1758', '3866', '49', '3930', '151', '686', '3813', '4769', '1792', '3810', '4324', '3310', '528', '3728', '4689', '125', '5504', '2039', '2114', '1659', '1534', '2498', '3846', '2523', '1922', '3285', '5572', '5220', '5537', '5788', '5291', '2314', '1685', '1359', '4159', '859', '1856', '2384', '804', '4434', '4740', '948', '5154', '1307', '2654', '1200', '2199', '922', '2596', '370', '6071', '3115', '2049', '521', '1749', '169', '1698', '2942', '192', '478', '2907', '4004', '4093', '5168', '196', '786', '3179', '2244', '2638', '1478', '1814', '963', '1424', '1648', '1466', '303', '5645', '1974', '3016', '1765', '4628', '1305', '3797', '1675', '2055', '1994', '3200', '1751', '1620', '1198', '576', '1626', '1382', '1562', '1229', '5545', '2646', '382', '4880', '2288', '2890', '1040', '4293', '2345', '1877', '3926', '1275', '20', '680', '3364', '1989', '736', '1636', '1742', '4196', '3066', '1365', '136', '667', '4319', '3716', '4109', '1318', '1369', '1815', '5285', '1026', '2048', '3815', '3163', '4344', '3981', '3613', '55', '769', '2451', '2871', '4230', '65', '1743']
