best_fit=3133, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3146, k=199
best_fit=3162, k=199
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3114, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3115, k=198
best_fit=3116, k=198
best_fit=3116, k=198
best_fit=3116, k=198
best_fit=3116, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3131, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3137, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3138, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3139, k=198
best_fit=3140, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3141, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3142, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3144, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3145, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
best_fit=3146, k=198
