best_fit=4326, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4333, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4335, k=360
best_fit=4336, k=360
best_fit=4336, k=360
best_fit=4336, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4337, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4338, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4339, k=360
best_fit=4342, k=360
best_fit=4342, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4343, k=360
best_fit=4349, k=360
best_fit=4349, k=360
best_fit=4350, k=360
best_fit=4350, k=360
best_fit=4350, k=360
best_fit=4350, k=360
best_fit=4350, k=360
best_fit=4363, k=360
best_fit=4359, k=353
best_fit=4358, k=352
best_fit=4358, k=352
best_fit=4358, k=352
best_fit=4358, k=352
best_fit=4358, k=352
