TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.84052634239197, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.64487385749817, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=81.44677257537842, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.97012639045715, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.99009656906128, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.72539806365967, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.93918919563293, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.89318656921387, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=80.65788626670837, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=81.0476005077362, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=81.07577085494995, ts_size=281, ts=['3813', '3913', '1659', '2666', '4769', '4206', '4107', '2048', '1743', '680', '1466', '2115', '4230', '4293', '804', '303', '1301', '416', '1198', '1361', '3616', '668', '948', '2653', '382', '5775', '1075', '3095', '2498', '2055', '1814', '4319', '2890', '1200', '3232', '4689', '4109', '3981', '428', '43', '4891', '279', '2231', '537', '528', '3926', '1369', '1698', '1229', '2279', '5572', '2244', '769', '3815', '136', '2906', '326', '1946', '236', '1815', '1562', '576', '1108', '1318', '3364', '1974', '2391', '131', '693', '1534', '65', '4324', '2086', '1805', '180', '606', '873', '3810', '1398', '3066', '686', '138', '1191', '2948', '66', '4196', '4334', '3716', '786', '2362', '191', '226', '3933', '3613', '20', '125', '2049', '1445', '2039', '151', '247', '3865', '1275', '3571', '5504', '1040', '1648', '4004', '1792', '3163', '111', '80', '1400', '3475', '4740', '4041', '1181', '1992', '521', '2345', '3866', '1969', '49', '636', '1620', '2654', '4434', '108', '192', '1382', '1030', '2862', '4628', '3178', '3715', '1478', '390', '2646', '289', '1751', '3310', '4369', '1765', '1307', '961', '146', '2102', '2288', '1163', '5537', '2828', '478', '922', '490', '1685', '967', '2907', '1675', '1476', '4741', '955', '989', '1579', '4721', '5645', '4159', '4815', '1657', '1666', '1973', '5168', '1404', '1365', '6071', '1141', '3296', '335', '963', '859', '2821', '2596', '896', '3771', '3930', '2871', '2199', '1026', '5545', '1882', '2451', '1168', '1922', '55', '370', '399', '1703', '248', '3846', '1785', '1749', '1753', '3179', '1359', '2134', '4781', '5291', '439', '1827', '886', '1758', '5406', '2798', '5285', '2523', '1856', '5788', '1989', '1462', '736', '1712', '44', '1644', '3016', '5220', '3797', '1305', '3462', '1890', '64', '4285', '659', '4344', '1396', '3728', '2942', '1424', '2314', '679', '1674', '4093', '3285', '1626', '4880', '3363', '2638', '3115', '1742', '1834', '3599', '310', '1877', '5154', '39', '1610', '1403', '1994', '2375', '133', '169', '193', '667', '1930', '1002', '1556', '3358', '3200', '2761', '3833', '3312', '3615', '2384', '2293', '6046', '2094', '2114', '5096', '4204', '1098', '2017', '1636', '196']
