best_fit=3066, k=1519
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3028, k=1509
best_fit=3029, k=1509
best_fit=3030, k=1509
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3029, k=1508
best_fit=3030, k=1508
best_fit=3029, k=1507
best_fit=3029, k=1507
best_fit=3029, k=1507
best_fit=3029, k=1507
best_fit=3033, k=1507
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3024, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3026, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3027, k=1503
best_fit=3032, k=1503
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3028, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
best_fit=3029, k=1501
