TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=81.94289374351501, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.02406072616577, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.12150740623474, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=81.99682831764221, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.2148118019104, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.149005651474, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.35058450698853, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.26011776924133, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.3874363899231, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.2412314414978, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=82.36074686050415, ts_size=297, ts=['1815', '948', '4628', '1922', '769', '3926', '4334', '1792', '2638', '5220', '382', '5537', '3312', '1698', '1025', '5154', '1424', '5168', '1275', '5545', '1992', '736', '1620', '1751', '490', '44', '2942', '196', '2828', '3310', '4159', '5291', '3179', '3115', '1361', '2231', '1946', '2244', '1834', '4206', '416', '3716', '4285', '4004', '2094', '2362', '3358', '537', '1098', '2821', '5504', '2275', '521', '1692', '4324', '289', '192', '2384', '2086', '418', '1497', '667', '2049', '859', '1403', '2102', '20', '4740', '3913', '326', '1237', '1534', '1636', '1743', '2134', '1562', '3981', '191', '169', '967', '1742', '1856', '679', '5096', '4107', '4230', '1882', '1040', '989', '1814', '131', '1749', '2055', '335', '39', '4344', '3833', '1369', '1398', '1459', '3813', '3613', '1930', '439', '33', '1890', '5775', '6046', '2115', '528', '1168', '955', '2451', '1181', '3771', '303', '2498', '4721', '636', '1989', '2114', '3363', '3934', '350', '2391', '3095', '1466', '2761', '133', '922', '1445', '125', '247', '2279', '64', '248', '3296', '3405', '2314', '3364', '4369', '1396', '2199', '2017', '1026', '659', '390', '2890', '576', '3797', '4781', '3571', '1318', '3810', '80', '4093', '961', '1827', '4689', '2654', '1648', '1994', '873', '1198', '5285', '3232', '55', '1462', '43', '4293', '1301', '3475', '1030', '4880', '1002', '4891', '1476', '279', '111', '3715', '4539', '1200', '886', '1191', '3285', '1669', '3200', '146', '1141', '3933', '310', '2523', '5572', '1712', '2646', '1163', '896', '1108', '2907', '226', '3016', '1973', '1365', '693', '2653', '4362', '1657', '2345', '1877', '1644', '1400', '2948', '136', '2039', '370', '4204', '1579', '193', '1674', '5788', '1659', '2666', '399', '1685', '1556', '1703', '236', '4741', '108', '3178', '5406', '963', '4109', '1305', '680', '428', '1307', '6071', '1229', '2871', '786', '4319', '1382', '49', '2596', '1974', '4434', '3616', '2048', '1675', '3728', '1610', '1805', '3930', '2906', '180', '1765', '1785', '1626', '2007', '3163', '1359', '804', '1478', '138', '3033', '2375', '1758', '4196', '1969', '3615', '4815', '2288', '1666', '3846', '151', '3462', '1753', '478', '4769', '2798', '606', '3066', '1075', '66', '4041', '3599', '1404', '668', '3865', '686', '2862', '65', '3866', '3815', '2293', '5645']
