TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=93.31668043136597, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=92.4827070236206, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=90.67340683937073, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.3049304485321, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=92.23238325119019, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.61744523048401, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=90.79320693016052, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.48793911933899, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=92.31794214248657, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=90.17001986503601, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=90.36412715911865, ts_size=281, ts=['3179', '1275', '4781', '5572', '3833', '1305', '3066', '3178', '1834', '326', '236', '1827', '2048', '2049', '55', '4628', '5096', '804', '1922', '1163', '1301', '3115', '4369', '289', '3363', '4293', '3981', '5220', '279', '4334', '4740', '1644', '4230', '948', '3310', '3716', '989', '191', '4109', '382', '125', '3810', '1877', '1478', '3846', '1992', '955', '1685', '2362', '64', '2102', '3232', '3016', '4815', '390', '2017', '3930', '967', '1098', '1040', '3815', '20', '1659', '39', '4204', '4434', '686', '3163', '1758', '2523', '2666', '1198', '138', '859', '439', '786', '1108', '537', '1973', '2039', '136', '3865', '1674', '667', '1749', '2391', '521', '1476', '1666', '2798', '4324', '4891', '478', '1620', '1698', '2094', '2451', '2906', '2871', '1742', '1556', '4159', '3813', '1382', '5545', '131', '1191', '2942', '2596', '1359', '5168', '1361', '2244', '416', '1751', '65', '43', '1753', '5154', '5537', '1792', '3728', '1534', '196', '310', '4041', '3358', '1648', '5504', '193', '1466', '44', '2114', '1712', '3475', '1636', '1675', '3771', '2115', '6046', '1365', '4769', '1743', '3364', '490', '146', '3200', '1610', '2907', '1930', '1856', '2862', '2498', '2231', '1181', '5291', '1562', '4285', '922', '2384', '4689', '1657', '4093', '2821', '5775', '1404', '2055', '1462', '2948', '1403', '896', '370', '1396', '4206', '1141', '4880', '1229', '1882', '693', '1200', '247', '2890', '180', '769', '2828', '1805', '1369', '3933', '80', '3926', '3715', '2638', '399', '3312', '1579', '1626', '4344', '2279', '1400', '3866', '528', '1890', '1168', '2134', '3296', '3613', '736', '49', '248', '3095', '1307', '2345', '1989', '886', '2761', '303', '2653', '1969', '679', '226', '4741', '1002', '3285', '961', '659', '111', '3616', '66', '963', '2375', '3615', '4004', '1026', '1815', '2314', '576', '1765', '1424', '2086', '1030', '169', '2646', '4721', '1974', '3571', '873', '5406', '3797', '2199', '1703', '4319', '428', '5285', '1318', '3913', '2288', '1785', '1445', '668', '5645', '4107', '151', '1398', '5788', '1075', '1994', '680', '3599', '636', '6071', '606', '2654', '335', '4196', '108', '133', '1814', '3462', '1946', '2293', '192']
