TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=94.2359070777893, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=94.53212118148804, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=94.39396595954895, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=93.65443134307861, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=94.34104537963867, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=94.53952765464783, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=93.49930167198181, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=93.30483102798462, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=93.31824970245361, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.94401097297668, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=92.66880893707275, ts_size=281, ts=['2345', '1040', '3462', '1361', '3933', '2862', '4369', '1930', '1359', '1974', '2391', '1753', '1424', '606', '3813', '1636', '416', '1075', '2906', '247', '2231', '3615', '131', '3163', '786', '3930', '2907', '659', '1973', '3363', '66', '2293', '1969', '4344', '4093', '55', '963', '2498', '3866', '576', '3797', '5406', '2094', '1994', '1318', '1626', '2244', '3616', '1403', '1785', '1181', '873', '2048', '1827', '1882', '4319', '248', '667', '4206', '3296', '668', '2646', '326', '5220', '4880', '1765', '1890', '303', '1758', '5285', '65', '4004', '948', '1749', '1396', '804', '151', '3926', '3571', '3716', '3715', '289', '4891', '4196', '5775', '1644', '1834', '1579', '2115', '180', '5291', '5168', '1666', '1742', '967', '108', '382', '169', '2948', '3865', '136', '4815', '2375', '537', '44', '4334', '1307', '80', '1610', '6046', '3232', '111', '1026', '1743', '1301', '3771', '3475', '2134', '769', '5645', '3115', '2596', '64', '922', '3310', '146', '1992', '2039', '1198', '1922', '2653', '886', '859', '4041', '3981', '1648', '4159', '2666', '2288', '1141', '1620', '1815', '4230', '1685', '1382', '1712', '4628', '370', '1305', '1478', '3016', '6071', '4741', '2451', '4740', '989', '1030', '279', '1703', '4781', '1108', '1398', '335', '43', '2017', '236', '1229', '191', '2362', '4204', '636', '5572', '5504', '3833', '1698', '226', '1476', '4109', '5537', '2890', '1098', '39', '2086', '1946', '2654', '2055', '390', '521', '955', '1365', '2384', '1466', '736', '4721', '3358', '693', '4293', '961', '1002', '896', '478', '1462', '1856', '2102', '1674', '680', '2114', '1275', '192', '2049', '1445', '528', '679', '2279', '133', '3815', '4285', '125', '2638', '1400', '3178', '1877', '1168', '3599', '3312', '428', '686', '3200', '3095', '2942', '1556', '3846', '2828', '4324', '490', '310', '1989', '1659', '20', '1369', '1675', '2871', '1751', '3066', '4769', '3613', '2314', '3285', '4434', '399', '2199', '3913', '1814', '2761', '5096', '3728', '49', '5154', '3179', '1404', '1200', '1534', '2523', '1191', '3810', '5788', '196', '138', '439', '1562', '1792', '4107', '1805', '3364', '2821', '193', '2798', '4689', '5545', '1163', '1657']
