best_fit=3035, k=1526
best_fit=3031, k=1525
best_fit=3031, k=1525
best_fit=3031, k=1525
best_fit=3031, k=1525
best_fit=3031, k=1525
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1524
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1522
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1520
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1519
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
best_fit=3030, k=1518
