best_fit=3013, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3029, k=1370
best_fit=3040, k=1370
best_fit=3011, k=1365
best_fit=3011, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3012, k=1365
best_fit=3042, k=1365
best_fit=3029, k=1363
best_fit=3029, k=1363
best_fit=3029, k=1363
best_fit=3029, k=1363
best_fit=3029, k=1363
best_fit=3030, k=1363
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3004, k=1361
best_fit=3014, k=1361
best_fit=3014, k=1361
best_fit=3014, k=1361
best_fit=3014, k=1361
best_fit=3014, k=1361
best_fit=3017, k=1361
best_fit=3022, k=1361
best_fit=3022, k=1361
best_fit=3023, k=1361
best_fit=3023, k=1361
best_fit=3023, k=1361
best_fit=3027, k=1361
best_fit=3027, k=1361
best_fit=3027, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3029, k=1361
best_fit=3030, k=1361
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3029, k=1360
best_fit=3098, k=1360
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2984, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
best_fit=2985, k=1351
