best_fit=3158, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3159, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3160, k=200
best_fit=3161, k=200
best_fit=3161, k=200
best_fit=3161, k=200
best_fit=3161, k=200
best_fit=3162, k=200
best_fit=3162, k=200
best_fit=3162, k=200
best_fit=3162, k=200
best_fit=3162, k=200
best_fit=3162, k=200
best_fit=3162, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
best_fit=3163, k=200
