TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=92.65317845344543, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=89.37438941001892, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=88.78251051902771, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=90.08918404579163, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=88.78716516494751, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=90.41567635536194, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=90.47975754737854, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=86.3789484500885, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=87.45344519615173, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=87.81501698493958, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
TSS instance p2p-Gnutella08&uniform_1-1000&const_0.8 (6301 nodes, 20777 edges) solved using tdg:  time=87.79622769355774, ts_size=271, ts=['4093', '2451', '1359', '2115', '3462', '1579', '4109', '4434', '3066', '1168', '111', '5285', '3163', '1075', '2898', '3797', '3815', '439', '981', '1556', '5788', '3981', '2049', '1382', '4551', '5406', '4740', '2244', '1424', '1229', '537', '668', '3599', '3179', '55', '3285', '1275', '2384', '2638', '1108', '3613', '125', '3728', '4721', '2907', '4815', '606', '2653', '5063', '1478', '4628', '786', '2498', '1181', '1785', '1163', '1141', '1657', '5545', '1685', '1827', '3310', '3102', '3913', '3865', '1369', '3771', '686', '2798', '3933', '1620', '576', '1749', '136', '2906', '2199', '279', '3305', '3930', '1765', '1974', '4107', '5096', '490', '1318', '428', '5220', '1946', '2871', '2948', '1675', '2039', '3810', '39', '1992', '1305', '1562', '138', '1877', '1476', '3200', '886', '2288', '49', '43', '3715', '1648', '1792', '151', '873', '1610', '4334', '3615', '1882', '2523', '2055', '5291', '636', '1787', '693', '948', '1856', '5645', '521', '416', '6046', '382', '955', '963', '3358', '1834', '1890', '3016', '3475', '1544', '769', '3364', '2942', '1030', '804', '2596', '1753', '4196', '478', '310', '1922', '2086', '1994', '399', '370', '303', '1698', '1626', '4159', '1758', '3926', '3232', '5154', '4324', '108', '1400', '6039', '191', '3115', '2314', '1307', '4741', '1002', '6071', '962', '868', '4041', '4319', '1404', '2345', '4344', '1365', '2862', '3178', '2852', '80', '2391', '192', '2666', '736', '5775', '961', '1026', '5504', '3616', '390', '1198', '5754', '3716', '680', '659', '2293', '2375', '4781', '4689', '1396', '2094', '2114', '3900', '1398', '4880', '2890', '4004', '3846', '3571', '2828', '326', '3171', '2821', '4617', '1644', '1040', '4230', '4285', '1703', '1751', '2362', '1805', '169', '3813', '4769', '4204', '3866', '3312', '1971', '4369', '1636', '667', '1815', '1735', '1742', '1200', '5168', '1534', '2654', '989', '146', '1466', '196', '4293', '1301', '193', '1743', '3833', '1659', '3095', '1281', '226', '5537', '1462', '20', '1445', '335', '1343', '4206', '1666', '2761', '180', '1930', '1973', '289', '131', '2777', '1989', '65', '922']
