TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=88.41043758392334, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=86.96718716621399, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=85.61288499832153, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=87.00979661941528, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=85.86522674560547, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=86.49516344070435, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=87.81294798851013, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=83.87926769256592, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=83.77520084381104, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=86.2667179107666, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=84.2450041770935, ts_size=227, ts=['108', '3475', '3200', '3571', '1994', '606', '1382', '4434', '2288', '5168', '2828', '1002', '1675', '1040', '2115', '1562', '1751', '5096', '65', '5537', '4230', '1369', '428', '193', '5406', '963', '1229', '922', '1636', '680', '2821', '5504', '4109', '5645', '3364', '326', '5545', '1644', '1168', '4689', '736', '1534', '180', '804', '151', '2055', '1973', '2375', '4196', '2596', '948', '4628', '4815', '3933', '4293', '1026', '2906', '1685', '3179', '3797', '4781', '80', '146', '289', '786', '1834', '1141', '3310', '1814', '1400', '693', '4004', '2948', '2199', '5154', '1890', '3926', '5291', '1030', '3715', '196', '1749', '5220', '3813', '2391', '4721', '3599', '4891', '886', '136', '478', '3115', '1792', '303', '1992', '1318', '4741', '125', '2049', '3613', '4769', '4324', '2451', '4319', '4880', '1989', '1398', '3930', '382', '3981', '133', '1620', '2871', '6046', '4740', '1974', '2523', '1930', '1815', '2314', '667', '1359', '1424', '5788', '2654', '2384', '1648', '1305', '659', '3285', '1275', '4206', '4159', '1466', '1462', '390', '1556', '20', '873', '4041', '3771', '5285', '2114', '1307', '4107', '3066', '1758', '3016', '1698', '1108', '49', '3716', '370', '2890', '528', '2498', '1946', '3866', '576', '859', '1877', '3095', '1657', '3913', '1181', '1365', '4369', '192', '55', '2653', '1198', '1856', '2345', '3810', '1922', '2094', '2666', '335', '169', '1785', '2244', '3815', '1626', '226', '3462', '3615', '3232', '961', '1476', '2048', '2862', '2942', '1200', '1666', '1827', '3728', '1396', '2646', '2293', '4285', '2798', '3163', '1659', '1882', '4093', '686', '5775', '6071', '4344', '3178', '2039', '1743', '1765', '3846', '1191', '3312', '1478', '2086', '5572', '521', '3865', '1742', '769', '2907', '2279', '490', '2638']
