TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=88.1237120628357, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.18253898620605, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=89.19663715362549, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=88.63945817947388, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.5220353603363, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=91.2140736579895, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=88.70616102218628, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=89.24314641952515, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=89.93204140663147, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=90.17845416069031, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
TSS instance p2p-Gnutella08&uniform_1-1000&uniform_0.75-1 (6301 nodes, 20777 edges) solved using tdg:  time=89.35293054580688, ts_size=263, ts=['636', '1666', '2821', '680', '659', '2345', '5645', '1877', '2115', '2871', '3933', '1969', '1181', '1930', '125', '1973', '2638', '4628', '4204', '1382', '1478', '3616', '3715', '1198', '2828', '922', '3571', '804', '1026', '1168', '961', '3613', '4721', '136', '2596', '2654', '2890', '2862', '955', '3115', '1703', '191', '5096', '55', '3615', '521', '279', '1040', '1620', '1191', '20', '2114', '3846', '1657', '133', '1922', '1400', '1579', '2039', '4041', '180', '4741', '1685', '6046', '169', '1814', '1856', '1466', '4196', '428', '1424', '3462', '3716', '1141', '1827', '5545', '1749', '2293', '989', '4880', '1785', '4230', '1075', '5285', '108', '478', '1200', '3312', '1992', '528', '769', '49', '2314', '4159', '3358', '6071', '1751', '303', '382', '2049', '606', '3771', '4740', '2798', '1946', '4334', '537', '1758', '1675', '1989', '1403', '4781', '1305', '963', '2666', '192', '1307', '2094', '1743', '1534', '3728', '3815', '3232', '3833', '2055', '4891', '1229', '4107', '80', '111', '3285', '2942', '2086', '43', '146', '1275', '4689', '668', '1890', '2451', '131', '3810', '736', '3913', '4369', '3364', '3178', '1742', '1994', '1562', '2391', '3865', '1659', '1108', '138', '1163', '576', '3797', '3310', '5788', '1398', '3475', '2653', '5291', '1610', '4769', '1834', '5154', '4319', '886', '5406', '399', '2761', '5537', '2906', '3813', '326', '4004', '859', '2244', '335', '1404', '4324', '289', '2362', '4109', '1753', '4285', '3200', '1369', '416', '390', '2948', '2288', '2048', '4434', '490', '3930', '5572', '2199', '2384', '1462', '226', '4293', '1792', '1030', '310', '39', '1002', '1359', '3016', '5168', '3095', '3866', '4344', '1476', '686', '65', '3599', '786', '1396', '1765', '2279', '1445', '4093', '1815', '3163', '3066', '1698', '439', '1882', '948', '3981', '2646', '1365', '370', '4206', '667', '5504', '196', '151', '1805', '2523', '693', '3179', '5220', '193', '1636', '1301', '1644', '2498', '2907', '1318', '2375', '4815', '1556', '5775', '873', '2017', '1648', '3926', '1626', '1974']
