tdg_iter_descent_v4[10000, 1, 25]_time|tdg_iter_descent_v4[10000, 1, 25]_size|tdg_iter_descent_v4[10000, 1, 50]_time|tdg_iter_descent_v4[10000, 1, 50]_size|tdg_iter_descent_v4[10000, 1, 75]_time|tdg_iter_descent_v4[10000, 1, 75]_size|tdg_iter_descent_v4[10000, 1, 100]_time|tdg_iter_descent_v4[10000, 1, 100]_size|tdg_iter_descent_v4[10000, 1, 125]_time|tdg_iter_descent_v4[10000, 1, 125]_size
238.7901804447174|203|235.55999517440796|246|274.4426894187927|226|273.2661352157593|205|219.16046857833862|210
228.58758425712585|230|249.81329870224|204|272.4401288032532|224|265.94324707984924|212|227.3797128200531|211
235.21217012405396|224|254.17037916183472|216|272.5302805900574|237|277.6364049911499|215|239.5312352180481|212
233.26625967025757|220|248.42833423614502|216|270.9875020980835|214|270.79610109329224|240|249.81129717826843|198
229.9699559211731|220|234.73187685012817|209|270.37485218048096|220|270.0557544231415|247|223.6712348461151|246
239.02161145210266|211|246.94797468185425|206|281.21648383140564|224|273.8329722881317|229|225.34639382362366|259
231.1916699409485|198|251.1507384777069|196|265.23848032951355|242|267.0681540966034|243|232.6798768043518|213
238.44925451278687|234|249.68646121025085|220|277.41471767425537|196|289.494726896286|209|230.31179285049438|214
227.28480052947998|248|243.8085503578186|223|268.38717126846313|203|272.9475939273834|230|239.99475812911987|251
226.09547758102417|205|236.17215776443481|222|275.6851396560669|211|272.7870466709137|212|235.63963747024536|245
235.32049345970154|213|246.53159475326538|219|275.1509337425232|234|270.91108560562134|217|237.35858821868896|222
236.39955115318298|224|241.57264947891235|228|279.72789788246155|204|275.7063808441162|256|224.53570938110352|218
234.59047174453735|234|251.32010650634766|205|261.733535528183|206|283.9521253108978|218|230.51653027534485|204
226.64887070655823|229|241.8511185646057|220|264.61048913002014|248|273.217768907547|226|226.19148921966553|235
233.11714267730713|220|240.13128685951233|226|272.53826808929443|224|279.15654492378235|204|239.72339248657227|211
233.05908346176147|206|230.3525140285492|253|273.5526740550995|231|259.2939443588257|255|236.78151607513428|230
237.81072664260864|207|239.14057540893555|198|272.8667206764221|233|260.7654848098755|225|237.54083919525146|201
230.1272599697113|219|241.21636652946472|229|269.3592984676361|202|267.538654088974|239|229.69212675094604|209
218.33223748207092|215|239.73083519935608|251|275.0653088092804|214|259.9149944782257|231|213.6971914768219|227
227.36850571632385|271|235.66546654701233|217|273.0692708492279|223|269.27778911590576|213|209.26635789871216|210
