TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=8.856943368911743, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=8.129289388656616, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.755776405334473, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.742230176925659, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.720021963119507, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.768060684204102, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.631577968597412, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.623908996582031, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.629504680633545, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.645836114883423, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
TSS instance p2p-Gnutella08_uniform_1-100_const_0.75 (6301 nodes, 20777 edges) solved using tdg:  time=7.55719518661499, ts_size=300, ts=['399', '1075', '3558', '3846', '1108', '4109', '3475', '1223', '998', '2906', '5537', '4043', '528', '2362', '2593', '2007', '787', '5361', '4093', '3833', '2231', '1318', '479', '80', '1674', '1307', '4689', '335', '469', '769', '1742', '1712', '3016', '1398', '3171', '390', '180', '667', '1648', '1685', '2444', '3933', '963', '2269', '4369', '3599', '1827', '2666', '5063', '1620', '169', '537', '1168', '3407', '279', '1699', '705', '3312', '988', '3813', '2039', '3566', '4769', '1666', '1030', '4293', '3930', '3818', '428', '1010', '3981', '4295', '2927', '1549', '5220', '125', '151', '111', '3027', '636', '693', '1026', '2897', '4344', '1520', '73', '1562', '5735', '929', '8', '2777', '873', '3823', '6071', '1459', '736', '1636', '4434', '236', '1382', '1882', '2523', '490', '1854', '2654', '2798', '1141', '3232', '2199', '804', '1158', '1462', '3102', '4041', '193', '1424', '968', '896', '1476', '786', '961', '1396', '1626', '2384', '62', '5200', '1040', '2888', '2530', '3228', '21', '3310', '3926', '1139', '1305', '576', '1834', '858', '3412', '2942', '2375', '3463', '1198', '289', '1753', '5285', '2322', '1947', '2716', '6039', '3810', '4334', '326', '2314', '1785', '5406', '1365', '4324', '131', '2614', '4880', '4815', '2870', '1856', '703', '1027', '1529', '4539', '382', '2293', '2898', '1701', '1556', '3571', '5291', '1969', '2596', '2360', '2017', '679', '303', '1275', '2653', '1989', '196', '4285', '3865', '521', '4463', '1692', '2735', '1946', '1792', '192', '686', '108', '1390', '1724', '1534', '416', '2325', '3716', '700', '2748', '1361', '948', '2114', '3715', '922', '1749', '2581', '1751', '1401', '370', '4740', '1181', '49', '1842', '5504', '484', '1644', '962', '3866', '191', '2086', '878', '3086', '659', '2244', '4230', '1758', '4628', '2554', '3468', '3728', '4206', '2862', '226', '2997', '4813', '1675', '2451', '2821', '1369', '2001', '5788', '439', '1466', '2871', '1200', '1847', '1163', '2498', '989', '2288', '1579', '3178', '2049', '20', '1445', '2055', '4432', '2948', '4638', '4721', '1890', '2134', '1251', '544', '2852', '146', '4107', '1743', '3095', '886', '1454', '1877', '1657', '310', '6046', '5645', '247', '4183', '4583', '4319', '1930', '3594', '4004', '3913', '1698', '2949', '3797', '66', '2907', '3066', '1359', '3179', '3615', '2723', '478']
