TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=9.227720260620117, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.555213212966919, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.170103073120117, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.109386205673218, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.18398928642273, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.208062648773193, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.067356824874878, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.063194036483765, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.049654483795166, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=8.066530466079712, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
TSS instance p2p-Gnutella08_uniform_1-100_uniform_0.5-1 (6301 nodes, 20777 edges) solved using tdg:  time=7.826649904251099, ts_size=249, ts=['193', '1318', '4740', '131', '1030', '1108', '3475', '576', '1534', '2451', '1626', '1168', '1198', '2897', '736', '2500', '4583', '1644', '326', '988', '4107', '4463', '1989', '2852', '469', '1398', '2362', '1674', '2654', '382', '1834', '1529', '998', '111', '1758', '303', '3797', '2523', '2723', '2678', '108', '2039', '80', '3933', '1648', '1181', '4769', '858', '3102', '528', '2199', '5537', '1890', '3027', '804', '20', '479', '1827', '370', '4628', '1701', '2735', '786', '2898', '4293', '2314', '146', '4721', '3171', '537', '3312', '2360', '1445', '1075', '1454', '3818', '1666', '4183', '2244', '2748', '2375', '180', '4793', '2653', '2055', '279', '1549', '1141', '1994', '1556', '1636', '5504', '3865', '2777', '2384', '1040', '1401', '4880', '1657', '3715', '4344', '521', '1424', '3310', '192', '1026', '5735', '1562', '4206', '484', '3407', '1751', '3913', '6039', '2887', '6071', '5063', '1882', '1369', '6046', '5220', '3615', '125', '1163', '310', '4813', '962', '5788', '3930', '769', '4434', '3412', '3066', '948', '1200', '2870', '289', '49', '2942', '3558', '3232', '1466', '5645', '4432', '1792', '667', '1877', '1698', '169', '1359', '873', '3566', '3981', '968', '1396', '1158', '2614', '989', '73', '1856', '3866', '1742', '4093', '963', '1139', '2017', '63', '2927', '2666', '2906', '4285', '4109', '5285', '1969', '2293', '2948', '2716', '1847', '490', '4230', '1305', '1724', '1382', '1675', '1620', '428', '4004', '2554', '1027', '3599', '2498', '1749', '438', '191', '5361', '1365', '4041', '686', '961', '2231', '1743', '151', '2997', '3716', '886', '1462', '3728', '1307', '3846', '2001', '922', '3926', '3660', '3179', '3016', '544', '3813', '3571', '335', '679', '3095', '1459', '2871', '2907', '416', '196', '2581', '3810', '4334', '3468', '1251', '2114', '439', '700', '4319', '2798', '226', '1785', '3833', '693', '2134', '1275', '4324', '2325', '2821', '1685', '1010', '5291', '703']
